wavelength,Back_TanSelf,Belly_TanSelf,Breast_TanSelf,Crissum_TanSelf,Crown_TanSelf,DorTail_TanSelf,Patch10_TanSelf,Patch11_TanSelf,Patch12_TanSelf,Patch13_TanSelf,Rump_TanSelf,Throat_TanSelf,WingTip_TanSelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,26.6667333334,28.8888666667,4.44439999998,-32.2222666667,24.4445333333,23.3333999999,20.6060787879,62.2222666667,5.55553333332,-24.4444,23.3334,46.6666666667,53.3333333333
179.16,100.0,81.1111999999,107.7778,137.7778,72.2222666667,152.777733333,113.737515152,51.1111333333,133.333466667,166.666533333,90.0000000001,77.7777999999,92.2223333333
179.54,-157.777733333,-113.3334,-155.5556,-202.222266667,-102.222266667,-237.7779,-175.555484848,-19.9999999999,-173.333333333,-228.8888,-142.222266667,-108.888933333,-82.2219999999
179.93,540.0,466.666666667,366.666666667,706.666666667,533.333333334,690.0,535.757575758,266.666666667,746.666666667,566.666666667,586.666666667,480.000000001,273.333333333
180.31,-161.7284,-90.3704,-119.2592,-233.8272,-84.9382666668,-169.1357,-170.011139394,-71.8517999999,-185.925866667,-202.222133333,-116.543266667,-149.6296,-66.1728000001
180.69,-100.635,-52.8571333333,-65.2379333334,-144.6032,-39.9999333334,-101.508,-104.314636364,-35.5556666666,-111.111266667,-126.508,-66.8253333333,-89.3652000001,-35.0793333333
181.07,-110.4546,-61.6666666666,-66.0606,-143.9394,-33.6362666665,-102.727366667,-112.341563636,-43.4846666666,-104.8486,-124.393933333,-68.6364,-96.3637333333,-42.1212666667
181.45,-78.1132666666,-36.1004666667,-37.6100666667,-101.257866667,-9.30833333341,-65.4088666667,-76.9009030303,-20.2516666667,-61.8868666667,-81.2577333333,-37.8616000001,-72.0754666667,-16.8551333333
181.83,-43.9393999999,-5.15153333335,-7.27253333336,-60.505,18.3838,-25.8081333333,-42.0937818182,-1.31320000001,-29.4949333333,-44.1414,-6.06053333333,-42.5252666667,3.03033333332
182.21,-53.9682666667,-5.39693333334,-13.0159333333,-71.6402000001,24.6560666667,-28.2540333333,-45.6469151515,-5.07946666665,-32.381,-48.9948,-7.09,-47.7249333333,-3.70373333333
