wavelength,Back_TanVirf,Belly_TanVirf,Breast_TanVirf,Crissum_TanVirf,Crown_TanVirf,DorTail_TanVirf,Patch10_TanVirf,Patch11_TanVirf,Patch12_TanVirf,Rump_TanVirf,Throat_TanVirf,WingTip_TanVirf
198.54,-47.2916666667,-60.7291666667,-76.3541666667,-49.7222222221,-85.4166666666,-86.5009469698,-76.4583333333,-77.8124999999,-76.3541666667,-56.7173032407,-81.4583333333,-103.645833333
198.92,-37.5527499999,-50.8439166666,-70.3587499999,-38.3966666666,-78.0590833332,-81.0367121213,-69.09275,-66.4556666667,-70.4640833335,-47.3615173611,-74.2614999999,-95.3586666666
199.30,-55.0995833334,-75.8706666667,-97.2638333335,-60.8623333334,-101.617083333,-114.716090909,-96.1443333333,-90.1740833333,-92.1641666668,-67.5597835649,-106.219,-124.75125
199.68,-53.1403333333,-78.6233333333,-97.343,-56.682888889,-96.7390833333,-110.172212121,-96.98075,-86.9566666667,-85.74875,-60.557699074,-102.415583333,-121.980666667
200.06,-71.41025,-97.8204166666,-109.743583333,-68.2051111112,-109.359,-127.535030303,-116.5385,-98.3333333333,-95.1282500001,-73.4865381944,-112.8205,-138.718
200.44,-56.6405,-92.1871666668,-100.130166667,-56.2496666667,-96.8746666668,-109.676496212,-112.109166667,-79.1665833333,-80.5985833335,-60.5521504631,-95.9634166667,-126.301916667
200.82,-85.6919166668,-128.14475,-140.880583333,-89.3082222221,-138.050333333,-152.987375,-161.7925,-111.478,-116.352083333,-94.8528993056,-126.5725,-170.44025
201.19,-88.4849166667,-125.454416667,-142.272666667,-92.525111111,-132.87875,-148.980556818,-166.21225,-108.636333334,-111.212,-94.4822291667,-124.545583333,-177.424166667
201.57,-68.3590833333,-104.817416667,-121.223666667,-79.1664444445,-110.156,-120.898208333,-145.442416667,-86.1976666666,-88.0205833333,-77.019951389,-96.2236666666,-153.515416667
201.95,-65.7258333333,-101.07525,-125.940666667,-76.8815555554,-101.612916667,-117.137140152,-143.951416667,-74.7312499999,-80.9139166668,-75.1400532408,-88.3063333333,-146.50525
202.33,-75.7574999998,-102.1465,-125.883916667,-80.3031111112,-100.7575,-115.943386364,-143.813083334,-78.0303333333,-79.7978333333,-76.8500416668,-93.9395833334,-145.833333333
202.71,-85.9845833334,-107.32325,-130.681833333,-80.8079999999,-110.984833333,-119.363924242,-150.37875,-88.1313333333,-84.2172499999,-78.826380787,-101.767666666,-150.0
203.09,-65.0793333333,-81.7460833332,-96.1308333333,-59.9206666667,-80.1587499999,-91.9508712121,-112.202416667,-68.2540000001,-59.2261666666,-56.4953136574,-72.91675,-112.301583333
203.47,-59.0825,-75.6553333333,-86.1422500001,-50.8115555557,-70.4120000001,-78.4687386362,-99.5319166667,-62.8276666668,-49.43825,-51.9884016204,-63.85775,-101.779166667
203.85,-44.9999166667,-60.35075,-74.3859166668,-41.4035555556,-61.8421666667,-68.1421363636,-85.3508333333,-55.87725,-37.5438333333,-47.5523287037,-52.8071666667,-86.4034166666
204.22,-36.68375,-48.7971666667,-66.4949166668,-34.2496666667,-54.9827500001,-61.1956515152,-74.7423333333,-51.2886666667,-30.5840833333,-39.6883541667,-45.7045,-82.3884166667
204.60,-41.74925,-52.7228333333,-72.27725,-40.8141111112,-57.3432500001,-65.8941439394,-73.8448333333,-59.9835,-33.7459166667,-44.5888252315,-50.66,-91.0891666668
204.98,-39.127,-50.4760833334,-74.127,-42.1162222222,-55.0001666668,-60.0036704546,-66.1904166667,-58.8095833334,-31.4285833333,-43.6022303241,-50.5556666667,-88.4125000001
205.36,-65.27775,-79.5635833332,-110.218416667,-70.5025555557,-90.8731666668,-90.8051969697,-94.54375,-89.6824166666,-56.8454166667,-71.9961134258,-79.2659166667,-124.3055
205.74,-92.2296666667,-110.810833333,-137.725166667,-96.5464444443,-125.67575,-118.826715909,-120.72075,-118.243333333,-83.4460833331,-98.4078495369,-109.234333333,-157.207083334
206.12,-88.6751666665,-108.547083333,-130.662416667,-97.8632222223,-127.564166667,-118.832299242,-116.239333333,-121.047,-88.5684166666,-97.7163078704,-108.76075,-159.294916667
206.50,-100.352083333,-123.826333334,-151.525916667,-115.023444444,-150.939083333,-134.736412879,-133.45075,-137.91075,-110.211166667,-118.089724537,-124.5305,-185.446
206.87,-92.1359999999,-122.770083333,-148.943666667,-110.485222222,-146.12675,-131.113893939,-131.337916667,-134.507083333,-108.33325,-117.667743055,-122.887333333,-184.6245
207.25,-88.4803333332,-126.102833334,-155.637083333,-112.255,-152.696166667,-131.066083333,-134.681333333,-136.519666667,-111.764833333,-119.795056713,-131.617666667,-192.401916667
207.63,-90.7104166665,-137.158416666,-165.437333333,-120.582888889,-168.579083333,-142.293871212,-144.12575,-141.12025,-124.18025,-125.906900463,-130.19125,-208.743166667
208.01,-101.934583333,-152.529666667,-181.398833333,-136.309444444,-179.613166667,-157.690833333,-158.779833333,-153.273916667,-138.6905,-134.232348379,-141.96425,-230.654833333
208.39,-88.889,-134.656333333,-160.8465,-117.636888889,-156.08475,-138.588435606,-141.005166667,-133.333333333,-123.8095,-120.021358796,-123.545,-199.867833333
