wavelength,Back_SalCinm,Belly_SalCinm,Breast_SalCinm,Crissum_SalCinm,Crown_SalCinm,DorTail_SalCinm,Patch10_SalCinm,Rump_SalCinm,Throat_SalCinm,WingTip_SalCinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,82.7380833333,64.8810833333,68.4524166667,46.4286666667,69.6429166667,46.4285833333,72.6190833333,69.0475833333,67.8571666667,78.5715
179.16,95.5129999999,67.94875,83.9743333333,44.2309166667,78.8461666667,46.7948333333,66.66675,62.8205,58.9744166667,73.7179166666
179.54,93.4524999999,81.5475833333,84.52375,76.1905833333,98.2141666667,69.64275,97.6190833333,105.952416667,78.5713333334,92.8570833333
179.93,103.205,81.4101666667,110.8975,85.25625,101.923083333,88.4614166667,105.12825,105.769333333,99.3589999999,115.384666667
180.31,140.27775,119.696833333,122.095916667,68.3081666667,124.7475,99.6211666667,123.989666667,125.378916667,108.964666666,138.005166667
180.69,119.215666666,101.66675,105.294083333,59.4116666667,105.58825,83.5293333333,104.01975,111.176416667,90.9805833333,119.117666667
181.07,119.074083333,101.851833333,108.425916667,62.8703333334,105.555583333,87.5000833334,104.4445,114.4445,91.4814166665,119.90725
181.45,121.031916667,102.579333334,108.730166666,64.5835,103.869083333,89.98025,110.21825,121.825333333,93.2538333332,124.305583333
181.83,121.396333333,99.8875,106.193666667,56.4188333333,96.3963333332,86.7119166667,106.5315,117.792833333,89.63975,125.337666667
182.21,119.15425,99.1294166667,98.6319166668,45.2735833333,90.0498333335,83.0845000001,102.985083333,113.30825,76.8656666667,116.044833333
182.59,125.3905,91.5363333332,95.0518333334,42.1875,89.5833333334,81.7709166666,102.73425,114.453,73.177,107.552
182.97,121.201,83.5783333334,87.6225833334,39.706,83.2107500002,74.6324166666,94.3627499998,111.152,65.3185833333,100.735166667
183.35,112.963,74.7684166666,78.3564166667,30.5555833333,75.5788333332,66.7825,80.2084999999,104.629666667,57.9860833334,91.2038333332
183.73,95.23825,59.6229166668,67.5595833333,21.0318333333,61.0120000001,53.67075,62.1030833333,88.0951666666,47.9165,73.7104166666
184.11,86.9606666668,54.60775,68.5295,17.0588333333,52.2549166667,46.7646666667,59.3138333334,82.745,46.6668333333,68.7255000001
184.49,80.466,49.1039166667,62.9030833333,16.6665833333,47.4910833333,40.9498333333,56.1826666668,70.5198333333,45.43025,61.8279166668
184.87,94.0474166666,58.2250833332,73.9178333333,16.1256666667,50.2165,46.2120833333,65.47625,74.5669999999,56.4935833333,66.77475
185.25,99.1291666667,61.3183333333,75.9951666667,8.83083333332,45.8954166666,41.2934166667,64.55225,72.5125833334,58.5820833333,66.2935000002
185.63,100.799166667,69.8630833332,80.7078333334,15.8675,51.1415833333,47.146,61.98625,70.2055000001,66.0960833333,72.94525
186.01,92.2840833332,66.2550833332,75.5145000001,12.1400833333,46.91375,43.6213333333,57.4072499999,66.6666666668,65.0205,68.8271666667
186.39,94.9134166668,63.9610000001,76.1905833333,5.41141666668,45.0216666666,36.9048333333,56.3853333334,65.5844999999,70.4545833333,71.75325
186.77,103.44825,72.8449166667,87.9309166668,-15.0861666667,37.0689166666,26.2931666667,52.7299166667,68.5344999999,79.8851666667,79.4539166667
187.15,117.88625,77.0325833332,111.991916667,-43.0893333333,22.5609166666,17.8860833334,48.1708333334,68.9024166667,94.3089166666,82.5203333333
187.53,114.2045,71.2120000001,116.288083333,-36.1740833333,18.9395000001,19.697,52.2726666667,65.9090000001,100.189583333,77.2726666665
187.91,120.390166667,74.4680833333,117.553166667,-26.7730833333,23.2269166667,30.851,60.81575,68.6170833332,101.4185,83.6878333334
188.29,129.4715,66.0568333332,116.260083333,-41.0569166666,14.6343333333,18.0895833333,54.8781666667,69.10575,95.5284166667,85.7724166668
188.67,143.5715,60.0000833332,129.76175,-54.7620000001,-2.14291666675,16.9048333333,55.9524166666,90.0000833333,94.2856666666,87.8570833333
189.05,136.90475,56.3491666667,126.388833333,-25.59525,14.2855,29.96025,61.9048333333,94.8412499999,84.3254999999,89.2856666667
189.43,183.888916667,68.3333333334,165.833416666,-41.3888333332,5.83333333325,43.0555833332,84.4443333333,130.5555,95.5555833332,113.333166667
189.81,369.697,33.3332499998,331.0605,-241.666666667,-109.090833333,9.84858333343,143.18175,271.969666667,139.394,153.787916668
190.19,-856.666666667,-98.3333333333,-795.000000001,426.666666667,221.666666668,-108.333333333,-368.333333333,-635.000000001,-316.666666667,-341.666666667
190.57,-479.166666667,-135.833333333,-479.166666667,159.166666667,68.3333333335,-136.666666667,-240.833333333,-386.666666667,-209.166666666,-234.166666666
190.95,-1955.55558334,-852.777833332,-1925.00008333,141.666583334,-94.4444166642,-838.888916666,-1205.55541667,-1550.00008333,-994.444416667,-1019.44441667
191.33,555.76925,344.87175,515.384416667,85.8975,134.6155,316.025583333,433.333166667,447.436,362.179583333,328.205166667
191.71,1064.28558333,749.999916667,992.857083333,249.999833333,351.190416667,714.28575,903.571499999,876.190499999,741.66675,684.523833333
192.09,-7941.66666668,-6558.33333334,-7833.33333334,-3066.66666667,-3516.66666666,-5741.66666667,-7283.33333332,-6875.0,-5750.0,-5666.66666667
192.47,1826.66666667,1663.33333333,1788.33333333,876.666666668,1030.0,1450.0,1741.66666667,1588.33333334,1400.0,1410.0
192.85,764.102499999,755.769333333,763.461416666,392.948666667,486.538583334,626.282,758.974166667,666.666666667,612.820416667,615.384583334
193.23,962.500000001,959.166666666,965.0,449.166666667,606.666666667,774.166666667,924.999999999,818.333333333,758.333333334,731.666666666
193.61,8975.00000001,8750.0,8791.66666668,3550.0,5458.33333334,6716.66666666,8108.33333333,6883.33333333,6783.33333333,6000.0
193.99,-1275.0,-1254.76183333,-1272.619,-502.380833333,-805.952583334,-941.666750002,-1120.23808333,-932.142833333,-942.857000001,-830.952333333
194.37,-1384.72233333,-1418.0555,-1412.50008333,-491.666666668,-858.333166668,-1011.11108333,-1179.16675,-961.111166668,-1011.11108333,-838.888916667
194.75,-684.722333334,-683.333333333,-688.194416667,-259.027916667,-420.138916667,-509.722083333,-556.250083333,-454.166666667,-533.333333334,-398.611083333
195.13,-288.0,-288.333333333,-295.666666667,-97.6666666665,-161.333333333,-210.0,-231.0,-202.0,-236.0,-164.666666667
195.51,-166.89175,-156.081166667,-184.009,-43.4685000001,-77.9278333332,-108.108166666,-120.270416667,-126.5765,-127.252333333,-84.6847499998
195.89,-92.3611666667,-82.6388333333,-108.506833333,-1.21525000002,-25.868,-47.7429166667,-57.2915,-69.9652500001,-60.76375,-25.1736666667
196.27,-63.0555,-46.6666666667,-70.41675,8.74991666665,-5.83333333333,-26.8055,-34.9999166667,-43.47225,-41.8055,-7.36108333332
196.65,-40.6393333333,-28.6530833333,-52.05475,14.3835833333,4.56608333334,-16.6666666667,-16.8949166667,-24.6575833333,-26.0275,3.42458333335
197.03,-26.2558333333,-13.5845833334,-35.5023333333,24.88575,18.4931666667,-8.33333324994e-05,-3.65308333331,-10.1596666667,-17.5799166667,17.3515
197.40,-17.0733333333,-10.569,-23.1706666667,24.8985,20.2236666667,2.4389166667,-3.86174999999,-5.08141666665,-18.9025833333,14.3293333333
197.78,-19.079,-18.20175,-29.2764166667,20.5044166667,16.6666666667,-1.64466666667,-10.41675,-14.5834166667,-30.70175,3.83766666668
198.16,-27.5115,-28.3105,-36.7578333333,11.1871666667,13.3560833333,-10.84475,-21.0046666667,-22.032,-40.1824166666,-8.10500000003
198.54,-30.235,-28.8461666667,-42.735,2.8845,5.23499999999,-10.4701666667,-25.9615,-28.8461666667,-44.3375,-16.3461666667
198.92,-27.1991666666,-30.9026666667,-41.2036666667,1.27316666668,4.51416666668,-4.28241666668,-29.1665833333,-33.9121666667,-46.4118333333,-18.8658333334
199.30,-30.9343333334,-36.2373333333,-44.3181666667,-2.904,-1.64141666669,-6.43958333333,-38.1311666667,-38.1315,-50.2525,-26.2625833334
199.68,-36.923,-44.359,-46.2820833334,-2.69241666665,-10.8974166667,-12.564,-44.9999166667,-38.9743333333,-55.3846666668,-34.8717500001
200.06,-46.9085833334,-63.0376666667,-59.1398333333,-10.75275,-20.96775,-16.801,-61.2903333333,-44.0859166667,-67.3386666667,-52.957
200.44,-50.1666666666,-85.6666666666,-76.8333333333,-13.1666666667,-30.8333333334,-19.8333333333,-76.1666666667,-56.8333333333,-87.1666666668,-64.9999999999
200.82,-78.2050833335,-122.86325,-119.23075,-31.6239166667,-55.9829166666,-31.8375833333,-114.957166667,-92.9487499999,-132.478833333,-92.5213333334
201.19,-44.63275,-74.1525,-73.8700833332,-16.3841666668,-33.4746666667,-16.5254166667,-70.1975833334,-54.6610833333,-77.9660833332,-54.9434166666
201.57,-33.5934166667,-64.0623333333,-60.0258333332,-7.94258333333,-23.0466666667,-2.08316666667,-58.2029166667,-43.8801666666,-59.2445,-45.9632499999
201.95,-40.59125,-75.1344166667,-65.4569166667,-16.129,-34.27425,-13.7096666666,-72.7149999999,-56.4515833334,-64.9193333333,-54.0322500001
202.33,-11.9999166667,-49.4445,-35.889,2.889,-13.3333333333,7.22216666665,-47.6665,-30.4444166667,-38.7778333333,-24.6666666667
202.71,-8.44025000002,-46.4743333334,-25.53425,6.1965833333,-10.5769166667,3.953,-46.2608333333,-22.9700833333,-34.5086666667,-19.4445
203.09,-16.01725,-52.381,-32.1428333333,3.89608333332,-15.69275,-2.70558333332,-48.1601666666,-27.81375,-36.7964166667,-22.5106666666
203.47,-15.613,-47.5095833334,-27.10725,3.544,-10.15325,-2.586,-38.1225833334,-22.2221666667,-32.2796666667,-19.34875
203.85,-13.7099166666,-44.8028333333,-26.43375,0.089583333325,-6.81000000002,-4.3906666667,-32.0789166667,-19.7131666667,-28.5841666667,-17.742
204.22,-13.3495,-38.4304166667,-23.6245833333,-1.37558333333,-3.31708333335,-4.36891666667,-25.5664166667,-17.961,-23.7864166667,-15.0485
204.60,-6.88691666666,-27.0661666667,-13.15425,7.30024999999,5.30299999998,3.65025,-13.292,-7.1625,-9.15983333333,-6.61158333335
204.98,-0.603916666665,-16.3044166667,-4.34791666667,13.7680833333,14.1906666667,10.1449166667,-4.58933333335,0.422666666667,1.38891666668,-0.482999999993
205.36,3.25041666666,-11.8793333333,-0.70925,17.1986666667,16.72575,12.1158333333,-0.650250000015,2.24583333333,6.02841666665,0.827416666657
205.74,5.01133333333,-8.89616666665,-0.844583333333,15.5405,14.92125,7.15091666666,2.02691666668,1.06983333335,6.24991666667,2.53366666668
206.12,11.5268333333,0.948083333333,4.24150000001,19.9601666667,21.4570833333,12.4251666667,12.8744166667,9.78033333333,12.575,10.0799166667
206.50,5.92225,-2.77775,-0.262083333335,17.4004166667,17.5053333333,6.70858333333,12.8406666667,4.35008333333,9.06708333332,7.23283333335
206.87,10.8854166667,1.92708333334,3.59374999998,23.0729166667,22.8125,14.1666666667,19.53125,7.49999999999,16.1979166667,12.5
207.25,20.64175,12.3563333333,12.8831666667,31.705,33.2375833334,24.0900833333,26.48475,18.2470833333,26.5803333333,20.9290833333
207.63,22.3684166666,12.71925,12.6096666667,33.99125,35.5810833333,25.4385833333,29.8245833333,19.90125,30.3180833333,21.32675
208.01,23.36825,12.2961666667,15.96725,35.7224166666,34.8484166667,28.0886666667,31.0604166667,22.4360833333,31.0024166666,21.2703333333
208.39,24.1356666667,8.76558333335,16.54325,34.4445,31.6049166667,25.4939166667,30.3703333333,20.9878333333,30.6171666667,21.3579166667
208.77,14.9573333333,0.284916666665,6.55266666668,25.1425833334,20.584,14.886,22.0085833333,10.1851666667,19.37325,10.18525
209.14,10.0001666667,-7.93641666664,-1.11100000001,17.9365,12.0635,4.84116666667,15.9524166667,1.74608333332,10.7141666667,3.17458333333
209.52,3.271,-12.0715833333,-6.62008333335,10.2804166667,6.07483333333,0.0777499999917,12.2275,-4.59508333333,0.85675,-4.67291666666
209.90,-3.59641666668,-17.456,-12.1051666667,9.03525000003,2.36833333335,-2.45625,7.71916666669,-5.96491666666,-4.56133333332,-9.82458333333
210.28,-4.3650833333,-23.2143333333,-16.8650833333,6.746,-1.09133333335,-1.28974999997,-1.28966666668,-7.53974999998,-5.75391666667,-13.2936666667
210.66,-1.02991666668,-16.105,-13.296,7.30341666667,1.40458333332,2.71541666667,-3.08983333333,-1.03,-1.68558333333,-12.1721666667
211.03,-7.56808333333,-18.7075833334,-17.00675,-1.44566666667,-7.39808333333,-3.91150000001,-10.37425,-5.18708333333,-7.483,-16.75175
211.41,-21.8864166667,-36.813,-33.3333333333,-19.7801666667,-27.5640833333,-21.9780833333,-24.3589166667,-21.8864166667,-25.18325,-30.5861666667
211.79,-19.9206666667,-30.23825,-30.7936666667,-15.6348333334,-25.9524166667,-17.8570833333,-24.6825833333,-19.3651666667,-22.77775,-26.3490833334
212.17,-13.9908333333,-22.24775,-27.2935,-10.0916666666,-20.1833333333,-13.4556666667,-20.9480833333,-16.2843333333,-17.2019166667,-19.5718333333
212.55,-19.213,-20.9104166667,-31.4814166667,-12.2685833333,-24.074,-16.8209166666,-29.62975,-20.83325,-20.60175,-25.3085833333
212.92,-16.2318333333,-15.797,-27.46375,-9.42033333333,-16.1594166666,-16.59425,-25.65225,-20.14475,-15.1448333333,-20.2173333333
