wavelength,Back_SalAlbm,Belly_SalAlbm,Breast_SalAlbm,Crissum_SalAlbm,Crown_SalAlbm,DorTail_SalAlbm,Patch10_SalAlbm,Patch11_SalAlbm,Rump_SalAlbm,Throat_SalAlbm,WingTip_SalAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-8.33333333334,55.0,24.1666666667,16.6666666667,8.33333333334,36.6666666667,27.5,5.00000000006,41.6666666667,46.6666666667,16.6666666667
179.16,-8.57133333333,50.4762333333,50.4761333333,45.7143333333,13.3333333333,51.4287,48.5715333333,-4.76193333332,27.6192,46.6666666667,35.2380666667
179.54,-60.0000000001,17.5,-1.66666666674,-49.9999999999,-36.6666666667,24.1666666666,26.6666666668,40.0,-13.3333333334,-3.33333333331,-11.6666666667
179.93,-69.9999999999,-52.0833333333,-28.3333333333,-67.5,-69.1666666666,-30.0,-33.3333333333,-14.1666666667,-46.6666666667,-12.5,-10.8333333334
180.31,-46.8817333333,66.8817333333,57.4194,30.3226,11.8279333333,94.0860333333,40.2151333334,72.4731333333,65.8065333334,68.1722,50.3225333333
180.69,-36.0976,56.5853333333,57.5610666667,35.2844,18.0486666667,89.2682333333,43.5773333333,71.3820666666,61.1382666667,60.4878666667,50.7317999999
181.07,-23.7208666667,62.6354666667,68.9921333333,51.938,31.0077333333,103.410766667,53.7984000001,96.7442666667,65.8914666666,64.6513333333,60.9301333334
181.45,-41.6667333333,56.3889000001,63.5184000001,49.8149333333,28.1481333333,111.9445,42.0370666667,122.037133333,64.0741333333,60.3704666667,61.4814000001
181.83,-101.0526,69.9999666667,79.9999999999,64.9123333334,20.3507999999,194.3861,28.4211333333,213.684266667,80.3508666666,91.2280666667,82.8069333333
182.21,-72.2222666667,83.3333333334,90.3703999999,113.333333333,52.9630000002,234.0741,32.5927333333,245.185133333,98.1481333333,94.4444666669,82.9630666666
182.59,-48.6273333334,85.0980333334,105.098133333,147.0588,65.0981333333,272.745166667,42.7450666666,276.862666667,96.4706000001,99.6077333334,98.0392666666
182.97,-59.0,52.8333333333,55.9999999999,107.333333333,44.0000000001,243.5,56.3333333334,229.666666667,59.3333333333,74.3333333334,70.6666666668
183.35,-34.0000000001,71.0000000001,56.6666666667,125.0,77.6666666668,259.666666667,87.0000000001,251.333333333,92.0000000001,92.6666666667,88.6666666667
183.73,-67.9999999999,72.2221000001,44.4445333332,147.555533333,90.2223333335,330.889,71.9999333333,296.0,102.6668,98.6666666667,89.3334000001
184.11,-215.555466667,-29.1667333335,-89.4443999999,103.3332,-15.0000666667,281.666666667,-31.111,241.666666667,-27.2222000003,-12.7778666668,-32.2220666666
184.49,-541.111133333,-209.444466667,-275.555533333,121.1112,-158.888866667,369.444533333,-192.222266666,381.111199999,-253.333266667,-141.111066667,-166.666666667
184.87,380.0,173.703633333,257.777733333,-55.5554666667,116.2962,-198.518566667,183.703666667,-206.666733333,245.185266667,124.444533333,162.962866667
185.25,167.222266667,108.333266667,132.500066667,11.9444666667,65.2778,-25.6945,104.1668,-28.0555333334,121.666666667,73.0555333333,92.2221333333
185.63,155.555533333,100.694433333,123.8888,6.66673333326,45.0000000001,-26.8055333332,81.3888666667,-31.1110666665,106.944466667,54.4444,93.6112000001
186.01,864.999999999,436.666666667,573.333333333,-226.666666666,38.3333333335,-253.333333332,325.0,-273.333333333,408.333333333,116.666666666,376.666666667
186.39,-3286.66666667,-1046.66666667,-1626.66666667,1333.33333333,200.0,1500.0,-806.666666666,1486.66666667,-1273.33333333,366.666666665,-940.0
186.77,-90.1586666668,21.1111333333,-11.7460666667,138.0952,84.7619999999,123.650666667,33.6507333333,139.6824,13.9682,88.8889333333,19.9997999999
187.15,-50.9524,23.8094,11.9048,116.666533333,78.5714666665,91.9048333334,27.3807999999,106.428733334,29.0476,79.0476666667,24.7619333334
187.53,-31.3726,19.3137,27.0588666667,94.3136666667,72.5489333334,75.6863999998,17.6469999999,94.5097333333,20.0000666667,73.9216,20.9803999999
187.91,-28.125,15.8333333333,38.9583333333,96.4583333335,86.875,80.7291666669,24.7916666667,112.083333333,13.125,87.0833333334,26.4583333334
188.29,29.5,50.9166666667,81.1666666666,117.333333333,120.333333333,111.25,71.5,140.666666667,67.3333333334,115.166666667,70.1666666666
188.67,50.9333333333,72.4666666667,95.7333333332,121.466666667,135.333333333,123.333333333,93.7333333332,140.533333333,87.4666666666,129.6,87.6000000001
189.05,65.5914666667,76.8817,100.967666667,118.172066667,130.7528,113.655933333,93.1182,128.817333333,92.1504666667,125.698933333,89.1398666667
189.43,77.8083333333,82.7397333334,104.2922,115.525066666,126.9406,116.6667,94.9771999999,125.2968,93.0593333334,125.570866667,91.8721333333
189.81,81.9999999999,85.4583333333,105.5,119.666666667,124.5,118.416666667,95.4166666667,122.416666667,94.7499999999,126.916666667,98.75
190.19,97.5492000001,98.9705333334,126.1764,141.470666667,146.274533333,138.088233333,113.235333333,141.470533333,104.0198,146.274466667,115.980466667
190.57,114.999933333,106.071366667,148.928533333,162.262066667,174.5238,153.571433333,135.357133333,164.2858,122.857133333,168.690466667,137.380866667
190.95,117.454466667,104.3032,148.484733333,163.272666667,177.697,155.333233333,132.4848,159.030266667,121.212066667,169.212,135.2728
191.33,135.483933333,121.182833333,157.742,171.827933333,187.741866667,163.6561,138.387066667,163.870933333,126.344133333,172.258066666,144.193466667
191.71,143.737466667,131.212133333,163.0302,183.434333334,193.030266667,164.3939,143.3334,166.262666667,131.717266667,178.0808,155.757533333
192.09,135.358666667,124.6835,149.7046,170.0422,172.405066667,149.198433333,133.417733333,152.489533333,125.400866666,167.173066667,143.3756
192.47,120.536466667,118.7357,138.084266667,161.1494,157.394533333,137.7012,121.839,139.080333333,114.482733334,156.781666667,135.172466667
192.85,118.473933333,116.5864,137.1888,162.329333334,157.429666667,137.510033333,119.357533333,142.570266667,112.530066667,152.610466667,134.618533333
193.23,108.916666667,110.541666667,126.166666667,153.166666667,145.0,131.583333333,113.333333333,137.666666667,105.166666667,148.916666667,129.166666667
