wavelength,Back_TanGyrm,Belly_TanGyrm,Breast_TanGyrm,Crissum_TanGyrm,Crown_TanGyrm,DorTail_TanGyrm,Patch10_TanGyrm,Patch11_TanGyrm,Patch12_TanGyrm,Patch13_TanGyrm,Rump_TanGyrm,Throat_TanGyrm,WingTip_TanGyrm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,155.0,-6.6666666666,60.0,43.3333333333,130.0,101.666666667,126.666666667,-19.9999999999,83.3333333332,95.0,50.0000000001,21.6666666666,91.6666666666
179.16,74.2858000001,43.8095333333,49.5239333333,21.9046666667,73.3333333333,61.4285333333,61.9048000001,37.1428666667,61.9048,6.66666666666,76.1904,-2.85706666659,87.6190666668
179.54,174.666666667,113.333333333,197.333333333,160.0,218.666666667,192.0,230.666666667,154.666666667,130.666666667,146.666666667,149.333333333,210.666666667,184.0
179.93,266.666666667,79.9999999998,413.333333333,233.333333333,386.666666667,200.0,379.999999999,-120.0,246.666666667,6.66666666666,333.333333333,253.333333333,360.0
180.31,284.444533333,68.3333333332,246.666733333,218.3334,346.1112,285.555566667,404.444533333,125.555533333,216.666533333,102.777866667,207.222133333,158.8888,427.7778
180.69,585.714266667,141.904733333,499.047666667,440.0,698.095266667,536.1905,795.238066666,255.2382,448.571533333,208.571333333,414.285666667,325.7142,816.190466666
181.07,-367.407466667,-75.5555333334,-331.111066667,-300.000066667,-445.1852,-318.888766667,-565.185266667,-192.592533333,-287.407266667,-71.8518,-263.703733333,-211.111133333,-597.037066667
181.45,-245.238133333,-42.3808666667,-237.619066667,-208.095266667,-284.285733333,-214.285833333,-397.143,-120.476266667,-163.809533333,-38.5714666666,-145.714333333,-154.761866667,-387.618933333
181.83,-97.9487333333,17.4357333333,-79.9998666668,-75.3847333334,-108.718066667,-77.0512000001,-167.948733333,-18.9744,-48.9743333335,33.8462666667,-29.9999999999,-35.3845999999,-178.9744
182.21,-129.066666667,2.13333333332,-100.0,-99.7333333333,-131.2,-107.866666667,-189.066666667,-56.5333333334,-72.2666666665,13.0666666667,-37.8666666665,-53.5999999999,-213.6
182.59,-185.0,-25.3333333333,-160.0,-137.333333333,-183.666666667,-144.166666667,-260.0,-83.0,-99.0000000001,-33.6666666666,-60.6666666669,-67.6666666667,-278.0
182.97,-127.7778,0.5556,-108.888866667,-91.6666,-130.5556,-101.111066667,-195.555466666,-29.4444666667,-55.5556000001,-19.1664666667,-17.2222666666,-26.3888666667,-203.055533333
183.35,-116.1112,42.5000000001,-72.4999333333,-69.1666000001,-108.333333333,-57.3610333333,-171.666733333,20.5556666667,-26.9445333334,10.2778,15.2777333335,10.8333333333,-163.6112
183.73,-58.6666,55.2381333333,-14.4762000001,-24.1905333333,-43.8095333334,-14.2856333333,-88.7618666667,52.1905333333,8.76179999994,43.8094000001,34.8570000001,30.4760666667,-89.1429333335
184.11,-150.333333333,53.3333333334,-64.6666666667,-89.3333333333,-113.0,-63.3333333334,-202.333333333,43.6666666666,-30.3333333336,54.3333333334,17.0,21.3333333333,-200.0
184.49,-133.066666667,36.2666666667,-50.6666666667,-90.6666666668,-93.6,-40.2666666667,-152.8,24.5333333333,-23.7333333334,38.9333333334,16.5333333332,31.4666666667,-161.866666667
184.87,-92.7778666667,82.4999333333,-10.8332666667,-50.2778666666,-43.3331333335,4.02776666674,-119.999933333,70.0000000001,29.1666666666,85.0000666667,67.7777333331,81.6666666667,-130.5556
185.25,-526.666666667,200.0,-118.889,-364.444466667,-258.888933333,-137.2222,-602.2222,191.111133333,13.3334000002,210.0,143.333333333,242.2222,-673.333333334
