wavelength,Back_NesAcum,Belly_NesAcum,Breast_NesAcum,Crissum_NesAcum,Crown_NesAcum,DorTail_NesAcum,Rump_NesAcum,Throat_NesAcum,WingTip_NesAcum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,108.333333333,-25.0,45.8333333333,4.16666666665,8.3333333333,39.5833333333,6.25,8.3333333333,-22.9166666667
179.16,66.6666666668,650.0,150.0,650.0,450.0,66.6666666667,408.333333335,550.0,533.333333333
179.54,83.3333333332,180.0,100.0,216.666666667,173.333333333,203.333333333,210.0,203.333333333,153.333333333
179.93,308.333333333,750.0,516.666666667,666.666666667,166.666666666,566.666666666,391.666666667,283.333333334,433.333333334
180.31,18.5185,685.185333333,187.037,542.5925,379.629666666,414.814833333,423.148166667,442.592833333,533.3335
180.69,-3.09195997144e+14,4.00888603194e+15,5.54420408673e+14,2.82541169804e+15,1.82319019006e+15,2.04709073972e+15,2.15371004908e+15,2.43092025341e+15,2.84673555992e+15
181.07,99.9999999998,755.0,206.666666666,566.666666667,385.0,463.333333334,428.333333333,480.0,583.333333333
181.45,97.4358333335,585.897333333,164.102666667,460.256333333,297.436,430.769166667,331.410166667,357.692333333,441.0255
181.83,258.333333334,3683.33333334,741.666666667,2250.0,1391.66666667,2258.33333334,1604.16666667,1841.66666667,2616.66666666
182.21,-4.1666666667,775.0,27.0833333333,360.416666667,254.166666667,454.166666666,351.041666667,404.166666667,614.583333333
182.59,-9.16666666665,290.0,31.6666666667,132.5,100.0,147.5,130.0,167.5,227.5
182.97,-61.1111666666,590.740666667,-1.85166666665,249.999833333,140.740666667,301.852,275.0,314.814833333,477.777833333
183.35,-16.6666666665,-1123.33333333,70.0,-463.333333333,-133.333333333,-533.333333333,-456.666666665,-453.333333333,-876.666666667
183.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.11,169.4445,-944.4445,175.0,-261.111166666,-86.1111666665,-352.777833333,-288.888916666,-361.111,-611.111333333
184.49,35.0,-633.333333333,55.0000000002,-156.666666667,-38.3333333333,-285.0,-193.333333333,-270.0,-380.0
184.87,41.6666666665,1537.5,-33.3333333333,479.166666667,204.166666667,808.333333333,477.083333332,762.499999999,1100.0
185.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.63,16.6666666665,-1811.11083333,233.3335,55.5555,150.0,-544.444166666,-355.555499998,-983.333333333,-1355.55566667
186.01,-4.166666667,-455.5555,63.8888333332,20.8335,45.8333333333,-150.0,-95.1389166665,-284.722333334,-306.944333334
186.39,11.5943333333,-233.333333334,19.5651666667,-19.5651666668,4.34783333334,-86.9566666666,-21.0145,-148.550833333,-162.318666667
