wavelength,Back_SpoLinm,Belly_SpoLinm,Breast_SpoLinm,Crissum_SpoLinm,Crown_SpoLinm,DorTail_SpoLinm,Patch10_SpoLinm,Patch11_SpoLinm,Patch12_SpoLinm,Rump_SpoLinm,Throat_SpoLinm,WingTip_SpoLinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,84.3333333332,67.3333333334,48.6666666667,98.6666666667,95.3333333331,69.6666666667,103.333333333,83.3333333335,97.9999999999,106.0,82.6666666666,66.6666666667
179.16,54.7619333333,37.1428000001,36.1904666667,36.1906,8.57146666666,49.0476333333,50.4760666666,65.7142666667,73.3333333333,48.5714666666,38.0952,27.6189333333
179.54,-31.6666666668,-23.3333333333,126.666666667,-23.3333333335,-29.9999999999,-73.3333333334,63.3333333334,156.666666667,-180.0,60.0000000001,-16.6666666665,150.0
179.93,-126.666666667,-113.333333333,280.0,60.0,40.0,43.3333333335,-180.0,140.0,-300.0,-186.666666667,46.6666666667,-73.3333333334
180.31,99.5918666667,86.8027333335,51.7007333334,74.6939333333,75.7823333333,86.5986666668,98.9115333333,53.0612,106.666666667,86.1225333333,74.0136666667,38.7752666667
180.69,76.9641999999,65.4761333333,28.5714,55.9524666667,53.0952666667,67.1428333334,79.2858000001,32.8572666667,84.2858,67.619,54.4046666666,24.4046666667
181.07,68.5255666666,61.7948,14.8718,43.9744,36.0256,63.5255333333,72.1794666666,19.8718,71.7950000001,49.3590666667,41.5384666667,13.4615333333
181.45,62.2221999999,52.3078000001,-7.52133333335,30.9403333334,20.1710666666,56.2392000001,66.8376000001,-14.8717333333,58.9743999999,34.5299333333,20.6837333334,-11.4528666667
181.83,42.2666666665,18.6666666667,-57.0666666668,-10.1333333333,-23.9999999999,22.8,65.0666666667,-74.9333333333,31.7333333335,1.8666666666,-19.9999999999,-68.2666666667
182.21,32.6315333332,14.7368,-82.4559999999,-26.3158666667,-54.3859333333,26.1403666666,58.9472666668,-114.035,14.0350666665,-21.7544666668,-55.0878,-116.842133333
182.59,59.0196666666,18.8235333333,-58.0392000001,3.92139999994,-43.1371999999,23.9215999999,76.0784,-111.7646,33.3333333332,-26.2747333335,-41.1763999999,-132.156866667
182.97,39.7436666666,-11.7948666668,-134.8718,-7.17940000006,-107.1796,-24.6153333332,58.4616,-164.615466667,20.0000000001,-78.4615333332,-79.4871999999,-205.640866667
183.35,-56.1112,-171.111133333,-519.999933333,-135.555533333,-433.333333334,-201.111233333,-33.3335333333,-545.5556,-145.555533333,-386.666666666,-264.444533333,-509.999933334
183.73,-6.48163333338,-60.3703333331,-165.185266667,-53.3332,-168.148066667,-65.5555666668,-11.8519333332,-177.407333333,-39.6295333334,-128.888933333,-75.9260000001,-147.777733333
