wavelength,Back_ConMarf,Belly_ConMarf,Breast_ConMarf,Crissum_ConMarf,Crown_ConMarf,DorTail_ConMarf,Rump_ConMarf,Throat_ConMarf,WingTip_ConMarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,183.333333333,-166.666666667,383.333333333,-700.0,-133.333333333,-161.764705882,166.666666666,-666.666666667,-250.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,-103.333333334,110.0,23.3333333333,-56.6666666668,-10.0,-60.1960784314,-16.6666666667,-79.9999999999,13.3333333333
179.93,-216.666666667,158.333333333,-58.3333333335,-91.6666666665,-83.3333333335,-171.078431373,-150.0,-450.0,-91.6666666665
180.31,124.479,49.219,89.5835000001,122.135166666,85.1563333332,150.428745098,86.1978333335,159.635333334,112.760333333
180.69,117.3335,43.7776666667,81.7778333334,107.111,77.7780000002,136.496794118,78.2223333333,146.222333333,106.4445
181.07,123.931833333,43.1621666667,97.436,94.2306666666,78.6323333332,135.683745098,78.8461666666,143.589666666,109.828833334
181.45,118.421166667,52.6316666667,94.2105,94.386,77.544,117.998078431,81.5791666667,137.894833334,102.982333333
181.83,103.125,52.0831666667,89.2856666667,87.7975,71.8748333333,105.103176471,75.2975,120.6845,93.1546666668
182.21,102.966,55.6496666666,90.8193333331,90.8191666667,73.5876666666,104.503176471,75.0,113.700666667,93.7851666668
182.59,104.559833333,53.931,93.7106666669,93.2388333333,76.1008333334,106.039637255,75.629,113.993666667,98.2703333335
182.97,108.865166667,54.4326666667,99.9999999998,93.7941666666,77.4821666668,108.3125,77.305,119.148833333,106.205833333
183.35,122.538,57.5758333333,117.802833333,110.227333333,82.5756666666,120.989401961,91.8561666666,130.303,125.3785
183.73,128.838833334,65.1686666666,128.839,114.794166667,88.5768333335,120.070607843,100.3745,137.453166667,138.763833334
184.11,137.111,64.4445,140.222333333,123.777666666,85.9999999999,116.71895098,100.222166667,145.333166667,146.0
184.49,129.999833333,60.7143333333,142.143,117.143,77.1428333332,109.510127451,104.047666667,141.666666666,143.3335
184.87,124.458833333,66.0173333333,141.5585,127.7055,76.6236666668,104.023382353,106.277333333,134.8485,140.692666667
185.25,118.0895,62.3985,129.674833334,127.642166667,72.5611666668,96.6762254902,107.5205,124.796833333,131.300833334
185.63,124.324333333,58.3335,132.882833334,129.729666667,72.9731666668,96.104901961,107.657833333,130.630666666,134.009
186.01,122.297333333,59.91,132.207166667,122.072,69.1440000002,85.7578333333,105.180166666,135.135166667,135.135166667
186.39,104.166666667,49.5371666667,118.518666667,99.7686666667,43.9814999999,66.380754902,88.6574999999,124.305666667,121.064833333
186.77,103.448333333,41.3793333333,136.206833333,93.9656666667,22.7011666669,58.485509804,89.0803333332,141.954,138.218333333
187.15,86.154,24.8716666667,111.282,80.2563333333,0.000166666650003,41.0405882353,62.3076666668,119.743666667,108.461666667
187.53,68.93,14.4033333333,79.0121666669,61.3168333334,-3.49783333335,19.7167843137,40.7406666667,91.5638333334,74.8973333334
187.91,45.098,-5.09783333334,52.1568333334,35.8823333333,-24.902,-4.68269607843,18.0391666666,67.0588333335,45.2941666666
188.29,28.1363333333,-12.1865,36.5593333333,21.147,-35.6631666666,-11.3640294117,11.2903333334,50.3583333333,40.6808333333
188.67,10.2308333334,-21.1218333334,20.4621666667,16.3368333333,-42.4093333333,-26.0918823529,-9.73583333335,35.8085,26.7328333333
189.05,-6.78283333335,-44.3798333333,11.628,-5.62016666666,-65.6976666667,-45.8161960784,-33.9148333333,25.7751666667,17.6356666667
189.43,-25.1893333334,-55.1135,0.37883333335,-23.4848333333,-79.5454999998,-58.6899117647,-50.1893333333,10.7955,8.33316666665
189.81,-61.3921666667,-88.8183333333,-18.3545,-51.055,-118.565333333,-88.2600686275,-82.9116666667,-19.1981666667,-10.9705
190.19,-120.967666667,-151.613,-62.0968333333,-98.9248333332,-195.968,-149.288401961,-149.731333334,-73.9246666667,-53.4943333333
190.57,-133.040833333,-177.777833333,-81.2866666667,-111.696,-210.818666667,-174.200235294,-172.514666666,-93.5673333335,-63.7426666666
190.95,-92.3076666668,-125.854833334,-53.2051666667,-64.3165,-143.162333333,-122.649441177,-122.863333334,-76.7094999999,-44.6581666666
191.33,-87.0788333334,-106.554333333,-42.3221666667,-60.4868333333,-117.790166667,-108.460078431,-108.239666667,-71.9101666666,-36.1421666667
191.71,-144.776166666,-160.6965,-72.8855,-111.194,-179.353333334,-162.715921568,-167.661666667,-121.144166667,-66.9153333333
192.09,-224.83,-249.659833333,-134.0135,-182.313,-268.7075,-251.880823529,-259.863833333,-202.380833333,-114.2855
192.47,-279.364833333,-303.968333334,-170.634833333,-242.857166667,-337.301666667,-320.214617647,-321.031666666,-259.126833333,-166.6665
192.85,-466.666666666,-500.640833333,-322.435833333,-458.3335,-577.563833334,-530.693764706,-530.769166667,-461.538666667,-303.846
193.23,-595.454666666,-586.363666667,-417.424166667,-588.636166667,-727.272833333,-657.976852941,-666.666666667,-580.303,-396.9695
193.61,-624.603166667,-609.523666667,-445.238,-611.111166667,-776.984333333,-719.514333333,-723.016,-629.365333333,-433.333333334
193.99,-663.158,-606.140333333,-463.158,-677.193,-816.666666667,-787.409647059,-757.894833333,-678.070333333,-442.105333333
194.37,-480.434833334,-407.246333333,-330.435,-512.318833333,-597.825833333,-567.476421568,-551.449333333,-512.318666667,-276.087166667
194.75,-338.7255,-251.960833333,-207.843166666,-335.294333334,-412.255,-382.324088235,-364.215666666,-347.549,-186.2745
195.13,-1459.25916667,-1099.99983333,-1027.778,-1522.22233334,-1681.48166666,-1612.9630196,-1596.2965,-1509.259,-909.259166667
195.51,1445.0,1063.33333333,1201.66666667,1496.66666667,1663.33333334,1595.39215687,1596.66666666,1595.0,969.999999999
195.89,8.78543109128e+15,6.3971585616e+15,7.51666130988e+15,9.40382308556e+15,1.02781014223e+16,9.90305232232e+15,9.7983145302e+15,1.00435389417e+16,5.66148532702e+15
196.27,-13133.3333334,-9450.00000001,-10766.6666667,-13733.3333333,-15700.0,-14322.5490196,-15016.6666666,-15300.0,-8400.0
196.65,694.736666667,509.649,595.614,694.736666667,793.859833334,749.071039215,827.193166667,822.807,450.000166666
197.03,334.552666667,235.365833334,277.236,311.382166667,361.382,353.849901961,385.366,385.365833333,204.878166666
197.40,376.126166667,271.6215,315.315333334,354.504166667,404.5045,402.623411765,422.071833334,442.792833333,223.423333333
197.78,313.475166667,230.496333333,263.829666666,292.553333334,329.078,319.315686274,333.333333334,360.993166667,197.517666667
198.16,422.549,307.352833334,373.039,383.333333333,453.9215,433.967676471,445.098,512.745166667,291.6665
198.54,362.0155,269.767333333,317.8295,326.357,386.434166667,382.421470588,383.333166667,423.256,267.441833333
198.92,285.119,218.154833333,253.571333333,261.905,301.785833334,303.028823529,311.011833334,336.607333333,215.476333334
199.30,275.706,212.146833334,242.938,258.757,305.649666667,291.226303922,300.565,315.536833333,210.452166666
199.68,268.579166666,208.196833333,218.579,242.623,289.344333333,271.89004902,280.874333333,287.978,206.010833333
200.06,258.8385,190.404,204.797833334,223.484666667,271.464666666,253.698696079,261.868833333,264.6465,203.535166667
200.44,296.045333334,198.870166667,226.553833333,253.6725,299.152666666,295.015205883,294.067666667,298.305166666,231.0735
200.82,353.333333333,221.333333333,263.666666667,308.666666667,358.666666667,344.078431373,352.333333333,357.333333334,277.333333334
201.19,369.047666666,234.694,273.4695,333.333333334,373.469333333,358.5435,376.870833333,375.850333333,297.619333333
201.57,317.231666667,191.243,230.225833333,274.293833333,306.497,304.120852941,320.903833334,316.101666667,271.186166667
201.95,328.869166666,179.464333334,241.666666667,277.678666667,313.690666667,317.034382353,338.0955,329.464166666,292.559666667
202.33,298.437333334,157.812333334,211.458166667,244.7915,276.041333334,280.606431372,308.333166667,289.062333333,254.1665
202.71,379.514,187.5,265.277833333,311.458333333,352.083333333,353.513088235,403.472166667,367.7085,323.263833333
203.09,407.037,195.5555,281.110833333,339.629666666,384.073833334,365.751480392,422.962833333,397.777833333,349.6295
203.47,644.4445,252.469166666,424.691333333,511.111333333,580.246833333,543.355058824,651.851833334,616.666833333,537.036833333
203.85,733.333333333,294.444333334,503.472166667,607.639,681.9445,633.374176471,779.861,735.416666667,633.333333333
204.22,726.0,301.333333334,515.333333334,614.0,686.0,639.725490196,784.0,747.333333333,631.333333333
204.60,1196.66683333,470.0,842.222,1007.77766667,1095.5555,1010.0652451,1254.44433334,1206.6665,1045.5555
204.98,820.289833333,349.999833333,574.637666667,679.71,735.507333333,685.081019608,839.130333333,802.898333333,717.3915
205.36,971.052500001,390.350833334,666.6665,766.666666666,863.157833333,783.023656863,968.420666668,897.3685,832.456
205.74,1375.0,564.286,992.857166667,1061.90466667,1258.33333333,1089.14553922,1348.8095,1255.95233333,1158.33316667
206.12,865.2175,378.985833333,632.608666667,693.478,810.145,687.894137255,861.594,793.478333333,699.275333333
206.50,476.086833333,232.971,361.231833333,397.464,451.8115,388.704107843,467.391333333,434.420333333,401.087
206.87,404.970833333,208.772,313.450333333,334.795333334,378.947333334,329.170950981,387.719166666,371.637666666,344.152
207.25,414.881,220.535666666,323.809666666,330.654666667,379.762,330.724754902,398.8095,372.916666666,345.238166666
207.63,487.234,251.773,375.177333333,377.304833333,435.106333333,385.168960784,457.447,438.652666667,406.383
208.01,496.666666666,235.925833334,365.926,379.63,416.296333334,371.525186275,445.185166666,433.703833333,390.740833334
208.39,361.4755,164.480666667,254.371833334,270.491833334,293.1695,264.336264706,316.120333333,310.928833333,281.420833334
208.77,272.352833333,128.235333333,194.705666667,199.019833334,221.960666667,201.303235294,238.431333333,232.353,212.549
209.14,288.7445,125.3245,211.255333333,210.606,240.043333333,212.541519607,252.380833333,242.424166667,224.675333334
209.52,385.849,147.484333333,283.333333334,280.8175,330.503333333,286.718617647,339.308166667,337.107166667,303.773666666
209.90,368.238833333,136.163666667,266.981,279.559666666,308.804833333,277.062480392,325.786,322.956,285.849
210.28,405.434666666,141.666833333,293.115833333,301.449166667,334.420166667,295.971980392,346.739166667,348.550833334,314.492833333
210.66,569.444333334,176.111166666,400.0,409.4445,457.222333333,379.44454902,475.555666667,492.777833333,424.444333334
211.03,460.360333333,145.4955,308.5585,323.874,372.972833334,295.548372549,373.873833333,384.234166667,331.5315
211.41,400.397,106.349333333,260.3175,278.571166666,318.650833334,256.559313725,318.650666667,331.746,289.682333333
211.79,439.639666667,119.819833333,277.928166667,315.315166667,360.3605,295.707392157,354.054166667,373.423333333,301.802
212.17,542.528666667,159.1955,358.046,371.839166667,468.390833334,379.344137254,436.207,454.023,379.310333333
212.55,1109.52383333,327.380833333,776.1905,758.3335,966.666666665,749.299872549,917.857,916.666666667,788.095333333
212.92,-7350.0,-2166.66666667,-5258.33333334,-5325.0,-6433.33333334,-5293.62745098,-6350.0,-6141.66666667,-5250.0
213.30,-640.476,-165.873166667,-434.127,-476.1905,-528.571333333,-451.493901961,-557.936333333,-531.746,-434.920666666
213.68,-2477.77766666,-802.777666665,-1747.22216667,-1800.0,-1947.22233333,-1752.94117647,-2108.33333334,-2022.22216667,-1663.889
214.06,-1343.33333334,-338.333333333,-978.333333333,-953.333333335,-1075.0,-915.392156865,-1161.66666666,-1111.66666667,-895.0
214.44,-864.583333333,-223.958333333,-644.791666667,-623.958333333,-691.666666667,-580.024509804,-763.541666667,-740.625,-578.125
214.81,-1066.66666667,-283.3335,-843.589666667,-820.512666667,-898.718,-828.431421569,-1038.4615,-960.256333335,-752.564166667
215.19,-1162.5,-308.333333333,-948.611166665,-974.999999999,-993.055666666,-938.725617646,-1166.66666666,-1098.611,-843.055833333
215.57,-15166.6666666,-4666.66666667,-12033.3333334,-13316.6666666,-12666.6666666,-12759.8039215,-15016.6666666,-14300.0,-11383.3333334
215.95,1234.61516667,414.102666667,1051.282,1083.3335,1051.28216667,1088.38609804,1289.7435,1155.12833333,1008.97433333
216.32,1087.7775,334.444333333,907.777999999,943.3335,933.333166668,963.26801961,1124.4445,999.999833335,931.111166665
216.70,921.296333334,283.333166667,750.0,793.518333333,795.370333333,832.570715686,924.074,828.703666666,778.703666666
217.08,495.238166667,169.524,397.618833333,423.8095,426.666666667,440.700245098,481.428833333,451.904833333,422.381
