wavelength,Back_CyiCyif,Belly_CyiCyif,Breast_CyiCyif,Crissum_CyiCyif,Crown_CyiCyif,DorTail_CyiCyif,Patch10_CyiCyif,Rump_CyiCyif,Throat_CyiCyif,WingTip_CyiCyif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-200.0,-137.82051282,-175.0,-425.0,-183.333333333,-108.333333333,-183.333333333,-275.0,8.333333333,-50.0
179.16,-116.666666667,182.051282052,200.0,-516.666666667,366.666666667,533.333333334,66.666666667,33.3333333335,533.333333333,83.3333333335
179.54,79.1666666669,34.1346153846,95.8333333335,12.5,64.5833333333,50.0,18.75,10.4166666666,58.3333333335,56.25
179.93,63.3333333333,29.1025641025,45.0,3.33333333334,70.0,108.333333334,36.6666666667,36.6666666667,50.0,51.6666666667
180.31,82.184,-2.51988461538,79.3103333334,-108.045666666,55.1723333333,141.953833333,-6.32183333335,-11.4943333333,86.2068333333,103.4485
180.69,78.6458333335,-15.344551282,67.1875,-115.625,37.5,122.916666667,-17.7083333333,-23.4375,58.3333333333,93.7499999999
181.07,94.6428333333,-30.3571153846,66.0715,-136.904833333,34.524,141.071333333,-38.6906666668,-28.5713333334,50.5953333332,108.928666667
181.45,115.625,-13.7419871795,69.2708333333,-96.8749999998,32.8125,140.625,-16.1458333333,-10.4166666666,59.3749999998,113.541666667
181.83,169.166666667,-23.5256410256,82.5,-190.0,31.6666666667,219.166666667,-43.3333333333,-38.3333333333,82.4999999999,158.333333333
182.21,175.0,-58.5737179489,77.0833333333,-255.208333333,4.16666666665,231.25,-82.2916666668,-73.9583333335,72.9166666665,161.458333333
182.59,147.916666667,-63.141025641,59.375,-272.916666667,-42.7083333333,209.375,-100.0,-120.833333333,88.5416666665,118.75
182.97,137.5,-509.294871795,-120.833333334,-1441.66666667,-500.0,470.833333332,-754.166666667,-716.666666666,-87.5,8.33333333335
183.35,25.0,724.67948718,254.166666666,1583.33333333,600.0,-437.500000001,912.500000001,733.333333333,241.666666667,166.666666666
183.73,316.666666667,1537.17948718,383.333333333,3116.66666667,1291.66666666,-741.666666665,1908.33333333,1416.66666666,399.999999998,350.0
184.11,833.333333334,2776.92307692,800.0,5333.33333334,2516.66666666,-850.0,3316.66666667,2500.0,616.666666665,666.666666665
184.49,-8.77216666665,-98.9878076924,-28.9473333333,-223.684,-99.9998333332,29.824333333,-166.666666666,-113.157833334,-25.439,-27.1931666666
184.87,-87.0371666666,-216.239141026,-85.1851666665,-487.037,-233.333166667,88.8886666665,-385.185166667,-233.333333334,-25.9258333335,-127.777833333
185.25,-34.7221666667,-71.4744102564,19.4443333333,-290.277833333,-91.6665000001,113.889,-190.277666666,-120.833,27.778,-108.333333334
185.63,-322.222333333,-271.581256411,-47.2223333331,-641.666833335,-291.666833333,16.666833333,-580.555666666,-422.222333333,-155.5555,-388.888666667
186.01,-158.3335,-99.633705128,-26.1905,-225.0,-117.857166667,44.0476666668,-251.190333334,-147.619166667,-63.0951666665,-109.523666667
186.39,-1083.33316667,-754.700794872,-394.4445,-1283.33333333,-722.222166667,22.222166667,-1466.66683334,-811.111166667,-433.333166667,-711.111166666
186.77,-1550.0,-979.487179487,-400.0,-1766.66666667,-683.333333333,0.0,-2308.33333334,-833.333333333,-741.666666667,-658.333333334
187.15,-227.083333333,-178.846153846,68.75,-289.583333333,-4.16666666665,106.25,-460.416666667,-93.7500000001,-43.7500000001,-50.0
187.53,-2133.33333334,-1070.51282051,300.0,-1983.33333333,-166.666666665,450.000000001,-3783.33333334,-883.333333333,33.333333335,-233.333333335
187.91,602.777666666,432.905884615,241.666833333,574.999833333,308.333333333,166.666666667,947.222166665,300.000166667,252.778,330.5555
188.29,260.0,194.615384616,46.6666666667,306.666666666,156.666666666,5.0,581.666666667,110.0,128.333333333,135.0
188.67,96.5518333334,80.9903717947,32.7585,128.735666667,98.2758333333,30.4598333333,242.528666667,68.3908333334,51.1495000001,72.9883333335
189.05,87.7191666665,85.695,-16.6666666667,158.772,88.5966666668,9.64933333335,316.666666667,67.544,17.544,55.2629999998
