wavelength,Back_BanAurf,Belly_BanAurf,Breast_BanAurf,Crissum_BanAurf,Crown_BanAurf,DorTail_BanAurf,Patch10_BanAurf,Patch11_BanAurf,Patch12_BanAurf,Rump_BanAurf,Throat_BanAurf,WingTip_BanAurf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-15.5556666667,20.0,-17.778,20.0,37.778,26.6666666667,-8.88866666667,8.889,-2.22233333333,26.6666666667,2.222,62.2223333333
179.16,-77.7776666667,-61.1113333333,-116.666666667,-49.9996666667,0.000333333333335,-22.222,-88.8886666667,33.3333333333,-61.1113333333,-88.8886666667,-94.4443333333,72.222
179.54,-33.3333333333,-66.6666666667,-1100.0,-233.333333333,133.333333333,366.666666667,-233.333333333,-33.3333333333,-333.333333333,133.333333333,-566.666666667,566.666666667
179.93,90.909,48.485,136.363666667,127.272666667,57.5756666667,87.879,118.181666667,127.272666667,142.424,66.6666666667,109.091,48.4846666667
180.31,219.444666667,181.944666667,373.611,270.833,108.333333333,172.222,343.055666667,201.388666667,329.167,188.888666667,315.277666667,11.111
180.69,166.666333333,145.945666667,260.360666667,214.414666667,92.7926666667,137.837666667,253.153,155.855666667,226.126,145.945666667,239.64,12.6126666667
181.07,103.431333333,103.921333333,153.921666667,136.764333333,77.9413333333,95.5883333333,154.902,103.431333333,134.313666667,104.902,151.960666667,33.3333333333
181.45,99.187,101.626333333,143.902333333,125.609666667,83.3333333333,100.000333333,137.804666667,110.569,128.048666667,95.935,140.650333333,43.496
181.83,106.802666667,101.020666667,123.809333333,115.646333333,85.7143333333,101.700333333,132.653333333,107.483,114.966,100.0,128.911666667,49.32
182.21,109.240666667,115.841666667,124.752333333,120.462,95.0496666667,114.191333333,136.303666667,112.211333333,116.501666667,111.881,136.303333333,56.766
182.59,107.261,119.472,131.353,132.343333333,101.98,120.132,142.244333333,121.452333333,120.461666667,119.142,142.904333333,66.3366666667
182.97,110.091666667,118.960333333,131.804333333,132.721666667,113.455666667,123.547333333,145.26,118.042666667,118.348666667,125.382,148.624,69.419
183.35,104.724333333,109.711,119.685,122.834666667,110.236,113.386,130.708666667,106.299333333,107.349333333,121.785,143.044666667,66.6666666667
183.73,93.3333333333,101.111,109.111333333,111.333666667,104.666666667,104.222,113.555666667,100.444333333,100.667,110.888666667,132.0,62.6666666667
184.11,93.6303333333,101.698666667,108.068,110.191333333,105.944666667,104.458666667,107.006666667,97.6643333333,94.0553333333,111.889666667,125.477666667,60.934
184.49,93.249,101.899,108.860666667,107.384,107.173,107.384,98.5233333333,97.89,90.717,108.65,118.987,61.3923333333
184.87,90.4473333333,101.626333333,109.959333333,103.862,108.333,107.113666667,94.1056666667,97.764,96.3416666667,107.114,115.447333333,61.992
185.25,86.3986666667,98.4673333333,107.28,102.107333333,105.555666667,104.981,90.0383333333,94.8276666667,97.318,102.682333333,111.686,59.3873333333
185.63,82.4563333333,91.9296666667,102.807,98.421,103.157666667,94.9126666667,85.4386666667,85.7896666667,93.5086666667,100.701666667,102.456,57.895
186.01,77.1836666667,89.483,102.495666667,101.782333333,103.921666667,96.613,83.2443333333,85.5613333333,98.0393333333,99.4653333333,101.782333333,58.4673333333
186.39,75.5793333333,85.2053333333,100.356333333,96.9696666667,101.604333333,90.731,75.5793333333,79.1443333333,95.544,95.009,98.3956666667,54.902
186.77,75.622,81.9236666667,94.3616666667,91.0446666667,99.171,87.0646666667,72.305,74.6266666667,92.0396666667,93.3663333333,96.02,56.3846666667
187.15,68.7503333333,76.442,86.6986666667,87.8206666667,89.5833333333,83.4936666667,68.269,71.314,87.1796666667,89.423,85.8976666667,54.9683333333
187.53,70.3333333333,82.8333333333,91.3333333333,90.8333333333,91.3333333333,87.1666666667,69.3333333333,75.8333333333,93.3333333333,91.6666666667,85.6666666667,58.5
187.91,76.3073333333,86.111,94.608,90.5226666667,92.3203333333,90.523,72.3853333333,78.4313333333,96.2416666667,94.1173333333,90.1963333333,62.4183333333
188.29,74.922,82.7103333333,94.081,89.0963333333,92.6793333333,90.031,69.938,82.5543333333,97.508,93.9253333333,89.7196666667,60.4363333333
188.67,70.1836666667,78.5933333333,86.85,84.098,88.838,85.168,64.22,77.982,96.0246666667,92.8133333333,86.0856666667,55.9633333333
