wavelength,Back_PooCabm,Belly_PooCabm,Breast_PooCabm,Crissum_PooCabm,Crown_PooCabm,DorTail_PooCabm,Patch10_PooCabm,Patch11_PooCabm,Patch12_PooCabm,Rump_PooCabm,Throat_PooCabm,WingTip_PooCabm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-53.3333333333,-75.5556000001,17.7776666666,-104.4444,-15.5554000001,13.3332666667,-91.1110666668,-48.8888666667,-53.3332000001,-64.4445999998,-104.444466667,-26.6665999999
179.16,120.0,206.666666667,1.9999788492e-10,173.333333333,40.0,30.0000000001,203.333333333,43.3333333334,136.666666667,173.333333333,166.666666667,-10.0000000001
179.54,-57.3333333333,-97.3333333334,-29.3333333334,-52.0000000001,20.0,-22.6666666667,-98.6666666668,-28.0,-42.6666666667,-77.3333333333,-67.9999999999,17.3333333333
179.93,-26.6666666667,-37.0369999999,14.074,-18.5185333333,9.62946666666,-24.4444666667,-22.2221333333,-1.48146666668,8.88886666672,-40.7406666666,-55.5556666667,10.3703333333
180.31,30.3448000001,-4.8276,88.9655333333,-7.1264666666,125.5172,64.3677333335,-27.3563333333,88.0459999999,45.5174,8.27586666659,0.919533333334,91.2644666666
180.69,1.90480000001,-34.5238000001,68.8096666666,-38.5714666667,118.571466667,40.7141333333,-63.5715333334,79.0474666666,23.5715333333,-10.7143333333,-25.4762000001,75.2381333334
181.07,-4.76199999995,-38.8095999999,54.5238666667,-31.4286,132.857066667,41.6667999999,-66.4285333332,87.1427999999,25.4761333333,-15.7144000001,-24.9999333333,87.1428666667
181.45,11.1764,-12.9412666667,52.3528000001,-4.5098,128.627466667,44.1177333334,-51.1766000001,87.8431333333,39.8038666667,0.196066666667,-3.52953333332,92.3529333332
181.83,23.4407999999,10.1075333333,65.1611333334,9.24733333334,144.301066667,55.2687333333,-47.3119333334,105.806466667,56.3441333333,18.7096666667,11.1828,106.666533333
182.21,48.2050666666,46.1539333332,95.8973999999,29.4871333333,189.487133333,92.0513333334,-40.5127999999,142.820533333,82.8203999999,55.1281999999,47.1795333332,134.615333333
