wavelength,Back_PooCabm,Belly_PooCabm,Breast_PooCabm,Crissum_PooCabm,Crown_PooCabm,DorTail_PooCabm,Patch10_PooCabm,Patch11_PooCabm,Patch12_PooCabm,Rump_PooCabm,Throat_PooCabm,WingTip_PooCabm
182.59,36.5217333334,26.9565333332,77.3912666667,8.116,184.637733333,77.3912666668,-66.6667333332,129.565266667,69.2753999999,51.3042666667,28.4058666667,130.434733333
182.97,24.2425333333,16.3637333334,123.030266667,-20.6060666668,316.3636,151.515333333,-158.181866667,204.8486,98.7878666667,75.1515333333,12.7273333333,253.3332
183.35,-8.33333333335,-0.83333333334,51.6666666667,-24.1666666667,197.916666666,97.4999999999,-135.0,117.916666667,25.0000000001,47.9166666668,-3.33333333333,158.333333333
183.73,13.5416666668,19.1666666667,35.4166666667,9.58333333334,120.625,72.4999999999,-48.9583333333,66.8750000001,29.1666666667,40.8333333333,10.2083333333,96.4583333332
184.11,18.3333333333,23.3334666667,35.4544666667,23.1818666667,108.0302,65.1514666667,-18.0302,59.8484666667,30.4547333333,41.8181333334,16.9698,82.4244
184.49,28.1760666667,24.151,44.7798666667,27.0440666667,96.7295333333,68.0501999999,-1.38373333334,52.0753999999,33.585,40.0000666667,22.7671333333,81.6351333333
184.87,38.039,29.9344666666,52.4182,33.2026000001,101.5686,76.0783999999,6.27446666668,54.2484,37.3856666667,40.1307333334,23.6600666667,90.7190000001
185.25,55.2137333333,39.6581333334,70.7692666667,42.906,124.4444,95.2136666667,8.0341333334,71.4530000001,44.2734666666,60.1709333334,30.4273333333,109.5726
185.63,58.0701333334,42.1052666665,69.6491333333,38.5965333334,128.9474,96.4912666666,14.5614666667,71.7544,42.1054,65.0878666667,30.3507999999,101.579
186.01,65.1064000001,51.2056666667,75.6028666667,50.3546000001,133.191533333,97.8724000001,34.6100000001,77.0211333333,54.7516666667,69.3616666666,40.9929333333,101.134733333
186.39,60.2222,46.0,60.5556,46.8888666667,114.777733333,82.3332666667,33.8888,64.6666666667,49.2223333333,58.7776666668,37.7776666667,90.4444666666
186.77,63.3862666667,53.7566,63.2804666667,54.1798666667,116.2962,87.3014666667,39.7882,68.5714666667,53.5450666667,57.8836666668,44.5502000001,90.3705333334
187.15,59.7948666667,55.2822,58.8717999999,59.0768666667,112.102466667,78.2563333333,39.3844666666,68.9232000001,55.2821333333,54.1538666667,44.9229999999,86.3590000001
187.53,57.6719333333,58.6244,54.7088666667,57.7778666667,111.534466667,70.3702666667,39.4708000001,65.7143999999,56.0848,47.7249333333,40.3175333334,82.9629333334
187.91,34.1666666667,33.6666666667,30.5000000001,42.6666666667,120.0,57.0000000001,6.83333333334,53.8333333334,38.1666666667,24.8333333333,18.1666666666,72.4999999999
188.29,19.4118,32.9412666667,13.1372000001,32.5491333333,120.980466667,51.9607333333,-10.0000666668,46.4705333334,39.8039333333,10.7844,13.1371999999,60.7843333334
188.67,16.9232666666,40.7694,14.1024666666,40.2564,150.512733333,60.0001333334,-27.6923333333,69.4872,60.7692666666,11.5385333333,24.8718666666,75.6410000001
189.05,36.25,62.2916666666,39.5833333333,62.7083333333,149.583333333,80.4166666665,1.66666666667,90.6249999999,78.7499999999,41.0416666667,59.9999999999,82.2916666667
189.43,25.4166666667,44.5834666667,29.7223333333,39.7222666667,97.2221333333,54.1667333334,4.99986666673,55.8334666667,59.7221333334,23.1942666667,39.5833333334,57.3611333334
189.81,25.4088,45.7860666667,32.3271333333,40.8804666667,90.1887333333,54.2136666667,13.2075333333,55.2201333334,54.7168666666,26.0378,40.7547333333,60.6290666667
190.19,7.48533333333,24.7952666667,9.23986666666,18.3625333333,57.7777333333,31.9298666667,-4.56133333341,32.0467333333,32.1637333333,3.15793333333,21.6375333333,38.3625333333
190.57,3.25579999999,23.5659333333,3.87586666659,19.0698,58.9148,39.3800666667,-8.0621333334,38.7598,39.6899333333,-6.66653333334,24.6511333333,44.4962
190.95,6.15366666674,25.1282,8.58979999992,31.6667333333,51.5384666667,35.1283333335,2.69233333335,43.8461333333,42.8205333333,8.4616,31.6667333333,50.1282
191.33,9.18226666674,19.1194666667,5.66026666673,26.6666666667,48.6792666667,35.5974666667,0.25153333334,41.5094,39.1193333333,12.5784666667,31.0692666667,46.2892666667
191.71,4.55026666667,12.1694666667,3.06886666665,23.8094,38.0951333333,31.9577333333,1.58720000001,36.9313333333,31.5343333333,11.746,27.9366666667,39.1535333333
192.09,18.6842666667,28.2457333333,18.5089333333,33.2455333334,47.3684000001,35.9647333333,17.193,43.421,35.1754666667,21.9299333333,35.2630666667,49.6492
192.47,20.6522666667,29.1304,20.9420666667,34.6377333333,43.1884666667,30.7971333333,19.058,39.0579333333,28.7680666666,21.4491333333,29.4928,44.4202
192.85,17.7570666667,26.0437333333,15.2648666667,30.5296666666,35.0156,24.4237333333,19.1900666667,30.2804,22.3677333333,18.3799333333,25.4828,38.8162
193.23,15.0877333333,27.0176,10.7603333333,29.5906,30.7017333333,21.6958,18.6549333333,24.6784666667,20.5848666667,15.9063333333,22.3978,37.7778
193.61,13.4453333333,28.4033333333,11.2605333333,30.4761333334,31.5967333333,21.0644,18.2071333333,23.4733333333,18.1512666667,17.2549333333,23.6974666667,35.7423333333
193.99,7.111,22.3888666667,5.38886666667,24.6110666667,24.4444666667,17.6110666667,12.1111333333,15.9444666667,13.9443333333,9.94440000001,18.6666,27.7777333333
194.37,9.4018,25.0712666667,8.49006666666,26.0398666666,25.1281333333,17.6068666667,16.5242,16.4103333333,14.9287333333,13.3904,22.6211333333,26.4386666667
194.75,5.17860000001,23.0953333334,4.16673333333,22.8572,21.1904666666,12.4999333333,12.3214,11.4882,7.9168,12.0833333333,20.5357333333,20.2976666667
195.13,-10.7116,8.98879999999,-14.3071333333,5.76766666667,5.0936,-6.51693333333,-4.5692,-8.53933333333,-13.858,-6.74153333332,5.24340000001,-2.54693333331
195.51,-18.7951333333,1.12426666667,-28.5140666666,-6.26513333334,-7.71093333331,-20.7228666666,-16.7068666667,-19.8394666667,-27.7108666667,-20.6425333333,-4.8192,-15.8232666667
195.89,-24.1558666667,-7.18606666665,-37.3160666667,-15.8441333333,-12.5541333333,-31.8615333334,-23.9826,-31.0821333333,-37.4026,-26.6665999999,-9.26400000001,-22.5974
196.27,-18.7014666667,-6.0606,-34.8051333333,-15.9307333333,-11.7749333333,-28.4847333333,-17.922,-30.1298666667,-32.6407333333,-21.2987999999,-4.67526666667,-24.4155333333
196.65,-21.4207333334,-10.6011333333,-47.9782666667,-26.2295333333,-23.06,-34.0982666666,-17.9234666667,-38.7977333333,-39.3442666667,-23.9344000001,-5.24573333334,-37.0491333333
197.03,-76.3440666666,-55.6988666667,-140.645133333,-93.1182000001,-86.2365333334,-105.376333333,-75.4839333332,-106.2366,-116.129,-76.9893333333,-60.215,-132.688266667
197.40,-152.222266667,-161.111,-277.4074,-203.703733333,-192.962933333,-237.4074,-162.5926,-220.370333333,-240.740666667,-178.888866667,-132.962866667,-291.8518
197.78,1164.4444,1384.4444,1991.111,1617.7778,1622.2222,1784.44446667,1273.3334,1697.77773333,1735.55546667,1515.55553333,1175.5556,2202.2222
198.16,207.0588,270.980466667,369.411733333,310.588266667,308.627466667,351.7646,230.588266667,325.097933333,331.3726,258.039266667,230.980333333,423.529466667
198.54,123.047533333,161.714266667,207.6192,176.571466667,171.619066667,189.143,143.238066667,177.142866666,186.8572,146.666733333,150.857066667,227.619066667
198.92,190.256333333,248.461533333,303.5898,264.615533333,254.359,287.179533334,217.436,263.077,280.000133333,221.2822,239.7436,329.999933334
199.30,232.381066667,314.2858,374.9206,337.777733333,333.968066667,362.222333333,268.888866667,314.285733333,337.777666667,268.571466667,309.206466667,402.2222
199.68,253.333333333,330.5264,382.105133333,345.263066667,377.894733334,394.035066667,281.4034,329.473733333,344.561333333,273.684266667,322.806933333,428.421066667
200.06,243.333266667,327.037,379.259133333,342.962933333,407.407466666,397.036933333,288.888866667,334.074066667,337.037,288.888933333,322.962866667,447.4074
200.44,237.101533333,298.260866667,338.260733333,303.478266667,377.3914,364.347733333,273.3334,301.449333333,305.797133333,293.043466667,295.941933333,404.637666667
200.82,183.157933333,218.771866667,231.579133333,212.806933334,262.1052,260.350866667,203.684266667,221.403333333,221.228133333,218.245533333,211.228066667,274.0352
201.19,276.533333333,334.666666667,337.333333333,313.866666666,392.0,398.666666667,294.933333333,323.733333333,323.2,318.933333333,298.4,390.666666667
201.57,326.388933333,371.110933333,373.610933333,354.166733333,432.500066667,442.500133333,332.5,362.777866667,356.3888,355.2778,337.777666667,426.944333334
201.95,296.049466667,341.728466667,350.6174,312.592733333,381.2346,404.691333333,297.777733333,326.172866667,322.963,300.4938,295.8026,376.790133333
202.33,298.850466667,326.4368,331.954066667,292.4138,375.172533333,403.448333333,293.333266667,320.229866667,309.4252,304.367933333,288.275733333,365.057533333
202.71,271.568533333,287.254933333,292.353,251.3726,331.9608,362.353,258.2352,284.313733333,277.254933333,272.745133333,245.686266667,324.117733333
203.09,286.444333334,294.0,296.2222,252.8888,344.6668,391.5556,254.889,294.222133333,287.1112,280.888866667,238.444533333,340.4444
203.47,316.1112,313.888933333,308.888933333,265.2778,369.444333333,438.055533333,268.0556,327.222133333,307.222133333,303.888866667,250.2778,375.0
203.85,212.072066667,211.3514,213.873933333,183.964066667,240.720733333,286.846933333,177.837866667,226.126066667,211.1712,210.810933333,171.892,245.2252
204.22,186.5186,183.703733333,194.5184,155.2592,207.851866667,250.6668,151.555533333,194.518533333,191.111133333,187.7036,154.814733334,212.296333333
204.60,156.000066667,149.3332,160.727066667,130.060666667,171.636333333,205.697066667,124.9698,161.090933333,156.969666667,147.393933333,124.3636,168.2424
204.98,173.197266667,162.721133333,180.408133333,154.0136,190.884266667,234.694,142.449,176.3266,170.612066667,163.2654,140.272133333,190.8844
205.36,181.986,168.936133333,189.2198,162.1276,196.453933333,247.943133333,147.9432,189.787266666,182.695133333,175.886533333,154.4682,209.787133333
205.74,172.4638,162.7536,185.797133333,156.9566,194.492866666,245.796866667,138.985533333,185.2174,180.724733334,168.115866667,154.058066667,213.623266667
206.12,199.833333333,176.333333333,203.5,180.166666667,225.333333333,276.5,151.666666666,205.833333333,209.333333333,199.666666667,170.0,248.5
206.50,205.555533333,184.629533333,217.962866667,191.852,237.5926,292.962866667,156.851933333,204.2592,220.925866667,208.148,169.259266667,267.592533333
206.87,320.302933333,281.818066667,324.8484,298.181866667,374.2424,458.1818,233.3334,329.091,338.484933333,329.393866667,261.212,422.121133333
207.25,221.4814,206.2964,228.3334,215.555466667,263.5184,303.888866667,179.8148,236.666533333,234.259266667,233.888866667,198.1482,290.740733333
207.63,215.0794,202.222,233.015866667,215.396866667,258.412666667,293.809466667,182.2222,234.444533333,234.6032,232.222133333,197.777666667,283.015866667
208.01,198.888866667,188.194466667,210.833266667,195.833333333,237.361,270.000133333,168.194466667,216.25,218.0556,208.611066667,183.749933333,262.638933333
208.39,201.768666667,181.904733333,205.034066667,195.374133333,235.7824,259.455733334,164.3538,210.612333333,211.156266667,203.401466667,184.625933334,262.1768
208.77,213.629666667,194.962866667,220.888933333,202.518466667,252.148066667,274.666666667,167.5556,220.0,225.926066667,218.814866667,198.962866667,279.2594
209.14,245.490066666,228.823533333,258.235333333,233.529533333,304.7058,325.098,180.784333333,260.3922,281.960866667,260.000066666,231.568733333,339.215733333
209.52,241.714266667,220.381,244.000066667,228.190533333,301.523733333,301.714133333,179.809533333,257.904733333,273.333266667,257.333266667,223.999933333,322.2858
209.90,175.333333333,154.0,174.666666667,163.466666667,214.533333333,213.333333333,133.6,188.533333333,197.866666667,186.266666667,159.466666667,230.533333333
210.28,188.9856,159.1304,190.724733333,177.971,231.5942,230.5796,150.2898,203.913,205.2174,203.043533333,168.695533333,248.985466666
210.66,231.711733333,194.955066667,230.990866667,222.162133333,286.846866667,284.684733333,181.8018,268.648666667,253.693733333,259.099133333,211.3514,307.2072
211.03,185.531866666,162.5532,190.070866667,188.6524,230.780066667,235.602733333,147.0922,213.758933333,204.6808,207.943266667,173.333333333,245.8156
211.41,175.345933333,151.572333333,179.748333333,177.987466667,215.723133333,219.3712,138.4904,197.232733333,187.673066667,195.220133333,164.025266667,229.8114
211.79,178.666533333,155.636333333,172.727266667,175.757533333,207.8788,208.969733333,141.8182,191.2726,180.1212,191.757666667,159.999933333,222.908933333
212.17,203.8272,181.975266667,196.172866667,204.691333333,227.654333333,237.407533333,164.9382,212.345666666,207.160533333,214.0742,184.814866667,250.370333333
212.55,166.666733333,153.641,163.2822,172.512866666,189.333333333,205.7436,139.6922,177.743733333,174.051266667,176.000066667,152.2052,209.025533333
212.92,165.784333333,149.2156,156.9608,171.1764,180.588133334,199.7058,138.921466667,174.2156,167.156733333,170.294133333,147.744933333,204.901933333
213.30,165.945933333,148.1982,156.126,167.927866667,177.117133333,193.3334,139.639733334,173.2432,156.5766,167.387466667,143.423466667,197.2072
213.68,153.574266667,135.743133333,142.811333333,154.2168,161.686866667,183.614533333,129.1566,158.313133333,143.132533333,153.8152,126.988,181.526066667
214.06,193.1344,169.154133333,175.522266667,192.835866667,203.880666667,230.8458,161.990066667,194.9254,176.019933333,192.338266667,155.7214,223.980066667
214.44,223.209933333,199.629666667,199.259266666,222.839733333,239.259266667,274.567733333,186.790066667,227.9012,202.5926,220.9876,179.5062,262.839466667
214.81,203.715866667,179.672,182.404466667,195.4098,207.868866667,240.437066666,170.819666667,197.049266667,176.393466667,192.349733333,159.125666667,229.9454
215.19,234.8,200.8,203.2,217.2,237.866666667,270.0,198.133333334,221.066666667,194.4,216.0,172.666666667,259.333333333
215.57,250.1514,205.909,213.030333333,226.060733333,244.848466666,287.575733333,206.969733333,223.6364,194.2424,225.606,171.363666667,268.939333334
215.95,370.7692,288.9744,308.974266667,318.718,367.435733333,425.384533333,287.179466666,329.230866666,271.794866667,324.615266667,236.153733333,406.410333333
216.32,706.666733333,506.111133333,560.0,558.888933333,702.777733333,771.666733333,518.889,623.888866667,454.444466667,613.3332,401.111133333,761.666666667
216.70,661.538466667,447.179466666,506.154,525.641,664.102533333,674.871933333,478.974266667,572.3076,402.564133333,576.410266667,376.410266667,692.820533333
217.08,1618.66666667,1129.33333333,1253.33333333,1302.66666667,1697.33333334,1697.33333333,1216.0,1437.33333333,1006.66666667,1458.66666667,965.333333333,1792.0
217.46,-521.025666667,-333.846066667,-390.7692,-409.7434,-524.102466667,-565.641133333,-386.153933333,-465.641066667,-302.564133333,-467.692266667,-292.8206,-599.487066667
217.83,-247.222333333,-150.555666667,-180.833333333,-183.055533333,-238.055533333,-258.611133333,-181.388933333,-221.111133333,-135.833333333,-221.111133333,-138.333333334,-293.333266667
218.21,-249.2754,-150.724733333,-186.9564,-177.1014,-233.913066667,-249.275333333,-168.116066667,-224.347733333,-137.101466667,-219.710133334,-137.681133333,-292.7536
218.59,-513.846133333,-357.9486,-412.820533333,-377.436,-461.0256,-501.538466667,-340.0,-460.512733333,-316.410266667,-469.2308,-318.974466667,-571.794866667
218.97,-281.4492,-195.362266667,-231.884,-217.391266667,-273.0434,-292.463733333,-181.1594,-259.4202,-183.188466667,-270.434733333,-192.463733333,-323.478333333
219.34,-270.933333333,-193.333333333,-232.8,-200.533333333,-257.066666667,-281.066666667,-168.266666666,-253.866666667,-181.866666667,-261.866666667,-186.133333333,-308.533333333
219.72,-178.039333333,-125.8824,-142.548933333,-125.490266667,-168.627333333,-183.1374,-98.4314,-173.7254,-126.666666667,-172.941333333,-112.548933333,-205.2942
220.10,-1430.66666667,-1149.33333333,-1280.0,-1128.0,-1342.66666667,-1566.66666667,-906.666666666,-1438.66666667,-1188.0,-1442.66666666,-1056.0,-1592.0
220.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.85,-488.095266667,-422.381,-442.857133333,-389.047666667,-439.047533333,-539.523866667,-294.762066667,-477.619,-389.0476,-490.4762,-377.6192,-510.476133333
221.23,-352.916666667,-280.0,-291.25,-245.0,-283.333333333,-379.583333333,-171.666666667,-342.083333333,-247.5,-355.416666667,-238.333333334,-345.833333333
221.61,-478.974333334,-352.820466667,-376.410266667,-309.7436,-375.897466667,-501.0256,-235.384666667,-429.743666667,-344.102666667,-468.205,-330.769333333,-424.6154
221.98,-3660.0,-2883.33333333,-3116.66666667,-2563.33333333,-3223.33333333,-3743.33333333,-1980.0,-3333.33333333,-2676.66666666,-3526.66666667,-2883.33333333,-3120.0
222.36,-1861.66666667,-1488.33333333,-1538.33333333,-1315.0,-1610.0,-1860.0,-1015.0,-1665.0,-1353.33333333,-1765.0,-1473.33333333,-1556.66666667
222.74,-321.754466667,-227.719333333,-232.982466667,-195.087666667,-258.9474,-321.403533333,-139.649133333,-274.0352,-207.3684,-294.035133333,-245.9648,-242.456266667
223.11,-256.8116,-177.391266667,-178.8406,-144.6376,-192.463733333,-249.855,-97.3913333333,-208.985466667,-146.086933333,-228.985466667,-186.666666667,-182.898533333
223.49,-381.176466666,-268.235266667,-280.784333334,-255.6864,-290.5882,-377.254866667,-168.235333333,-307.451,-240.392133333,-351.3726,-300.392133334,-272.156933333
223.87,-415.833333333,-301.666666667,-316.25,-304.166666667,-332.5,-421.666666667,-196.666666667,-336.666666667,-260.0,-394.583333333,-352.5,-310.833333333
224.24,-102.222133333,-57.9166,-60.5556666667,-69.7222666667,-77.6388,-105.555466667,-29.7222,-76.2499333334,-42.9164666667,-98.3333333335,-80.0,-64.7221999999
224.62,-58.4699333333,-23.4973333333,-26.8852,-35.1912,-37.9234666667,-61.5301333334,-5.02733333333,-41.4207333333,-17.705,-62.0764666667,-40.6556666667,-31.694
225.00,-47.9412,-13.5294,-20.6863333333,-26.8627333333,-27.6471333334,-51.7647333333,-3.33333333334,-39.8039333333,-14.0194666667,-51.8627333333,-31.5686666667,-27.0588
225.38,-60.0912666667,-30.3197333333,-37.0776,-45.4795333333,-43.5616666667,-64.3836666667,-21.7350666667,-55.0684666667,-29.8628666666,-60.6391333334,-47.2146666667,-38.7214
225.75,-60.4695333333,-37.2768666667,-40.8451333333,-49.5775333333,-49.8591333333,-66.0094666667,-24.5070666667,-59.2490666667,-27.2301333333,-61.4085333333,-47.8872666667,-41.2206
226.13,-34.9062666667,-19.7003333333,-18.2023333333,-29.2134666667,-26.2173333333,-39.4008666667,-11.6854666667,-35.0562,-10.9364666667,-38.5766666666,-23.5206,-22.2472666667
226.51,-12.6553333333,-2.37293333333,-1.75140000001,-10.8474666667,-7.11866666666,-18.2486666667,1.35593333332,-14.1808666667,6.10166666665,-15.7062666667,-5.8758,-4.29379999999
226.88,-11.5107333333,-3.21346666667,-4.7962,-12.8056666667,-9.88006666665,-15.5396,-4.6042,-14.7722,1.87060000001,-14.4364666667,-7.67386666666,-5.51560000001
227.26,-4.86706666667,-0.817933333334,-0.081733333338,-8.50686666667,-5.0716,-7.93446666667,-1.02246666667,-9.85686666666,3.8854,-8.91620000001,-1.55419999999,-0.041000000014
227.64,4.60000000001,6.93333333333,8.6,2.26666666667,3.20000000001,3.06666666666,6.60000000001,1.06666666667,11.6,0.500000000013,6.5,8.30000000001
228.01,7.5034,8.92613333334,10.4601333333,6.27626666667,5.10453333334,7.92173333333,8.08926666667,4.68613333333,14.1421333333,3.68186666667,7.89406666667,11.4643333333
228.39,5.78460000001,6.69246666666,8.6122,4.87686666667,3.37220000001,7.83413333334,6.27753333334,3.47606666667,12.1140666667,1.84186666667,6.14793333331,9.13093333332
228.76,5.43386666666,6.55233333334,8.2878,5.685,2.89959999999,9.6346,5.84466666666,4.17806666667,13.1736666667,2.60273333333,6.16426666667,9.54333333333
229.14,6.64573333333,7.21000000001,9.82226666666,6.813,4.36786666667,10.5956666667,7.14733333333,5.64266666666,14.42,3.86633333334,7.08459999999,11.0555333333
229.52,9.13366666667,9.71753333334,11.3558,8.47460000001,6.44066666667,12.5612,9.19026666667,8.09793333333,16.3464666667,5.46139999999,8.58760000001,13.032
229.89,10.7598,11.8998,13.0570666667,10.4664666667,8.56646666667,14.1968,10.9326666667,10.4146,16.7877333333,7.01206666666,10.5355333333,14.4904666667
230.27,11.477,13.3170666666,13.8496666667,12.2034,10.4924,14.2372,12.0259333333,11.364,18.4182,8.07106666666,11.4284666667,15.4478666666
230.65,9.62419999999,12.0425333334,12.647,11.3562,9.06866666667,13.1698666667,10.9640666667,10.098,17.6308,6.68293333333,9.95100000001,14.3790666667
231.02,9.28393333334,11.4402666667,11.6379333333,10.7983333333,8.3456,13.1192666667,11.2098666667,10.0247333333,17.8106666667,6.28813333333,9.2346,13.6296666667
231.40,7.47626666667,10.6116,10.6976,9.76746666666,6.73553333333,13.1610666666,10.3014,9.11286666665,16.2962,5.44359999999,7.26953333333,12.3342
231.78,5.6396,8.39640000001,8.54046666666,7.45933333333,4.25213333333,11.6576666667,8.75673333334,5.67566666667,14.6485333333,3.4414,5.09920000001,9.44153333333
232.15,3.4184,6.28900000001,5.779,4.66479999999,2.49293333333,9.36740000001,7.74306666667,2.43626666667,12.0680666666,1.73746666667,4.2492,7.06333333334
232.53,3.1932,6.1064,4.50046666667,4.23886666667,2.4836,8.4034,6.81606666667,2.16613333334,11.7274,1.6246,4.10826666667,6.74139999999
232.90,2.4172,5.692,3.84013333333,2.26113333333,1.34506666667,5.57513333334,6.3938,1.1306,11.2475333333,0.740866666667,2.495,5.22413333334
233.28,2.44906666667,5.50033333333,3.65413333333,1.18553333333,0.641399999999,4.70366666667,6.20019999999,1.06893333333,10.9815333333,0.855200000002,2.33226666667,4.66493333333
233.66,2.686,6.00966666667,3.57486666667,1.68106666667,0.560399999999,3.65226666667,6.37673333334,1.29473333333,11.1111333333,1.4686,2.66666666667,4.13533333333
234.03,4.08253333333,6.85386666666,4.04493333333,1.77906666667,1.12373333333,4.64406666666,7.30339999999,1.7228,12.9024666667,2.4906,3.10866666667,5.13099999999
234.41,3.2596,5.92993333334,2.7072,0.478733333334,-0.2762,5.23,6.62986666667,1.2522,12.0259333334,1.97046666667,3.33326666667,5.00926666666
234.78,3.37766666667,6.43693333334,2.54653333333,0.0883999999986,0.5128,5.19900000001,6.50746666667,1.4148,12.3431333333,1.9098,3.92586666667,5.81779999999
235.16,5.78333333333,9.40000000001,5.88333333333,3.46666666667,3.53333333333,7.30000000001,8.50000000001,4.45,14.85,4.0,7.01666666667,8.88333333333
235.54,7.66339999999,11.4640666667,7.85046666667,5.5608,5.54526666667,7.55460000001,9.47040000001,6.58873333333,17.2897333334,5.90333333333,9.4238,11.2305333333
235.91,7.32006666667,11.6704,7.988,5.9836,6.19146666667,7.37933333333,9.23540000001,6.9934,17.1640666667,6.1916,9.666,11.8782666667
236.29,6.91139999999,11.7064,8.06333333333,6.17706666668,5.486,7.18499999999,8.50966666667,6.88253333333,17.0196,5.9468,8.92726666666,11.6052666667
236.66,6.28206666666,11.1537333333,7.46446666667,5.55566666668,4.20226666666,7.33626666667,8.1198,6.05406666667,16.5954666667,6.06833333333,7.76360000001,11.0113333333
237.04,6.17780000001,11.1066,7.72573333333,5.72986666667,4.14126666667,8.18753333333,8.28253333333,6.42226666667,16.2662,6.78893333333,8.41813333334,11.3510666667
237.41,5.73720000001,11.5272666667,7.94146666666,6.52053333333,4.6082,8.39319999999,8.31333333334,6.98546666666,16.0956666667,7.39706666667,8.76493333333,12.0054
237.79,4.48766666666,9.98700000001,7.31513333334,5.57713333334,4.0078,7.71726666666,7.27633333333,6.71853333333,15.3567333333,6.3294,7.95066666667,11.284
238.17,1.71566666667,7.649,4.91146666667,3.98166666667,1.873,5.73666666666,4.76746666667,4.61033333333,14.0930666667,4.15193333333,5.8022,9.6004
238.54,2.99239999999,8.27026666667,5.24,4.86113333333,2.32326666667,6.08599999999,5.68193333333,5.404,14.697,4.88633333333,5.8206,9.98746666666
238.92,4.2136,8.62673333334,5.8098,6.07986666667,2.49993333333,7.60573333334,6.96019999999,5.95066666667,15.2582,5.7396,6.73699999999,10.5752
239.29,2.25306666667,6.12353333333,3.33906666667,3.42,0.416,6.37779999999,5.361,3.73193333333,13.6221333333,3.92833333333,4.94513333333,8.56159999999
239.67,2.7344,5.98833333333,3.17966666667,3.20086666667,0.731266666667,7.05859999999,5.4266,3.5296,14.2448666667,3.7202,4.5998,8.26706666667
240.04,4.19053333334,7.06673333333,3.90473333333,3.88566666667,2.01893333333,8.25720000001,6.11426666667,4.90473333333,15.7715333333,4.619,5.42853333333,9.24773333333
240.42,4.42746666667,6.86179999999,3.9864,4.24946666667,2.82446666667,8.6344,6.12373333333,5.11446666667,16.2595333333,4.682,5.46213333333,9.63513333333
240.79,4.53493333333,6.447,4.02926666667,4.35913333333,3.0844,8.4762,5.64106666667,4.696,16.0512666667,4.1392,5.4798,9.56040000001
241.17,6.14600000001,7.54286666666,5.26993333333,5.8158,4.76813333333,10.1778,6.86973333333,5.84126666667,17.3396666667,5.35253333333,7.06033333333,11.0412666667
241.54,6.47566666666,7.27886666667,5.2064,5.7344,4.9088,10.4352666667,6.9364,5.72866666667,17.3995333333,5.16713333333,6.97553333333,11.1092666667
241.92,5.8934,6.83573333333,4.76193333333,5.33533333333,4.4802,10.1996666667,6.4516,5.00253333333,16.8152666667,4.69006666667,6.55406666667,10.5940666667
242.29,5.79713333334,6.58586666667,4.81813333333,4.98453333333,4.43333333333,10.2208666667,6.15333333333,4.84206666667,16.6026,4.4096,6.45293333333,10.278
242.67,5.49826666667,6.59886666667,5.0338,4.83993333333,4.51046666667,10.1670666667,5.9674,4.66393333333,16.6262,4.29426666667,6.4456,10.2888
243.05,5.11813333334,6.3034,4.86453333333,4.37886666667,4.31766666667,9.77253333334,5.3018,4.27813333333,16.2248666666,3.97193333333,6.11113333333,9.94320000001
