wavelength,Back_DiuSpef,Belly_DiuSpef,Breast_DiuSpef,Crissum_DiuSpef,Crown_DiuSpef,DorTail_DiuSpef,Patch10_DiuSpef,Patch11_DiuSpef,Rump_DiuSpef,Throat_DiuSpef,WingTip_DiuSpef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,94.0000000001,83.3333333335,97.3333333335,84.6666666666,95.3333333333,105.366666667,118.666666667,86.0,80.8444444446,112.0,103.0
179.16,72.7272666667,78.1817333333,98.1817999999,72.1211333334,87.2727333334,81.7879033333,89.6968666666,98.1818333334,87.8990133333,115.757533333,94.2424333333
179.54,97.9485999999,88.2052,94.3590666665,86.6667999999,90.2564000001,108.974296667,91.2819999999,105.128233333,93.1624222223,106.666666666,131.538433333
179.93,37.0833333333,22.9166666667,30.4166666667,26.6666666667,18.75,36.6666666667,38.75,32.0833333333,27.7222222222,52.5,48.9583333333
180.31,76.2140000001,57.0369333333,66.8311333334,56.3785333333,61.3993999999,74.92181,88.4774000001,68.7654666667,67.0946688889,101.8108,97.6131
180.69,82.3333333333,59.3333333333,69.7500000001,61.1666666667,64.2500000001,78.0125,95.0000000001,70.7500000001,69.0722222223,109.416666667,102.958333333
181.07,82.9536666668,55.5273333333,62.3628666667,57.8902666667,60.0000666666,74.4725633333,90.6328,64.5148333333,67.1393377777,107.9326,101.687866667
181.45,75.4977999999,43.723,46.0606,49.1775333333,47.8787333334,69.1905033333,79.0477333332,52.0779333333,56.8542288888,95.7575333333,92.3808000001
181.83,66.1032666667,33.615,33.9906666667,42.8168666667,32.8638,58.53061,72.6761333334,41.3614666667,47.9938488887,88.6383333333,80.939
182.21,71.7646000001,28.1046,25.8822666667,40.0,25.4901333334,58.2548966667,89.9344666665,40.6535333333,51.8082688889,102.091533333,89.1502
182.59,95.8333333333,34.1666666666,27.0833333334,62.7083333333,26.8749999999,87.2291666667,135.833333333,37.9166666667,70.9930555556,145.208333333,122.1875
182.97,70.0000000002,10.9804000001,22.1569333331,51.1763333333,11.3725333333,69.2745366667,109.608,11.2744,54.8955488888,122.353,92.2550333334
183.35,55.619,0.76193333326,12.9523333335,56.0,3.04753333339,57.4474833333,92.1904666665,1.04773333332,46.5840533334,122.476066667,94.0951999999
183.73,53.8459999999,-27.6922666668,-7.94873333326,61.5384666666,-19.4871999999,48.1538033333,100.512733333,-28.8463,42.2394377778,140.256266667,93.8462666666
184.11,40.0000666666,-61.7392666666,-26.9564666667,37.1013333334,-41.4493333333,30.5652133334,88.6955999999,-64.9277333334,32.5410088887,124.057866666,83.1885666667
184.49,80.0000000001,-91.1110666668,-51.1110000001,48.0000000001,-28.4443333333,46.7111099999,157.777733333,-90.2222666666,60.3557022221,170.666733333,146.666633333
184.87,66.9698000001,-34.5453999999,-6.36366666672,63.0304000001,8.48479999988,62.4697166667,135.4546,-23.9394333333,81.4040244444,142.7272,136.060533333
185.25,82.6666666668,-6.3333333334,31.6666666668,106.333333333,22.3333333335,95.6333333333,168.0,9.83333333326,121.8,175.666666667,176.5
185.63,119.487133333,51.5384,87.4358666666,130.512733333,66.4102666667,107.974226667,192.820333333,53.2051333333,154.401604445,188.4616,188.205
186.01,91.6667333334,49.8147333333,74.4442666665,103.148133333,62.963,85.8981266666,156.2962,35.9256666667,124.073977778,148.888866667,139.1665
186.39,64.8148000001,41.6048666667,57.7776666667,77.4075333333,51.7283333333,67.0616266667,103.3334,25.6788333333,88.0987377777,103.5802,96.5432000001
186.77,44.6560666667,25.9259333334,39.5767999999,56.7194666667,37.1428,49.164,73.0157999999,15.5554666667,63.8412644445,79.2593333333,71.7461999999
187.15,49.3332666667,37.1428666667,39.8094666667,63.3334666667,43.619,53.8618766667,73.2380666667,27.4763333333,66.2858288889,80.4763333333,71.0952000001
187.53,41.3725333333,34.8039333333,31.0784666667,55.2941333333,34.4116666667,48.4755733333,66.9608666666,23.7256666667,56.9184111111,70.7844,56.5687333333
187.91,49.5757333333,50.3029333333,36.1212666667,70.3030666667,42.0604666667,58.4486166666,84.9697333333,34.9090666667,74.3312666665,86.4242666666,72.0001666666
188.29,29.5494666667,38.5586000001,2.7027333334,66.6666000001,12.7929333334,38.6937066667,78.9189999999,10.3603333333,67.5495644444,79.4596000001,66.0361333333
188.67,24.1269999999,40.7936666667,9.36513333332,74.7619333333,4.76186666666,36.9364499999,68.2539333334,17.6983,63.3756711111,64.9206,52.4601666667
189.05,18.7877333333,38.9898000002,-2.22233333332,88.6869333333,-11.9191333333,33.4748533334,67.8787333332,3.9394,56.8888488889,58.5858666667,40.7069666667
189.43,-23.1884000001,19.7102000002,-52.4637333331,82.0289333333,-55.9419333332,-7.73910333334,65.5072000001,-35.2173,31.5747488889,31.3042666667,0.4348
189.81,-288.1482,-117.777733333,-345.926,31.1110666666,-333.333333333,-218.036963333,-7.4072666668,-302.5924,-136.419644445,-123.703666666,-211.8519
190.19,1480.0,636.666666667,1753.33333333,153.333333333,1820.0,1224.66666667,306.666666667,1715.0,986.11111111,919.999999999,1128.33333333
190.57,217.254866667,91.3725999999,235.294,41.5686000001,257.254866667,178.686266667,72.9411333333,234.7059,157.607766667,156.862666667,151.176433333
190.95,130.752733333,58.4946666667,148.387066667,28.1720666667,164.516133333,115.494543333,45.3763333333,147.9568,93.6630355555,96.7742,94.5161666667
191.33,113.0434,68.2608666667,132.463866666,42.3187333334,138.4058,108.2465,55.6521999999,127.7538,88.2609666666,96.5217333333,91.5941
191.71,110.849733333,71.2418666667,124.313866667,49.2810666667,133.3334,113.614243333,62.3528666666,124.967233333,79.9040644444,95.8170000001,93.7909
192.09,124.2308,74.7438000001,126.025666667,60.5128666666,140.0,118.86532,71.5385333333,134.3589,92.2307288889,102.948733333,108.333266667
192.47,129.122866667,54.386,128.9474,48.0701333334,145.263133333,119.903543333,55.9648666667,145.351,87.7076088889,98.9472666667,112.807066667
192.85,129.230866667,54.8718666666,135.2136,57.2649333333,151.111133334,125.948766667,62.3931333333,154.5301,92.4159755557,95.5556000001,116.4957
193.23,121.276533333,54.7519333333,126.6668,67.8014000001,133.4752,124.078126667,65.1064666668,143.1206,86.8415711113,93.6170666667,110.2837
193.61,117.0212,60.5674666667,123.8298,71.3475333333,137.163266666,124.31214,72.0566666665,142.9077,87.1772888889,94.1844666667,115.957466667
193.99,98.2010666666,57.6719333334,96.7195999999,64.3386000001,114.179933333,102.624273333,70.6878666666,118.0422,72.5044755555,80.5290666666,100.3703
194.37,86.1176666667,55.451,84.7058666666,57.4116666667,90.8236666666,87.6079499999,66.6666666667,92.5882666667,59.1503088889,69.6471333333,87.8038333333
194.75,80.5244000001,51.7602666667,80.1500000001,56.1798666667,86.3669333334,83.8651433334,66.2173333333,92.6593333333,58.09988,64.9437999999,86.0673333333
195.13,71.1110000001,44.4444666667,67.9569333333,46.8099333333,72.5448000001,75.62013,61.7205333333,78.5305666666,50.6164888889,58.1362,76.4873999999
195.51,61.6823999999,36.0123999999,58.5046666667,41.8692666667,62.9284,66.1620666667,55.7632,67.6947666667,45.3520511111,50.2804666667,68.6915
195.89,56.5242,31.738,54.3590000001,36.866,56.9798666667,60.22217,49.8574666667,61.3104,44.5641511111,47.4644,61.8803666667
196.27,54.2361333333,30.7640000001,54.375,29.861,56.8056666667,63.6248666667,53.125,63.1249333333,40.9375511111,48.0555333333,65.2776666667
196.65,53.2000000001,33.5333333333,50.9333333333,25.8,57.5333333333,60.8633333333,54.6666666666,61.2333333333,38.3666666667,48.6,63.4666666667
197.03,59.7597333334,43.7238,57.0571333334,35.3755333333,62.7027333334,65.9610266667,61.4413999999,65.0750666667,46.0440088889,58.6186666667,66.6967666667
197.40,70.0,51.2,64.1999999999,40.7999999999,75.4666666667,74.5966666666,70.8666666667,74.5666666667,53.2422222222,68.6666666667,77.1333333333
197.78,79.1010000001,56.4794,71.1610666667,44.9438666667,82.0973333334,85.3820933333,79.4754666667,87.8652333334,59.3483977778,78.2021333334,87.0786666667
198.16,81.5446666666,59.5936,79.756,43.3332666666,85.7723333333,92.1830266667,81.3007999999,89.6341333334,65.0298022223,85.9350666666,91.3414666666
198.54,81.0,51.7778000001,83.2222,30.4444,89.8889999999,101.577806667,76.1111333333,92.3889666667,62.3852155556,90.5556666668,98.5556666666
198.92,91.3475333333,54.0425333334,97.1632,19.1489333334,97.1629333333,118.546163333,75.7447333333,91.0637000001,60.1229711111,104.255266667,117.659433333
199.30,123.148066667,67.2220666667,132.037133334,39.8148666666,131.296133333,158.333356667,96.6665999999,131.2036,83.2963377779,143.333466667,170.925933333
199.68,299.487133333,126.666466667,305.128333333,58.9744,317.948666667,380.666656667,206.6666,301.2819,159.538453333,336.923,416.153833333
200.06,559.166666667,280.0,502.500000001,170.0,563.333333333,654.75,412.5,518.333333333,255.861111111,585.833333334,748.333333333
200.44,313.75,158.75,295.833333334,145.833333333,293.75,348.0,246.25,270.625,153.041666667,314.583333333,397.083333333
200.82,312.063466667,173.650733333,312.698466667,193.333333333,275.873066667,339.587316667,260.635,264.4444,185.883637778,299.682466667,368.412766667
201.19,717.5,343.333333333,721.666666667,409.166666666,620.833333333,805.291666667,586.666666666,589.166666667,383.861111111,669.166666667,869.166666667
201.57,1318.33333333,638.333333333,1436.66666667,755.000000001,1161.66666667,1543.91666667,1166.66666667,1073.33333333,657.5,1211.66666667,1603.33333333
201.95,253.333266667,147.407466667,274.815,159.999933333,226.913533333,279.913563333,232.3456,194.567833333,159.004197778,235.802533333,287.777666667
202.33,245.714333333,138.0952,274.285733333,159.523866666,219.0476,275.464263333,238.3334,187.857166667,166.857171111,229.761866667,285.476233333
202.71,205.7894,132.982533333,222.807,151.754466667,195.964866667,228.929773334,218.772,171.929833333,163.801091111,202.280666667,232.894733333
203.09,135.026466667,96.0846666666,148.359866667,113.968266667,137.248666667,153.35464,158.836,119.788633333,113.954171111,141.2698,153.545033333
203.47,119.812333333,89.2018666665,133.427133333,100.187733333,122.629133333,135.455396667,145.070333333,101.126766667,102.225304444,126.103266667,132.394366667
203.85,105.210733333,82.9884666667,114.866066667,92.3372666667,108.735666667,121.689616667,125.670466667,90.4597666667,95.4661488889,115.478933333,116.168566667
204.22,95.3174,74.3650000001,113.015866667,79.6826666667,100.000066667,116.396843333,117.857133333,85.1983,90.3385555556,112.619066667,112.857033333
204.60,98.4554000001,74.0649333333,114.065066667,78.0487333333,101.9512,119.959456667,114.146266667,86.2195333334,93.3982688889,118.0488,115.772233333
204.98,89.4736666667,66.6666666667,105.5262,64.6491999999,97.193,111.27191,103.772,75.2633000001,84.2777244445,114.649133333,112.7193
205.36,84.7154,60.3251333333,98.0487333333,60.4878,86.5853333335,103.75605,94.7154666667,67.9675,77.3305622222,104.552866667,109.349633333
205.74,78.1818666667,52.803,89.6970000001,54.0908666667,75.0758,96.3749933333,83.4848666666,60.5681333333,71.6136288889,94.6969333333,103.3713
206.12,77.7778,47.3250666667,91.9341333333,50.288,74.8972,97.5392066666,81.1522000001,58.8066,68.3126822222,95.8846666667,107.819
206.50,76.9444666667,37.6851333333,87.9628666667,44.5369333333,70.9258,92.1481333334,78.7036666667,53.2869333333,59.8797088889,95.4630666667,103.379566667
206.87,82.5136666665,35.0819999999,99.1254666665,43.9344,71.4754666668,102.426223333,85.3554000001,55.9015666667,61.8287599999,105.683,116.0109
207.25,128.888866667,34.7474666667,151.313133333,37.1718000001,89.0909333334,161.434306667,113.333333333,74.0403666667,87.7778444445,155.151533333,181.414133333
207.63,173.8888,34.7222000001,186.666466667,39.4445333334,95.8331999999,210.111126667,132.7778,99.3054999999,106.212986667,188.611066667,236.249966667
208.01,1004.44433333,-215.555533333,1000.00006667,-111.111133332,264.4444,1144.33326667,633.3334,393.333466667,360.889004445,1062.2222,1498.88876667
208.39,2813.33333333,-966.666666667,2440.00000001,-319.999999999,613.333333334,2849.0,1826.66666667,383.333333334,1251.55555555,2726.66666667,4076.66666667
208.77,-3566.66666667,106.666666668,-2806.66666667,-259.999999999,-1373.33333333,-3568.0,-2806.66666667,-1023.33333333,-2190.22222222,-3200.0,-4656.66666667
209.14,-139.697,37.8786666665,-93.0302666666,4.54546666674,-42.1213333334,-157.742466667,-120.000133333,-38.9394,-89.9191688889,-126.666733333,-190.454633333
209.52,-96.7742666668,23.6558666667,-63.8711333332,-1.07533333326,-32.2580666667,-109.913933333,-83.8709333334,-37.4194333333,-68.5305733333,-101.9354,-129.462366667
209.90,-74.9123333333,32.2806666667,-35.4386000001,4.73680000007,-25.4385333333,-75.4648999999,-61.9297999999,-26.7544,-49.0875222223,-80.1754000001,-94.9121666667
210.28,-40.3922666667,37.9083999999,-9.80400000006,11.5034,-1.9606,-43.9934,-33.0719333333,-4.05236666666,-21.9520355555,-43.9215333333,-54.5097666667
210.66,-44.4,33.0666666667,-9.46666666674,4.93333333333,-2.66666666665,-50.58,-33.8666666667,-1.2,-28.2488888888,-44.2666666666,-61.7333333333
211.03,-59.4871333333,34.3590000001,-16.0683333334,-1.70946666668,-6.66673333333,-60.7777766667,-37.6068666667,10.0000666667,-32.3190888888,-58.2905999999,-71.8803
211.41,-122.456133333,65.9650666668,-25.9650000001,-15.0878666667,-33.3332666667,-103.59651,-72.9825333334,52.1052333333,-72.6783866666,-121.052533333,-148.772
211.79,-144.313733333,66.2743999999,-37.2548666667,-7.05886666662,-65.4902666666,-113.686203333,-86.6666666667,61.3725,-74.5230311111,-149.4118,-171.372466667
