wavelength,Back_ComLorm,Belly_ComLorm,Breast_ComLorm,Crissum_ComLorm,Crown_ComLorm,DorTail_ComLorm,Rump_ComLorm,Throat_ComLorm,WingTip_ComLorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,75.926,119.907333333,103.703583333,86.1110833333,63.4259166666,78.70375,84.3622222223,67.1294166667,88.8889166667
179.16,83.3333333332,140.0,183.333333333,140.0,125.0,173.333333333,142.592592593,85.0000000001,138.333333333
179.54,50.7935833333,58.7300833333,51.1904166667,36.90475,49.6031666667,47.2223333334,45.3704537037,46.4284166666,44.8413333333
179.93,86.1110833333,96.5278333333,97.2221666667,100.694416667,49.3056666667,77.7779999998,58.0246851852,78.47225,82.6389166667
180.31,80.4378333333,89.9718333333,92.5139999999,99.5055833334,64.195,70.8333333333,66.4783703704,60.5225,69.421
180.69,81.0368333333,90.3544166667,92.8476666666,103.018416667,67.7166666666,70.2755,67.3373425926,58.9893333334,70.6694166667
181.07,83.0201666666,85.0876666667,91.8545,103.634083333,73.9975,71.8044166667,68.4071388889,62.2179166667,72.3055833334
181.45,86.5161666667,86.68975,92.5925833333,104.340333333,76.9675833333,70.8333333333,69.1486851852,65.1041666667,75.9259166666
181.83,96.2009166668,92.6471666667,101.16425,115.502416667,82.96575,75.85775,75.5038148148,70.15925,82.4141666666
182.21,95.6789166666,91.358,99.93825,115.679166667,85.6789166666,75.5555833334,78.3196203704,68.2099166667,84.62975
182.59,102.284916667,96.9085833333,104.905833333,119.825166667,92.1370833333,82.3925000001,87.1416203704,72.5805,91.1289166667
182.97,100.073083333,91.5205000001,101.389,113.304,89.9121666667,77.3391666667,84.0236296296,69.81,87.7193333332
183.35,101.587333333,89.7485000001,104.695833334,107.672083333,91.8649999999,77.3809166667,87.2353703704,71.6269166667,88.955
183.73,109.874,96.3585833333,113.5855,115.82625,100.21,84.59375,95.5571851851,81.65275,99.5098333335
184.11,110.141666667,93.6319166667,113.679083333,117.29575,104.166583333,85.4558333333,97.5542592593,81.7609166667,103.537666667
184.49,120.701666667,98.8596666667,126.6665,129.47375,117.017583333,96.1403333334,106.422962963,96.3158333332,115.263166667
184.87,125.648166667,99.7221666666,133.3335,128.24075,120.09275,102.963,112.726305556,108.055583333,117.685333333
185.25,148.387166667,107.66125,157.392416667,151.612833333,129.4355,113.171833333,132.721055555,125.672,134.408666667
185.63,156.122333333,100.850416667,168.027166667,156.972833333,128.401333333,118.537416667,143.21612037,139.28575,131.122333333
186.01,150.854666667,89.3161666668,176.068083333,168.16225,124.786416667,125.427333333,149.572759259,151.068416667,141.452916667
186.39,268.055583333,119.444416667,326.851833333,293.055666667,210.185083333,222.22225,241.409601852,270.370416667,207.40725
186.77,265.000083333,61.1111666667,345.5555,258.333416667,197.77775,193.333333333,204.197546296,255.555416667,184.999916667
187.15,622.222333333,165.27775,880.555666667,684.72225,476.388833333,568.055583333,575.771685185,672.222333334,472.222333333
187.53,-26.6666666668,83.3333333334,-81.0000000001,-45.3333333333,1.0,-36.6666666666,-27.2222222221,-49.6666666667,-21.3333333332
187.91,38.5416666667,111.875,5.6249999999,37.2916666668,62.2916666666,32.2916666666,33.3101851852,23.75,42.2916666666
188.29,39.4609166665,130.39225,6.86283333342,47.05875,76.7159166667,26.7157499999,30.1743333333,17.1569166665,48.28425
188.67,45.8335,137.499916667,20.8335,80.0000833333,88.0556666666,32.7778333333,24.7223333333,35.2776666668,58.6111666665
189.05,39.2044166666,110.7955,30.6817499999,79.356,70.4545833333,38.2576666666,37.0791388889,42.6135833334,52.841
189.43,37.4999999999,104.833333333,26.8333333334,78.6666666668,56.8333333333,34.1666666666,40.9259259259,47.3333333332,54.3333333333
189.81,40.2299166667,100.574833333,29.0230833333,77.7300833334,55.1723333333,34.7701666667,45.7535925926,53.01725,48.56325
190.19,24.9999999999,93.6364166667,21.2124166666,91.6665833334,44.0908333334,33.4846666666,38.4679907407,41.0606666667,42.42425
