wavelength,Back_TanGutf,Belly_TanGutf,Breast_TanGutf,Crissum_TanGutf,Crown_TanGutf,DorTail_TanGutf,Patch10_TanGutf,Patch11_TanGutf,Patch12_TanGutf,Patch13_TanGutf,Rump_TanGutf,Throat_TanGutf,WingTip_TanGutf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,120.0,104.166666667,140.0,110.0,141.666666666,51.6666666666,150.0,136.666666667,100.0,61.6666666667,71.6666666666,135.0,155.833333333
179.16,43.3333333335,46.6666666666,273.333333333,143.333333333,-16.6666666667,230.0,186.666666667,133.333333333,49.9999999998,160.0,133.333333333,140.0,230.0
179.54,41.3333333333,46.6666666667,-20.0,82.6666666667,84.0,73.3333333334,33.3333333333,49.3333333333,69.3333333333,51.9999999999,16.0,109.333333333,-9.99999999986
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,110.350866667,126.0526,56.6666000001,127.894733333,132.6316,83.5085333334,101.227933333,81.4034666667,116.315733333,79.2983333333,102.807,137.543933333,104.824533333
180.69,124.814866667,137.592566667,64.8148,139.2592,148.5184,88.7036666665,117.963,99.0740666667,132.777666667,82.7776666667,107.5926,146.666666667,111.666666667
181.07,130.9258,147.222233333,64.2592000001,140.740666667,154.8148,95.0000000001,119.2594,101.4814,142.407533333,88.1481999999,115.370466667,148.518533333,111.203833333
181.45,112.9412,121.830033333,77.2548666665,124.313666667,131.2418,95.6862666666,110.718933333,100.130666667,120.784266667,85.3595333333,104.705866667,130.8496,104.313633333
181.83,109.359133333,116.666566667,77.5640666667,114.359,125.3846,88.5897333333,104.615333333,99.3588666666,116.410266667,78.3334666666,98.9745333333,118.077,106.0256
182.21,98.6667333333,89.2727666667,66.6666,99.1514000001,109.697,68.1212666666,85.9393999999,81.6970000001,93.5756666667,50.7878000001,84.2423999999,93.9395333333,86.0000666667
182.59,95.1514,75.8082,67.5758666667,97.1715999998,105.252466667,63.4344,83.5353333333,75.6566666667,87.3738000001,49.0909333333,78.5858666666,84.7475333333,83.8382666667
182.97,81.4285333333,67.4207333333,57.4603999999,84.127,87.0635333333,52.8572,70.7936666667,66.1905333333,71.8254000001,43.7301333333,69.2064,76.9047333333,75.2778666667
