wavelength,Back_ConAlbm,Belly_ConAlbm,Breast_ConAlbm,Crissum_ConAlbm,Crown_ConAlbm,DorTail_ConAlbm,Patch10_ConAlbm,Rump_ConAlbm,Throat_ConAlbm,WingTip_ConAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,546.666666667,200.0,406.666666667,813.333333332,593.333333333,466.666666667,926.666666666,560.0,506.666666666,753.333333332
179.16,60.0000000001,105.555533334,58.8888666667,23.3334,7.77779999994,37.7777333333,30.0,77.7777333333,37.7777333333,64.4444666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-206.666666667,-366.666666667,-413.333333333,-653.333333333,-820.0,-373.333333333,-680.0,-440.0,-373.333333334,-440.0
180.31,379.047666667,252.381,538.0952,677.142933334,716.190333333,456.190466667,652.3808,411.428733333,365.714266666,384.762
180.69,336.296333333,186.666666666,427.4074,544.444399999,537.7778,337.7778,506.6668,323.703666667,272.5926,277.037
181.07,261.538533333,171.794866667,330.256533334,399.487,400.512733333,241.538533333,334.3588,217.435866667,184.6154,176.4102
181.45,174.6154,140.5128,209.230666667,233.333266667,231.025666667,157.948733333,200.769333333,143.077,122.820666667,131.282133333
181.83,172.0,156.266666667,215.466666667,237.866666667,234.4,169.6,209.333333333,140.0,129.866666667,142.133333333
182.21,148.641933333,120.2468,180.493866667,203.456666667,202.222266667,142.2222,176.543266667,111.358,90.3702666667,104.197466667
182.59,138.620666667,122.298866667,171.7242,198.6206,200.689666667,137.931,176.092,111.953866667,96.7816666666,101.609066667
182.97,126.111,122.777733333,166.388866667,202.777866666,214.4444,135.5556,186.111133333,101.1112,89.1665999999,94.1667333332
183.35,316.296266667,271.851866667,400.740666667,481.4814,537.777733333,294.074066667,434.074133333,229.629666666,237.036866666,268.1482
183.73,110.588266667,118.4314,172.156733333,236.078466667,245.098066667,113.333333333,187.843266667,60.7844000001,116.4706,112.549
184.11,230.833333333,241.666666667,363.333333333,530.0,522.5,220.833333333,398.333333333,106.666666667,257.500000001,276.666666667
184.49,299.999933333,387.7778,534.444533333,747.777733334,691.111133333,375.555466667,576.666800001,177.777666667,417.777800001,397.777799999
184.87,531.111133334,868.888733335,1102.2222,1535.55546667,1466.66673333,808.888733335,1300.0,420.000066666,988.8888,948.888866666
185.25,-67.8788,-191.515133333,-264.848466667,-346.0608,-336.969666667,-196.969733333,-301.818066667,-78.7879333334,-247.8788,-256.9696
185.63,16.6667333333,-37.6924000001,-86.9231333333,-114.6154,-113.5898,-58.7180000001,-101.025666667,-3.84613333333,-74.6154666667,-78.2051333332
186.01,7.33333333321,-42.0,-93.3332666666,-109.5556,-109.999933333,-62.0,-90.4444666667,-0.22226666666,-80.2222,-72.2223999999
186.39,0.88886666672,-47.9998666667,-73.3332666667,-79.2593333333,-73.4813999999,-56.7407333334,-66.6667333333,-10.2222,-71.1110000001,-63.7035999999
186.77,-28.3720666667,-80.4652,-103.721,-106.511733333,-101.240266667,-87.1318666667,-99.3798666666,-34.1086,-98.7597333333,-100.775133333
187.15,-59.6190000001,-118.666666667,-154.095266667,-157.3334,-144.190466667,-130.476066667,-142.2856,-65.1428666667,-142.8572,-151.428666667
187.53,-66.4444000001,-137.333333333,-182.666733333,-194.8888,-157.1112,-158.4444,-172.222133333,-83.5555333335,-167.111133333,-176.888933333
187.91,-83.4409333333,-152.688133333,-206.4516,-204.9462,-171.397866667,-179.354733333,-194.408533333,-115.698866667,-179.139733333,-199.999933333
188.29,-54.4442666667,-99.6824666666,-141.746266666,-136.984133333,-105.5556,-119.2062,-136.6666,-74.6032666667,-128.412666667,-134.7618
188.67,-28.8889333333,-62.9294,-82.8281333333,-80.7070666668,-64.6464666667,-69.8990666667,-79.2930000001,-44.5455333334,-74.8484666667,-72.9292666668
189.05,-32.8888,-70.1332,-86.5777333334,-79.6444,-68.7110666667,-75.7334666666,-74.9333333334,-47.1110666667,-74.4888,-72.0888
189.43,-28.9960666667,-61.6064666667,-73.5743333333,-65.0602666667,-56.5462666667,-66.1045333334,-69.7189333334,-40.7229999999,-67.7912,-60.1606000001
189.81,-33.2592666666,-65.6296,-70.2963333333,-65.4814666667,-54.0000666667,-68.2222000001,-66.7407333333,-41.4072666667,-68.0000666666,-65.6295333333
190.19,-36.4044,-64.4195333333,-71.6854666667,-62.7716,-49.3633999999,-65.5430666667,-71.2359333333,-45.7678000001,-67.1160666667,-69.4382666667
190.57,-54.0741333333,-83.4567333333,-92.3455999999,-79.3416666666,-61.5636666666,-81.1522666667,-90.6996000001,-57.1194666667,-88.1480666666,-90.6995333335
190.95,-53.9240666667,-85.4008666667,-93.0800666665,-78.7341333333,-58.3121999999,-82.6160666667,-92.5738666667,-57.0463333333,-90.2954000001,-90.8015999999
191.33,-50.0756666667,-79.4698,-81.5150666666,-67.4243333333,-48.5606000001,-74.7728666667,-85.0757999999,-49.5456000001,-79.7727333334,-78.5605333333
191.71,-50.11,-81.7582000001,-81.3920000001,-64.6153999999,-52.0148,-73.1867999999,-86.0806666665,-46.8864,-79.1209333334,-77.3625999999
192.09,-37.4692,-63.2715333333,-62.5309333333,-51.1110666667,-38.0246666667,-59.6296,-69.7532,-32.2222,-59.6914666667,-57.1605333333
192.47,-44.0548666667,-78.9003333333,-74.8453333335,-60.9621333333,-50.3778666667,-73.3334,-80.2063333333,-42.4055333333,-69.6219999999,-71.0653333333
192.85,-46.5882,-86.5882666667,-80.1569333333,-66.5883333333,-51.6861999999,-78.1962,-88.8627333333,-42.2745333333,-76.3921999999,-84.7059333333
193.23,-53.8666666667,-99.5555999999,-88.1776666665,-76.2666666666,-52.5333333333,-88.0888666667,-99.5556,-45.2444,-85.8667333333,-98.7555333332
193.61,-58.4977333333,-112.394333333,-96.9953333334,-88.8262666666,-59.7183333333,-96.6196666667,-105.7278,-49.1080666668,-92.3005333333,-108.075133333
193.99,-67.1958666666,-132.804066667,-117.672,-100.952333333,-75.1320666665,-109.2064,-124.232933333,-56.6138,-107.724866667,-122.327933333
194.37,-62.1905333333,-122.381066667,-110.571333333,-94.4762666667,-69.7141999999,-99.0476666667,-109.238133333,-50.3810000001,-102.6666,-113.0476
194.75,-43.8094,-94.8052,-85.8874000001,-74.7185999999,-55.1515333333,-75.3247333333,-84.6754,-36.3635333334,-79.0476666667,-90.2165999999
195.13,-29.929,-70.922,-64.8936,-55.461,-38.9360666667,-57.1630666667,-56.8084666667,-25.0354,-58.085,-67.8014
195.51,-31.5384666667,-71.3461333333,-64.9999333333,-51.6026,-42.6923333333,-56.2820666666,-51.9230666667,-29.1666666667,-58.3334,-68.718
195.89,-27.3216,-64.5238666667,-58.2738,-45.2975333333,-35.0595333333,-51.6667333333,-41.5476666667,-23.9882,-51.3095333333,-60.8332666667
196.27,-34.8286666667,-74.3301333333,-65.1090666666,-49.0965333333,-40.4360666667,-55.9501333333,-45.2336,-29.5328,-57.8816,-71.9627333333
196.65,-39.7437333333,-78.2051333333,-68.9743333333,-52.8846666667,-44.1026,-60.1924666666,-52.5641333334,-34.6793333333,-63.2051333333,-78.3332
197.03,-38.9407333334,-73.0841333333,-66.4798,-52.6479333333,-42.2428666667,-58.3177333333,-51.5887333333,-34.3302,-62.866,-76.5731333333
197.40,-39.365,-71.7459333333,-66.2858666667,-53.0793333333,-44.6982666666,-60.2540666667,-54.3492,-40.3808,-65.0793333334,-78.4760666667
197.78,-43.4,-75.5999999999,-71.7333333333,-56.5333333333,-51.4,-66.7333333333,-55.6,-44.2,-69.9333333333,-84.2000000001
198.16,-45.6565333333,-72.1211999999,-67.4746666667,-58.1819333333,-48.5521333333,-65.3871999999,-55.0168666667,-44.6466,-67.6767333333,-80.3367333333
198.54,-49.0151333333,-82.5756666667,-70.1514666667,-63.788,-49.9242666666,-72.1211333333,-60.6060666667,-46.5907333333,-71.8939333333,-84.0151333334
198.92,-39.3478666667,-71.9565333333,-60.0724666667,-51.4493333333,-36.2317333333,-63.0436666667,-50.7971333333,-34.8550666666,-62.3188666667,-73.1884666667
199.30,-44.5238666667,-78.7302,-67.7777333332,-58.3332666667,-41.5872666666,-70.0792666667,-58.4127333333,-36.4285333333,-67.9364666667,-83.7301333334
199.68,-59.9999999999,-99.7015333333,-89.2537333333,-77.3134666667,-54.7263999999,-92.0397999999,-76.2188666667,-42.8854666665,-90.1491999999,-108.258666667
200.06,-90.909,-129.4546,-117.697,-102.545466667,-78.4241333334,-121.696933333,-106.0606,-65.697,-122.181733333,-149.3334
200.44,-123.478333333,-168.695466667,-147.971,-134.057933333,-103.478266667,-149.855133333,-133.478333333,-87.1014666666,-157.101466667,-184.637733333
200.82,-194.949466666,-272.3232,-215.757733333,-197.7778,-149.898866666,-218.383866667,-199.798,-123.232266667,-231.919066667,-272.5252
201.19,-175.2942,-251.3726,-196.862866667,-169.607733333,-121.960933333,-193.921666667,-165.294066667,-103.333333333,-202.156733333,-248.8236
201.57,-111.0638,-166.383066667,-129.5036,-101.2766,-72.3404666665,-117.446866667,-102.411333333,-44.8227333333,-127.0922,-164.9644
201.95,-89.2120666667,-132.969733333,-103.394066667,-73.0908666667,-49.8182666666,-84.8485333333,-81.9394666667,-33.3333333333,-96.7272666667,-132.363533333
202.33,-68.9524666667,-103.1428,-77.9048,-51.7143333333,-39.0476666666,-61.7143333335,-63.1427333333,-24.0000666667,-79.1427999999,-100.381
202.71,-58.7804666665,-84.0650000001,-63.6585999999,-41.7074,-34.3902000001,-51.9512666667,-49.4310000001,-23.0081333333,-68.6991333333,-83.6586
203.09,-93.1280666669,-116.512866667,-91.4871333333,-65.8461999999,-55.7948666667,-72.7179333333,-71.8974666667,-41.3331999999,-95.0769333333,-112.6154
203.47,-123.742666667,-149.7076,-115.204733333,-85.1462000001,-72.7484666666,-91.6958666666,-92.0466666667,-59.6492000001,-121.637333333,-140.701733333
203.85,-110.382533333,-127.8688,-95.3006,-68.6339333333,-52.1311333333,-72.1310666665,-79.0164000001,-53.5518666666,-101.420666667,-120.437133333
204.22,-78.4000666666,-92.0001333335,-63.5555333333,-43.8222666667,-27.3777999999,-41.5110666667,-56.7999333333,-31.7334666667,-71.5554666667,-82.7555333332
204.60,-79.9074666667,-88.0555999999,-64.5372666667,-44.9074,-27.2222666666,-45.5554666665,-60.6481333333,-34.537,-73.0556666667,-81.0184666667
204.98,-53.4882666667,-58.2947333334,-41.3178666667,-30.5425333333,-8.75973333332,-27.1319333333,-40.3876,-21.1627333333,-50.6200666666,-52.4806
205.36,-47.9725333334,-48.591,-31.2028,-25.4983333333,-2.8178,-20.0001333334,-35.2576666667,-14.0208,-43.5052666667,-35.7387333333
205.74,-58.0076,-56.5516666667,-36.092,-34.8658,-7.35633333334,-24.5979333333,-45.5172666667,-22.682,-52.4904666667,-40.5362666667
