wavelength,Back_LopGrif,Belly_LopGrif,Breast_LopGrif,Crissum_LopGrif,Crown_LopGrif,DorTail_LopGrif,Patch10_LopGrif,Rump_LopGrif,Throat_LopGrif,WingTip_LopGrif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,203.333333333,163.333333333,186.666666667,206.666666667,196.666666666,323.333333333,243.333333333,186.666666667,83.3333333334,186.666666667
179.54,103.333333333,-73.3333333333,-26.6666666666,6.6666666666,40.0000000001,136.666666667,171.666666667,99.9999999999,-86.6666666665,146.666666667
179.93,86.1537333334,67.6922666667,76.4104000001,85.1282666667,75.3845333333,58.9744,46.4102333333,65.641,67.6922666667,46.6667333334
180.31,83.6190666667,73.7142,26.0951333333,60.7619333335,79.0475333334,-7.04760000001,34.6667666666,63.0476000001,107.809333333,-11.0476
180.69,100.860133333,92.4731333332,36.7742,81.5054666667,109.892533333,-11.613,44.6236333334,91.1825333333,135.053666667,-4.30113333334
181.07,118.4,115.733333333,28.2666666667,98.4,142.666666667,-17.3333333334,42.6666666666,113.066666667,160.533333333,-16.8
181.45,218.461666667,236.4102,31.7949333334,194.8718,287.692266667,-57.4359333333,94.1025,216.4102,294.871866667,-47.6923333333
181.83,275.555666667,253.889,39.4444666666,238.333266667,348.3334,-33.8888666667,150.277766667,243.333333333,339.999933334,-12.7777333332
182.21,-722.222266667,-782.222133333,191.111066667,-646.666733335,-1086.6666,382.222333333,-416.666733334,-708.888866667,-1175.55566667,246.666666667
182.59,-136.666666667,-144.444333333,71.6667999999,-148.888866667,-217.222333333,126.1112,-66.1110666666,-159.444266667,-299.999933333,47.2222
182.97,-205.0,-234.166666667,56.6666666667,-270.833333333,-350.833333333,111.666666667,-136.666666667,-278.333333333,-503.333333333,-36.6666666665
183.35,-156.3636,-181.212066667,39.3938666666,-232.727266667,-276.969733333,88.4849333334,-70.9091666667,-212.727266667,-386.0604,-49.091
183.73,-60.2778,-73.3332666667,50.8333333333,-98.8890000001,-115.833333333,71.9444,-11.8055333333,-73.8888666667,-165.277733333,-11.9444666666
184.11,-51.7778666668,-68.4445333333,34.2222000001,-98.2220666667,-107.777733333,56.8889333333,-17.4444333333,-60.4444000001,-139.7778,-28.8888
184.49,-14.8571333333,-24.9524,54.8571333334,-64.1906,-69.3334000001,69.143,7.61893333333,-21.9047333333,-90.4761333334,-2.09513333332
184.87,1.04166666668,-6.25,80.4166666667,-46.8749999999,-49.1666666667,90.6249999999,29.5833333333,8.12500000012,-84.1666666667,13.9583333334
185.25,-10.3447333333,-5.97706666668,69.6551333333,-59.5401333332,-49.6551333333,98.3908000001,30.2298333333,1.83913333326,-104.3678,7.81606666673
185.63,-89.7778666667,-47.5554666667,83.1111999999,-183.555533333,-145.777933333,123.5556,8.66669999994,-68.4443333335,-273.7778,-68.4444
186.01,-11.7171333333,9.89900000002,72.3232,-49.6970000001,-29.8991333333,94.9495333334,37.3737,-3.43440000006,-98.7879999999,-2.0201333334
186.39,-18.9146666667,6.97679999994,52.5581333333,-39.8450000001,-32.248,73.7985333333,27.5194333333,-4.65120000007,-79.6898666667,-9.45726666666
