wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
184.49,-75.6615555555,-2.3811111111,-76.7195555554,-54.2328888889,-62.9629999999,-73.0158888888,-68.5185555557,-56.3493333333,-26.1905555556,-42.8572222221,-26.1904444444
184.87,-171.111111111,-17.7777777777,-173.333333333,-121.111111111,-144.444444444,-183.333333333,-157.777777778,-115.0,-72.7777777778,-136.111111111,-55.2777777778
185.25,-94.6861111111,9.661888889,-128.502333333,-82.6086666667,-98.0675555556,-126.086888889,-100.483111111,-56.7633888889,-38.1641111112,-88.8888888889,-8.45394444444
185.63,-81.111111111,-12.2221111111,-111.481555556,-71.852,-85.5555555557,-121.111222222,-80.7406666667,-50.9258333333,-45.9256666667,-87.0371111112,-32.2222222222
186.01,-236.508,-63.4921111112,-291.269666667,-182.539666667,-236.507888889,-324.603,-242.063444444,-150.396611111,-146.031666667,-270.634777778,-134.920777778
186.39,-72.4444444444,10.6666666667,-124.444444445,-65.7777777779,-87.1111111112,-134.222222222,-92.4444444445,-11.5555555556,-36.8888888889,-112.888888889,-16.8888888889
186.77,-14.6343333333,35.2303333333,-34.1464444445,-8.13022222223,-25.7451111111,-49.3222222222,-23.3062222222,34.5528333333,21.6802222222,-33.3334444444,33.0623333333
187.15,6.44444444444,47.1111111111,0.888888888867,12.2222222222,2.66666666667,-27.1111111111,12.8888888889,49.1111111111,41.5555555556,1.33335712841e-10,57.8888888889
187.53,3.35922222223,34.3668888889,-2.32544444443,10.5944444444,-15.2453333333,-47.2867777779,8.78555555557,38.6303333333,35.6588888889,-11.8863333333,66.279
187.91,9.94155555557,30.9942222222,15.497,22.2222222222,-5.26311111112,-46.4911111111,8.1871111111,51.608,50.8771111111,-10.8187777778,90.4971111111
