wavelength,Back_TanCyaf,Belly_TanCyaf,Breast_TanCyaf,Crissum_TanCyaf,Crown_TanCyaf,DorTail_TanCyaf,Patch10_TanCyaf,Patch11_TanCyaf,Patch12_TanCyaf,Patch13_TanCyaf,Rump_TanCyaf,Throat_TanCyaf,WingTip_TanCyaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,303.333333333,248.49122807,258.666666667,276.0,298.666666667,334.0,270.666666667,293.333333333,274.0,280.666666667,291.333333333,291.333333333,285.666666667
179.16,1620.0,1428.77192983,1421.66666667,1456.66666667,1596.66666667,1896.66666667,1430.0,1543.33333333,1516.66666667,1543.33333333,1576.66666667,1468.33333333,1611.66666667
179.54,775.0,665.964912281,701.666666667,685.0,698.333333333,835.833333333,645.0,746.666666667,643.333333333,676.666666667,728.333333333,653.333333333,672.5
179.93,-500.0,-390.175438596,-474.666666667,-429.333333333,-428.0,-511.333333333,-410.666666667,-514.666666667,-429.333333333,-429.333333333,-449.333333333,-423.333333333,-412.666666667
180.31,377.833333334,324.074561403,339.666666667,341.5,356.5,414.458333333,327.333333333,374.25,324.583333333,338.583333333,361.583333333,354.791666667,359.083333334
180.69,333.993333333,289.8002,300.924066667,304.488533333,318.481866667,366.270766667,291.749066667,335.2474,289.967066667,301.0562,321.1222,315.9075,318.184866667
181.07,329.1088,289.341778947,298.481766667,303.2344,312.4752,361.0232,287.920733333,333.7294,282.5742,295.247533333,316.105666667,311.980166667,312.970333333
181.45,294.702466667,259.620985965,267.857166667,271.547533333,279.523866667,319.761866667,258.035733333,298.928733333,249.107066667,261.369,279.583333333,278.779833333,278.958266667
181.83,321.133333333,282.592982456,291.533333334,296.2,306.0,350.066666667,284.2,329.133333333,269.8,285.266666667,303.8,306.533333333,308.033333333
182.21,304.0498,269.034410526,272.741533333,281.2462,291.0282,333.021866667,270.218,309.283533333,254.641733333,268.6604,287.102666667,291.838133333,295.3271
182.59,341.6842,304.265954386,307.4037,317.684066667,326.736733333,373.508733333,301.614066667,345.824466667,287.578933333,300.210666667,324.491266667,328.210633333,334.350766667
182.97,391.440266667,350.838235088,355.967,367.6542,373.497866667,430.9053,343.786066667,393.333333333,334.4856,344.5268,369.711866667,370.576133333,388.353866667
183.35,422.806933333,381.52822807,388.5965,396.579066667,401.578933333,462.763366667,374.912266667,422.368466667,364.210533333,375.263133333,395.0,394.693,419.561433333
183.73,428.177933334,391.513491228,397.244433333,405.2444,410.488866667,470.044333333,381.600066667,432.800066667,372.088933333,383.5554,398.4,404.4888,425.644366667
184.11,361.629666667,334.15988421,335.8149,347.407466667,350.888933333,399.777833333,324.889,365.629666667,320.296466667,324.148066667,337.3334,342.2963,361.370433333
184.49,447.0424,409.75045614,413.333266667,429.201866667,430.7042,490.844933333,395.586733333,451.455466667,394.1784,398.216066667,411.3616,417.2299,444.319366667
184.87,597.0514,543.292722807,544.871766667,567.564,568.205133333,646.730633333,517.3078,588.205133333,525.7692,527.179533333,538.333333333,549.038433334,587.884633333
185.25,652.7658,594.109782456,598.014233333,614.609866667,625.106333333,701.985833333,561.702133334,632.624133333,578.297866667,578.581466667,584.538933334,596.099433333,646.3122
185.63,770.940133333,705.892901754,711.453166667,728.888866667,745.299133333,824.188066667,659.145133333,745.8118,688.547,686.153733333,692.8204,714.444233333,766.4105
186.01,688.837133333,629.971578947,631.7054,650.697666667,667.907,726.279,579.0698,647.286933333,618.4498,603.720866667,611.007666667,633.5659,678.682166667
186.39,840.5882,751.269375439,762.2548,769.999933333,811.960733333,854.313766667,675.882333333,759.804066667,730.9804,721.5686,716.666666667,754.215766667,805.980366667
186.77,1044.8718,914.520838595,925.512866668,927.435733333,1012.5642,1044.48726667,805.641,907.435933333,879.487133333,870.769266666,847.179466667,916.282166667,980.000033333
187.15,821.414133333,691.887301754,702.626366667,699.191933334,785.050533333,780.909266667,615.353466667,692.525266667,654.3436,656.363466667,644.4446,707.575666667,744.646333333
187.53,1521.5686,1243.61194737,1274.90186667,1263.5294,1439.99993333,1381.37246667,1077.64706667,1241.9608,1168.23533333,1165.09806667,1159.6078,1299.21563333,1334.1178
187.91,-6225.0,-4907.01754386,-5092.5,-4976.66666667,-5896.66666666,-5409.16666667,-4178.33333333,-4745.0,-4488.33333333,-4536.66666667,-4578.33333333,-5130.0,-5275.83333333
188.29,-849.0476,-638.721764912,-681.071466667,-642.619000001,-793.333399999,-703.4524,-525.9524,-603.571466667,-570.238133333,-589.761933333,-585.7142,-673.571433333,-679.1667
188.67,-1620.44453333,-1205.70757193,-1297.55553333,-1197.7778,-1528.889,-1354.44453333,-984.444399999,-1122.6666,-1059.55546667,-1107.99993333,-1121.7778,-1265.3333,-1277.55566667
189.05,-975.555533335,-702.690091229,-779.8611,-700.000066666,-924.999999999,-817.222333333,-579.166666667,-658.611133333,-600.2778,-630.5556,-670.555533334,-743.6111,-758.194399999
189.43,-636.296266667,-445.565280702,-499.3518,-446.851733334,-608.3334,-530.833366667,-356.296333333,-414.6296,-372.407333333,-395.0,-431.481533333,-473.703766667,-478.240566667
189.81,-488.333266666,-323.572435088,-368.560633333,-328.787866667,-468.0304,-398.105966667,-243.333333333,-295.0,-262.424133333,-282.5758,-318.030466667,-337.500033333,-350.833366667
190.19,-427.361133333,-268.282122807,-308.958333333,-271.388933333,-403.472266667,-334.444566667,-187.222133333,-243.888866667,-202.222266667,-227.083333333,-261.111133333,-276.666733333,-294.1666
190.57,-430.4348,-277.170154386,-314.3478,-275.507266667,-409.565266667,-354.782466667,-195.3624,-246.811466667,-208.405866667,-229.855066666,-269.8552,-277.898466667,-298.3332
190.95,-467.4602,-306.45777193,-346.6666,-303.9684,-447.777933333,-385.396766667,-215.555533333,-270.317466666,-223.8094,-249.841333333,-297.301533333,-295.3968,-322.698466667
191.33,-381.904733333,-258.968838596,-288.435333333,-259.727933333,-373.3334,-328.639466667,-167.618933333,-215.510133333,-180.272,-206.530533333,-251.428666667,-242.176833333,-270.067966667
191.71,-388.9854,-267.086112281,-291.594133333,-266.956466667,-386.376866667,-340.797066667,-172.028933333,-216.231933333,-178.261,-205.507266667,-254.637666667,-245.144833333,-276.666666667
192.09,-445.0,-305.49122807,-325.0,-312.0,-435.166666666,-384.416666667,-192.5,-248.0,-194.333333333,-236.666666667,-286.0,-270.833333333,-312.083333333
192.47,-450.5,-315.798245614,-329.083333333,-321.5,-444.666666667,-391.833333333,-210.333333333,-256.0,-196.333333333,-243.166666666,-299.333333333,-277.833333334,-325.333333333
192.85,-246.458133333,-169.758589474,-172.239333333,-172.708,-250.208066667,-207.708266667,-101.2498,-127.083133333,-90.4164666667,-121.770533333,-153.749866667,-144.7914,-174.062333333
