wavelength,Back_SpoHyxf,Belly_SpoHyxf,Breast_SpoHyxf,Crissum_SpoHyxf,Crown_SpoHyxf,DorTail_SpoHyxf,Patch10_SpoHyxf,Rump_SpoHyxf,Throat_SpoHyxf,WingTip_SpoHyxf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,30.5555833333,18.0555833333,1.38879166665,84.7221666667,101.388958333,79.1665000001,47.2222499999,55.5555833333,105.555458333,51.3891666668
179.16,37.8789166666,49.2424166667,36.7422916667,68.1816666667,50.3788333333,71.9696666666,69.6968333334,71.9694583334,88.6364166667,21.2121666667
179.54,66.6666666667,83.3333333334,88.5416666667,179.166666667,134.375,135.416666667,183.333333333,151.041666667,107.291666667,133.333333333
179.93,-641.666666667,-691.666666666,-466.666666667,-333.333333334,-241.666666666,-416.666666667,-425.0,-583.333333333,-250.0,-291.666666667
180.31,500.000000002,720.833333333,641.666666667,-541.666666669,-150.000000001,-187.5,-395.833333333,1.00000363545e-09,-212.500000001,220.833333333
180.69,212.500000001,393.749999999,282.291666667,-306.25,-90.6249999998,-126.041666666,-312.5,-106.25,-89.5833333335,118.75
181.07,125.462833333,125.463166667,121.990666667,19.9075,69.6759166667,43.055375,-26.3888333332,21.75925,68.7498749999,94.9074166667
181.45,82.8124166668,86.6319166668,79.1668333333,47.3958333334,67.9686666666,54.3403333333,34.2015,54.5139166666,73.6978749999,73.7845833332
181.83,70.1690833334,72.1014166666,70.8333333333,51.3286666667,64.0097083334,49.879125,42.14975,53.6231249999,65.8815416667,72.464
182.21,53.0039166666,57.655,52.76175,43.0233333334,52.0833333333,35.852625,33.52725,38.5657916667,50.2905833333,54.3604166667
182.59,38.754,45.1455,40.4125833333,40.9386666667,44.9434583333,29.894875,25.32375,29.12625,38.6327083333,41.5048333333
182.97,32.1321666667,35.961,36.111125,39.0390833333,35.4730833333,26.576625,20.9459166667,22.5975833333,31.6067083333,32.2071666667
183.35,31.4725833333,32.2815833333,37.823625,40.6955833334,39.3202916668,19.2152916667,21.1974166667,21.844625,30.0566666667,31.5534166667
183.73,22.44225,26.7326666667,29.9090833334,34.7359166666,29.24925,7.467125,11.6335833333,16.4192083333,25.4950416667,24.2575833333
184.11,25.3655,30.2633333333,33.6624166667,38.8158333333,33.6988333333,16.1914583333,15.8625,21.1256666667,30.1535833333,24.8538333333
