wavelength,Back_RamSanm,Belly_RamSanm,Breast_RamSanm,Crissum_RamSanm,Crown_RamSanm,DorTail_RamSanm,Rump_RamSanm,Throat_RamSanm,WingTip_RamSanm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-48.1481111111,-30.0000666667,-46.6668666667,-35.5554666666,-12.2222666667,-14.4444333333,-35.5555333333,-16.6667333333,2.22213333333
179.16,110.833333333,78.3333333333,94.1666666667,91.6666666667,95.0,87.5000000001,98.3333333334,105.0,55.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-16.0,10.6666666667,-12.0,3.99999999999,-17.3333333333,43.3333333333,-42.6666666667,18.6666666666,-50.6666666667
180.31,-102.666666667,121.333333333,-96.0,41.3333333331,36.0000000001,-130.0,320.0,-186.666666667,340.0
180.69,-40.3418666665,50.2562,-39.9999333331,15.3844666667,9.74366666668,-67.6923666666,121.538466667,-67.1796666667,142.564133333
181.07,49.7222222222,107.083333333,31.2499999999,75.4166666666,59.1666666666,-7.08333333346,167.916666667,-7.5,160.0
181.45,84.0404222223,91.9190666666,63.6362666665,82.6264000001,78.3838666666,43.7375333333,126.868733333,43.8383999999,112.727266667
181.83,94.0522444447,89.9998666667,69.4117333333,91.9608666667,87.8430666666,50.0001,127.647133333,53.5295333333,115.098066667
182.21,71.2368222222,64.9056,54.0881333333,69.8113333333,63.3963333333,48.3018666667,91.4465999999,40.2515333333,75.9747333333
182.59,89.2008444446,78.5965333334,71.8129333334,85.2630666667,74.8537999999,62.1052666667,97.1929333333,59.0643333334,86.3158000001
182.97,83.3918666667,68.772,61.9882666667,80.2339999999,69.0057333334,60.1169999999,86.3158666667,56.6082666667,81.2864666667
183.35,79.3102888889,62.6436666667,60.2298666666,75.0573333333,68.3907333333,63.2183999999,78.6207333334,51.2644,74.3677333333
183.73,70.2223555556,51.0768666667,53.0256666666,66.0511333333,61.6408666667,56.4615333334,66.8718666667,44.8204666667,57.9487333333
184.11,80.7407777778,41.7776666667,58.2224,65.4815333334,65.6295333334,58.0000666667,64.8888666667,41.037,59.7037333334
184.49,138.592488889,61.1110666667,93.111,92.2221999999,93.9999333335,89.2223333333,89.3332666667,68.8889333333,98.4443333332
184.87,385.656555555,141.8182,237.575733333,225.454466667,221.8182,262.121266667,209.696933333,175.151466667,255.151466667
185.25,494.722222222,126.666666667,290.0,286.666666667,257.5,319.166666667,202.5,197.5,306.666666667
185.63,276.923111111,55.8973999999,135.897466667,153.333266667,140.512866667,171.282066667,91.7949333334,110.769266667,157.9488
186.01,341.111111111,37.3333333332,151.333333333,148.666666667,143.333333333,173.0,88.6666666668,92.6666666667,162.666666667
186.39,-272.666666667,43.3333333333,-68.0000000001,-71.3333333335,-65.3333333333,-69.3333333333,33.3333333333,-1.33333333333,-97.3333333332
186.77,-62.6263777778,68.7878000001,13.0304666667,17.5757333333,8.48486666668,7.2728,60.6059999999,47.5757333334,9.6969333334
187.15,-53.3333111111,56.9230666666,5.89726666662,17.1795333333,7.17939999994,8.71799999994,54.6153333333,44.359,20.7691999999
187.53,-37.6430222222,52.7272666667,11.7172666667,15.9596,17.1716666667,19.4949666667,53.3334,39.7980666666,36.5657333334
187.91,-48.1005333334,45.5913333334,13.5484,6.45160000002,20.4300666666,27.2044333333,66.4516666667,42.7957333334,46.8816666667
188.29,-207.111111111,60.0000000002,-50.6666666666,-101.333333333,-2.0000000002,18.3333333334,142.0,49.3333333332,93.9999999998
188.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.05,249.259244444,36.6666666666,183.333266667,202.777666667,133.3332,57.5000666668,-7.2222,28.3334000002,-77.7778000001
189.43,-205.679044444,64.4444,-137.7778,-132.5926,-88.8888666665,40.3703,125.185266667,98.5185999998,276.296266667
189.81,-62.3111111112,26.9333333335,-48.5333333332,-36.0000000001,-13.6000000001,26.6666666667,44.5333333333,58.1333333333,114.133333333
190.19,-80.9401333333,-6.92313333326,-67.1794,-54.8716666666,-44.3589333334,-1.9230666666,27.1794666667,23.3333333333,90.2564666667
190.57,-61.8955777777,-7.05873333333,-54.1176666667,-35.8823333334,-38.4313333333,-0.68633333332,19.4118666667,6.66666666661,74.706
190.95,-92.1811111111,-15.0617333334,-85.6790666667,-55.0617999999,-55.3086000001,2.83956666672,18.5185333333,4.44446666674,80.0
191.33,-92.1481777779,-10.2222000001,-89.1110666666,-59.7777999999,-59.7778666666,-3.8888333334,7.55546666666,-0.22219999998,61.3332666667
191.71,-198.333333333,-36.2499999999,-195.833333333,-140.416666667,-125.416666667,-37.9166666667,-15.4166666666,-22.9166666665,68.7500000001
192.09,-119.899022222,1.81826666666,-121.818133333,-79.6968666667,-78.7879999999,0.45443333348,1.81826666666,2.72726666674,61.2123333335
192.47,-111.190555555,-11.9047333335,-102.3808,-65.2380666666,-71.1905999999,-23.3334666666,-14.7618666667,-9.52393333334,35.7142666667
192.85,-42.4806222222,26.3565333334,-36.2791333334,-10.3875333333,-12.0932,14.496,16.1240666667,23.4107999999,45.2713333333
193.23,-24.8610888889,39.8612666667,-12.3610000001,2.5,-0.416733333334,23.8195,27.3611333333,31.3889333333,43.1944666667
193.61,-45.0794,47.2382000001,-26.8571999999,-10.857,-13.3333333333,14.4762666667,16.5714666667,22.8571333333,22.8571333333
193.99,-41.9258444445,87.7778,-10.4444666667,4.00006666668,-3.1112,33.8889333333,35.3332,38.8888666667,43.1109333333
194.37,-37.8494444445,99.7848000002,1.93540000007,8.6022,10.5376,29.9999666667,32.9032,53.1182,47.9569999999
194.75,-269.166666667,269.166666667,-135.833333333,-117.5,-112.5,-30.8333333332,-33.3333333334,54.9999999998,21.6666666665
195.13,-126.388888889,148.75,-43.3333333335,-34.5833333334,-47.9166666668,-12.0833333334,7.08333333334,42.5,31.6666666667
195.51,-121.428466667,183.8096,-27.1427999999,-9.0475333336,-18.5714666667,0.9524333334,54.2857333335,65.238,58.0952
195.89,-80.6222222222,90.1333333334,-20.0000000002,-2.13333333354,-30.6666666667,-12.6666666668,33.3333333333,32.5333333333,33.0666666667
196.27,-110.488888889,56.7999999999,-40.0000000001,-18.1333333333,-71.2000000001,-58.9333333333,7.2,5.6,5.33333333334
196.65,-58.1819555556,66.6666666667,1.81826666659,15.9596666666,-26.2626666667,-9.39386666674,30.1011333333,29.4950000001,33.7373333335
197.03,-54.9287777778,50.4273333333,10.9400666667,12.9914666667,-30.7692,-14.7008666667,23.9318,25.8119333333,36.7521333334
197.40,-57.2838666667,60.9259333334,12.0369999999,19.2591999999,-27.9629333333,-13.8888666667,31.2962666667,28.5184666667,52.5926
197.78,-77.7176666666,30.4504,-13.1532000001,-5.22513333326,-48.4684666667,-32.6128000001,12.2522,-1.62166666665,41.8017333333
198.16,-52.2650444445,11.6666,-14.8717999999,-8.07706666664,-38.7179333333,-26.5385,7.94873333336,-11.0257333334,22.4359333333
198.54,-37.0505111111,21.697,-6.42426666668,1.93926666664,-23.394,-5.27263333333,17.4544666667,-6.30300000001,37.9392666667
198.92,-10.7936666667,33.5238666667,15.2380666667,21.1427333333,0.28566666666,18.7142666667,33.1428,14.8571333333,52.9523333333
199.30,-9.01062222221,32.2373333333,20.3652666667,21.644,2.19179999999,19.5435,28.8584,19.0866666667,57.7168666667
199.68,-12.8432,28.3334666667,20.0000000001,19.0196,-1.86259999999,18.7745,23.2352,19.2155333333,64.1176666667
200.06,5.13033333331,38.8478,31.6872666666,32.2634,17.6953333334,35.432,31.8517333333,27.325,67.4894666667
200.44,17.1835111111,52.3255333333,41.6278666668,45.1938666667,36.3566,51.3179333333,39.535,37.6744,77.5192666667
200.82,20.6510222222,51.7171333333,40.4714,45.3871333333,36.0942666667,47.5084333333,37.5758,38.4513333333,75.0840666667
201.19,34.8374222222,60.5387333333,49.0909333333,55.1514666667,44.3097333333,60.4378,47.138,48.2156,85.1851333332
201.57,33.2575777778,58.0302,47.5758,53.7121333332,41.3635333333,61.2121333333,43.1818,47.3486,88.1818666667
201.95,48.3547555555,70.3846666667,57.9487333333,64.2306666666,52.3717333333,70.4486666667,54.6795333333,60.2565333333,92.2437333333
202.33,55.5124444445,80.1940666667,66.1488,70.8090666667,60.8415333333,76.6019333333,62.1359333333,71.5856,103.2362
202.71,59.0414444445,80.3267333334,67.9739333333,71.5032666666,61.3072,74.3137333333,63.7254,74.0522666666,103.7254
203.09,61.8376222222,79.2948666667,69.9357333333,70.2564666667,63.5898666667,70.7051666667,63.3974666667,74.2950000001,101.218133333
203.47,70.8952888889,85.437,75.9222666666,77.7993333333,70.8739333333,76.1811666666,70.8090666667,76.5694666667,106.278133333
203.85,77.4879111111,88.7535999999,79.5940666667,82.5505999999,74.7825333333,79.1015666666,75.5362,79.5942000001,105.681133333
204.22,82.1368444445,90.4614666666,81.7435333334,84.2564666667,75.3846,80.5897666667,79.0256666667,84.4614000001,107.128266667
204.60,75.0402,80.6280666667,72.1739333333,73.1886666666,65.1208,68.8406333333,70.8212,75.0241333333,95.8937333332
204.98,70.7983777778,76.3950666667,69.0370666667,68.3951333333,60.9877333333,64.9628666666,68.1482,69.0863333333,88.5925999999
205.36,64.0607111111,71.8464666667,67.5300666666,63.7410666667,58.3214,60.0958,64.2685333333,63.3094666667,80.8632666666
205.74,62.8661555555,67.5378666667,66.7045333333,61.8182,58.7121333333,58.9772333333,62.9546666667,61.4395333333,74.4697333333
206.12,60.7882666667,64.6899333333,66.8604,60.3874666667,58.9147333333,57.2287,60.7752666667,60.5426666667,72.7907333333
206.50,61.5818666667,62.1092666667,65.9886666667,59.8116666667,59.3221333333,58.1732666667,58.2675333333,59.6232,70.3578666667
