wavelength,Back_TanLavm,Belly_TanLavm,Breast_TanLavm,Crissum_TanLavm,Crown_TanLavm,DorTail_TanLavm,Patch10_TanLavm,Rump_TanLavm,Throat_TanLavm,WingTip_TanLavm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,151.190476191,266.666666666,308.333333333,350.0,325.0,-41.6666666668,175.0,208.333333333,291.666666666,208.333333334
179.16,160.714285715,33.3333333335,366.666666667,-50.0,116.666666666,833.333333331,466.666666667,316.666666667,-66.6666666667,250.0
179.54,60.7142142857,64.2858333335,-42.8571666667,73.8095,80.9525,-49.9996666667,7.14300000002,40.4761666667,19.0475,97.6191666665
179.93,48.214047619,63.0953333335,28.5715,61.905,61.9048333333,-2.38083333333,60.7141666667,48.8096666667,40.4761666667,82.1428333333
180.31,150.042773809,221.428666666,83.9285,235.119,200.595333333,-20.8331666667,154.762,148.214166667,132.738166667,125.000166667
180.69,204.924238095,317.424333333,112.878833333,322.727333333,262.121333333,-34.0911666667,220.454666667,199.242333333,174.2425,155.303
181.07,506.190476191,694.999999999,235.0,663.333333333,613.333333333,-64.9999999998,531.666666667,440.0,345.0,291.666666667
181.45,431.685083333,578.205166667,226.923,551.281833333,511.538666667,16.6666666667,484.6155,393.589666666,262.820333334,285.8975
181.83,373.4375,509.375,234.375,458.333333333,437.5,62.5000000002,457.291666666,329.166666666,240.625,268.75
182.21,1015.0,1476.66666667,586.666666667,1360.0,1223.33333333,113.333333333,1256.66666666,876.666666669,646.666666667,623.333333333
182.59,889.6825,1236.111,533.333333334,1091.66666666,1022.22216667,127.777833333,988.889166668,694.4445,508.3335,544.4445
182.97,280.328571429,399.206333333,201.587166666,363.492166667,323.809666666,77.7778333335,332.539666667,222.222333333,196.825666667,215.873
183.35,281.369047619,430.0,225.833333333,325.833333334,311.666666667,56.6666666667,334.166666666,223.333333333,199.166666667,219.166666666
183.73,336.045130953,508.3335,263.888833333,368.5185,334.259333333,87.9630000002,375.0,252.777833333,236.111166667,236.111
184.11,618.690476191,913.333333331,450.0,633.333333333,606.666666666,178.333333333,708.333333333,463.333333333,455.0,510.0
184.49,772.959261905,1233.33333333,557.143,800.0,764.285666667,164.285833333,990.476166668,604.762,554.761833334,690.476166667
184.87,334.821428572,531.25,273.958333333,354.166666666,355.208333334,107.291666667,447.916666666,278.125,259.375,348.958333333
185.25,223.322440476,389.393833333,188.636333333,284.090833333,216.666666666,74.2423333333,321.212333333,196.212,192.424333333,265.909166667
185.63,317.361107143,638.888833333,279.166666666,438.889,316.666666667,25.0,497.222333333,255.555666667,262.5,394.444666666
186.01,414.880952381,902.083333335,302.083333333,556.25,358.333333334,-127.083333333,645.833333333,304.166666666,314.583333333,427.083333333
186.39,671.627095238,1277.77783333,419.444500002,725.000166667,480.5555,-166.666666667,950.0,466.666666666,469.4445,541.666666668
186.77,1787.5,3541.66666666,1025.0,1841.66666667,1291.66666667,-1100.0,2633.33333333,1183.33333334,1300.0,1366.66666667
187.15,-248.941797619,-614.815,-112.962833333,-251.851666666,-146.2965,411.111,-431.4815,-127.777666667,-92.5925,-114.814833333
187.53,-1876.19047619,-5333.33333334,-700.0,-2583.33333333,-733.333333335,3350.0,-3883.33333334,-1066.66666666,-166.666666667,-683.333333335
187.91,208.843630953,650.0,19.0475,316.6665,-35.7141666665,-540.476,495.238,114.285666667,-73.8096666669,33.3331666665
188.29,82.5396309522,280.5555,-51.389,104.166833333,-138.888833333,-422.222166667,202.777833333,-19.4445,-131.9445,-97.2221666665
188.67,72.0779642859,147.4745,14.6465,58.5858333334,-5.55533333335,-123.232333334,112.626166667,26.2626666667,-3.03016666667,1.01016666665
189.05,72.0507857145,119.697166667,10.9846666665,53.4091666666,4.16666666665,-80.6818333333,95.8331666668,28.4091666667,-2.65166666667,2.27266666665
189.43,70.1754047621,106.1405,18.1286666666,44.4445,17.2515,-47.076,83.6255000001,35.3801666666,9.64916666668,22.2223333333
189.81,71.9362380951,90.6861666668,17.1568333333,34.8038333333,22.3038333333,-26.9608333333,73.2843333332,39.2156666667,16.4216666667,25.0
190.19,63.8209047618,78.0488333334,26.2196666667,39.8375,23.7805,-3.6585,65.0406666666,40.2438333333,20.935,30.0816666667
190.57,64.2712976189,79.2683333335,35.5693333334,44.5123333333,26.2196666667,10.1628333333,65.447,41.87,18.2928333333,36.179
190.95,67.151761905,80.0410000002,27.572,47.1193333333,23.0455,25.5145,66.2549999998,45.885,14.1976666667,36.6258333334
191.33,84.3933214286,97.9451666665,29.2238333334,58.4476666667,32.8768333333,41.5526666666,75.7989999998,61.1873333333,19.178,48.6301666666
191.71,91.2595,108.991166667,30.921,64.693,44.0788333333,49.7805,77.6315,66.4473333334,27.6315,62.2808333334
192.09,86.5844166665,107.906,31.6238333333,64.1023333334,50.641,53.6325,77.7778333331,59.8291666667,25.8546666667,63.2478333334
192.47,76.9748571427,104.356333333,33.9015,64.394,52.2728333334,61.3636666667,74.8104999999,61.1741666667,26.894,61.9318333333
192.85,67.8573214284,96.2768333335,26.9505,59.929,39.007,57.6241666667,58.6881666667,57.0921666667,19.3263333333,56.0285
193.23,63.7984523809,104.924166667,25.9468333333,56.8181666667,29.7348333333,54.9243333333,54.5453333334,53.5986666666,17.9921666667,60.7955
193.61,64.894857143,110.271333333,27.907,63.7598333334,27.1316666667,60.6588333334,54.4573333334,56.2016666667,18.6046666667,62.403
193.99,69.4687142859,123.577333333,40.4471666667,75.0,26.626,71.9511666667,66.8698333333,67.4798333334,20.5285,71.9511666666
194.37,71.8749999999,125.416666667,36.875,77.7083333333,26.0416666667,74.7916666667,71.875,67.2916666667,18.125,76.25
194.75,62.9013809524,112.984333333,30.4265,64.1473333334,24.6125,68.4106666667,67.4416666667,59.4961666666,15.6978333334,71.5115
195.13,48.9489166666,102.6595,29.61,57.8013333334,22.695,56.3831666666,60.8155,50.8866666667,11.3476666667,64.7161666667
