wavelength,Back_TanPerf,Belly_TanPerf,Breast_TanPerf,Crissum_TanPerf,Crown_TanPerf,DorTail_TanPerf,Patch10_TanPerf,Patch11_TanPerf,Rump_TanPerf,Throat_TanPerf,WingTip_TanPerf
345.25,6.09133333333,17.2206666667,12.092,5.948,4.72733333333,4.933,6.51233333333,4.77766666667,6.42206666667,16.499,6.6325
345.62,6.156,17.3486666667,12.0523333333,5.8085,4.60166666667,4.872,6.62566666667,4.702,6.40886666667,16.569,6.596
345.99,5.907,17.1743333333,11.879,5.6285,4.34966666667,4.613,6.62366666667,4.449,6.2008,16.2336666667,6.315
346.35,5.97433333333,17.403,12.1026666667,5.757,4.352,4.806,6.74733333333,4.60633333333,6.33533333333,16.4893333333,6.5275
346.72,6.12633333333,17.4606666667,12.223,5.7895,4.369,4.853,6.71566666667,4.69333333333,6.4808,16.452,6.628
347.08,6.241,17.5186666667,12.3616666667,5.9585,4.33733333333,5.067,6.81066666667,4.792,6.61386666667,16.6243333333,6.693
347.45,6.29533333333,17.6456666667,12.3946666667,5.843,4.36233333333,5.09,6.85733333333,4.84466666667,6.682,16.6466666667,6.702
347.81,6.32766666667,17.7086666667,12.363,5.7915,4.218,4.893,6.63433333333,4.631,6.50073333333,16.5863333333,6.584
348.18,6.202,17.615,12.278,5.515,4.08933333333,4.783,6.544,4.512,6.41526666667,16.3823333333,6.5185
348.54,5.94333333333,17.461,12.2193333333,5.4185,3.86466666667,4.692,6.45733333333,4.389,6.24793333333,16.2956666667,6.304
348.91,5.93366666667,17.4273333333,12.2696666667,5.326,3.88333333333,4.699,6.47733333333,4.48766666667,6.29113333333,16.2636666667,6.1275
349.27,5.89333333333,17.387,12.1336666667,5.2885,3.88833333333,4.669,6.477,4.59333333333,6.30986666667,16.2433333333,6.248
349.64,5.69666666667,17.2656666667,12.0353333333,5.2205,3.987,4.589,6.369,4.65866666667,6.20746666667,16.0876666667,6.1835
350.00,5.727,17.3113333333,11.9886666667,5.2625,4.068,4.663,6.25666666667,4.64266666667,6.15013333333,16.227,6.0945
350.37,5.59433333333,17.119,11.8706666667,5.1005,4.067,4.477,6.17233333333,4.51666666667,6.00326666667,16.1403333333,5.96
350.73,5.491,17.0433333333,11.8626666667,4.912,3.93933333333,4.151,5.98333333333,4.33833333333,5.76546666667,16.0733333333,5.85
351.10,5.213,16.8703333333,11.6183333333,4.447,3.588,3.858,5.60066666667,4.01033333333,5.41886666667,15.8543333333,5.4265
351.46,5.249,16.9146666667,11.656,4.473,3.478,3.897,5.57466666667,3.84333333333,5.3952,15.7573333333,5.3125
351.83,5.196,16.9683333333,11.8113333333,4.6065,3.50066666667,4.056,5.732,3.844,5.4198,15.7756666667,5.2585
352.19,5.15166666667,17.0466666667,11.727,4.553,3.47266666667,3.911,5.75766666667,3.71833333333,5.3036,15.9066666667,5.123
352.55,5.33866666667,17.293,11.659,4.5935,3.472,4.001,5.86766666667,3.705,5.35693333333,16.007,5.165
352.92,5.353,17.5296666667,11.68,4.774,3.48533333333,4.1,5.944,3.75,5.43253333333,16.13,5.3125
353.28,5.47,17.758,11.803,4.7565,3.465,4.281,6.06233333333,3.84733333333,5.58846666667,16.401,5.2325
353.65,5.488,17.8333333333,11.7663333333,4.7535,3.38466666667,4.23,6.11266666667,3.69733333333,5.6332,16.538,5.1805
354.01,5.432,17.9213333333,11.851,4.7705,3.30733333333,4.036,6.11566666667,3.66033333333,5.67726666667,16.6213333333,5.2325
354.38,5.46733333333,18.0983333333,11.821,4.8185,3.25266666667,3.96,5.99566666667,3.633,5.64926666667,16.546,5.1615
354.74,5.39033333333,18.1,11.719,4.871,3.29566666667,3.931,6.052,3.664,5.6602,16.4476666667,5.167
355.11,5.63766666667,18.3,11.8356666667,5.0985,3.519,3.942,6.25433333333,3.77533333333,5.81406666667,16.4933333333,5.4195
355.47,5.67533333333,18.4233333333,11.9043333333,5.1505,3.73133333333,3.942,6.32566666667,3.97933333333,5.96733333333,16.6016666667,5.629
355.83,5.725,18.5313333333,11.8943333333,5.1505,3.75,3.807,6.38266666667,4.12366666667,6.04413333333,16.7076666667,5.711
356.20,5.81966666667,18.5906666667,12.0343333333,5.2165,3.76733333333,3.743,6.464,4.234,6.11286666667,16.7066666667,5.7235
356.56,5.86,18.608,12.1513333333,5.261,3.804,3.76,6.41366666667,4.32966666667,6.09413333333,16.655,5.6995
356.93,5.81966666667,18.6523333333,12.2223333333,5.164,3.83966666667,3.839,6.39133333333,4.302,6.09066666667,16.723,5.6485
