wavelength,Back_ConLeum,Belly_ConLeum,Breast_ConLeum,Crissum_ConLeum,Crown_ConLeum,DorTail_ConLeum,Patch10_ConLeum,Patch11_ConLeum,Rump_ConLeum,Throat_ConLeum,WingTip_ConLeum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,11.1108888889,7.1428888889,4.7618888889,51.1905,12.6984444445,0.793611111133,38.0952222222,26.9841111111,10.3175555556,15.0793333333,53.1746666667
179.16,64.1976666667,-14.8146666667,33.3334444444,-11.1113333334,1.23444444444,6.79,25.9257777778,56.7902222222,33.3333333333,18.5183333333,50.6172222222
179.54,-55.5554444445,-94.4445555556,-18.5185555555,-88.889,-40.7406666667,-69.4446666667,24.0738888889,-7.40733333334,0.000222222244448,33.3333333333,9.2592222222
179.93,-70.3704444446,-77.7778888889,3.70377777777,-188.888833333,-96.2962222222,-92.5927222222,77.7776666668,33.3334444443,44.4443333332,44.4443333334,-88.889
180.31,-1.81963621308e+15,-2.68680659587e+15,-6.53931764075e+14,-3.52909913982e+15,-1.9333634764e+15,-1.80897428214e+15,-5.18880638886e+14,1.77698848932e+14,-3.7672155974e+14,-2.4877838851e+14,-2.0328748318e+15
180.69,1677.77777778,2122.22222222,433.333333333,2850.0,1800.0,1583.33333333,655.555555557,-105.555555554,294.444444443,133.333333333,1738.88888889
181.07,170.370444445,194.238777778,67.0780000001,298.148166667,172.016444444,155.349944444,106.172777778,37.86,67.9013333335,42.7983333333,181.481777778
181.45,151.852,154.629333333,63.8888888889,232.4075,124.691444444,114.969222222,92.9013333335,36.7284444444,61.111,29.6295555556,146.296222222
181.83,120.512888889,123.717888889,58.3332222222,171.474666667,97.0083333332,89.8503888888,84.6155555555,35.2563333332,53.8462222222,41.0255555556,124.786222222
182.21,117.383444445,116.128888889,73.4765555556,151.8815,91.2186666667,86.2904444446,97.6702222221,44.8030000001,67.5627777778,57.1683333333,118.100555556
182.59,118.739777778,113.433,83.9138888889,146.268833333,89.8840000001,81.8408333333,102.321666667,46.6004444444,72.6368888888,73.3002222222,110.945222222
182.97,164.197444444,145.678666667,123.662333333,190.740833334,123.868444445,108.127611111,152.263333334,67.9013333332,104.732444444,116.049222222,146.502
183.35,185.024111111,141.545888889,141.062888889,209.057666666,129.468666667,112.681055555,171.256222222,69.3236666667,118.599,136.715111111,145.410777778
183.73,165.598222222,130.128333333,133.974333333,189.102333333,117.307555556,104.807722222,150.000111111,70.7263333332,114.316222222,135.897666667,130.769222222
184.11,303.555555556,227.555555556,252.0,369.333333334,182.666666667,184.444444444,273.777777778,111.555555556,199.555555556,258.222222222,237.777777778
184.49,3305.55555556,2361.11111111,2877.77777778,3891.66666666,1666.66666667,1802.77777778,2927.77777778,1088.88888889,2050.0,2633.33333333,2205.55555556
184.87,-591.111111111,-442.222222222,-580.0,-706.666666667,-213.333333334,-275.0,-514.444444444,-154.444444444,-382.222222222,-463.333333333,-376.666666667
185.25,-262.345666667,-193.827444444,-285.185222222,-317.592833333,-66.6666666667,-97.8395,-228.395,-48.7654444443,-171.604888889,-209.876444444,-182.716111111
185.63,-249.019777778,-154.248333333,-288.889,-308.8235,-64.7058888889,-83.3333333333,-235.294222222,-28.7582222222,-170.588222222,-203.921555556,-191.503444444
186.01,-100.347222222,-37.5,-136.458333333,-120.833333334,-12.1527777778,-14.2361111111,-97.5694444444,0.0,-70.8333333333,-80.5555555555,-76.3888888889
186.39,-45.3454444443,-5.1048888889,-79.2793333333,-55.856,26.1261111111,20.8708333333,-47.4472222223,19.5194444444,-24.6245555555,-21.0212222222,-33.3334444444
186.77,-1.084,34.6884444444,-40.3794444445,7.72366666665,52.3036666667,47.1545555556,1.355,46.6123333333,15.4471111111,27.3711111111,5.14922222223
187.15,31.2498888889,58.7963333333,-3.00922222223,38.1941666666,70.6017777778,64.6991666667,35.6481111111,65.9722222222,36.574,60.8796666667,31.4814444444
187.53,24.6914444443,46.9134444443,-15.4322222222,68.0556666666,77.7777777779,78.5494444444,26.8518888889,66.6666666667,20.9876666667,62.3456666667,20.6787777778
187.91,29.9792222222,55.765,10.6918888889,62.8931666667,65.199,66.0376666666,26.2054444444,53.4591111111,26.6246666667,46.9602222222,22.2222222222
188.29,25.9260000001,61.2533333333,-9.1167777778,76.0686666667,64.9571111111,73.0768333333,12.5356666667,64.957111111,17.379,63.8175555556,11.1113333333
188.67,18.3006666667,131.372444444,-39.2156666668,152.941333333,137.254888889,157.516444445,-7.843111111,128.758111111,11.1111111111,141.83,0.653555555667
189.05,-25.0001111111,121.296333333,-115.740777778,86.1111666667,126.851888889,173.148055556,-41.666777778,124.074,-24.074111111,154.629555555,-91.6666666667
189.43,-52.3810000001,42.3283333333,-77.7778888889,47.6188333333,52.3808888889,75.3968888888,-42.857111111,66.1375555555,-21.693111111,44.4443333333,-67.7247777778
189.81,-40.5983333334,15.812,-62.3932222222,57.6921666667,55.9829999999,57.264888889,-13.6752222222,56.4103333332,-10.2564444444,23.5044444444,-50.4275555556
190.19,-59.1270000001,-9.127,-95.6349999999,23.8096666667,30.5555555556,35.1190000001,-28.9683333333,28.9683333334,-40.873,-2.77766666667,-40.0794444445
190.57,-71.5277777779,-1.04166666667,-81.25,2.08333333335,5.20833333334,33.1597222223,-34.375,24.3055555554,-45.1388888889,-24.6527777778,-52.4305555555
190.95,-30.3984444445,6.4991111111,-36.8972222222,-2.83016666665,6.91822222223,30.2932777778,-15.7232222222,28.3017777777,-25.1572222222,-18.2387777778,-29.3502222222
191.33,-19.6427777778,8.73033333333,-41.2698888889,-14.5833333333,15.4762222222,30.0596111111,-7.93655555557,22.4205555556,-23.6111111111,-14.8807777778,-27.381
191.71,-17.1374444444,5.64955555556,-51.0356666667,-20.9041666666,12.241,16.5723333333,-6.96777777777,15.8192222222,-23.5405555556,-10.1693333333,-22.2222222222
192.09,-43.21,-27.4073333333,-97.0371111111,-32.2221666666,-4.69122222223,-2.5926111111,-31.358,5.67911111113,-54.8148888889,-34.0742222222,-54.8148888889
192.47,-29.8353333333,-22.4278888889,-69.3416666668,-22.8396666667,4.52677777778,2.675,-16.6666666666,9.05344444443,-43.21,-35.8025555555,-34.9792222222
192.85,-31.8518888889,-29.6296666667,-76.4813333335,-18.3333333334,-12.4074444445,-7.12955555557,-25.1852222222,-2.96288888889,-44.4444444445,-47.037,-41.4815555556
193.23,-23.0638888889,-15.3197777778,-60.606,-0.505,-11.4478888889,-3.95622222223,-21.212,2.1886666667,-36.532,-42.2557777778,-19.192
193.61,0.4761111111,6.66666666667,-44.9206666667,16.9046666667,6.34900000002,15.7143888889,-10.3175555556,19.3651111111,-17.3015555555,-17.3014444444,4.2857777778
193.99,-1.03722222222,18.5187777778,-46.074,7.11116666667,2.6667777778,6.74077777777,-15.8517777778,13.0371111111,-20.1482222222,-14.2222222222,5.33344444443
194.37,11.8058888889,30.556,-40.104,18.7501666667,10.7641111111,16.3195,-18.9234444444,25.1738888889,-12.4998888889,-15.6246666667,6.771
194.75,13.9601111111,26.6378888889,-37.4644444444,17.308,8.40444444443,7.19377777777,-14.9573333333,22.6495555555,-6.12533333332,-13.6753333333,13.3902222222
195.13,-9.41622222221,27.8717777778,-74.9528888888,19.7738333334,-11.8644444445,-19.8680555556,-45.5744444444,1.50655555556,-24.4821111111,-43.8794444444,-3.20144444443
195.51,-15.4684444444,28.1045555556,-86.7102222222,45.098,-23.5293333333,-29.194,-61.2202222221,-1.00008890058e-11,-41.1764444445,-56.8628888889,-13.2898888889
195.89,8.91822222223,33.3336666667,-39.4737777778,49.5615,0.58488888889,-0.0730555555333,-27.1928888889,18.1287777778,-9.06433333334,-17.6902222222,8.77200000001
196.27,23.9417777778,51.7195555556,-14.6826666667,62.4998333333,18.1216666667,16.1375,-6.08477777777,31.4815555555,8.20111111112,6.6138888889,34.3917777778
196.65,28.5713333333,69.1196666667,-11.8326666667,77.9221666666,21.3563333333,20.274,-7.7922222222,33.4776666667,10.534,21.2122222222,39.5382222222
197.03,26.5794444444,84.7493333333,-30.9366666667,80.0655,17.4293333333,13.6165555556,-32.0262222222,33.5512222222,-15.9042222222,14.379,38.9977777778
197.40,31.0605555555,102.020111111,-30.0504444445,97.727,29.0404444444,17.8029444444,-42.1716666666,31.3131111111,-19.9495555556,8.83855555557,36.3636666667
197.78,13.6752222222,96.5811111111,-50.4273333333,87.1796666666,8.54711111123,-2.564,-58.9744444446,11.6807777778,-43.8745555556,-13.3902222222,15.3844444444
198.16,-49.1227777777,111.111111111,-146.198888889,100.877,-77.193,-69.8828333333,-201.754444444,-90.0584444447,-166.081888889,-123.391666667,-52.0467777778
198.54,-41.2696666666,84.524,-89.2857777777,63.0951666667,-62.3016666667,-59.9206666667,-124.206444444,-69.8411111111,-116.269777778,-46.4285555555,-39.2856666667
198.92,-1061.11111111,583.333333333,-1555.55555556,133.333333335,-1255.55555555,-1419.44444445,-2250.0,-1488.88888889,-2416.66666667,-900.0,-1200.0
199.30,372.222222223,-777.777777777,838.888888888,-208.333333335,550.000000003,1119.44444445,1633.33333333,922.222222222,1977.77777778,377.777777777,811.111111111
199.68,348.148111111,-503.703555557,648.148333332,127.777666665,488.88888889,994.444333334,1207.40744445,744.444555556,1374.07411111,292.592555556,481.481555556
200.06,59.0476666669,-0.952,82.5396666666,60.0001666665,79.3651111111,129.047666667,128.571222222,112.063555556,155.555555556,82.222111111,91.1108888889
200.44,71.604888889,23.7653333333,98.456888889,74.5373333335,114.506333333,144.9075,143.21,134.568,169.135888889,110.802555556,112.654222222
200.82,69.0475555554,39.417888889,87.3016666668,72.2223333335,112.434,136.243666667,120.899666666,130.952222222,148.412666666,113.756666667,89.1534444445
201.19,119.444444445,71.6666666667,140.0,83.3333333335,226.111111111,296.111111111,226.111111111,268.333333333,281.111111111,215.555555556,130.555555556
201.57,73.2323333333,39.393888889,109.090777778,51.515,209.596111111,268.181833333,165.656555556,223.232222222,234.343333333,174.242333333,88.8888888888
201.95,67.3611111111,50.3472222223,78.8194444446,38.0208333335,154.513888889,210.243055555,123.611111111,176.388888889,200.347222222,120.138888889,69.7916666666
202.33,48.6111111112,45.3705555557,56.4815555555,-27.7775,153.240888889,227.314833333,111.574111111,168.981444444,236.574222222,98.148111111,50.0001111112
202.71,36.7815555554,59.77,40.6131111111,-29.3103333334,111.111222222,178.735722222,83.9082222223,130.651222222,193.486777778,102.682,45.2106666667
203.09,-5.82022222243,23.8096666667,14.2857777778,-124.603333333,94.18,182.275222222,49.2064444445,114.285666666,194.179777778,91.534222222,8.46566666667
203.47,19.3415555558,40.3293333333,15.6378888889,-100.617166667,103.292222222,130.041277778,56.3785555555,107.407555555,168.724222222,79.0123333333,15.2264444444
203.85,18.4027777777,24.6527777778,-8.33333333331,-101.041666667,90.9722222222,96.8750000001,45.8333333333,95.1388888889,139.236111111,80.2083333334,12.1527777778
204.22,-7.40744444457,-45.3706666667,-67.5926666668,-387.500166667,173.148111111,177.314777778,59.2593333334,172.222222222,320.370444444,135.185111111,-60.1853333333
204.60,-1.8518888889,-25.9257777777,-51.8516666667,-336.111166667,136.111,167.592666667,48.1482222223,188.888777778,337.037,103.703666667,-69.4442222223
204.98,-42.9627777777,-40.7408888889,-62.9629999999,-279.999666666,76.2963333337,114.074,17.0370000001,117.777777778,248.888888889,74.0742222223,-37.0368888889
205.36,-71.6666666667,-69.4444444444,-67.7777777778,-240.833333333,11.6666666668,35.8333333333,-36.111111111,47.7777777777,135.555555555,11.6666666667,-56.1111111112
205.74,-40.7407777778,-26.8517777778,-53.7036666668,-199.3055,7.87033333333,48.3796666666,-17.5925555556,43.0554444447,138.888888889,22.2223333333,-14.3518888889
206.12,-130.246777778,-129.012,-135.185222222,-311.110833334,-43.8271111111,-6.7902777779,-84.568,-5.55544444467,74.6913333332,-14.1974444445,-61.1113333333
206.50,-93.3333333334,-88.0,-82.6666666667,-187.333333333,-16.8888888889,19.3333333333,-48.4444444443,9.77777777777,52.8888888889,12.8888888889,-31.1111111111
206.87,-116.888888889,-125.777777778,-101.333333333,-194.666666667,-23.5555555556,20.6666666667,-60.8888888888,-7.55555555543,36.0,-12.8888888889,-49.3333333334
207.25,-242.063222222,-257.936666667,-242.063444445,-363.0955,-69.0476666667,-10.7142222222,-165.873111111,-16.6666666667,9.52377777777,-46.0316666667,-119.841333333
207.63,323.232111111,433.333444444,349.495,427.272833333,132.323222222,23.2321666667,228.282777778,59.596,18.1818888889,117.171888889,214.141666667
208.01,231.579,270.175444444,218.713444444,289.473833334,84.2105555557,36.8422222222,149.707666667,46.7834444444,28.0702222222,110.526111111,129.239666667
208.39,2.57307933256e+15,2.86450544481e+15,2.86450544481e+15,3.29453665922e+15,6.9657948782e+14,1.38605102167e+14,1.54242600874e+15,5.18880638885e+14,3.62505651825e+14,1.17992035692e+15,1.1159487713e+15
208.77,-1388.88877778,-1603.70377778,-1670.37044444,-1744.4445,-570.370333333,-42.592611111,-818.518444445,-411.111,-377.777888889,-774.074111111,-618.518444443
209.14,470.370333334,599.999666667,587.654333334,629.629833333,258.024777778,45.0616111111,270.370555555,169.135777778,137.037111111,327.160555555,218.518444444
209.52,320.000111111,408.889111111,416.296111111,403.333333334,188.148111111,47.4072222222,181.481555555,155.555444445,102.963,217.036888889,154.815
209.90,350.427333333,470.085444444,464.102666667,433.333333334,183.760555556,75.6412777778,174.358888889,140.171111111,126.495555555,216.239333333,165.812222222
210.28,-1344.44444444,-1772.22222222,-2083.33333333,-1983.33333333,-338.88888889,225.0,-100.0,-16.6666666657,138.888888889,-227.777777778,-388.888888889
210.66,343.055555556,491.666666667,533.333333334,497.916666667,137.5,-19.4444444443,40.2777777778,19.4444444443,-31.9444444444,16.6666666666,165.277777778
211.03,188.888777778,305.555777778,302.381,272.619,80.1586666667,15.4762222222,25.396888889,25.3967777777,-24.603111111,-9.52377777777,108.730333333
211.41,150.877222222,239.766,223.976555556,197.368,70.1754444444,22.2222222222,9.94155555533,40.9354444444,-31.5789999999,-1.75422222223,87.1345555554
211.79,207.638888889,286.111111111,306.25,256.25,129.861111111,89.5833333333,65.9722222222,84.0277777778,20.8333333334,41.6666666667,128.472222222
212.17,139.153555556,239.682666667,262.962888889,161.904833333,133.862555556,93.1215555556,77.2486666665,87.8306666666,57.1428888889,37.5662222222,138.095
212.55,88.8887777778,164.646222222,158.585888889,97.4748333334,100.673555555,66.8350555556,63.2995555556,60.2693333334,40.7407777778,34.3435555555,116.161888889
212.92,60.9931111112,116.312333333,116.784888889,84.0426666666,68.5577777777,47.7542777778,53.4278888889,50.3545555556,32.6241111111,25.532,80.6144444444
213.30,58.5365555557,124.390222222,132.791222222,84.1463333334,55.8266666666,43.9024444444,58.2657777779,53.9295555557,35.2304444445,15.7183333333,96.2058888889
213.68,55.9387777778,154.789555556,165.900444444,104.023166667,49.4253333334,44.6361111111,73.1800000001,60.5363333333,42.1456666665,-0.766222222233,113.41
214.06,72.9731111112,165.465555556,167.567555555,110.3605,75.6757777778,65.0149444445,84.6846666667,89.4895555555,67.2673333335,41.4412222222,133.633666667
214.44,80.61,158.170111111,162.962888889,101.634166667,81.2635555556,75.9258888889,94.5534444443,96.2961111112,81.9169999999,68.8455555556,117.429222222
214.81,82.4476666667,133.494333333,145.088555556,103.623166667,74.2349999999,81.0788888889,90.1772222222,89.3720000001,82.6086666667,76.9726666667,102.093333333
215.19,85.9477777779,132.026,164.215666667,114.215666667,84.9673333332,88.317,95.4247777777,97.7124444445,90.0325555554,88.2353333333,110.947777778
215.57,87.6067777779,151.495777778,203.846111111,134.294833333,89.9572222223,86.8592222222,107.906,104.059777778,106.623777778,91.4528888889,125.641
215.95,129.390666667,216.845888889,313.978666667,206.4515,120.788444444,101.254555556,144.444444444,140.501888889,140.501777778,112.544777778,182.795555555
216.32,163.703666667,299.259444444,531.111111111,318.889166666,104.444444444,64.8149444443,177.777777778,215.555555555,151.851888889,102.962777778,242.222333333
216.70,154.074222222,299.259333333,525.185222222,310.000333333,81.4815555553,68.148111111,157.777777778,214.814777778,173.333333333,88.148111111,217.037
217.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.46,698.412777777,911.111111111,1304.76166667,871.428333333,406.349111111,419.047777778,585.714222223,684.127000001,612.698444444,519.047555556,726.984222222
217.83,342.361111111,430.555555556,582.638888889,386.458333334,215.277777778,217.361111111,275.694444444,300.694444444,272.916666667,250.694444444,373.611111111
218.21,276.388888889,346.527777778,504.861111111,326.041666666,152.777777778,147.916666667,214.583333333,231.25,191.666666667,150.694444445,247.916666667
218.59,226.543222222,306.173,432.716111111,302.777666667,125.308777778,115.123555556,185.185444445,198.765444444,184.567777778,121.604888889,209.259444445
218.97,368.518666666,475.925888889,645.370333333,483.333166667,213.888777778,173.611055555,321.296111111,359.259333333,312.037,208.333333333,309.259444444
219.34,476.388888889,590.277777778,827.777777778,618.75,236.111111111,161.111111111,394.444444445,409.722222222,411.111111111,194.444444445,355.555555556
219.72,336.752333333,364.102555556,535.042555556,392.307666667,159.829111111,136.324722222,274.359111111,283.760777778,252.991444445,204.273555556,253.846333333
220.10,181.111111111,211.111111111,308.888888889,211.666666667,60.5555555557,59.1666666668,142.222222222,155.555555556,129.444444444,101.111111111,104.444444444
220.47,220.987666667,267.283888889,312.345666667,229.629666666,70.9878888888,90.4321666666,150.617333333,166.666666667,150.0,146.296444444,107.407444445
220.85,356.565666667,390.909333333,511.111111111,359.090833333,74.7475555557,138.889,222.222222222,263.636333333,219.192,252.525111111,116.161555556
221.23,237.5,313.888888889,487.5,208.333333333,-141.666666667,-53.4722222222,33.3333333333,84.7222222223,36.111111111,23.6111111111,-111.111111111
221.61,30.5555555557,-111.111111111,-641.666666668,-100.0,725.000000001,466.666666668,327.777777777,163.888888889,313.888888889,438.888888889,708.333333333
221.98,113.888888888,-19.4444444443,-627.777777777,-33.3333333333,805.555555557,412.499999999,347.222222223,169.444444444,308.333333334,491.666666667,863.888888889
