wavelength,Back_SpoFrom,Belly_SpoFrom,Breast_SpoFrom,Crissum_SpoFrom,Crown_SpoFrom,DorTail_SpoFrom,Rump_SpoFrom,Throat_SpoFrom,WingTip_SpoFrom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,23.6113333333,64.5831666667,41.6665,30.5556666667,52.7776666667,54.1665833334,34.722,58.3335,-4.16683333333
179.16,-19.4443333333,-44.4445,2.77766666665,-61.1111666668,-8.3335,34.7221666666,-5.5555,-27.7776666666,-25.0
179.54,-76.6666666667,-96.6666666667,0.0,-66.6666666667,-80.0000000001,33.3333333333,20.0,-133.333333333,-123.333333333
179.93,-4.16666666665,-12.5,29.1666666666,14.5833333333,16.6666666667,39.5833333333,35.4166666667,29.1666666667,29.1666666667
180.31,-101.2195,-74.5935833333,-20.3253333331,-39.8374999998,-58.1301666666,-33.943,-19.1058333333,-82.9268333334,-97.561
180.69,-76.8518333331,-54.1668333333,-9.25899999985,-17.5926666667,-35.8026666667,-22.5308333333,-13.2715,-62.037,-80.247
181.07,-129.166666667,-94.375,-40.8333333333,-35.8333333333,-68.75,-52.2916666667,-32.9166666667,-114.583333333,-113.75
181.45,-214.444333333,-150.555666667,-85.0000000002,-67.7776666669,-116.111166666,-112.777833333,-77.2221666667,-195.000166667,-175.5555
181.83,-200.5375,-137.36575,-61.8278333334,-49.9999999998,-98.9246666669,-113.440833333,-79.0321666667,-160.752666667,-145.161166666
182.21,-230.952333334,-163.690666667,-66.6665000002,-45.8335,-120.833333334,-146.131083333,-101.1905,-189.285833333,-180.357166667
182.59,-291.304333333,-203.985333333,-82.6086666665,-66.6666666669,-150.0,-174.275083333,-123.188333333,-224.6375,-231.884166667
182.97,-142.307666666,-94.658,-20.9403333334,-11.1111666667,-56.8376666667,-74.5724166666,-53.8461666665,-94.8718333335,-119.2305
183.35,-128.455333333,-91.26025,-21.5448333333,-16.2601666666,-42.6828333334,-76.6260833333,-52.8453333333,-80.0811666666,-111.382
183.73,-127.3505,-99.1451666667,-26.9231666669,-9.40183333332,-44.017,-77.9915,-58.1195000002,-71.3674999998,-118.376333333
184.11,-103.333333333,-98.148,-46.2963333332,-12.2221666667,-45.5556666667,-46.2964166667,-59.6296666665,-47.037,-99.6295000002
184.49,-72.4359999999,-80.76925,-38.7821666666,-1.92299999999,-25.9616666667,-31.08975,-50.9616666667,-19.2306666666,-69.8718333333
184.87,-96.2963333334,-110.5555,-56.2961666667,-26.2963333333,-61.1111666666,-47.0369166667,-64.074,-40.7408333334,-82.222
185.25,-75.6410000002,-92.30775,-28.5256666667,-7.37166666665,-45.8331666667,-37.3395833333,-48.077,-31.0898333333,-68.9101666667
185.63,-41.243,-58.4744166667,-2.825,18.3615,-24.5763333334,-11.5818333333,-16.3841666666,-1.4126666667,-42.373
186.01,-55.6603333335,-72.7988333333,-31.7606666667,6.28933333335,-35.2201666667,-22.0125833334,-31.761,-27.3583333334,-57.2326666667
186.39,-68.4026666668,-90.278,-47.9166666667,-6.94466666665,-44.0971666666,-22.5695833333,-47.2221666667,-47.5693333331,-68.4028333331
186.77,-59.0,-93.0,-56.0,-13.6666666666,-48.6666666667,-17.8333333333,-45.0,-43.9999999998,-66.3333333333
187.15,-136.666833333,-186.110916667,-133.888833334,-65.0001666665,-116.111166667,-51.6665,-100.555666667,-120.5555,-151.111
187.53,-494.4445,-587.037,-440.740833334,-272.222333333,-450.000166667,-175.00025,-366.666833333,-492.592333333,-555.5555
