wavelength,Back_XenConm,Belly_XenConm,Breast_XenConm,Crissum_XenConm,Crown_XenConm,DorTail_XenConm,Rump_XenConm,Throat_XenConm,WingTip_XenConm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,30.9521666667,4.762,41.6666666667,59.5236666667,76.1903333335,116.666833333,65.0295625,21.4286666666,76.1905
179.16,216.666666666,450.0,758.333333333,550.0,533.333333333,833.333333333,127.083333333,300.0,583.333333333
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,16.6668333333,-16.6668333333,-22.222,30.5556666667,-22.2221666666,-58.3331666667,-30.0347604167,-55.5556666666,-19.4443333333
180.31,63.5056666667,61.7816666666,56.46525,96.2643333335,74.138,91.0916666665,47.2879895833,36.207,71.552
180.69,62.222,63.3335,50.8888333334,87.7778333333,68.2221666666,78.8888333333,45.0416666667,36.4445,70.4446666667
181.07,58.4476666666,61.6436666666,44.5206666667,85.1598333334,61.4156666667,72.146,34.6888229166,30.5935,64.8401666666
181.45,57.0833333333,61.25,36.3541666667,77.0833333333,56.6666666667,67.7083333333,33.0859375,26.875,57.9166666667
181.83,58.0755,51.5461666666,33.1614166666,67.354,42.2678333333,57.7321666667,29.5747395833,27.835,39.6908333333
182.21,59.091,54.697,36.5910833333,62.8788333334,38.0305,62.7271666667,34.65909375,31.2118333334,40.1516666667
182.59,64.4345,60.4168333333,41.29475,67.8568333333,35.8631666667,68.0061666667,35.4165729166,34.0775,41.3691666667
182.97,50.9346666667,45.327,29.5171666667,55.296,13.7071666667,53.894,15.7613020833,14.486,25.5451666666
183.35,46.1865,42.3728333333,28.1075,48.87,8.75716666669,40.3958333333,12.2262708333,13.1356666667,20.7626666667
183.73,47.7063333333,42.0488333334,24.0060833333,45.5656666667,0.0,31.3453333333,4.41515624998,9.633,12.8443333333
184.11,49.2981666667,50.3506666666,22.9825,46.4913333333,-2.98233333335,34.3858333333,-0.339916666665,2.80683333335,7.36833333332
184.49,50.1571666666,49.2138333333,29.4025833334,44.1823333334,0.3145,36.478,7.03606250002,5.97466666665,13.5221666667
184.87,54.8741666667,50.1575,34.27675,49.0568333333,-0.15716666665,42.7675,11.20275,7.86166666665,13.3648333333
185.25,61.2573333333,56.7251666667,39.9123333334,51.0233333333,2.0466666667,45.1753333333,18.311375,11.8421666667,15.7893333333
185.63,58.0,55.0666666666,43.5333333334,48.9333333333,4.53333333335,43.3333333333,24.65,15.8666666667,17.3333333333
186.01,58.598,59.1271666666,44.97375,50.1321666667,6.74616666669,44.5768333334,26.992375,11.6403333333,21.1636666667
186.39,61.6988333334,58.3333333333,42.5483333334,45.5131666667,-2.7245,36.2178333334,19.4410520833,0.16,10.8973333333
186.77,58.5806666666,52.9701666667,33.4983333333,30.1978333333,-6.7656666667,29.208,18.7911145834,-4.6205,2.14533333333
187.15,60.3771666666,51.7295,33.09725,24.0568333333,-3.14466666665,33.4903333334,28.6752395833,-0.786,3.61633333334
187.53,50.3001666667,46.847,23.7235833333,12.6125,-8.25816666667,23.7235,23.4423854167,-8.70883333334,1.80183333333
187.91,35.4575,38.3986666667,12.6633333333,1.96083333334,-23.8563333334,2.45066666667,16.1357083333,-24.8368333334,-11.2743333333
188.29,39.2856666667,35.5655,22.3960833333,5.95233333333,-18.8986666667,6.10133333333,24.0886041667,-10.8631666667,-5.0595
188.67,40.3063333333,35.544,26.1054166667,-3.4015,-25.8503333333,-4.2515,19.88734375,-15.306,-15.3061666667
189.05,33.3331666667,27.957,20.4303333333,-11.8281666667,-31.7205,-10.7528333334,13.9336458333,-19.1756666666,-23.656
189.43,29.4573333334,25.3875,17.1508333334,-18.217,-36.434,-17.2483333334,12.2091458333,-19.9613333333,-31.783
189.81,29.356,19.6966666666,7.10216666665,-22.1591666667,-40.3408333333,-20.4546666666,1.97673958334,-29.5453333334,-36.932
190.19,33.7606666666,21.1538333333,4.59408333335,-27.3503333334,-40.171,-30.7695,-3.12495833333,-33.7605,-38.0341666666
190.57,26.0163333333,30.4878333333,2.33741666665,-21.3413333334,-34.9593333333,-31.0973333334,1.79123958334,-29.6745,-39.0241666667
190.95,14.2155,20.098,-12.1323333333,-36.7646666667,-52.451,-65.1961666667,-11.5043229167,-50.4901666666,-65.4411666667
191.33,12.2395,36.9791666665,-10.15625,-32.552,-50.5205,-76.3018333334,-12.9231666667,-43.7498333333,-70.5728333333
191.71,19.9073333333,51.1571666668,0.92591666665,-16.4353333334,-28.9351666666,-59.2591666666,2.31463541667,-22.917,-55.7871666667
192.09,37.0588333334,57.4513333332,14.9020833334,0.784333333335,-13.1373333333,-29.8041666667,9.88977083332,-6.27466666669,-42.1568333333
192.47,41.5613333333,62.8693333332,14.5570833334,7.80583333333,-10.3375,-35.2318333333,9.19026041665,-10.5485,-45.5695
192.85,39.5833333333,71.7595,9.72225,11.574,-7.63883333335,-30.3238333333,12.80390625,-9.25933333335,-45.1391666666
193.23,28.6548333333,89.4738333335,1.75425,-7.0175,-24.2691666667,-61.1111666666,-1.00519791665,-34.2103333333,-79.2395
193.61,19.0478333333,78.2738333335,-9.67275,-23.5118333333,-31.5475,-67.5595,-8.31461458335,-46.1308333333,-89.5831666668
193.99,-1.44933333334,67.7538333334,-23.0070833334,-40.5796666666,-52.5363333332,-105.434833333,-17.64046875,-45.2896666667,-121.739166666
194.37,-28.6821666667,73.2558333333,-35.27125,-62.7906666666,-80.6201666666,-125.969,-28.7063854167,-48.0621666667,-154.651166667
194.75,-32.8573333333,94.7621666667,-29.5239166667,-77.619,-92.3810000002,-121.904666667,-47.6190729166,-41.9046666667,-187.619
195.13,-5.12816666665,97.436,7.85266666665,-18.2691666666,-39.7435,-32.3718333333,-8.23327083334,3.20500000001,-97.4360000002
195.51,-9.7221666667,98.2639999999,2.43075,-16.3195,-35.7638333334,-22.2223333334,-13.9108541666,-5.20833333332,-95.8333333333
195.89,8.33333333335,112.5,22.0833333333,-3.75,-40.0000000001,-4.16666666665,-6.84895833335,2.5,-114.583333333
196.27,3.7036666667,208.0245,38.5805833333,-16.6664999998,-38.8888333335,35.1851666666,27.9320833333,30.8643333334,-148.7655
196.65,-69.7916666667,346.875,42.7083333333,-76.0416666668,-102.083333334,89.5833333333,31.4453125,18.75,-328.125
197.03,-143.055666667,401.388833333,-22.2221666665,-195.833333333,-191.666666667,27.7776666666,-67.0138333334,-62.4998333333,-518.055833333
197.40,-80.3030000002,451.515166667,-16.6669166665,-184.8485,-171.212333333,10.606,-26.4204791667,34.8485,-546.969833333
197.78,341.666666667,-1304.16666666,52.0833333335,491.666666667,495.833333331,158.333333333,111.71875,-75.0,1516.66666667
198.16,81.8626666669,-130.392166667,29.4116666665,99.0195,110.294,58.8233333333,59.5894375,66.1763333334,219.607833333
198.54,58.3333333333,-94.3181666665,12.8788333333,66.2878333333,71.5910000002,33.3331666667,32.5049479166,53.788,154.545333333
198.92,49.2065,-90.8726666665,8.135,68.6508333333,72.2221666666,31.3491666666,13.4674895833,50.7936666667,133.730166666
199.30,41.2935,-33.8308333333,21.6420833334,60.6965,60.6965,37.562,25.63765625,48.5076666666,99.7511666665
199.68,39.372,-25.1206666667,18.71975,64.0098333334,52.1738333333,40.0963333333,24.6980833333,36.232,95.8936666668
200.06,39.3005,-19.3416666666,20.1645833334,54.5268333333,43.2096666667,35.8026666666,22.3381458333,28.3951666667,73.4568333335
200.44,38.066,-1.852,22.9421666667,58.0246666667,45.4731666667,39.712,31.0313541667,24.0741666667,74.6913333335
200.82,29.3251666667,7.806,25.3165833334,54.2193333334,43.038,46.6245,33.9003541667,22.9958333333,70.8860000002
201.19,26.3156666666,7.0173333333,17.28075,47.193,37.3683333334,45.6136666666,27.1709583333,18.2455,57.1928333333
201.57,22.3578333334,-0.813,3.76008333335,45.9351666666,30.2843333333,35.7723333333,20.9096458333,14.2276666667,51.2193333332
201.95,11.7423333334,-3.9773333333,-1.89408333335,40.5301666667,23.4848333334,19.697,14.46490625,8.52266666666,45.2651666666
202.33,-7.21383333335,-24.8758333333,-11.9405,31.5918333333,0.49766666667,4.97516666665,-1.69452083335,-13.9303333333,38.5571666665
202.71,3.94733333335,-11.4035,3.728,37.9386666667,6.14033333331,10.7456666666,8.75828124999,-8.11416666667,39.035
203.09,2.23583333334,-9.75616666665,-0.50833333335,26.8293333334,-4.26833333335,10.1625,8.93055208333,-14.8373333333,35.1625
203.47,3.728,-13.5963333333,-1.97375,33.3331666667,-7.45616666667,9.64933333335,13.81584375,-13.5966666667,36.6228333333
203.85,11.6665,-10.1851666666,6.389,35.0001666667,3.7035,19.6295,13.4838229167,-3.14833333333,38.8888333334
204.22,12.4073333333,-2.4075,6.9445,39.8148333333,3.51833333334,21.8518333334,10.4745,-1.85183333335,44.074
204.60,11.5788333333,-7.0175,-1.14025,28.9473333333,-5.61416666667,20.8771666667,4.03514583335,-0.70166666667,36.4911666667
204.98,11.0543333333,-9.0136666667,0.085,29.5915,-7.65299999998,20.5781666666,1.2541875,-8.50349999998,28.7413333333
205.36,5.87116666665,-8.3335,-0.09458333335,23.8638333333,-14.0151666667,8.52266666665,-2.02413541665,-17.0453333333,22.3483333333
205.74,14.394,0.30316666665,11.8181666667,22.7271666666,-6.36366666667,19.0911666667,3.66485416668,-9.54533333331,23.4846666667
206.12,15.4881666667,-9.596,6.81816666665,9.93233333332,-23.064,24.2421666667,-5.33444791667,-26.431,15.3198333334
206.50,15.0641666667,-16.3461666666,1.44216666665,6.41033333331,-28.3653333334,21.474,-6.45019791667,-35.577,12.1796666667
206.87,14.1913333334,-26.4025,0.24775,6.93066666667,-34.8183333333,22.442,-8.40548958334,-40.2638333333,14.1916666667
207.25,12.3265,-22.9166666667,-1.82308333335,10.9375,-34.5485,27.4303333333,-10.9484791667,-36.632,18.2291666667
207.63,1.17833333335,-27.6093333333,-10.9428333334,-1.6835,-38.7205,21.2123333333,-17.9607916667,-45.4548333333,12.6263333333
208.01,-11.3945,-33.6735,-24.1495,-13.4353333333,-42.857,9.69383333335,-24.4047604166,-52.721,6.63233333335
208.39,-6.4625,-32.653,-21.3434166667,-15.1358333333,-40.1363333334,11.5645,-12.4575520833,-43.5376666666,6.8026666667
208.77,-6.31083333335,-32.6861666666,-19.0129166666,-15.2103333333,-35.7605,11.4888333333,-8.49526041668,-38.673,5.1776666667
209.14,-3.6035,-34.8348333334,-13.5135,-12.4623333333,-35.7358333333,5.706,-5.170625,-29.8798333333,7.35733333335
209.52,-2.029,-40.145,-11.2318333333,-14.3476666667,-37.971,8.11583333335,-9.74632291667,-30.0,8.98550000002
209.90,-3.9548333333,-35.0283333334,-14.9719166666,-14.1241666667,-40.6778333333,-1.271,-8.91576041666,-30.7911666666,5.6496666667
210.28,4.50116666665,-16.1798333333,-0.72975,-0.97333333335,-16.7883333333,8.63716666666,4.74439583334,-10.3405,15.8153333334
210.66,-0.5953333333,-17.0236666667,-1.07141666665,-5.23816666665,-17.5,5.71433333334,-1.85266666667,-12.1428333333,12.5001666667
211.03,-9.7013333333,-18.657,-6.21883333335,-11.567,-19.776,-0.1245,-7.63388541665,-17.4128333333,10.821
211.41,-2.4473333333,-11.7716666667,5.5945,-8.39166666668,-14.5688333333,3.72966666665,0.459020833335,-15.1516666667,12.4706666667
211.79,7.71800000002,-5.481,14.3175,-4.58600000001,-12.1923333333,9.28383333335,0.89478125,-12.6396666667,12.8635
212.17,11.69,-3.2405,18.80775,-4.28249999998,-15.625,10.5321666666,3.12504166667,-12.847,10.4166666667
212.55,5.78716666667,-8.796,13.4840833334,-10.6481666666,-21.7595,3.3565,-5.27335416666,-22.9166666667,3.70366666665
212.92,1.852,-12.0368333333,12.90525,-14.3516666667,-27.315,-0.00016666665,-12.59409375,-27.0835,-3.4725
213.30,-6.9231666667,-23.4618333334,2.94875,-25.8973333334,-34.7435,0.641333333335,-22.5639791667,-38.7178333334,-12.8206666667
213.68,-2.451,-9.92666666667,7.78183333335,-15.5638333334,-21.3235,6.86266666665,-16.4445104167,-27.0831666667,-4.5345
214.06,-2.469,-9.50616666665,10.5558333333,-15.6788333333,-17.1605,11.358,-13.66525,-24.8146666666,-4.93816666665
214.44,-6.34333333335,-10.572,4.66416666667,-15.5475,-22.8856666667,8.20866666666,-15.78821875,-26.4925,-8.95533333332
214.81,-0.6313333333,-9.84866666669,5.0505,-13.7625,-19.5706666666,10.7321666667,-12.5631875,-22.9798333333,-8.08083333333
215.19,3.96166666665,-12.9781666667,4.71308333335,-15.8471666667,-24.0436666667,16.8031666667,-12.7988958334,-26.3661666667,-14.3441666667
215.57,-2.27933333335,-25.2138333334,-4.84325,-22.3648333333,-31.7663333333,9.117,-21.91078125,-30.7693333333,-23.0766666667
215.95,-9.52383333335,-36.5076666667,-11.6665833333,-26.8255,-41.2696666666,4.4445,-26.23025,-34.9206666667,-33.3331666667
216.32,-11.3146666666,-34.0978333334,-8.41,-24.312,-38.0733333333,3.51683333334,-26.1659895833,-29.2048333333,-29.2046666667
216.70,-11.0,-37.3333333333,-4.75,-24.6666666667,-41.0,11.5,-25.03125,-25.3333333334,-26.8333333333
217.08,-7.78983333335,-39.3115,-4.71016666665,-17.7535,-33.3335,23.732,-18.61409375,-23.5506666667,-16.1233333333
217.46,7.3015,-21.1111666666,6.5875,0.0,-19.0476666666,26.9838333333,-3.79963541667,-13.3333333334,-0.4765
217.83,6.60083333335,-29.5378333334,-0.825,-7.7558333333,-34.8183333333,14.1915,-10.4477291667,-21.9473333333,-11.2211666667
