wavelength,Back_ThrGlam,Belly_ThrGlam,Breast_ThrGlam,Crissum_ThrGlam,Crown_ThrGlam,DorTail_ThrGlam,Patch10_ThrGlam,Patch11_ThrGlam,Rump_ThrGlam,Throat_ThrGlam,WingTip_ThrGlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,-102.083333333,-66.6666666667,-118.75,-121.93627451,-93.75,-170.833333333,-185.416666667,-141.666666667,-141.666666667,-114.583333333,-83.3333333333
179.54,-169.444416667,-192.361166667,-194.444583333,-169.852921569,-187.500083333,-261.111083333,-184.722333333,-211.111166666,-143.055583334,-184.027708333,-159.027916667
179.93,-97.2222499999,73.6110833333,5.5555833335,-65.5228774509,-5.55558333332,158.333333333,80.5554999999,-5.55550000007,11.1111666667,18.0555416667,52.7777916666
180.31,-40.6249999999,-88.5416666666,-106.875,-83.6274509804,-81.875,-121.666666667,-153.541666667,-121.458333333,-88.7500000001,-98.4375,-118.229166667
180.69,-59.6014166667,-104.34775,-122.101583333,-97.9111519607,-102.173916667,-134.420166667,-158.514416667,-133.333416667,-105.797083333,-118.025458333,-128.895
181.07,-36.3888333333,-66.0417916666,-75.8332500001,-62.818514706,-65.6945,-92.6388333335,-100.13875,-86.1112500001,-68.8889166667,-72.638875,-83.75
181.45,-30.7471666667,-65.9481666667,-75.4310833333,-53.0256666666,-66.5230000001,-81.6090833333,-98.8506666668,-89.3679166667,-61.49425,-66.37925,-85.7758333334
181.83,-25.1543333334,-62.0369166667,-71.7591666668,-44.6712549018,-64.1975,-68.0555,-99.3826666667,-85.6481666668,-59.2593333333,-69.29025,-83.101875
182.21,-20.32825,-45.9595833333,-50.12625,-34.1949999999,-49.4949166666,-44.9495,-78.1565833332,-63.889,-42.298,-57.76525,-65.404
182.59,-13.9583333333,-31.875,-37.2916666667,-23.7683823529,-31.9791666667,-31.6666666667,-56.6666666667,-43.8541666667,-26.0416666666,-43.6458333333,-48.5416666667
182.97,-21.4134166667,-38.9239166667,-46.0970833333,-28.3135196078,-35.9705,-39.0295,-58.22775,-48.5230833333,-32.384,-46.4134583333,-52.5844166667
183.35,-18.4931666667,-33.6187083333,-47.0318333333,-19.2653676471,-30.70775,-30.5935833333,-49.6575,-44.9770833333,-24.6575833333,-39.2695,-48.1734583333
183.73,-8.84141666668,-22.3068333333,-31.7074166666,-7.65781862743,-19.7155833333,-22.35775,-34.8576666667,-33.943,-12.3983333333,-29.014125,-33.9430833333
184.11,-19.2785833333,-30.161625,-43.7811666667,-8.92596568628,-24.9999166667,-32.5870833333,-41.9153333333,-45.6468333333,-20.1493333333,-45.2736666667,-49.4405416666
184.49,-19.0476666667,-25.3787916667,-36.5800833333,-3.66710784312,-18.0735833333,-25.9738333334,-34.4155833333,-36.2553333333,-18.6146666667,-38.9067916667,-41.3419583333
