wavelength,Back_ThrGlam,Belly_ThrGlam,Breast_ThrGlam,Crissum_ThrGlam,Crown_ThrGlam,DorTail_ThrGlam,Patch10_ThrGlam,Patch11_ThrGlam,Rump_ThrGlam,Throat_ThrGlam,WingTip_ThrGlam
184.87,-11.7648333334,-19.4852916667,-32.2303333333,4.61366666667,-10.1715833334,-25.8579166667,-35.4165833333,-30.3923333334,-13.7254166667,-33.5172083333,-40.1349166666
185.25,-6.72041666668,-22.8495,-30.51075,10.5549411765,-10.4838333333,-27.957,-40.5913333333,-33.33325,-16.8008333333,-39.18,-43.0780833333
185.63,-16.5094166667,-29.009375,-38.6793333333,2.40479411765,-16.50925,-44.4967500001,-40.2516666667,-41.8238333333,-27.8301666667,-58.0189583333,-63.129
186.01,-9.4137500001,-21.8364583333,-38.7345833333,9.32284803923,-16.8209166667,-40.4320000001,-30.40125,-41.8211666667,-25.4631666667,-52.083375,-65.354875
186.39,-13.0953333332,-25.425,-52.04075,10.5542549019,-21.4285833333,-43.8775833334,-31.2924166667,-51.1905000001,-37.7550833333,-50.5102083333,-59.5239166667
186.77,-20.6020000001,-48.84275,-80.787,7.88388725492,-50.2313333332,-59.7220833335,-43.287,-75.2315000001,-71.5278333334,-70.8332916667,-86.4583333333
187.15,-238.095250001,-415.476125,-503.571333333,-137.114906863,-448.809583333,-475.0,-391.666666667,-561.904666667,-515.476083333,-609.523791667,-607.142791667
187.53,575.0,903.333333334,921.666666668,488.823529413,1001.66666667,920.000000001,808.333333332,1011.66666667,1016.66666667,1210.83333333,1063.33333333
187.91,844.444499998,1237.5,1416.66666667,520.424720588,1466.66666667,1449.99991667,1208.33325,1500.0,1513.88883333,1848.61125,1651.38875
188.29,1504.16666667,2085.41666667,2337.5,1265.93137255,2691.66666667,2608.33333333,2254.16666667,2550.0,2695.83333333,3081.25,2818.75
188.67,763.333333334,982.500000001,1158.33333333,712.254901962,1226.66666667,1206.66666667,1016.66666667,1266.66666667,1250.0,1467.5,1289.16666666
189.05,576.388916667,765.277666667,902.777833334,485.947691177,905.555500001,838.888916668,784.722416668,1034.72225,929.166666668,1145.13866667,996.527750001
189.43,284.895833333,328.90625,402.604166667,219.975490196,364.0625,348.958333333,347.395833333,434.895833333,401.041666667,485.677083333,399.739583333
189.81,236.333333333,272.666666667,298.0,200.705882353,293.666666667,270.666666667,300.666666667,328.666666667,313.666666667,365.833333333,293.833333333
190.19,214.0625,240.364583334,248.177083333,205.805759804,251.302083333,243.489583333,279.166666667,277.083333333,281.770833333,316.40625,260.416666667
190.57,257.03125,276.5625,288.28125,244.454656863,293.75,283.072916667,321.09375,327.604166667,318.75,359.635416667,318.359375
190.95,241.041666667,239.6875,251.875,222.316176471,263.958333334,255.208333333,282.083333333,293.333333333,275.416666666,319.166666667,291.145833333
191.33,306.720333333,294.758125,315.3225,259.803960784,322.580583333,310.215083333,352.957166667,358.870833333,337.365333333,385.349583333,361.559
191.71,761.363583333,732.197,794.696916667,604.411813725,817.424333333,803.030416666,882.575833333,894.696999999,827.27275,921.9695,927.651583333
192.09,1384.72225,1313.19433333,1450.00008333,1190.11435294,1568.05566667,1406.94433333,1673.61125,1634.72216667,1487.5,1728.47208333,1691.66666667
192.47,4.62727802623e+15,4.59262675069e+15,5.24033905505e+15,4.09104561739e+15,5.4322538119e+15,4.56863740608e+15,6.02932194432e+15,5.74678077451e+15,5.26699388239e+15,6.19991283929e+15,5.96268487596e+15
192.85,-1325.0,-1434.16666667,-1473.33333334,-1159.01960784,-1555.0,-1243.33333333,-1866.66666667,-1626.66666667,-1536.66666667,-1781.66666667,-1672.5
193.23,-548.809583333,-557.440416667,-579.761916666,-503.151215686,-648.214333333,-491.66675,-727.381083333,-632.142833333,-639.881083332,-710.416625,-660.714166667
193.61,-360.833333333,-348.125,-395.833333334,-347.230392156,-434.583333333,-310.0,-471.666666667,-404.166666667,-425.0,-480.416666667,-472.083333333
193.99,-72.0339166667,-64.8304583333,-89.6892499999,-71.4523137254,-92.3728333333,-53.8135833333,-102.118666667,-84.7458333334,-93.6440833333,-115.81925,-107.344708333
194.37,-63.8888333333,-55.29125,-76.5874166668,-58.3100245099,-83.7301666667,-39.5501666667,-83.7301666667,-78.5713333333,-83.5978333334,-95.56875,-92.1296666666
194.75,-53.9474166666,-43.0555416667,-68.8596666667,-53.2679362746,-76.7542499999,-25.1461666667,-71.0525833334,-68.5671666668,-78.3625000001,-91.4475,-88.1580416667
195.13,-30.1913333333,-17.0765,-45.90175,-34.7156617647,-48.7706666667,-2.73233333333,-50.4100833333,-43.98925,-57.6504166668,-70.5600416667,-63.11475
195.51,-9.85766666667,1.77858333334,-16.4635,-14.5745294118,-22.9675833333,14.02425,-22.1545833333,-20.5285833332,-29.1667500001,-35.3150833333,-27.4390833333
195.89,-12.5,2.619125,-15.3570833334,-12.7661911765,-19.6428333333,20.0,-27.0236666667,-26.0715000001,-38.3334166667,-45.1190416667,-31.3689583333
196.27,-11.0214166667,0.403124999999,-16.2633333333,-14.6427254902,-16.2634166667,21.5054166666,-24.7311666667,-23.79025,-48.7902500001,-51.411375,-34.2070416666
196.65,-8.092,6.159375,-10.3865,-2.97674999999,-7.12558333335,30.797,-8.09175000001,-15.3381666666,-34.2994999999,-36.2318333333,-21.739125
197.03,-23.6393333333,7.22795833332,-25.34,-20.7082843137,-24.9999166667,22.9591666667,-10.3740833333,-32.1429166666,-64.7958333333,-67.8571666667,-49.9149583333
197.40,-1.77308333333,26.418375,-3.1915,3.08711764705,-1.24125,43.79425,17.3758333333,-9.92908333325,-40.4255833333,-43.0850416667,-28.0140833333
197.78,13.6791666667,37.7358333333,19.81125,25.4439558824,14.3081666667,58.4905833333,30.503,4.87416666667,-19.4969166667,-14.0722083333,-4.166625
198.16,-13.4468333333,19.7916666667,2.46191666667,13.6139852941,-11.7423333333,46.4014166667,4.16658333332,-14.0151666666,-47.3485,-40.909125,-29.9242916667
198.54,11.18425,54.3858333333,23.9035,50.0515882353,23.4649166668,81.5789999999,32.4560833333,8.99141666668,-25.6579999999,-31.14025,-6.907875
198.92,6.7075,41.9715,18.2926666666,45.8033186274,22.9675833332,67.47975,25.20325,9.55274999993,-22.1544166667,-32.6220416667,-20.4269583333
199.30,0.37883333335,10.1325416667,0.946916666666,33.0660392157,9.28016666665,54.3560833333,7.19691666666,-4.54541666665,-32.0075000001,-41.5719166667,-19.8865
199.68,-11.9658333333,-11.2179166667,-32.4786666667,20.0728627451,-1.06841666668,35.0426666667,-8.11966666667,-16.6667499998,-59.188,-67.3076666667,-46.581125
200.06,-13.4059166667,-16.9385,-25.9058333333,6.92670588236,-3.98558333333,26.8115833334,-14.4926666667,-15.3985833333,-52.1739166666,-59.7825833333,-44.4746666667
200.44,-41.4634166666,-35.26425,-57.7236666667,-14.1918431373,-27.0325833333,14.6340833333,-41.26,-41.6668333335,-85.7723333333,-85.97575,-72.2561666667
200.82,-56.9892500001,-47.446125,-64.5160833334,-19.9873382353,-32.7958333332,6.7204166667,-54.3010833333,-50.5377500001,-109.14,-111.559041667,-102.822541667
201.19,-26.1903333332,-19.2857083334,-38.5714166667,9.85985294118,-16.9045833335,30.2379166667,-28.5715,-15.4761666667,-67.8571666668,-79.1668333332,-58.5714166667
201.57,-44.6666666667,-40.1666666667,-77.6666666667,-11.9607843138,-46.3333333331,16.0000000001,-70.6666666668,-52.9999999999,-111.0,-140.166666667,-109.333333333
201.95,-107.8125,-119.270833333,-161.458333333,-104.197303921,-135.9375,-29.1666666667,-173.4375,-139.0625,-219.791666667,-293.229166667,-196.09375
202.33,-391.666666668,-542.708333333,-722.916666666,-481.740196079,-552.083333333,-225.0,-677.083333333,-645.833333334,-947.916666667,-1165.625,-939.583333333
202.71,-541.666583334,-711.111125,-841.666833332,-628.758009804,-624.999916667,-294.4445,-872.22225,-580.5555,-1133.33316667,-1418.05566667,-1070.83329167
203.09,-56.9445000001,-115.624875,-143.750083333,-93.4640245098,-67.3609999999,-13.8889166668,-170.138833333,-63.1943333333,-202.77775,-273.611166667,-148.611083333
203.47,101.666666667,206.666666667,235.0,213.333333334,103.333333333,-38.3333333335,345.0,144.999999999,381.666666667,538.333333333,365.833333333
203.85,8.88883333332,49.7222916667,44.9999166668,100.816970588,50.5555833332,-27.2220000001,109.999916667,67.7778333334,129.444416667,184.444541667,111.944416667
204.22,-66.0714999999,-63.9881666668,-38.0951666667,40.756284314,-39.2856666667,-122.619166667,23.2141666667,-23.8095,48.2143333334,118.749958333,16.9642499999
204.60,-178.472166667,-175.000166667,-156.944416666,-49.060534314,-140.277833334,-239.58325,-90.27775,-94.4444166668,-67.361,46.8750416667,-81.5972083333
204.98,-69.2983333334,-97.3684583333,-61.8421666668,4.592112745,-46.9299166668,-122.368416667,-7.89483333332,-30.2632500001,4.38583333315,66.0087083333,-17.5437500001
205.36,-244.791666666,-394.791666667,-289.583333333,-118.198529412,-253.125,-439.583333333,-155.208333333,-111.458333333,-117.708333333,10.9375,-173.4375
205.74,-2525.0,-4233.33333333,-3516.66666667,-2226.47058823,-3350.0,-4725.0,-2608.33333333,-2424.99999999,-2191.66666667,-1162.5,-2525.0
206.12,-202.380916667,-456.547583333,-342.857083333,-262.04477451,-383.333333333,-515.476000001,-272.619,-315.476166667,-227.381,-105.357125,-210.119083333
206.50,-213.541666667,-412.5,-310.416666667,-245.955882353,-398.958333333,-498.958333333,-273.958333333,-315.624999999,-229.166666667,-121.354166667,-253.645833333
206.87,-439.583333332,-727.083333333,-485.416666667,-291.544117648,-670.833333334,-981.249999999,-510.416666668,-466.666666668,-304.166666666,-146.875,-418.75
207.25,-89.5833333333,-165.416666667,-106.25,-60.3921568625,-127.083333333,-220.416666667,-101.25,-93.3333333332,-65.4166666667,-24.1666666667,-82.2916666667
207.63,-43.1818333334,-136.174416667,-51.5151666667,-31.2611764708,-77.2727499999,-159.848416667,-77.27275,-45.4544166666,-13.2575833333,17.4240416667,-39.0152500001
208.01,-100.0,-235.416666667,-104.166666667,-107.352941176,-156.25,-242.5,-151.666666667,-139.583333333,-92.0833333331,-52.0833333333,-88.3333333333
208.39,-64.1025833332,-143.91025,-33.6538333334,-59.8981715686,-95.5128333332,-165.064166667,-100.961583333,-77.5642500001,-37.4999999998,-21.1539166667,-39.2627916667
208.77,-94.9999999999,-176.458333333,-65.0,-90.7598039216,-141.25,-208.75,-129.583333333,-122.916666667,-49.5833333335,-37.9166666667,-63.9583333333
209.14,-331.4815,-424.074125,-211.111083333,-271.89522549,-427.777666667,-521.29625,-350.926,-357.407333333,-172.222166667,-114.351708333,-213.888916667
209.52,-178.888666667,-174.722083333,-91.6666666668,-124.640406863,-215.555583333,-277.22225,-166.666583334,-220.0,-73.3333333332,-34.72225,-59.1666666665
209.90,-120.634916667,-94.047375,-45.2381666667,-61.2977696079,-120.634833333,-167.063583333,-88.0953333333,-121.428583334,-25.3968333334,7.93658333332,-17.6587083332
210.28,-128.448333333,-109.770208333,-62.3563333332,-74.9661813725,-115.517166667,-162.069083333,-95.1149166667,-95.9769166666,-47.7011666667,-16.9539583333,-50.7184166667
210.66,-152.8845,-139.423083333,-73.7179166667,-92.1191764706,-128.525666667,-183.653666667,-89.7435000002,-117.307666667,-72.436,-18.5897083333,-61.8589583333
211.03,-122.8395,-115.277625,-50.61725,-76.289127451,-102.77775,-140.74075,-57.7161666667,-87.0369166665,-54.3210833334,-1.54320833332,-23.919875
211.41,-93.0107499998,-87.5001666666,-23.387,-45.034764706,-65.3226666667,-97.8494999999,-43.2794999999,-61.0215000001,-20.1614166666,14.650375,-11.8278749999
211.79,-116.935416667,-102.957166667,-61.0214999999,-55.5186666667,-72.3119166667,-123.387166667,-47.043,-91.3975833333,-44.0860000001,3.22575,-36.6937083334
212.17,-33.6735,-20.408125,-6.97275,0.240102941175,-10.8843333333,-42.85725,15.6461666667,-18.8775833333,11.9048333333,33.8435833333,3.23120833333
212.55,-11.25,-2.36116666665,-0.41658333335,19.4119166667,10.1388333333,-19.16675,37.3610833333,4.72216666667,21.8056666667,44.5834166667,23.05575
212.92,-3.85566666667,-1.24379166665,3.73133333335,20.0980539216,17.0398333333,-19.03,31.5920833333,7.58691666668,16.4178333333,37.4999583333,26.181625
213.30,14.7221666667,11.435125,11.9445,29.9836470588,26.8519166667,-3.05549999999,32.7779166667,19.074,19.72225,34.1202916667,29.49075
213.68,17.4075833333,15.231625,12.77775,29.2429166667,27.4073333333,2.03708333333,36.2963333333,22.87025,21.5740833333,30.1387083333,27.685125
214.06,19.1359166667,19.032875,16.9754166667,36.5589558823,31.4815,2.98358333334,40.0205833333,24.27975,23.14825,30.9669583333,29.475125
214.44,14.202,14.1433333333,3.28641666667,32.7465343137,25.8215833333,-5.28166666667,32.98125,15.3755,12.9106666667,23.9438333333,24.3545416667
214.81,17.7351666667,13.7819583333,-1.06841666665,32.7111519608,25.3206666667,-4.91433333333,24.2520833333,11.4316666667,13.99575,16.7735,20.085375
215.19,9.93975,10.994,-7.63033333332,20.3698186274,16.7671666667,-13.05225,11.6466666667,1.20483333331,3.61458333333,8.28316666667,6.17479166668
215.57,17.1099166667,22.6062916667,-1.95033333333,26.9817941177,20.7445,-3.81191666665,17.3758333333,12.0568333333,12.1454166667,15.735875,13.1649166667
215.95,22.5379166667,25.71025,4.8295,26.6991176471,19.034,-1.42041666667,16.0038333333,15.7195833333,17.6136666667,21.8749583333,13.4469166667
216.32,4.11108333333,11.4442916667,-16.22225,11.1699558824,1.99991666667,-23.2221666667,-4.33333333332,-3.99991666665,-5.11116666665,8.33333333333,-1.27779166667
216.70,8.13725,13.774375,-9.31358333335,9.14071568629,3.13716666667,-17.8431666667,-6.17658333333,1.47058333333,-4.70599999997,10.1470833333,-2.35308333332
217.08,-0.000166666675751,12.6004166667,-11.1445833333,5.37439705883,-1.70666666665,-20.2810833333,-8.83533333333,-6.12466666665,-6.1245,9.53808333332,-10.0400833333
217.46,-13.615,1.81924999999,-16.0798333333,0.552411764693,-12.0894166666,-28.05175,-15.1408333333,-9.03758333333,-10.3286666667,10.2700833333,-19.9530416667
217.83,-6.22208333333,1.83349999999,-8.33325,10.2220343137,-4.11099999999,-26.0000833333,-12.4445,1.66674999998,-2.49995579793e-11,26.61125,-12.4444166667
218.21,-17.1875,-17.4478333333,-21.4845,-4.82528431371,-24.0885833333,-47.1355833333,-30.0783333334,-12.2394166667,-9.375,18.0990416667,-23.56775
218.59,-8.92866666666,-9.672625,-5.05933333332,9.11241176473,-17.41075,-37.3511666667,-18.3035,-3.57158333332,7.14275,36.235,-13.8392083333
218.97,0.883666666675,5.74508333334,7.32316666668,18.5829901961,1.51516666667,-18.6868333333,1.38883333335,17.803,23.48475,45.707125,1.64145833333
219.34,3.98000000001,7.58708333333,15.54725,31.6358284314,9.70166666667,-12.81075,17.6619166667,23.3830833333,31.5920833334,44.9003333333,9.26620833333
219.72,-3.70366666667,-3.85795833333,9.56791666667,27.2148970588,1.54316666667,-26.2345833333,12.1913333333,22.22225,21.9135833333,38.4257083333,2.39183333332
220.10,-24.0740833333,-17.0370833333,-3.70358333332,22.0261764706,-14.0741666667,-42.4074166667,4.074,6.29616666665,4.07408333335,21.8519166667,-7.87029166666
220.47,-12.5000833333,-2.343875,8.15975000001,38.1432990196,-5.90275000003,-30.7291666667,7.63883333332,11.6319166666,15.4513333334,29.7744166667,-2.95120833335
220.85,-24.3244166667,-3.37841666668,11.4865,53.9084362744,-10.5855833333,-39.18925,6.3064166667,-3.82866666665,20.946,37.0495833333,-13.6260833333
221.23,-0.189416666675,3.88254166667,21.78025,61.1741911764,5.30316666668,-17.0455,23.2954166667,22.9165833333,35.9847499999,37.4052083333,13.0682083333
221.61,10.461,14.1842083333,27.305,58.3853333334,19.5035,-8.688,31.9149166666,23.759,37.05675,28.90075,22.6950416666
221.98,13.4470833333,16.28775,35.4166666667,68.9615294118,21.5909166667,-3.59849999999,40.1515833333,22.3485,32.3864166668,17.803125,32.0075416666
222.36,8.04583333334,17.097625,23.4196666667,55.9330539216,17.52875,-3.44824999998,31.8965833333,15.9481666667,21.2645,15.94825,19.755625
222.74,-0.57475,7.040125,6.60924999998,43.0274558824,-8.33333500001e-05,-22.701,8.18966666666,4.88500000001,2.72991666665,-7.327625,4.74137499999
223.11,2.87358333333,6.39379166667,10.0575,41.184877451,-5.89083333332,-25.8621666667,3.59191666667,-1.72424999998,-6.75299999999,-15.0861666667,5.96279166667
223.49,2.82058333333,1.923125,2.43583333335,25.2941078431,-13.0768333333,-24.9999166667,-7.17950000001,-10.6409166667,-16.4103333333,-15.44875,-1.60254166665
223.87,-10.6181666666,-10.3495,-11.42475,12.4841862745,-30.242,-35.4838333333,-20.8333333333,-30.5106666667,-31.9891666667,-30.0402916667,-15.9945833333
224.24,-4.46866666668,-11.1715833333,-13.7680833333,11.3597205882,-22.2220833333,-32.3670833333,-17.1498333333,-25.8455,-28.5024166667,-30.8575833333,-17.0290416667
224.62,-16.26975,-18.8491666667,-18.9151666667,5.15101470587,-25.39675,-45.5025833333,-21.4285833333,-29.4973333333,-38.7566666667,-41.6006666667,-24.14025
225.00,-35.9568333333,-48.1482916667,-42.12975,-16.1764656863,-50.3087499999,-72.9936666667,-46.6049166667,-56.63575,-72.2223333332,-74.4599166667,-41.743875
225.38,-36.7815833333,-42.313375,-40.3735833333,-18.7290539215,-53.4483333333,-64.5115,-47.7011666667,-59.0516666667,-72.41375,-72.5575,-45.3305
225.75,-21.7341666667,-21.2837916667,-19.2568333333,-5.29952450981,-29.5045833334,-43.69375,-31.4189166666,-40.31525,-45.4955833333,-48.536125,-26.9144166667
226.13,-34.9504166667,-23.5074583333,-28.73125,-17.3543333333,-40.67175,-48.01,-36.8159166667,-48.25875,-52.1145,-57.5249166667,-40.174125
226.51,-22.1774166667,-11.76075,-17.2041666667,-12.5474166667,-32.66125,-37.5000833333,-30.2420833333,-36.2903333333,-43.1451666667,-56.3172916667,-34.6774166667
226.88,-36.3756666666,-14.6824583333,-24.0743333333,-21.5687352941,-34.9206666667,-42.85725,-26.455,-47.8835833333,-46.0316666667,-62.4999166667,-40.54225
227.26,-54.1665833333,-29.0123333333,-35.8025833333,-36.3652450981,-51.0800833334,-60.6481666667,-37.8086666667,-64.969,-59.8764166667,-77.0834583333,-65.97225
227.64,-69.2176666666,-35.62925,-37.5850833333,-44.0075882353,-58.16325,-70.7481666667,-46.2586666667,-68.8774166667,-66.3264166667,-84.608875,-68.1972916667
228.01,-79.1666666668,-42.9563333334,-43.0555,-52.9761764706,-62.89675,-84.5237499999,-56.5475833333,-79.7619166666,-76.5873333334,-94.245875,-69.1468333334
228.39,-78.3333333332,-33.9583333333,-32.7083333333,-50.0612745098,-65.625,-81.6666666666,-55.4166666667,-76.0416666668,-78.3333333333,-94.1666666667,-63.4375
228.76,-44.1490833333,-3.90058333333,-5.67366666666,-27.2528431373,-44.149,-38.2978333333,-30.49625,-42.02125,-47.695,-57.8012083333,-29.8759166667
229.14,-11.0696666667,28.5448333333,17.6616666667,5.49461274512,-12.9354166667,-4.72641666668,4.72641666667,-4.22891666666,-8.08450000001,-13.9304166667,1.92791666667
229.52,13.8298333333,40.2483333333,30.6738333334,26.1680245098,14.0070833333,13.2091666667,23.8475,16.5780833334,13.91825,13.0763333333,19.9467916667
229.89,8.98866666667,31.1798333334,23.0338333333,16.8429901961,3.74525000001,7.30324999998,13.483,13.0148333333,2.90258333332,9.082375,10.3464583334
230.27,15.7894166667,26.608125,24.2690833334,18.7821813725,8.91808333332,7.16375,12.427,10.5994166667,6.06725,10.7821666667,13.7060833333
230.65,16.47725,28.1880416667,28.0303333333,21.7282107843,10.92175,10.1641666667,16.6665833333,10.6690833333,8.39633333332,15.71975,17.9609583333
231.02,25.4839166667,31.8549583333,31.98925,26.9702107843,18.9246666667,18.3871666667,22.2580833333,18.81725,16.07525,22.983875,24.1935416666
231.40,21.7741666667,30.6720416667,28.8171666667,25.1896960784,14.785,18.0645833333,17.5268333333,17.2045,14.8924166667,20.4301666667,24.1666666667
231.78,24.35475,34.59675,27.6883333333,28.643245098,15.6989166666,20.4838333333,20.8601666667,17.6344166667,17.3655,21.8012083333,27.5268333333
232.15,28.80825,35.931875,30.0628333333,29.8096421569,22.1325,26.3439166667,25.8064166667,23.0734166667,22.3565833333,26.4112916667,27.3745416667
232.53,27.2613333333,34.7570416667,29.1040833333,28.1529656863,21.69175,26.4236666666,25.08375,21.31475,21.7335833333,26.633375,28.2037083334
232.90,24.1115833333,31.6413333333,25.9306666666,26.42825,18.9508333333,23.9848333334,23.8578333333,18.4855833333,20.9390833333,23.836625,25.0422916667
233.28,20.8100833333,28.1889166667,23.92925,22.0149068627,16.946,22.62575,19.9719166666,13.6871666667,18.6219166667,19.36675,20.600625
233.66,20.8056666667,26.0485416666,23.7858333333,18.4391617647,14.128,20.9161666667,18.3221666667,11.4239166667,18.0464166666,18.1290833333,19.5363333333
234.03,25.51725,32.8736666667,27.184,24.0905588235,18.2759166667,24.9999166667,24.885,14.5403333333,23.79325,23.9656666667,23.3620833333
234.41,26.9504166666,35.8745833334,27.3640833333,27.2631960785,21.5721666667,27.0095,28.4870833333,19.56275,26.182,27.0392083333,27.8664166667
234.78,28.908,36.9539166667,25.3448333333,31.8796911765,26.0345,29.8275833333,28.9081666667,24.5403333333,29.023,28.7644166667,28.1321666667
235.16,33.266,41.59925,28.0915833334,37.5316470588,29.7714166667,33.80375,30.3091666667,28.0240833333,30.51075,32.089875,31.7539166667
235.54,38.4366666667,44.573625,32.1704166667,41.0434901961,36.7571666667,36.6278333333,35.9173333333,31.7830833333,31.97675,34.495875,32.235125
235.91,32.3413333333,33.9285416667,25.52925,36.0098921569,31.6798333333,31.0185833333,27.7779166667,26.6534166667,24.8015833333,27.0170833333,22.7514583333
236.29,29.9695,33.1040416667,25.6115,34.1968088235,27.1406666666,26.8346666667,25.30575,20.41275,21.4066666667,21.33025,22.7828333333
236.66,24.6995833334,27.3273333333,19.66975,30.7408676471,21.021,19.895,22.74775,14.7896666666,18.9189166667,17.567625,13.8137916667
237.04,27.208,24.1097916667,19.3020833333,28.6744754902,24.28775,19.8718333333,21.2251666667,13.7466666666,18.73225,17.343125,15.6339166667
237.41,30.4743333333,24.574125,19.2821666667,28.3847205882,26.399,22.3845833333,24.635,19.8296666667,21.1071666666,23.6007916667,21.9281666667
237.79,25.0000833333,25.0942083333,17.4185,26.6954166667,22.4311666667,22.7444166667,22.3056666667,17.48125,18.0450833334,19.705375,21.1465833334
238.17,18.8295,14.2812083333,9.92374999999,17.6095588235,15.2036666667,16.41225,11.8955833333,8.01541666667,9.41483333332,8.42891666668,14.917375
238.54,12.20475,6.49604166667,4.46183333333,9.53744607842,2.16541666667,8.33341666667,4.52774999999,-2.09975,0.393666666667,-0.623458333333,4.56029166667
238.92,3.88891666666,-5.20824999999,-2.63891666668,-5.70281372549,-9.58325,0.277833333315,-3.19441666668,-11.6666666667,-10.4861666667,-10.27775,-6.04166666666
239.29,2.40491666667,-2.40499999999,2.7405,-4.50070098039,-6.48766666667,2.6845,2.85241666666,-7.27075,-5.92866666666,-4.08283333333,-1.62191666666
239.67,4.73249999999,0.951625000007,4.52683333332,-2.0364607843,-6.27575000001,6.27566666667,2.88074999999,-6.12133333334,-3.49800000001,-2.36604166667,3.13775
240.04,13.2228333333,9.45995833333,14.2006666667,5.85749019608,4.71941666666,14.073,10.1615833334,5.35708333332,7.99308333333,7.24920833332,12.3935416667
240.42,10.26875,9.00470833333,11.9274166667,5.82190196078,2.60683333334,12.2039166667,8.29375000001,5.37133333333,7.14833333332,5.233125,10.9992916667
240.79,13.6003333333,12.0671666667,15.368,8.52649019607,8.22516666665,16.70275,10.1371666667,11.3995833333,10.24525,7.10679166667,14.4841666667
241.17,13.6048333333,13.8415,15.8458333333,10.3145931373,9.28033333334,17.36125,12.1213333333,14.6150833333,12.3423333333,9.43804166667,15.072625
241.54,8.51733333333,8.40991666666,13.7560833333,8.32602450981,4.47299999999,15.22675,7.47550000001,10.0796666667,8.45600000001,3.53858333333,10.56975
241.92,6.49933333333,4.77341666667,9.22324999999,7.17351960783,2.83175,11.7583333333,4.36908333334,7.22741666666,4.53066666666,-0.579833333332,7.3085
242.29,7.66025,7.70658333332,10.3528333333,10.1097843137,5.7335,13.0453333333,7.869,9.47083333333,6.70833333334,3.55145833333,10.12075
242.67,8.89916666668,8.52916666667,12.0323333333,11.9976764706,8.59449999999,15.2740833333,9.55191666667,11.2273333333,7.91999999998,6.24441666667,12.4020833333
243.05,8.83208333333,9.33083333332,12.0948333333,13.8441617647,9.72566666666,15.877,10.34925,11.6791666667,8.87383333331,7.28383333333,14.6509583333
243.42,9.54133333332,10.595875,12.46925,15.5369901961,10.7903333333,17.11725,10.5036666667,12.4895833333,10.2374166667,7.371125,15.3152916667
