wavelength,Back_IncWatf,Belly_IncWatf,Breast_IncWatf,Crissum_IncWatf,Crown_IncWatf,DorTail_IncWatf,Patch10_IncWatf,Patch11_IncWatf,Patch12_IncWatf,Rump_IncWatf,Throat_IncWatf,WingTip_IncWatf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-51.1111333333,-49.6296,-36.2963333333,-42.963,-45.1852666667,-44.4444666667,-51.8518666667,-46.6667333333,-62.2223333333,-74.8148666667,-78.5185333333,-56.2962666667
179.16,79.9999999999,68.3333333334,91.6666666667,40.0,78.3333333334,53.3333333334,38.3333333333,55.0,41.6666666667,43.3333333334,-28.3333333333,66.6666666667
179.54,44.4446000001,6.6667333334,57.7777999999,31.1110666666,-13.3332666667,-24.4444666667,-20.0,-15.5555333331,-11.1110666667,-11.1112000001,37.7776666667,28.8888666666
179.93,-12.5926666667,-2.96306666666,54.0740666667,5.92586666668,11.1110666667,-15.5556666667,15.5555333333,21.4814000001,-15.5556,12.5926666667,9.62946666669,27.4074
180.31,-81.4814666667,-77.4071999999,-23.7036000001,-77.7779333333,-51.111,-83.1482000001,-81.2963333333,-46.1110666667,-102.963,-94.6296,-93.7037333333,-56.6666000001
180.69,-66.5079333333,-64.1270000001,-9.20633333333,-56.9840666667,-36.1906,-62.2222666665,-62.0634666667,-30.0000666665,-81.7460666667,-71.5874,-81.9047333334,-43.492
181.07,-75.2381333335,-76.0000000001,-0.38093333334,-70.0952,-39.2381999999,-75.8096666667,-69.5238,-29.3333333333,-91.6189333333,-71.6189333333,-87.9999333333,-38.2858666666
181.45,-66.6665999999,-59.8484666667,-4.24240000002,-62.1212666667,-30.7576,-64.8484666668,-54.697,-23.9395333334,-70.7575333333,-54.2422666667,-63.0302000001,-35.6060666667
181.83,-69.6297333332,-61.0370000001,-5.92579999999,-62.8147333335,-26.3703999999,-64.8888666667,-53.3332666667,-23.5554666667,-71.5556666667,-61.0370000001,-65.4813999999,-37.1851333333
182.21,-218.0,-190.0,-88.3333333333,-204.0,-126.666666667,-198.0,-179.0,-120.666666667,-209.666666667,-211.666666667,-216.666666667,-164.0
182.59,-254.7368,-221.7544,-111.929933333,-239.999933333,-160.351,-215.789533333,-195.0878,-162.456066667,-231.578866667,-242.456133333,-257.543866667,-184.5614
182.97,-203.950533333,-167.654333333,-91.8519333333,-179.506066667,-124.4444,-168.888866667,-148.642066667,-137.037066667,-169.629533333,-182.469133333,-193.333333333,-139.012266667
183.35,-161.505333333,-137.2042,-73.7634666667,-142.365533333,-103.871066667,-137.634266667,-104.086066667,-118.064533333,-135.913933333,-155.053733333,-155.913866667,-113.763466667
183.73,-111.711666667,-95.8558666665,-44.8648,-95.3153333334,-63.2434000001,-94.9548666667,-64.8647333333,-78.3783999999,-95.4956,-109.008933333,-114.2342,-73.3332666667
184.11,-103.7036,-83.5185333334,-38.7036666666,-79.074,-47.9628666667,-88.7037333333,-51.2964,-73.1480666668,-85.3704666668,-98.1482000001,-109.444533333,-62.0369999999
184.49,-19.6969333333,-3.63633333334,15.1514,-6.76773333334,12.1210666667,-15.3533333333,6.96966666666,-6.76766666666,-11.2121333334,-10.6060666667,-18.4848,7.37379999999
184.87,-19.8991333333,-5.85839999999,7.77780000001,-12.6262666667,12.3232,-26.0607333334,-2.52533333333,-14.9494666666,-15.2526666667,-14.0405333333,-13.9394,7.27266666669
185.25,-16.3285333333,-5.12086666667,5.02420000001,-7.82613333334,16.6184,-21.9324,-5.70059999999,-13.43,-15.5554666667,-12.4637333333,-10.7247333333,3.47840000001
