wavelength,Back_GeoForm,Belly_GeoForm,Breast_GeoForm,Crissum_GeoForm,Crown_GeoForm,DorTail_GeoForm,Patch10_GeoForm,Rump_GeoForm,Throat_GeoForm,WingTip_GeoForm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,753.333333334,513.333333333,876.666666668,959.999999999,846.666666667,940.000000001,453.333333333,773.333333334,643.333333333,1160.0
179.16,64.4444,63.3332666667,70.0001,83.8888666667,71.6665999999,74.9998666667,66.111,95.0000666667,51.3888666667,61.1111333333
179.54,399.999999999,360.0,176.666666667,-266.666666667,320.0,213.333333333,-53.3333333333,180.0,-236.666666667,-3.3333333334
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,232.777733333,148.3334,164.861133333,162.500066667,194.7222,206.944333333,159.4444,251.944533333,75.0000666667,185.6945
180.69,355.185133333,208.1482,249.629733333,242.2222,288.148133333,304.074066666,252.962933333,373.333333333,113.703566667,267.777766667
181.07,341.1112,182.963,209.444333333,197.407466667,269.259133333,273.703733333,255.9258,345.925866667,76.2964,214.814866667
181.45,965.714266667,516.190333333,626.190533333,575.238200001,743.809600001,774.285666666,704.761933333,906.666666667,249.5238,656.666566667
181.83,378.666666667,221.0,242.666666667,259.666666667,287.666666667,309.0,307.666666667,357.666666667,151.833333333,292.666666667
182.21,370.175466667,201.7544,240.3509,261.403666667,287.719333333,320.0,301.754266667,355.438666667,140.526366667,294.035033333
182.59,384.814866667,214.814733333,261.666633333,256.296333333,312.5926,318.518466667,317.4074,383.703733333,157.036966667,305.740666667
182.97,280.289933333,166.666733333,201.304366667,191.304333334,229.855066667,249.275266667,242.318933333,295.072533333,114.347833333,227.101366667
183.35,307.936466667,185.396666667,217.4602,213.0158,258.4128,274.2856,272.063733333,321.269933333,119.999966667,264.920666667
183.73,-620.0,-220.0,-288.3334,-273.3332,-409.999999999,-438.889,-541.111133333,-646.666599999,32.7775999999,-388.888866666
184.11,-210.0,-44.9999333335,-37.5,-60.5556666667,-91.1111999999,-156.111133333,-201.111066667,-211.6666,113.3333,-94.9999999999
184.49,-178.5716,-16.6667333333,-9.76196666654,-19.0476000001,-75.2380666667,-123.809533333,-170.476066667,-152.3808,74.0474333334,-84.9999333333
184.87,-101.212,75.7575333335,90.3031333334,73.3332666668,19.9999333335,-72.1212666666,-84.8484666667,-107.2728,156.969733333,-3.63630000006
185.25,34.1666666666,242.5,307.916666667,237.5,179.166666667,63.3333333334,19.1666666665,-28.3333333334,335.0,97.0833333334
185.63,156.666666667,351.666666667,483.75,392.5,315.0,220.833333333,127.5,108.333333333,448.333333333,257.916666667
186.01,94.1268000001,128.7302,148.888833333,131.111066667,114.761933333,97.6190666666,85.0793333334,78.0952,148.412733333,117.2222
186.39,89.2594000001,113.950666667,133.4567,109.999933333,105.555533333,93.4568666668,79.5062,77.6543333333,124.4445,108.5802
186.77,98.9936666666,128.050333333,145.094333333,118.113266667,117.358466667,102.767333333,88.0502666666,88.0501999999,131.446466667,115.534533333
187.15,105.000066667,128.205133333,149.551166667,114.487133333,124.359,112.051266667,88.4616,92.6922666667,122.115333334,120.9616
187.53,86.4242666666,106.666666667,128.909166667,97.9394666667,113.454533333,96.2424666666,71.6365333333,80.6060666667,100.363666667,105.7576
187.91,69.3828,89.5061333334,108.888933333,80.9876666667,100.617266667,83.5802,64.5678,65.9259333333,76.1728666667,88.1481333333
188.29,62.6667999999,83.1795333332,98.4102333332,76.4102,88.0000666668,81.8462,59.9999333334,56.3076000001,63.9487,77.6410999999
188.67,64.1881333333,82.6495333333,95.7263666666,73.5042666666,88.9743333334,83.3334,65.1282,60.0854666667,63.5043666667,81.5384666666
189.05,57.5758,64.5791333333,80.6732666667,64.1751333333,76.7677333333,72.9293333333,54.4108666666,52.9967333333,59.394,65.7575333333
189.43,43.2692,46.7308,62.3399,49.0385333333,63.7179333334,58.8462,43.6538666667,41.6666666667,48.3013333333,53.7178999999
189.81,49.5036666667,50.7092666667,69.9644666667,55.2482,69.5036,64.1134,47.8014666667,46.4538,49.8226666667,54.9644999999
190.19,39.9999333333,44.5238666667,61.9841666667,47.5396666667,64.127,59.5237333333,39.762,35.3968,38.6904333333,41.3491666667
190.57,32.1481333333,34.074,46.8148666667,44.5926,54.6668,50.5926,31.4815333333,29.2592,31.9260333333,31.8518999999
