wavelength,Back_SicOlim,Belly_SicOlim,Breast_SicOlim,Crissum_SicOlim,Crown_SicOlim,DorTail_SicOlim,Rump_SicOlim,Throat_SicOlim,WingTip_SicOlim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,225.833333333,166.666666667,151.666666667,108.181818182,180.0,138.333333333,190.0,129.166666667,171.666666667
179.16,64.8147,109.629733333,98.5184333333,51.4479636363,77.0371333333,67.0370333333,75.5554666667,48.5186,51.1110666667
179.54,78.4848666666,87.2728,84.2423333333,74.6005151515,78.7879333334,65.4545666666,69.0909333333,93.3333333333,60.0000333333
179.93,80.0,5.99982286076e-11,-103.333333333,194.545454546,-80.0000000001,-156.666666667,8.00042698756e-11,-90.0,146.666666667
180.31,190.416666667,193.333333333,202.916666667,97.2727272728,215.416666667,151.458333334,207.083333333,144.375,58.125
180.69,201.9049,218.5714,245.952466667,110.476218182,263.333266667,134.0476,230.000066667,145.4761,48.0954666667
181.07,143.703666667,174.4444,194.074066667,81.279369697,194.074066667,102.222366667,178.889,112.2222,30.5554333333
181.45,197.5,191.25,220.208333333,124.545454546,241.666666667,136.25,228.333333333,149.583333333,56.25
181.83,1883.33333333,1486.66666667,2070.0,785.454545454,2680.0,986.666666668,2666.66666667,1193.33333333,-400.000000001
182.21,-448.888866667,-208.888866667,-451.111033334,-81.2121515153,-622.222200001,-90.0001000006,-655.555533334,-123.3334,404.444566667
182.59,-49.7916666668,23.3333333333,-54.7916666668,32.7651515151,-76.2499999999,20.0,-77.0833333333,26.6666666667,119.166666667
182.97,21.2222333334,68.8890000001,21.5555666667,65.8180909091,17.1109333333,67.5554999999,10.0000666667,67.1111,96.2222
183.35,47.7777666667,91.1111999999,53.4443333333,84.3232484847,47.9999333333,87.4444,34.4444666666,99.8889,134.999866667
183.73,43.8666666667,106.666666667,62.1333333333,87.9757575757,41.0666666667,93.8666666666,41.8666666667,108.8,171.066666667
184.11,234.166666667,-185.000000001,42.5000000006,-71.818181818,325.0,-95.0,196.666666667,-212.5,-516.666666666
184.49,-38.3333333333,235.833333333,141.249999999,144.848484848,-46.6666666667,184.166666667,34.1666666667,225.416666667,360.0
184.87,1.51520000006,249.696933333,182.424133333,174.21489697,33.9394666666,154.242466667,55.1515333334,198.181833333,306.9697
185.25,45.0505666666,128.686866667,97.7777666666,89.0908363636,53.7374000001,96.2625666667,64.6463999999,105.9595,146.868633333
185.63,66.6665999999,114.6154,96.6666333333,91.9580181819,75.8974,99.0383999999,78.9744000001,100.7051,133.076866667
186.01,70.2380666666,112.499933333,98.9286000001,95.5628484848,78.6902666666,102.500033333,85.9523333333,105.2976,134.6428
186.39,59.4446,96.2222000001,86.0554999999,85.9798848485,63.1110666666,96.0555333333,70.0000000001,93.6111666667,121.111233333
186.77,74.1892333333,98.6486666667,93.9639666667,89.5249151514,73.7838000001,103.108066667,77.2972000001,94.3693999999,124.099033333
187.15,64.7736,89.465,86.7489999999,80.7333030304,62.6337333333,96.8312666667,68.2304666667,83.2098666667,113.4157
187.53,55.7027333333,77.9115999999,79.4377999999,74.0782121212,51.1648,86.8675000001,59.2770666667,67.4297666667,97.3493666667
187.91,60.0000333333,75.7038666666,78.7407333333,74.5050909091,53.7037333333,91.7778,60.2223333333,68.7406999999,95.5185000001
188.29,60.3561333333,67.3139333333,73.4950666667,67.3610121212,55.5987333333,85.0484333334,56.6990666667,64.4983000001,86.7313333333
188.67,63.5495,62.0987333333,75.7098999999,64.4051575758,58.9506666667,86.2038666667,55.6173333333,63.4877,81.6666666667
189.05,59.5062333333,53.4568,71.5432999999,56.3187454545,53.2099333333,81.3580333333,52.4073333333,60.1852333333,74.0432
189.43,52.1705666667,44.8836666667,73.7596666666,52.4525151515,44.4186666667,82.2480333334,45.1162666667,58.9148,70.9302333333
189.81,51.0041,45.9438666667,76.4257666667,56.2687515152,37.8314,86.9881333334,41.5260666667,58.2330666667,66.2249333333
190.19,46.7089666667,44.9788666667,77.5528000001,55.8112060606,35.1897333333,87.6370666666,37.2995333333,60.5904999999,60.1265333333
190.57,46.1593666667,44.2028,74.6376000001,52.378030303,38.2607333333,82.2100666667,39.2754,59.0217,53.8766666667
190.95,41.8566666667,45.1478,79.3671,52.9114363637,37.8901333333,87.5105333333,34.9366666667,62.4894000001,48.059
191.33,41.7916666667,41.8333333333,76.1666666667,49.053030303,35.25,82.3333333333,33.1666666667,61.2083333333,45.0416666667
191.71,42.2511,47.8787333333,76.3635333333,49.5395575758,40.8658666667,91.0389333334,36.1904,68.1384666668,49.567
192.09,45.8527,53.2558666667,77.6356999999,56.6103636364,46.8216,90.9690000001,41.4729333333,70.4263999999,54.9999
192.47,52.0879666667,67.3993333333,88.6447333333,68.6180848484,54.7985333333,95.3479,51.0622,77.5091666667,64.5421333333
192.85,56.0536333333,77.2414,93.6783000001,75.4162484849,56.9349333333,98.0842,57.931,79.8467333334,71.1877333333
193.23,54.5238,79.0477333333,95.5159333333,79.6031818183,58.3333333333,99.0477333333,59.6032,81.2697666667,75.1587666667
193.61,62.5617666667,84.5678666667,98.7036666665,79.7138121212,63.4568666667,95.1852333333,65.432,77.6851666667,77.6235
193.99,60.5102666667,84.8979333333,100.340233333,75.7947636363,63.8776,96.5644666666,65.9865333333,76.4286333333,74.966
194.37,55.9876666667,77.1602666667,89.2901666666,68.305169697,57.6543333334,88.3024666667,60.8024666667,66.5122999999,66.9136333333
194.75,56.6307333333,81.8637333334,96.3798666668,70.6419575757,58.9964,90.2150666667,62.8673333333,66.8100333335,69.8925
195.13,45.5184,72.8149333333,88.7778333333,58.7746060606,47.1852,80.2222666667,56.0,55.1851,58.5926
195.51,51.0797333333,84.1313333333,106.384966667,69.5432242424,52.4882666667,97.4649666667,67.0422666667,62.1596333333,67.5586666667
195.89,34.7620333333,67.8308,93.0688333334,57.3158363636,27.9366666667,79.5238666667,46.7723333333,40.3174666667,48.6244
196.27,12.8069,78.9473333334,115.614066667,47.5438000001,-3.5087333334,85.9648333333,45.9649999999,25.7896333333,24.2983
196.65,-33.5294666667,84.7059333334,155.686166667,18.0747696971,-87.4510666667,120.588266667,25.0979999999,-28.6274000001,-19.8037666667
197.03,-40.8333333333,49.6666666666,101.0,-6.45454545446,-100.0,68.3333333332,-4.3333333334,-32.9999999999,-46.0000000001
197.40,-65.3847333333,90.7692,135.3846,-27.5058787879,-157.435866667,97.6922666666,-37.9488666666,-101.282166667,-100.256466667
197.78,342.857233333,158.095066667,117.142833333,311.341951515,575.238199999,91.4287000001,360.0,452.857133333,462.381
198.16,489.333333333,253.333333333,198.666666667,479.515151515,815.999999999,251.999999999,534.666666667,654.0,626.666666667
198.54,112.413866667,86.2067999999,65.5172999999,124.764763636,174.023066667,92.4137666667,132.873533333,150.574666667,145.402266667
198.92,103.809466667,84.6032,80.0793666667,116.897563636,145.079466666,90.3176000001,120.000066667,137.6191,128.968366667
199.30,112.651433333,104.2424,92.6514999999,125.785078788,146.818133333,102.727266667,135.7576,150.0757,132.5
199.68,213.188266667,182.318733333,162.8986,245.981545455,266.086933333,197.536233333,272.173933333,271.159433333,255.072466667
200.06,161.866666667,136.8,99.9999999999,207.36969697,193.866666667,144.133333333,208.266666667,207.6,208.4
200.44,167.857166667,159.5238,113.452366667,213.073490909,185.000066667,156.9047,230.7144,216.0714,216.071533333
200.82,183.666733333,184.222133333,137.111,230.909036364,198.4444,179.444433333,253.999933333,244.444366667,244.333233333
201.19,158.866666667,152.933333333,121.733333333,182.363636363,158.133333333,143.266666667,198.133333333,189.866666667,193.333333333
201.57,145.136633333,143.934466667,113.606466667,168.107218182,146.448066666,131.912566667,178.0326,170.109166667,174.808733333
201.95,152.105333333,150.1754,114.795233333,178.968678788,146.1988,135.146266667,180.116933333,178.1287,178.655066667
202.33,154.933333333,157.333333333,113.733333333,190.16969697,149.2,143.066666667,187.2,191.533333333,185.8
202.71,197.380933333,186.031666667,143.809466667,239.581557576,180.1588,178.015766667,221.746,232.301666667,222.301666667
203.09,241.071533333,232.8572,158.571333333,311.320236364,218.095266667,214.761933333,277.380933333,289.285766667,283.690466667
203.47,216.1291,210.752666667,147.849333333,298.983442424,203.440933333,208.709566667,253.1182,261.935466667,263.9785
203.85,207.204266667,212.473066667,143.655766667,291.143648485,199.354866667,201.2904,241.720466667,264.9463,254.516033333
204.22,196.309466667,204.285733333,139.166666667,296.774957576,197.142866667,203.690433333,238.571466667,272.2618,258.809533333
204.60,121.6667,124.2308,90.8333666666,172.435866667,120.3846,128.5256,143.3334,167.628133334,150.384466667
204.98,133.450233334,125.379866667,97.4853666667,174.449787879,128.889066667,134.7369,143.041066667,164.093566667,151.929966667
205.36,142.1276,144.538866667,102.4113,194.119878788,134.893666667,149.1488,151.914933333,182.340433333,159.2199
205.74,182.5,193.8888,136.389033333,245.858666667,169.0742,200.3705,194.814866667,237.407566667,201.1111
206.12,177.063566667,183.016,139.6033,226.349139394,164.2858,195.3175,193.6508,226.269833333,204.2857
206.50,155.7924,160.218666667,132.896233333,189.220012121,144.480866667,160.928966667,173.552,188.470033333,171.803433333
206.87,163.278666667,170.273133333,142.185766667,193.402878788,154.535466667,169.070933333,185.683,203.825066667,182.404333333
207.25,157.7778,163.768066667,134.4927,182.441793939,147.729533333,163.526566667,179.323733333,199.227033333,173.478133333
207.63,169.774033333,179.886866667,145.028266667,194.144878788,161.807866667,174.180666667,202.146866667,220.508466667,195.762666667
208.01,153.420933333,166.3158,138.4211,173.261496969,146.6668,165.3509,181.4912,198.333233333,172.543833333
208.39,148.754566667,162.4908,139.487233333,162.684133333,144.322266667,159.707,174.212533333,185.7875,162.930366667
208.77,234.038533333,256.923066667,222.371866667,259.254218182,229.743733333,256.025566667,274.359,290.8975,258.7821
209.14,233.8181,264.1212,227.8182,259.625327273,227.393933333,255.3939,276.242466667,287.151466667,257.091
209.52,269.787233333,293.049666667,263.829866667,302.746569697,259.4326,298.7943,318.581533333,327.730466667,294.184433333
209.90,311.666666667,334.666666667,309.833333333,353.242424242,302.833333334,350.0,374.0,376.833333333,341.333333333
210.28,327.894733333,345.614133333,320.3509,374.242460606,313.508733333,364.7369,390.175533333,393.684333333,352.543733333
210.66,361.0476,390.4762,352.0,415.722915151,353.3334,416.5714,424.380933333,439.238133333,402.5714
211.03,293.4816,324.148133333,286.888833333,337.750727273,283.5556,344.296266667,341.185133333,352.2223,323.777766667
211.41,254.074166667,277.037,251.419933333,289.180836364,253.456866667,306.296233333,294.8148,304.629766667,281.666766667
211.79,239.7312,256.989266667,241.612866667,268.641187879,233.333266667,286.236633333,267.204266667,283.171966667,250.8602
212.17,210.619,220.857133333,213.2382,236.216533333,200.571533333,246.714333333,231.618933333,247.999966667,217.238066667
212.55,212.333366666,213.714333333,208.952333333,235.930581818,200.190466667,248.857166667,228.4762,247.523766667,214.809566667
212.92,186.708333333,190.083333333,180.75,212.946969697,178.75,216.25,202.0,221.625,193.791666667
213.30,187.313466667,193.930333333,180.497733333,219.303587879,179.7016,226.9155,209.751266667,231.293466667,198.606966667
213.68,180.364333333,195.625,181.562666667,213.882545455,178.333066667,226.197766667,209.062466667,239.270833333,196.562233333
214.06,140.583333333,152.666666667,138.708333333,168.583333333,138.333333333,177.291666667,160.0,186.458333333,156.375
214.44,122.348566667,135.227266667,120.984833333,146.473806061,119.848466667,157.878833333,138.257533333,161.628933333,134.469733333
214.81,123.9918,135.637666667,119.5061,146.494575758,119.670933333,160.658466667,139.094733333,161.893033333,132.469166667
215.19,143.174433333,162.222333333,143.8623,170.37989697,140.1058,185.714433333,167.724866667,195.185233333,155.291033333
215.57,146.666733333,164.6154,147.641066667,172.885806061,137.743666667,181.641066667,173.128066667,191.384666667,157.538433333
215.95,126.428466667,144.952333333,122.904766667,150.432872727,121.333266667,160.1905,153.4286,172.0,143.7143
216.32,135.944533333,166.000066667,136.777733333,166.76770303,134.999933333,180.499966667,173.333333333,191.333366667,165.611233333
216.70,134.464266667,177.261933333,142.023833333,173.322430303,134.761866667,179.702566667,180.357133334,198.452433333,171.9642
217.08,129.948633333,161.846133333,142.0512,159.123515151,133.333266667,173.846166666,171.999933333,186.666666667,163.128133333
217.46,135.940133333,159.828933333,146.5385,157.948757576,139.658066667,172.6067,169.401533333,186.794866667,164.871766667
217.83,155.6482,176.851866667,159.027966667,171.237351515,154.814866667,187.129566667,188.148133333,200.6944,182.1297
218.21,194.666733333,215.282,192.8205,207.030315152,190.051266667,230.820433333,229.641066667,240.410133333,220.461533333
218.59,209.282133333,233.2306,208.923,217.389339394,207.4872,241.230766667,244.923,256.153766667,235.589733333
218.97,213.494666667,234.623466667,213.279733333,216.168163636,211.935466667,244.7312,250.0,258.602233333,246.397733333
