wavelength,Back_OryFunf,Belly_OryFunf,Breast_OryFunf,Crissum_OryFunf,Crown_OryFunf,DorTail_OryFunf,Patch10_OryFunf,Rump_OryFunf,Throat_OryFunf,WingTip_OryFunf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-90.4761333335,-72.619,-103.3334,-62.8572666667,-89.5238,-17.1428666667,-87.6190666667,-46.9841333333,-93.2653571429,-36.1904
179.16,12.5641333333,8.97433333332,-3.07686666668,19.4871666667,24.6153333333,52.0511666667,-13.8462666667,6.83757777778,29.4872,21.5385
179.54,16.4814333333,47.6851666667,17.7776,32.0369,21.8518,47.5927,30.3704,36.6667777778,25.423347619,40.5557333333
179.93,56.1110999999,74.9999166667,61.6666666667,69.9998999999,33.3331999999,99.4444666665,57.7777333333,85.9258888889,50.9523285714,58.8889999999
180.31,8.61453333333,33.6580833333,1.6449,18.2251333333,9.61046666667,42.2077666667,3.89600000001,19.6536666667,12.3500714286,19.1340666667
180.69,3.70893333332,33.3330833334,-10.7511666667,13.8967,9.76526666668,43.474,2.15966666667,20.9703555556,7.39102380952,18.0750333333
181.07,15.7143666665,47.7512500001,1.16383333334,17.8306666667,20.5290666667,52.1694333333,10.1587333333,29.9823333333,15.4723285714,21.7988666667
181.45,3.33336666659,47.2220833334,-13.3950666667,6.2963,2.09873333333,36.8519333333,4.19746666668,22.4690444444,-4.16225238096,5.24686666666
181.83,-5.4761666666,33.5317500001,-37.6192333333,-13.5715,-13.1745999999,22.1428333333,-14.9207333334,3.91533333334,-27.9706428572,-19.8414666666
182.21,-38.6458333333,16.40625,-81.9791666668,-41.5625,-35.2083333333,1.35416666666,-48.9583333334,-32.1527777778,-65.9077380952,-47.7083333335
182.59,-207.5,-121.875,-325.208333333,-238.125,-230.833333333,-142.708333333,-266.666666667,-224.027777778,-283.333333333,-242.5
182.97,4513.33333333,3558.33333333,7300.0,5056.66666667,5713.33333333,3973.33333334,5873.33333333,5328.88888889,6083.33333333,5050.0
183.35,816.666600001,729.166750001,1296.11126667,978.888933333,1018.88873333,679.444466667,1065.55546667,1027.03704444,1118.33315238,906.666599999
183.73,499.666666666,485.833333333,772.0,648.333333333,630.666666667,437.333333333,690.0,655.555555556,677.952380952,576.333333333
184.11,-667.777666667,-701.389000001,-1175.00006667,-941.666599999,-915.555600001,-585.555633333,-1047.7778,-960.000044444,-1007.3016619,-836.666766666
184.49,950.0,978.333333333,1518.66666667,1221.33333333,1266.66666667,857.333333333,1477.33333334,1337.33333333,1378.66666667,1048.66666667
184.87,2141.66666667,2187.5,3343.33333333,2740.0,3236.66666666,1898.33333333,3583.33333333,3232.22222222,3223.57142857,2480.0
185.25,601.851799999,589.814833333,881.111133333,695.555533333,849.629733333,511.111133333,925.185266667,857.777799999,820.58202381,620.0001
185.63,374.222233333,358.333333333,540.888866667,439.111133333,494.666666667,317.7777,566.666733333,532.592511111,492.222219048,387.111233333
186.01,222.222266667,208.680583334,322.361066667,269.722033333,305.833333333,192.9167,352.222133333,326.110977778,293.869147619,230.4168
186.39,328.2222,303.889,479.777766667,427.555533333,475.111066667,296.888866667,548.444533333,494.518466667,449.841361905,367.9999
186.77,312.708333333,285.416666667,447.291666667,400.833333333,432.5,287.5,485.0,454.166666667,421.577380953,322.5
187.15,396.666633334,330.303,599.999966667,526.969733333,520.606,353.030333333,622.424133333,557.777711111,545.367895238,426.9698
187.53,-855.555533333,-552.777833333,-1596.66673333,-1310.0,-1377.77786666,-690.000066666,-1631.11126667,-1409.62975555,-1322.69829048,-976.666799999
187.91,219.047666667,148.214166667,379.761933333,299.285533333,362.857133333,208.0951,368.095266667,345.238111111,336.904780953,227.142866667
188.29,184.444333333,110.069416667,253.3335,209.861133333,258.611066667,167.5001,239.4444,234.351755556,230.992119048,168.472133333
188.67,170.101066667,111.86875,225.5556,187.272766667,212.929266667,150.4041,197.373666667,198.518422222,195.223704762,156.464466667
189.05,160.256333333,113.461416667,200.427433333,175.555566667,191.9658,142.649533333,178.119666667,190.142444444,180.146495238,154.2734
189.43,214.202833333,147.101333333,287.536266667,241.304266667,270.7246,197.8259,225.797,251.787422222,255.610680952,205.942033333
189.81,207.101433333,146.37675,268.5506,236.521833333,277.391333333,190.869566667,227.2464,258.550755556,256.438871429,190.869633333
190.19,237.424266667,154.545583333,301.060666667,254.848566667,289.090933333,224.848433334,248.181733333,283.333266667,271.342066666,207.727366667
190.57,144.8551,102.355,178.7683,151.159266667,173.3334,148.7679,146.087133333,168.937155555,163.975271429,134.7826
190.95,185.980433333,116.421666667,215.0001,175.000033333,221.1764,187.941233333,190.784333333,213.986888889,212.507033334,180.6863
191.33,185.9649,129.385916667,189.2106,176.0527,216.140266667,193.070166667,186.3158,211.520444444,209.2732,171.7544
191.71,161.509466667,117.767416667,155.786133333,153.899566667,176.477866667,169.496766667,159.245333333,181.593311111,179.874066667,145.534566667
192.09,210.175466667,147.368333333,203.508833333,208.070266667,222.105333333,225.175533333,208.245666667,241.929777778,227.305690476,200.5264
192.47,147.6,111.5,141.933333333,145.466666667,160.266666667,164.8,156.533333333,183.066666667,169.180952381,159.0
192.85,160.450466667,109.684833333,149.910033333,166.036033333,177.117133334,197.3874,183.063,213.993955556,189.575357143,188.198166667
193.23,173.921466667,125.73525,170.5883,186.2744,192.353,236.4707,218.627333333,240.915088889,214.733933333,197.157
193.61,135.277766667,104.687333333,130.2779,138.402633333,148.1944,188.263866667,176.805533333,192.499933333,164.861080952,161.736066667
193.99,123.267933333,110.4575,121.503466667,129.8037,138.169866667,179.673366667,165.2288,175.947755556,147.488409524,153.921533333
194.37,127.7777,124.346083333,117.973633333,131.503133333,143.006533333,183.267966667,169.5424,178.692844444,152.763728572,159.542466667
194.75,159.666733333,162.5,144.888766667,183.555466667,191.111,246.111133333,233.3332,243.9258,203.222352381,205.555633333
195.13,129.270833333,155.208333333,132.083333333,182.395833333,163.75,216.666666667,198.125,222.986111111,163.705357143,180.104166667
195.51,88.2049666667,110.256416667,95.0000333333,127.179566667,111.281933333,133.9744,133.717933333,150.598333333,109.954404762,120.9616
195.89,84.5186,124.074166667,99.7778999999,138.666633333,107.555533333,139.926066667,130.074,148.8888,114.793785714,129.4075
196.27,64.6874333333,95.9635,74.7915666667,102.760333333,80.4165333333,110.052133333,97.7083333333,110.208288889,92.9983619047,99.9479
196.65,68.9706,99.3872499998,83.3332666667,109.166733333,80.6864,116.813566667,101.6668,111.535866667,95.1538809525,98.7746333334
197.03,68.6301,102.397416667,78.1735333333,103.698633333,75.6165333333,104.703166667,88.8584000001,106.057688889,89.9936333333,93.7900333334
197.40,68.4889333333,108.666583333,77.1556333333,104.222166667,76.6222,101.9112,83.2888,100.325822222,87.6762428571,94.0888666667
197.78,65.8847333333,103.600833333,72.0986333333,100.9465,71.5227333333,91.3580333333,75.1441333334,92.8120444445,79.4414952381,88.9712666665
198.16,65.3876333333,97.3837499998,71.0465333333,90.8914666667,63.6433333333,85.4651333334,70.4652000001,91.6022222223,76.1462714287,86.2791
198.54,56.7399666667,91.5751666667,60.9524,81.7217,59.1208666667,76.9596666667,62.4176,83.1746444444,67.3364857142,77.5090333334
198.92,50.9319,92.2043333333,52.5807,69.3188666667,52.5448,73.1182333333,57.1326,77.3954666667,60.7322666667,69.0679999999
199.30,45.0778,79.5949166667,40.1870333333,54.1744666667,46.1059333333,62.0248333333,46.9782666667,64.0498444444,54.4237428571,55.2648666667
199.68,47.3148666667,95.2545833334,36.6668,56.8056333333,44.7222666667,76.852,47.5,71.7901333332,62.2221428572,65.0925666667
200.06,49.2956666667,97.8873333334,33.3334333333,55.1643666667,46.5728,81.8309,56.2442,76.2752666666,62.0390380953,64.6947333334
200.44,54.1482,135.740583333,21.4814333333,60.4442666667,46.5184,93.7036333334,58.2223333333,85.3828222222,66.5818523809,60.2963333335
200.82,51.9819000001,150.0,4.95513333326,48.4684333333,54.4144,100.900833333,54.2342000001,83.7238666665,58.6486666667,62.6126666666
201.19,67.5555999999,306.666666667,-30.4443666666,59.9999666667,99.111,237.7777,107.555533333,147.555533333,91.3967238094,107.555433333
201.57,45.8333333335,870.833333335,-410.833333333,-46.6666666666,89.9999999999,719.166666666,130.0,366.111111111,49.1666666664,165.833333334
201.95,-13.3334,-290.277916667,178.333266667,38.611,-13.8890000001,-244.444433333,-31.6667333332,-91.2962666665,21.1111428572,-11.1109333334
202.33,30.1149666667,-90.22975,124.482733333,34.4827666666,21.3792666667,-60.4599333334,29.1954666667,5.90062222214,47.1920761905,40.6895666666
202.71,-1.24990000006,-137.847166667,122.638966667,-4.86129999994,4.99986666666,-95.8333666667,25.5556,-15.0000000002,23.7302619047,24.3056
203.09,-25.6862000001,-109.31375,66.1766,-23.7254,-2.94113333333,-88.4314,8.82340000005,-21.6993777779,12.2688761904,-12.2547666668
203.47,-27.4510999999,-80.5555833335,35.2288,-24.7060666667,-6.01306666667,-64.6405666667,-5.88233333333,-21.8301333333,7.96448571429,-24.1830666666
203.85,-42.6125666666,-124.099166667,33.4232666667,-40.1803666667,-25.9459333333,-96.6665999999,-6.30633333333,-33.5735555554,7.22009999999,-39.8199333334
204.22,-66.7647333333,-150.490333333,11.8628,-54.5098,-53.9218000001,-126.862766667,-27.0588666666,-53.9869555556,-7.67503809521,-68.7254333334
204.60,-90.0001666668,-185.185083333,-2.34556666666,-73.2099666667,-84.6914666666,-156.296333334,-32.8394666665,-83.3745999999,-17.971795238,-105.185266667
204.98,-62.0721000001,-129.279333333,6.12603333334,-66.1259333333,-50.8108,-100.810933333,-13.1531333334,-56.9369777779,-6.91118571433,-57.1171
205.36,-95.0536999999,-162.365666667,-3.87103333334,-96.8815666667,-66.4516666666,-110.4302,-17.8494,-82.6524666668,-14.5161095239,-77.8492333333
205.74,-100.202033333,-164.39375,-14.8484333333,-99.8990666667,-66.0607333334,-108.080766667,-16.3637333333,-70.6398,-19.552652381,-86.7677666667
206.12,-305.952433333,-467.261916667,-122.8572,-353.3332,-225.238066666,-321.666766667,-132.857066667,-238.095222222,-149.285847619,-303.5714
206.50,3.72101389667e+15,4.96845981618e+15,2.20275493138e+15,4.03660705237e+15,2.69107136825e+15,3.86388377121e+15,2.23900549656e+15,2.90715316855e+15,2.37304119976e+15,3.71888151048e+15
