wavelength,Back_CorPilm,Belly_CorPilm,Breast_CorPilm,Crissum_CorPilm,Crown_CorPilm,DorTail_CorPilm,Patch10_CorPilm,Rump_CorPilm,Throat_CorPilm,WingTip_CorPilm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-270.0,-168.333333333,33.3333333334,-166.666666667,-56.6666666668,-156.666666667,-91.6666666667,-163.333333333,-166.666666667,-125.0
179.16,99.1666666667,52.4999999999,59.1666666666,52.4999999999,26.6666666667,60.0,67.0833333334,55.0,59.1666666667,97.5000000001
179.54,84.7619999999,59.5237000001,28.5714666667,38.0953333333,7.61906666666,14.2858,51.4286,9.52386666671,87.6189333333,63.8095333335
179.93,-28.0,-26.6666666667,-28.0,-37.3333333335,-9.3333333334,-20.0000000001,-80.0,-21.3333333333,-32.0,-16.6666666667
180.31,32.3333333333,35.4999999999,-81.6666666668,3.00000000006,-92.0,-13.0000000001,7.50000000006,-13.9999999999,25.6666666667,52.1666666666
180.69,40.9755999999,54.9594333333,-10.5690666667,25.2032666667,-14.1463333333,15.7722666667,33.6584333333,26.8292666666,51.2195333333,57.3984666666
181.07,15.8974000001,31.4102,-19.2307333333,2.56406666674,-27.6923333333,-3.07686666665,14.2949,7.8206,27.0511333333,33.0128333333
181.45,17.4863333333,33.8251666667,-10.2734,7.32226666668,-15.5191333333,-1.31140000001,17.0492333333,9.61753333333,31.0382,32.5135666667
181.83,-1.66666666668,17.7565,-30.6410666667,-12.5641333333,-34.8716666667,-17.5641333333,-2.37163333334,-9.48706666668,19.2308,17.5641
182.21,1.30720000001,19.1504666667,-37.6469999999,-22.6143999999,-40.2614666667,-25.3595333333,2.48363333334,-12.1568,19.3464,21.3071666667
182.59,-8.75006666668,7.34366666667,-42.3960666666,-32.3959999999,-45.7293333333,-33.2292666667,-8.28146666666,-19.5834666667,-6.87506666668,8.59356666666
182.97,25.4054,31.6817666667,4.80473333334,11.1712,6.78666666667,8.16819999999,26.6366333333,19.4594666667,25.9459333333,35.9758333333
183.35,30.2603333333,30.2082,9.94786666667,14.375,14.0623333333,16.1978666667,30.4947,21.4062666667,28.8540666667,37.6302666667
183.73,25.699,25.2150666667,4.99986666667,10.9138666667,8.5484,8.92480000001,24.0591,17.7420666667,25.2150666667,32.2043
184.11,30.6562,32.9921333333,11.3385333333,19.0552,17.3228666667,14.1732666666,32.9134,25.6168,29.1337333333,39.7113666667
184.49,33.4464,39.2372666667,13.6725333333,20.6779333333,22.6553333333,13.2768666667,33.0789666667,29.322,29.1525333333,41.4972
184.87,30.9722666667,31.6318,4.44446666668,17.6389333333,14.375,5.06946666668,25.6944666667,25.4168,19.0972,38.8194666667
185.25,34.1914666667,34.4883666667,7.78866666667,24.7525333333,22.2441333333,11.221,29.109,32.0132,23.3002,40.2641333333
185.63,32.7508,35.9223666667,4.01293333334,28.0259333333,24.5307333333,11.7152666667,27.3787666667,35.2102666667,23.1715333333,39.4822333333
186.01,33.8506666666,37.3275,7.64373333333,32.8162666667,28.1034666667,15.0574666667,30.7472,39.0804666667,21.2643333333,39.8850666667
186.39,32.7406666666,39.1110666667,12.5926666667,38.5184666667,30.8147333334,18.1727333333,32.9629666667,40.1976,22.0247333333,38.3456
186.77,34.4446666667,42.4337333333,13.3862666667,46.4019333333,36.8254,19.7353333333,32.2751666667,44.7619333333,27.4603333333,41.2169
187.15,37.2917333333,43.7760666667,16.2502,50.677,38.0208666667,22.2918,29.4270666667,44.4792,29.6876,43.4115333333
187.53,38.0181333333,48.0481666667,15.1952666667,56.8168666667,38.1982,18.6186,26.3665333333,46.006,30.5706666666,44.1140333333
187.91,42.8228666667,51.4114,19.5794666667,59.3994,41.9819333333,18.8588666667,26.967,43.1831333333,33.9940666667,45.1951333333
188.29,46.61,50.0564,22.2035333333,55.6498,41.6386,16.2711333333,23.7006666667,41.9774,38.9265333333,41.1864
188.67,41.12,41.0133333333,16.7466666667,49.0133333333,31.3066666667,11.7866666667,20.2933333333,37.0133333333,33.6,36.16
189.05,39.5619333333,42.3113333333,17.0316666667,48.0292666667,33.5280666667,16.1559333333,21.7274333333,35.7664,35.0365333333,35.3772
189.43,43.2354,48.3088333333,23.5294,51.3724666667,37.598,18.9216,27.3774333333,38.6764666667,41.2744,40.0980666667
189.81,39.1176666667,45.2204666667,22.0096666667,46.3726,33.6763333333,17.1079333333,22.8432333333,33.2352,38.1862,34.9019
190.19,42.1596666667,49.5539,25.4929333333,49.6714,39.0141333333,21.5963333333,26.9485333333,36.4788666667,41.5961333333,38.4272333333
190.57,42.2969333333,47.8151333333,21.8487333333,48.9074666667,37.7030666667,20.8964,20.6723,33.5574666667,45.6583333333,36.7507333333
190.95,44.6612,48.5908333333,22.0596,45.6368666666,36.5311333333,19.8914666667,21.4906333333,33.9296,46.1246666667,33.3875666667
191.33,34.8888666667,41.6296333333,0.66666666666,32.6666,22.8888666666,0.66666666666,9.03709999999,21.0370666667,32.6666666667,15.1851333333
191.71,21.3475333333,27.4112,-9.99986666665,19.6452,12.9786666667,-8.79433333333,-0.67366666666,6.45393333333,17.8014,7.6595
192.09,17.1111333333,21.2591333333,-13.2594,18.8147333333,11.1852,-9.48139999999,1.29636666666,9.11106666666,18.5186,7.48146666666
192.47,0.07926666666,7.9365,-31.6667333334,4.76179999999,-2.381,-25.0793333333,-11.9444666667,-3.09513333334,0.317466666674,-7.22226666666
192.85,-7.77766666666,-5.926,-47.6851333334,-5.18526666667,-6.48146666664,-38.7036666667,-23.7964,-16.1111333333,-9.90739999998,-18.1943333333
193.23,-0.168666666654,-8.98746666666,-42.7004,-3.79746666667,-5.73846666668,-41.0969333333,-20.0421333333,-15.2743333333,-10.9704666667,-13.7131
193.61,-12.1622,-27.973,-57.5676000001,-11.8019333334,-15.6758666667,-54.9550666667,-35.0000333334,-27.1172,-29.6397333333,-23.4233666667
193.99,-14.8956666667,-48.3331666667,-70.3122666667,-19.8956,-24.2706666667,-69.3747333333,-43.5414333333,-36.0416,-45.3123999999,-33.9060666667
194.37,-18.1286666667,-59.8830666667,-80.2339333333,-27.8362000001,-36.3743333333,-87.9531999999,-50.5847333333,-44.6783333333,-52.3976666668,-50.9358666667
194.75,-15.2564666667,-62.4998333333,-81.2820666667,-25.2563333333,-30.8974,-104.358933333,-42.2435666667,-42.436,-54.3590666667,-54.1666666666
195.13,-28.1818,-88.7880666666,-97.1211333333,-34.8483999999,-49.2423333333,-130.454533333,-49.4695666667,-59.3940000001,-75.1516000001,-69.1667666667
195.51,-22.5555333333,-73.6110333334,-72.0000666667,-32.9999333334,-32.7777333333,-100.111133333,-40.2778333333,-45.0000666667,-59.2223333333,-50.2222666667
