wavelength,Back_MelMelf,Belly_MelMelf,Breast_MelMelf,Crissum_MelMelf,Crown_MelMelf,DorTail_MelMelf,Patch10_MelMelf,Patch11_MelMelf,Rump_MelMelf,Throat_MelMelf,WingTip_MelMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-228.889,-26.5431629629,-124.444333333,-158.888833333,-201.1112,-116.6666,-195.555533333,-187.777733333,-204.88888,-180.000066667,-73.611125
179.16,-166.666666667,-190.925925926,-176.666666667,-225.0,-325.0,-111.666666667,-330.0,-270.0,-252.666666667,-136.666666667,-364.583333333
179.54,-103.333333333,-126.388888889,-93.3333333333,-170.0,-130.833333333,-90.8333333332,-130.0,-50.8333333334,-83.3333333333,-116.666666667,-33.3333333333
179.93,-110.0,-92.2223074072,-127.7778,-111.666733333,-113.3334,-76.6667333333,-91.1111333333,-92.7777666667,-104.44444,-100.000066667,-55.5555833332
180.31,175.294066667,147.156837037,173.921666667,150.490166666,143.5296,104.999966667,180.784266667,144.117666667,168.509866667,144.117666667,138.357708333
180.69,151.555466667,128.082233333,150.8148,130.148033333,124.1482,95.5555999999,153.1852,126.592633333,145.392586667,130.3704,121.4815
181.07,117.705066667,113.205759259,117.158533333,99.3442,92.8415333333,74.6994666666,122.4044,95.4098666667,110.47,101.092733333,97.4725416668
181.45,125.714333333,119.384918518,123.571533333,102.142866667,94.6428333334,84.4642666666,128.214333333,98.5120666666,111.38096,109.761866667,94.5683333332
181.83,122.857133333,119.42467037,122.618866667,97.2618666667,88.9286666667,89.1667,126.785733333,101.964466667,111.833386667,100.595466667,90.4015
182.21,92.3684666668,94.3907851851,87.1054000001,68.3334,65.9210999999,68.0262999999,96.4912666667,75.7457333334,83.42124,73.0701333333,72.6425
182.59,103.728666667,108.179622222,92.5422666666,68.9831333333,71.8644666667,76.6667333334,108.2486,83.7288666667,95.32208,83.7288666666,89.1243333333
182.97,107.044133333,110.607948148,91.3208,75.2201,73.8993999999,78.9937,110.1886,79.9371,98.4152533333,85.4086666666,83.2548333333
183.35,108.9472,115.42887037,91.5789333333,82.6317,70.1753666667,77.6315999999,127.193133333,79.9122333334,102.66668,82.6315333333,83.7720416667
183.73,158.2456,187.270940741,127.719266667,114.7367,108.245633333,102.1052,194.737,120.350933333,156.070173333,111.929866667,87.5000416667
184.11,155.416666667,205.023148148,93.3333333333,116.25,100.208333333,101.041666667,189.583333333,115.208333333,139.833333333,94.5833333331,77.0833333333
184.49,440.000066667,670.925881481,304.4444,372.777833333,373.888833333,327.777633333,625.5554,456.111133333,479.99992,433.333266667,315.972333333
184.87,206.666666667,456.018518519,100.833333334,190.0,217.916666667,128.75,365.0,246.666666667,249.833333333,185.833333333,117.1875
185.25,-22.3528,-135.555581482,22.3528000001,-47.2548,-50.3921666667,-6.27439999994,-78.8235333333,-61.7645666667,-51.37264,-12.1568000001,24.509875
185.63,62.5640666667,-102.450188889,106.1538,8.97419999994,21.7949,91.2819999999,-17.9486666667,-4.35896666666,14.3590933333,68.7180000001,148.717958333
186.01,-145.000000001,250.185185185,-393.333333333,-1.66666666667,-94.1666666669,-378.333333333,18.333333334,-20.0000000002,-75.6666666668,-191.666666667,-416.666666667
186.39,258.333333333,93.7499999999,342.5,156.25,205.0,381.666666667,160.833333333,138.333333333,229.833333333,261.666666667,431.25
186.77,-233.333333333,-97.1296296295,-284.166666667,-175.0,-234.583333333,-371.25,-140.833333333,-107.916666667,-225.666666667,-323.333333333,-512.5
187.15,-280.0,-99.4907407407,-349.166666667,-197.5,-262.916666667,-348.333333333,-170.0,-66.25,-248.0,-368.333333333,-547.916666667
187.53,1166.66666666,306.296296296,1500.0,864.999999999,1018.33333333,1400.0,833.333333333,109.999999999,952.666666667,1526.66666667,2212.5
187.91,-154.761933333,-36.7462370371,-207.619066667,-110.000033333,-139.761833333,-184.761966667,-127.1428,-43.0952999999,-152.2858,-225.714333333,-296.428708333
188.29,-48.0701999999,25.9455296296,-100.000066667,-43.3333000001,-70.5264000001,-94.5614666667,-62.8072,18.9472666667,-64.5613733333,-126.666733333,-187.719166667
188.67,-80.6348,-16.4373185185,-143.809466667,-73.0159333333,-102.063633333,-125.872933333,-121.2698,-39.5238333334,-114.793653333,-166.0318,-204.166625
189.05,172.121133333,134.999955556,243.3334,171.514966667,216.0606,224.999966667,221.818133333,149.999966667,223.93936,264.242333333,302.08325
189.43,359.444466667,298.271588889,496.110933333,379.1668,460.833466667,472.5,439.9998,332.777666667,470.99992,525.000266667,579.51375
189.81,425.1852,390.987533333,663.703733333,463.333466667,578.888833333,581.8518,569.6296,416.6666,595.407506667,673.3334,693.055625
190.19,191.515133333,136.212181482,289.999933333,201.969766667,255.151633333,241.515166666,235.454533333,169.697033333,263.818106667,278.484866667,303.409041667
190.57,272.777733333,142.56172963,442.777666667,234.9999,388.888866667,315.5555,333.333333333,240.277733333,368.22228,404.4444,407.291833333
190.95,169.7222,90.0309296296,252.777733333,130.2777,215.8333,174.861233333,192.222333333,149.027766667,232.055613333,206.111066667,244.9655
191.33,169.0322,117.885311111,235.699,149.032233333,220.752766667,187.4193,192.9032,162.580633333,236.214973333,199.355,224.462375
191.71,395.3844,288.518596296,545.641066666,360.7692,523.333333333,443.333366667,443.076933333,417.948766667,578.76928,456.410266667,554.807666667
192.09,300.416666667,210.671296296,441.666666667,283.541666667,413.75,355.833333333,330.833333333,306.25,461.583333333,330.0,440.104166667
192.47,252.619,191.203718519,332.380933333,216.5476,302.6192,262.976233333,247.380933333,262.500033333,333.618973333,248.809666667,312.202333333
192.85,252.413866667,192.005103704,326.8964,222.528666667,320.0,260.804533333,253.563266667,271.379233333,337.241306667,248.735733333,311.207083333
193.23,1075.55553333,846.975418519,1471.11106667,981.111033334,1452.22233333,1114.44443333,1118.8888,1154.4444,1500.4444,1083.3334,1428.47233333
193.61,518.5714,423.14812963,672.380933333,469.7618,684.5238,529.0476,557.619133333,535.9524,703.809573333,524.285866667,691.071458333
193.99,426.296266667,349.979455556,541.851733333,394.074166667,564.0741,419.629566667,451.851933333,429.2593,576.44428,393.3334,570.833208333
194.37,388.484866667,358.720518518,475.1516,380.909066667,492.272633333,373.484866667,416.969866667,404.696866667,504.545386667,361.515333333,519.128708333
194.75,304.0404,293.614011111,364.646333333,312.828333333,385.555466667,298.484833333,333.5354,321.919133333,396.202106667,289.697,411.994958333
195.13,364.8716,353.874625926,440.2564,383.7178,462.948566667,362.820633333,413.589666667,394.615333333,476.41028,362.051266667,483.65375
195.51,400.952466667,390.070577778,471.746066667,419.523833333,525.2382,400.000066667,458.0952,445.079466667,522.285706667,399.047466667,548.21425
195.89,300.2468,313.813459259,355.5556,315.679033333,407.5309,301.604933333,358.518466667,342.839333333,407.061733333,306.6666,406.635916667
196.27,310.888866667,324.370233333,365.333266667,320.555633333,404.888866667,304.4444,365.777933333,342.222266667,402.75556,314.444333333,411.805541667
196.65,305.333333333,312.271466667,342.888933333,315.888933333,392.8888,292.111133333,366.2222,315.777733333,393.066573333,307.7778,404.583291667
197.03,473.666666667,489.12962963,524.333333333,473.666666667,586.666666667,442.333333333,550.666666667,472.666666667,596.866666667,484.666666667,620.625
197.40,833.333333334,803.074074074,878.000000001,742.666666667,1027.33333333,715.333333333,955.333333334,790.666666666,1047.06666667,768.666666668,1002.08333333
197.78,-810.0,-780.601851852,-847.499999999,-693.333333333,-1052.08333333,-612.5,-943.333333333,-770.416666667,-1057.16666667,-664.166666667,-1004.16666667
198.16,-268.181866667,-232.323185185,-265.757666667,-208.484966667,-351.0605,-197.5759,-320.909066667,-243.788,-336.00004,-236.969666667,-316.85625
198.54,-163.1372,-134.553477778,-156.470666667,-104.7059,-214.019533333,-125.1961,-193.725466667,-135.8823,-201.058653333,-130.196133333,-172.181416667
198.92,-131.531466667,-105.345407407,-122.883,-77.2071666667,-176.486466667,-98.4684000001,-156.3964,-101.4413,-167.42348,-97.4774666666,-139.52725
199.30,-81.5094666667,-62.2990481482,-80.6290666667,-41.5094333334,-118.805,-53.9622333333,-94.5912000001,-57.7987666667,-111.194986667,-54.2138666667,-89.62275
