wavelength,Back_ConAlbf,Belly_ConAlbf,Breast_ConAlbf,Crissum_ConAlbf,Crown_ConAlbf,DorTail_ConAlbf,Patch10_ConAlbf,Rump_ConAlbf,Throat_ConAlbf,WingTip_ConAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,440.0,366.666666667,600.0,480.0,620.0,793.333333334,346.666666666,702.222222222,686.666666667,920.000000001
179.16,20.0000666666,87.7778666667,1.11106666668,35.5555999999,56.6666666667,41.1112666667,77.7776666667,52.2222222222,8.0000717162e-11,-6.66667600029e-05
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-473.333333333,-800.000000001,-500.0,-406.666666667,-513.333333333,-460.0,-413.333333333,-337.777777778,-700.0,-920.0
180.31,542.857133333,400.9524,557.142733334,359.047733333,428.571466667,641.904733333,466.6668,570.7936,521.904666667,955.238
180.69,405.185200001,301.481533333,437.037,247.407533333,368.888733333,517.037066666,370.370266667,434.5678,390.3704,777.037066667
181.07,328.718,244.6154,318.9744,203.077,293.333266667,368.205,291.282066667,302.564,277.4358,553.846
181.45,205.384466667,171.0256,198.461533333,146.923066667,195.384666667,233.076933333,198.717933333,195.726555556,151.7948,313.3332
181.83,224.8,186.933333333,197.333333333,146.133333333,219.2,254.133333334,204.266666667,210.666666667,157.333333333,316.8
182.21,190.370333333,142.469066667,163.2098,117.777866667,194.567866667,224.197533333,172.3456,182.551422222,115.555666667,269.629666667
182.59,179.770333333,134.712666667,151.0346,112.6436,194.712666667,216.092066667,167.5862,185.517177778,111.264533333,268.5058
182.97,193.3334,128.055466667,144.7222,109.4444,218.6112,226.111133333,173.889,184.814755556,100.277733333,297.777866667
183.35,508.148133334,333.3332,361.481466667,274.074,569.6296,537.036866667,441.481466666,428.641955556,253.3334,785.185133333
183.73,236.4706,152.9412,158.4314,122.3528,281.176533333,243.5294,212.549066667,176.862711111,107.451066667,372.548933333
184.11,510.833333333,321.666666667,349.166666667,287.5,647.499999999,496.666666667,439.166666667,365.833333333,236.666666667,769.166666668
184.49,715.555466666,428.888866667,505.555466667,426.666533333,903.333333335,703.333400001,645.5556,524.074066667,474.4446,1012.2222
184.87,1600.0,922.222133334,1082.22233333,1062.2222,1759.99993333,1493.33333333,1313.33326667,1156.29626667,1102.2222,1997.77773333
185.25,-373.333333333,-183.636333333,-258.787733333,-229.696866667,-394.5454,-340.0,-319.3938,-271.111088889,-238.181733333,-484.242466667
185.63,-134.358933333,-39.2308666667,-66.4102666665,-61.0255999999,-127.6924,-94.1026,-109.743533333,-75.6410444445,-85.8974666666,-166.410466667
186.01,-123.5556,-41.1110666666,-72.2222666668,-72.4445333333,-119.7778,-91.5555333335,-103.1112,-83.7778,-94.8888666667,-159.333266666
186.39,-92.4444000001,-41.4814666667,-60.1482000001,-58.2221999999,-85.6297333333,-72.1480666667,-80.5926666667,-66.5185555555,-80.4445333333,-114.9628
186.77,-128.5272,-76.7441999999,-100.7752,-101.240133333,-117.519466667,-107.596866667,-111.317866667,-98.3979111111,-105.7364,-131.783066667
