wavelength,Back_ConAlbf,Belly_ConAlbf,Breast_ConAlbf,Crissum_ConAlbf,Crown_ConAlbf,DorTail_ConAlbf,Patch10_ConAlbf,Rump_ConAlbf,Throat_ConAlbf,WingTip_ConAlbf
187.15,-175.809533334,-121.142866667,-152.761733333,-156.190533333,-169.714266667,-163.809666666,-164.0,-156.698266667,-158.285666667,-177.1428
187.53,-201.3332,-144.444333333,-186.4444,-189.999866667,-195.333266667,-193.555533333,-190.4444,-207.259244444,-198.2222,-194.888866667
187.91,-223.2258,-186.451666667,-218.4946,-218.064466667,-222.7956,-216.774133333,-210.5376,-232.473111111,-228.172,-206.236466667
188.29,-156.825466667,-139.206266667,-155.714266667,-151.9048,-154.2858,-153.968266667,-151.746066667,-167.671977778,-161.587333333,-156.6666
188.67,-98.2828000001,-86.2625333333,-95.9596000001,-95.3535999999,-95.7576,-89.8989333332,-89.2930000001,-98.2828,-89.4948666667,-103.131266667
189.05,-98.6666666666,-88.9777333333,-96.7999333334,-94.8444,-97.6888000001,-89.0665333333,-95.1110666667,-97.8370666667,-86.3998666667,-103.200066667
189.43,-86.9076000001,-83.0522,-82.9718666667,-88.8352666667,-89.1566000001,-81.0442000001,-84.3374000001,-86.5060444444,-77.9921333333,-92.8514000001
189.81,-82.2221333334,-82.6666,-83.2591333333,-89.3334000001,-91.4814666667,-85.9259999999,-83.3332666665,-86.9135111111,-79.1111333333,-93.1112000001
190.19,-81.7978000001,-84.4194,-85.1686000001,-93.7077333334,-92.7339333333,-86.8163999999,-86.8164,-85.8175777778,-73.0337333333,-96.9288000001
190.57,-103.621466667,-105.432266667,-105.5144,-118.93,-117.037133333,-104.279733333,-113.086466667,-106.941133333,-86.5843333333,-118.765466667
190.95,-105.569666667,-108.1856,-107.594866667,-121.3502,-115.1054,-102.278333333,-117.5528,-109.282755555,-91.8144666667,-119.746933333
191.33,-97.1212666666,-99.9999333334,-95.4546,-108.409066667,-104.015133333,-90.6059999999,-103.6364,-94.9242000001,-85.0756666667,-105.151533333
191.71,-98.9010666668,-99.4139333333,-92.2343333333,-111.4286,-109.1574,-90.0366666667,-103.662933333,-91.9414888889,-82.564,-104.5422
192.09,-78.2714666667,-74.6295333333,-73.5184,-88.0863999999,-84.7531333335,-70.2469999999,-83.3332666666,-75.5349777778,-62.4074000001,-83.9505333334
192.47,-94.9829333333,-87.0102666667,-87.3539999999,-106.460533333,-100.274933333,-82.1305999999,-96.7697333333,-89.2095555555,-74.5704666666,-93.1273333334
192.85,-106.431333333,-95.3728000001,-98.2746000001,-121.176533333,-109.647066667,-90.4313333333,-109.804,-101.437955555,-84.6274,-96.3136666667
193.23,-118.844533333,-108.977733333,-112.622266667,-140.355533334,-125.244333333,-102.044533333,-121.333333333,-113.037088889,-96.8887333333,-107.377933333
193.61,-131.0798,-118.779333333,-123.286533333,-151.0798,-137.934333333,-111.924866666,-130.610333333,-125.133,-103.286333333,-111.643133333
193.99,-149.2064,-144.550266667,-142.433866667,-172.4868,-159.7884,-125.079333333,-149.417933333,-148.500911111,-112.169266667,-126.137333333
194.37,-137.143,-133.714133333,-128.571533333,-157.5238,-146.380933333,-109.619066667,-133.238133333,-130.635022222,-104.666666667,-111.238066667
194.75,-111.341933333,-109.6104,-103.723066667,-133.160066667,-117.229466667,-87.2727333333,-104.242533333,-103.232288889,-84.6753333332,-85.6278
195.13,-85.9573333333,-84.6807333333,-75.6736666666,-101.773133333,-94.5389333333,-65.8156,-79.3617333333,-76.5485111111,-58.7943333333,-64.8226
195.51,-79.5512666667,-80.1282,-72.1794,-97.6281333334,-89.6152666667,-64.4871333333,-78.2692666667,-75.1495777778,-55.4486,-61.8589333333
195.89,-69.7024666667,-72.7975333333,-62.7975333333,-83.6310000001,-78.1548000001,-55.7738000001,-69.4048,-66.9246222222,-47.6785333333,-53.3929333333
196.27,-76.7600666667,-83.1775333334,-66.8535999999,-92.6480000001,-86.6665999999,-61.1838666666,-75.8256,-70.4672444445,-54.3924,-60.8722
196.65,-82.9487333333,-93.5256666667,-71.7947999999,-96.4743999999,-92.0512666666,-65.7051999999,-83.2694,-74.3589555556,-61.6024666667,-68.1408666667
197.03,-79.6262666668,-96.7599333333,-65.5452,-92.1495999999,-89.8443333333,-66.9781333332,-80.8722666667,-71.9003555556,-60.1247333333,-65.9813333333
197.40,-78.2856666667,-100.063466667,-65.0157999999,-92.3174666667,-89.7141999999,-72.8254000001,-81.2064666667,-73.8414,-61.5871333333,-64.635
197.78,-84.7333333333,-112.666666667,-70.2666666666,-98.3333333335,-92.9333333333,-78.7333333333,-87.9999999999,-78.9777777778,-69.0,-70.4
198.16,-83.2996666666,-115.690133333,-69.2253999999,-99.3939333333,-90.3705333334,-76.835,-85.8586666667,-76.6779333334,-70.2356666667,-65.1178
198.54,-90.2271333333,-131.590733333,-73.4848666666,-108.1818,-97.1971333332,-87.197,-94.0152000001,-86.1868666667,-77.197,-67.2727333334
198.92,-81.8840666666,-121.376933333,-62.4638,-93.6230666667,-83.116,-77.4637333333,-80.7246666667,-76.9806888889,-66.0871333333,-55.5797333333
199.30,-86.4285333333,-131.1906,-72.9365333334,-104.6032,-87.3016666667,-87.4603999999,-86.8254,-86.0316,-74.4443333333,-57.619
199.68,-109.6518,-173.034866667,-96.4178666668,-135.223933333,-108.059733333,-113.6318,-112.736466667,-111.741355556,-101.890533333,-72.0397333333
200.06,-145.4546,-228.242333333,-136.242533333,-181.4546,-138.424333333,-153.333266667,-149.090733333,-151.919177778,-135.394,-99.9999999999
200.44,-186.231866667,-284.6378,-172.174,-228.1158,-169.5652,-195.942066667,-183.768066667,-195.410533333,-170.7248,-115.942133333
200.82,-265.656533333,-410.908933333,-247.2728,-341.818133333,-252.7272,-291.111066667,-264.8484,-288.013444445,-254.1414,-171.9192
201.19,-243.529466667,-364.509733333,-221.960866667,-314.3138,-222.7452,-261.372533333,-238.4314,-260.588288889,-226.078466667,-148.235333333
201.57,-164.680866667,-248.226866667,-147.8014,-219.716266666,-142.695066667,-161.418533333,-156.312066667,-172.718711111,-147.234,-94.61
201.95,-124.3636,-201.333333333,-118.5454,-179.151466667,-115.6364,-129.575733333,-128.484733333,-138.1818,-115.999933333,-67.0303333333
202.33,-98.1904666667,-156.5714,-93.6190000001,-139.333466667,-86.9525333333,-104.4762,-96.7618666668,-106.253977778,-90.3808666667,-50.5713333334
202.71,-86.7478666665,-131.138066667,-79.9998666665,-119.187066667,-75.1218666667,-88.374,-81.5445999999,-88.4822888889,-77.2356666667,-45.3658666667
203.09,-118.9742,-174.358933333,-113.7436,-163.794866667,-108.820533333,-125.641066667,-114.974466667,-125.538511111,-114.769333333,-67.2820000001
203.47,-150.643266667,-210.994133333,-144.444666667,-198.0118,-134.035133333,-155.321666667,-143.275,-161.286511111,-151.812866667,-94.7368666667
203.85,-134.644666667,-182.8414,-129.398733333,-175.081933333,-115.737733333,-133.442533333,-119.0164,-140.801444445,-130.928866667,-83.6065999998
204.22,-98.4000666667,-135.4668,-90.0444666668,-131.377733333,-81.6000666666,-98.7555333333,-87.3778,-96.8593333333,-95.8222000001,-58.9332666666
204.60,-98.7964,-136.666666667,-93.6110000001,-133.333333333,-86.9445333335,-103.148133333,-91.1110666666,-100.555555555,-97.3149333333,-61.7591333334
204.98,-73.6434,-97.9071333333,-67.0540666667,-96.2014666665,-57.1318,-77.5194666666,-65.1938666667,-74.4445333333,-67.4419333333,-39.9223333333
205.36,-62.7490666666,-84.0550666666,-59.6562666667,-82.5430000001,-46.1168,-62.8178,-54.5016666667,-63.4593777778,-61.0308666667,-31.4776
205.74,-75.0957333333,-98.8506000001,-68.0459333333,-89.3486666667,-55.1724666667,-73.4099333333,-68.1992666667,-77.1392666666,-76.7050666667,-39.4637333333
206.12,-81.5638666666,-98.7654666667,-71.9342,-92.4280666667,-55.5554666667,-74.8148666667,-66.6666000001,-82.4142888889,-81.3167333333,-39.9998
206.50,-130.357133333,-144.404733333,-115.714133333,-142.142866667,-92.2618,-117.619066667,-108.928533333,-132.896911111,-133.0952,-78.4525333333
206.87,-186.3414,-206.666666667,-177.560933333,-203.902466667,-133.8212,-171.869866667,-160.000066667,-196.747933333,-199.187066667,-114.146333333
207.25,-204.615333333,-223.418866667,-194.358933333,-223.418933333,-151.795,-190.7692,-179.145266667,-213.162422222,-223.076733333,-139.3162
207.63,-172.032533333,-193.170666667,-164.227666667,-187.479733333,-127.967533333,-159.186866667,-156.097533333,-178.916,-184.878066667,-109.430933333
208.01,-234.838733334,-254.838733333,-218.709533333,-245.8064,-178.279533333,-215.053733333,-219.354866667,-244.874466667,-256.129,-155.699066667
208.39,-596.923133333,-622.563933333,-599.487133333,-625.640933333,-482.564133334,-554.359,-572.307733333,-661.538466667,-662.051133333,-419.487133333
208.77,-3916.66666667,-4190.0,-3976.66666667,-3960.0,-3060.0,-3673.33333333,-3810.0,-4135.55555556,-4436.66666667,-2793.33333334
209.14,678.333333333,740.555533333,719.999933333,735.555666667,572.2222,645.0,689.444533334,730.740822222,812.222266667,507.777733333
209.52,767.272666666,866.666800001,829.091000001,854.545399999,653.9394,772.727333334,774.545399999,860.606088889,881.8182,604.848533333
209.90,1433.33333333,1602.66666667,1689.33333333,1704.0,1280.0,1496.0,1448.0,1696.0,1698.66666667,1116.0
210.28,1181.11106667,1318.889,1474.44446667,1438.88886667,1096.6668,1222.22233333,1192.2222,1405.55548889,1434.4444,945.555533333
210.66,674.5454,743.030266667,840.000133333,801.818133333,613.939333333,703.030266666,684.848466666,802.020177778,849.091,535.7576
211.03,347.246333333,382.608666667,413.913066667,395.652133334,311.3044,364.3478,355.6522,407.729511111,429.275333333,274.493
211.41,366.984133333,410.1588,449.841066667,414.920666667,315.238133333,383.809466667,366.984066666,437.566133333,456.190466667,264.127066667
211.79,440.392266667,478.431533333,539.607733333,479.607666667,374.509733333,460.3922,414.509866667,521.045911111,556.078466667,304.705933334
212.17,459.9998,518.222133333,576.889,502.222266667,406.222266666,511.111,426.222266667,553.629555556,569.777866667,315.111066667
212.55,462.381,519.523866667,557.142866667,468.095133333,394.285733333,507.619066667,393.809466667,512.063511111,575.238,278.0954
212.92,-767.500000001,-852.5,-939.166666667,-771.666666667,-627.500000001,-877.499999999,-620.000000001,-871.666666668,-980.833333333,-479.166666666
213.30,-164.2424,-183.232333333,-201.616133333,-148.888866667,-125.4546,-194.949466667,-128.282733333,-189.225644445,-207.272733333,-96.9696666667
213.68,-201.794866667,-230.0,-246.410266667,-169.743533333,-163.076933333,-241.025666667,-165.641133333,-234.358866667,-268.717866667,-114.871866667
214.06,-471.4286,-514.285733333,-537.619066667,-396.666533333,-396.1906,-541.9048,-389.047733333,-504.444466667,-584.762,-304.285666667
214.44,1597.33333334,1684.0,1673.33333333,1301.33333333,1349.33333333,1770.66666667,1406.66666667,1710.22222222,1873.33333333,1142.66666667
214.81,3606.66666667,3846.66666667,3783.33333333,2976.66666667,3090.0,4003.33333333,3123.33333333,3763.33333333,4116.66666667,2433.33333333
215.19,-1370.66666667,-1432.0,-1504.0,-1170.66666667,-1180.0,-1494.66666667,-1176.0,-1444.0,-1626.66666667,-958.666666667
215.57,-786.666666666,-785.000000001,-881.666666666,-672.5,-683.333333333,-847.499999999,-707.500000001,-866.38888889,-924.166666667,-579.166666667
215.95,1758.33333333,1763.33333333,1955.0,1615.0,1571.66666667,1885.0,1635.0,1918.88888889,1996.66666667,1355.0
216.32,1450.66666667,1438.66666667,1681.33333333,1433.33333333,1240.0,1528.0,1456.0,1598.22222222,1712.0,1121.33333333
216.70,-7786.66666666,-8199.99999999,-9340.0,-8406.66666667,-6886.66666667,-8593.33333335,-8393.33333333,-9060.0,-9406.66666667,-6680.00000001
217.08,1893.33333333,1838.33333333,2111.66666667,1985.0,1595.0,1968.33333333,2065.0,2152.77777778,2203.33333333,1591.66666667
217.46,695.151533333,687.878866667,785.454533333,713.939466667,556.969666667,693.939466667,731.515200001,783.030288889,778.1818,569.090733334
217.83,260.555666667,234.4444,282.777733333,258.148133333,203.5186,245.740666667,258.333333333,269.629688889,274.444466666,222.407533333
218.21,286.095266667,263.618933333,292.7618,278.857266667,216.381066667,265.523866667,282.666733333,290.920711111,294.476266667,245.142933333
218.59,888.0,814.666666667,913.333333333,880.000000001,645.333333333,858.666666666,839.999999999,867.555555555,935.333333333,744.000000001
218.97,8479.99999999,8000.0,8840.0,8266.66666667,6293.33333333,8266.66666667,8486.66666667,8911.11111112,9106.66666667,7299.99999999
219.34,-603.888866667,-546.666533333,-635.555533333,-588.333333333,-444.444466667,-603.888799999,-622.222266667,-654.259244445,-625.000066667,-522.778
219.72,-2826.6666,-2648.88886667,-2911.11113333,-2686.6666,-2133.3332,-2835.5556,-2851.11106667,-2913.33324444,-2886.66666667,-2508.889
220.10,1582.66666667,1625.33333333,1746.66666667,1542.66666667,1220.0,1634.66666667,1689.33333333,1712.0,1650.66666667,1488.0
220.47,445.964866667,450.526266667,464.5614,408.070133333,341.754533333,441.403466667,449.122866667,464.093555555,454.386266667,420.701666667
220.85,230.526333333,228.9474,229.999866667,208.421,175.9648,218.771866667,230.350933333,237.309844444,223.859733333,211.228066667
221.23,228.375933333,234.358933333,245.128133333,224.6154,186.495733333,219.829133333,234.017133333,246.438777778,226.837466667,210.2564
221.61,171.358066667,177.5308,186.913533333,172.839466667,147.7778,166.2962,178.889,185.7612,172.469133333,162.716
221.98,171.020533333,194.2856,194.8298,177.8232,156.8708,173.061133333,187.210866667,199.4558,175.918466667,163.265266667
222.36,160.4256,190.070866667,196.7376,166.099266667,136.595666667,165.815666667,178.581533333,195.035288889,163.829733334,151.3476
222.74,124.649,144.473533333,152.2806,132.807,112.4562,126.315933333,141.3158,153.947355555,124.736733333,125.0
223.11,122.531666667,142.784733333,149.113933333,132.5738,113.417733333,128.776266667,137.130733333,147.004177778,119.240533333,125.147733333
223.49,126.6666,151.7696,150.699533333,137.284,118.107066667,133.4156,142.3044,150.397822222,123.539066667,125.678933333
223.87,171.410266667,217.179466667,214.102533333,195.641,163.5898,188.5898,201.1538,217.478622222,168.205133333,173.718066667
224.24,244.444466667,290.085533333,295.042733333,276.239333334,235.555533333,265.811933333,275.897333333,300.626733333,238.290533333,250.256466667
224.62,253.174533333,303.0158,305.5556,286.825333333,254.6032,281.904866667,285.238133333,310.793644444,238.730066667,260.952333333
225.00,441.449266667,546.956466667,555.941933334,495.942066667,453.912933333,501.739066667,501.1594,555.845533333,413.6232,462.028866667
225.38,456.060533333,595.757666667,608.181866667,508.484866667,476.0606,529.393933333,518.7878,583.939355555,451.5152,503.333466667
225.75,768.718000001,1001.53833333,1032.30773333,861.538466666,814.871866666,924.615266667,852.307599999,993.846222223,759.487066667,857.435933334
226.13,-1161.66666667,-1475.0,-1575.0,-1327.5,-1236.66666667,-1441.66666667,-1306.66666667,-1516.94444445,-1147.5,-1281.66666666
226.51,-476.491133333,-587.017666667,-659.2982,-553.333266667,-539.298266667,-599.649133333,-540.350866667,-638.947333333,-487.017533333,-535.789333333
226.88,-108.924666667,-140.645133333,-163.870933333,-125.698933333,-128.172,-147.419333333,-125.914,-153.978555555,-114.193466667,-123.763533333
227.26,-80.6582666665,-103.3746,-120.6584,-93.4156,-91.3578666666,-105.020533333,-90.8641999998,-113.882088889,-81.7282666667,-88.7243999999
227.64,-57.9011333333,-73.1481999999,-86.6666666666,-65.8642,-66.6048666667,-75.7407333333,-64.0740000001,-84.3005111111,-58.2099333333,-65.3086
228.01,-57.9132,-69.1594666667,-84.0,-63.942,-67.4201333333,-71.0142666667,-62.8405333333,-81.9324000001,-58.2610666667,-64.7536666667
228.39,-39.0676,-46.387,-58.0420666667,-41.725,-45.4079333333,-47.0861333333,-44.1025333333,-58.2128444444,-37.8088666667,-42.2378666667
228.76,-19.2553333333,-24.8227333333,-33.5106,-22.7306,-24.8226666667,-24.1843333333,-24.3970666667,-34.8581111111,-20.1772666667,-23.7943333333
229.14,-15.9606666667,-20.0,-28.4072666667,-20.2956,-20.2956,-20.3940666667,-19.9014666667,-30.5747111111,-17.537,-21.3792666667
229.52,-14.8528666667,-17.8604666667,-23.2867333333,-18.7596666667,-18.0775333333,-19.1628,-17.6124,-27.2246444445,-14.6976,-19.1939333333
229.89,-13.1871333333,-15.5263333333,-20.6724,-17.1344666667,-15.5556,-16.7544,-16.462,-24.9707555555,-13.4500666667,-18.3626666667
230.27,-12.1568666667,-15.154,-18.6554,-15.9383333333,-14.4816666667,-13.6974666667,-15.3501333333,-23.6041333333,-13.6694666667,-19.4397333333
230.65,-11.687,-14.332,-15.8704,-14.3858666667,-13.3063333333,-12.3346666667,-14.5748666667,-20.7016444445,-11.1199333333,-19.2982
231.02,-16.0555333333,-17.6387333333,-18.8056,-19.8888666667,-16.6389333333,-17.0556,-19.8611333333,-23.0833777778,-14.1944666667,-24.5832666667
231.40,-13.6326666667,-14.2314,-17.4149333333,-17.1973333333,-14.1769333333,-14.6394666667,-16.8436,-19.2199111111,-12.2176666667,-23.3196666667
231.78,-15.5757333333,-17.2424666667,-21.0,-20.212,-15.6668666667,-16.2423333333,-19.2728666667,-21.1717333333,-13.0909333333,-26.3637333333
232.15,-15.1133333333,-19.0291333333,-20.8415333333,-21.165,-16.1164666667,-18.1876666667,-18.0583333333,-20.5500444444,-12.0386666667,-28.8026
232.53,-16.6666666667,-21.9144,-22.4092666667,-23.7623333333,-17.2277333333,-21.8812,-18.4488666667,-21.9911333333,-14.5544,-32.4423333333
232.90,-15.2380666667,-20.8844,-22.2788,-22.8230666666,-16.7007333333,-22.7550666667,-16.6326,-20.9636444444,-12.925,-31.3266666667
233.28,-16.25,-20.1600666667,-22.0512,-21.9550666667,-17.5962,-21.6024666667,-17.9166,-19.4551333333,-12.9166666667,-28.5575333333
233.66,-12.6168,-16.0124,-18.9406,-18.3177333333,-15.109,-17.8504666667,-15.2648,-16.3344666667,-8.25546666668,-23.4579333333
234.03,-15.7077333333,-19.3912,-22.3440666667,-21.1871333333,-18.143,-19.178,-19.0563333333,-19.6449111111,-11.8111333333,-25.0836666667
234.41,-21.1059333333,-25.7188666666,-29.6366666667,-28.6571333333,-24.9605333333,-26.9509333333,-24.1390666667,-25.6449777778,-15.9557333333,-30.9321333333
234.78,-26.2578666667,-32.0755333333,-36.1635333333,-36.6036666667,-30.5974666667,-32.327,-30.2829333333,-32.4004222222,-20.5974666667,-35.7862
235.16,-21.4753333333,-28.6524,-30.5532666667,-30.0141333333,-26.3829333333,-25.7019333333,-23.2624666667,-28.5294888889,-16.1418666667,-29.8439333333
235.54,-24.2678666667,-32.3848666667,-31.2692,-32.2733333333,-29.4839333333,-27.4756,-26.583,-31.8921111111,-19.0238,-32.5523333333
235.91,-21.2828666667,-28.2265333333,-26.3899333333,-28.6540666667,-26.8427333333,-24.7296,-23.044,-27.0774222222,-17.2074,-28.8806666667
236.29,-20.7354,-25.8599333333,-24.7687333333,-27.0938,-25.7414666667,-23.0842,-22.1116,-26.7061555556,-16.5837333333,-25.9311333333
236.66,-19.0696666667,-23.8980666667,-21.6612,-25.1161333333,-23.8316,-20.5536666667,-19.7784666667,-24.1344222222,-14.3521333333,-22.2813333333
237.04,-18.9615333333,-22.6584,-20.8515333333,-23.6138666667,-22.6998666667,-19.294,-18.9824,-22.7138444444,-14.4131333333,-21.9106666667
237.41,-17.5481333333,-21.4183333333,-18.5815333333,-21.9654666667,-21.378,-18.4802666667,-16.0892666667,-21.1347777778,-12.7253333333,-21.5805333333
237.79,-16.4952666667,-20.9142666667,-17.6951333334,-21.0857333333,-21.1619333333,-18.1904666667,-14.1904666667,-20.1397111111,-12.7048666667,-21.4856
238.17,-11.8579333333,-16.2841333333,-12.8233333333,-16.5027333333,-17.5592,-13.6065333333,-9.58106666667,-14.7116222222,-8.28773333335,-15.6284666667
238.54,-7.60960000001,-11.3812,-8.50293333333,-11.5964666667,-12.9858666667,-9.49553333335,-5.8064,-9.62791111111,-4.99566666666,-10.6204
238.92,-3.40333333333,-7.67686666667,-5.87406666667,-7.86326666667,-9.9922,-6.57353333333,-1.77153333333,-5.85344444444,-2.68853333333,-6.79106666667
239.29,-3.73453333333,-7.87033333333,-6.45053333333,-8.50320000001,-10.2314666667,-7.71613333333,-2.48466666667,-5.88462222222,-3.1482,-6.28073333333
239.67,-3.61993333333,-5.75813333333,-5.856,-7.61699999999,-8.00840000001,-6.68060000001,-1.6352,-4.47228888889,-2.43166666667,-3.6758
240.04,-3.7952,-4.92093333333,-5.97086666667,-6.78053333333,-6.363,-5.40160000001,-1.32833333333,-3.76131111111,-2.23933333333,-2.18846666667
240.42,-4.4902,-5.3264,-6.99893333334,-7.3538,-6.88433333333,-5.36086666667,-2.66906666667,-3.90224444444,-3.08126666667,-2.62306666667
240.79,-3.22073333333,-3.46633333333,-5.57266666666,-5.31693333334,-5.0,-3.68093333333,-1.02246666667,-2.04151111111,-2.2494,-0.981599999999
241.17,-1.28146666667,-1.6576,-2.93033333333,-3.4678,-2.20433333334,-1.147,1.138,0.582533333333,-0.277666666668,1.68453333333
241.54,0.8058,0.532199999999,-0.829600000001,-1.69793333333,0.195533333333,1.1346,2.8404,2.69953333333,1.5962,3.99846666667
241.92,0.384066666665,0.239066666666,-0.594333333333,-2.10866666667,0.732066666664,1.25366666667,2.13046666667,2.80206666666,1.36953333333,3.90573333333
242.29,0.401066666665,0.374800000001,0.0394666666668,-1.808,1.15066666667,1.4464,2.196,3.01344444444,1.4924,3.47786666667
242.67,0.031399999998,-0.319733333335,-0.0815333333327,-1.69333333333,1.07873333333,1.6306,2.15113333334,2.92251111111,1.43,3.19226666667
243.05,-0.187066666666,-0.609400000001,0.524933333332,-1.6712,1.17046666667,1.86426666667,2.09946666667,3.00655555555,1.104,3.10693333333
243.42,-0.029199999998,-0.0938000000006,1.0312,-1.4118,1.82773333333,2.29646666667,2.2144,3.36255555555,1.0192,3.35086666667
243.80,0.479933333334,0.323733333334,1.2488,-1.22013333333,1.98326666667,2.46306666667,2.79846666667,3.71404444444,1.0522,3.28413333333
244.17,0.358000000001,0.0058,0.829666666669,-1.58566666667,1.222,1.97213333333,2.43253333333,3.41195555555,0.6876,2.39266666667
244.55,1.65033333334,0.844133333335,1.9536,-0.340866666667,2.42426666667,2.84626666667,3.53346666667,4.54008888889,1.6774,3.44693333333
244.92,1.7064,0.799466666667,1.83966666667,-0.358666666666,2.33146666667,2.97726666667,3.1104,4.46335555556,1.9574,3.3256
245.30,0.879666666666,0.091466666666,1.27366666667,-0.975733333335,1.45146666667,2.12926666667,2.15793333333,3.55193333333,1.27853333333,2.7398
245.67,0.121466666668,-0.472399999999,0.575666666667,-1.45293333333,0.890733333333,1.516,1.30893333333,2.79195555556,0.620933333333,2.26713333333
246.05,1.0062,0.799333333334,1.4486,-0.0972000000007,1.76906666667,2.48313333333,2.2602,3.64922222222,1.6554,3.668
246.42,1.18233333333,0.8754,1.3692,0.224400000001,2.009,2.65986666667,2.37173333333,3.89328888889,1.80686666667,4.09646666667
246.79,1.5092,1.51253333333,1.83806666666,0.6334,2.40913333333,3.098,2.6134,4.17337777778,1.8968,4.5864
247.17,2.111,2.18553333333,2.27626666667,1.46993333333,3.1214,3.7946,2.9918,4.64411111111,2.79426666667,5.255
247.54,2.80913333333,2.541,2.73826666667,2.0444,3.49066666667,4.39406666667,3.47833333333,5.07353333333,3.33946666667,5.83113333333
247.92,3.2444,2.72273333333,3.11486666666,2.65033333333,3.974,4.83033333333,3.70573333333,5.51893333333,3.8324,6.35013333333
248.29,3.62146666667,3.00933333333,3.56793333333,3.03913333333,4.5098,5.1604,4.12073333333,5.90508888889,4.1622,6.8924
248.67,3.87433333333,3.4564,4.13293333333,3.3966,4.9654,5.50333333333,4.46346666667,6.25284444444,4.46353333333,7.13866666667
249.04,3.81486666667,3.254,4.08913333333,3.18853333333,4.81553333333,5.36073333333,4.273,6.23971111111,4.30733333333,7.0688
249.42,3.8976,3.297,4.0032,3.3598,4.944,5.27066666667,4.231,6.25751111111,4.16186666667,6.99013333333
249.79,3.964,3.09373333333,3.8196,3.39673333333,4.94726666667,4.9118,4.05913333334,6.22877777778,3.8936,6.65266666667
250.17,3.05533333333,2.04706666667,2.97873333333,2.3998,4.17093333334,4.14026666667,3.067,5.42966666667,2.833,5.52433333333
250.54,2.73566666666,1.8432,2.7024,1.77266666667,3.85646666667,3.65306666667,2.4782,5.05606666667,2.4616,5.09353333333
250.92,2.36726666667,1.19033333333,2.03413333333,1.25693333333,3.3888,2.9402,1.8388,4.58962222222,2.2342,4.73033333333
251.29,2.02053333333,1.08013333333,1.8018,0.730866666664,3.1286,2.4256,1.64806666667,4.43362222222,1.72266666667,4.56686666667
