wavelength,Back_SpoLinf,Belly_SpoLinf,Breast_SpoLinf,Crissum_SpoLinf,Crown_SpoLinf,DorTail_SpoLinf,Patch10_SpoLinf,Patch11_SpoLinf,Patch12_SpoLinf,Rump_SpoLinf,Throat_SpoLinf,WingTip_SpoLinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,93.3333333334,55.0000000001,104.166666667,101.666666667,106.666666667,106.666666667,129.166666666,83.3333333334,105.0,110.0,100.416666667,105.833333333
179.16,40.4761666667,67.8570833333,91.6666666668,36.90475,90.4760833333,46.4285833333,113.690375,73.8095000001,63.0951666667,52.381,72.0237083332,45.238125
179.54,25.0,24.9999999998,-29.1666666668,37.5,-45.8333333333,-145.833333333,-1.42108547152e-14,54.1666666668,191.666666667,-33.3333333333,-79.1666666665,162.5
179.93,141.666666667,58.3333333333,2.4999735615e-10,-233.333333333,66.6666666667,16.6666666668,-341.666666667,-191.666666667,-58.3333333334,-208.333333334,-245.833333333,279.166666667
180.31,61.3944166666,67.0068333333,106.2925,115.476166667,112.92525,122.448916667,127.295958333,93.8775833333,77.3809166666,77.5510833332,107.057708333,77.4659999999
180.69,45.2380833334,48.3632499999,81.3988333332,95.0891666666,94.0476666666,98.2141666666,105.505875,82.5891666666,62.0535833333,56.5475833332,84.2261249999,56.5475833333
181.07,36.6986666668,49.0386666667,70.83325,87.9807499999,88.9422499999,89.4231666666,98.3972916667,81.8909166666,52.5641666667,42.3075833333,75.8013333334,41.8270416666
181.45,26.9230000001,29.0599166667,59.40175,78.2050833333,84.4018333333,97.4359166667,91.3459166666,69.0171666667,33.97425,22.4358333334,64.1026249999,24.252125
181.83,-11.9999999998,-14.0,33.3333333333,75.6666666667,89.0,88.6666666666,105.333333333,70.9999999999,3.33333333325,-24.6666666666,49.8333333334,-12.8333333333
182.21,-35.0877499999,-37.7193333334,24.5613333333,70.6140833334,115.350916667,128.070166667,124.122708333,74.9998333333,-20.1752499998,-56.579,30.2631666667,-28.5088333334
182.59,-27.94125,-25.9805,58.3334166666,95.5880833331,157.843166666,194.60775,174.509875,129.41175,2.94108333332,-46.56875,38.97075,2.45087500007
182.97,-52.5641666665,-75.0000000001,39.1026666667,75.6410833333,158.974333333,259.615166667,191.666708333,133.333416667,-2.56416666667,-102.564083333,31.4103333332,-21.4743333333
183.35,-274.999916667,-361.11125,-116.666666667,-81.9444166665,201.389083333,438.888833333,281.944541667,148.611166667,-137.500083333,-418.055583333,-75.6943749999,-159.722208333
183.73,-76.3888333334,-83.7963333333,-49.0740833334,-31.4814999999,63.42575,121.759333333,106.249916667,45.8334166667,-39.8147499999,-139.35175,-41.4351666667,-46.2961249999
184.11,-220.370333333,-232.407333333,-203.703583333,-88.8889166668,44.4443333332,187.037083333,123.148166667,53.7035833333,-149.074083333,-328.70375,-170.370333333,-145.370458333
184.49,562.499999999,654.166666666,585.416666666,331.25,-37.5,-293.749999999,-128.125,47.9166666667,362.499999999,852.083333332,542.708333333,468.75
184.87,341.666666667,346.428583333,320.238083333,204.761916666,15.4762500001,-158.33325,-88.6904583334,94.0475833333,234.524,495.238,292.857083333,222.619
185.25,794.444583332,941.666749999,763.888999999,441.666499999,72.2221666675,-500.000083333,-95.8332499999,194.44425,627.777833332,1358.33316667,649.999875,591.666458333
185.63,-71.6666666667,-68.3333333333,-95.0,42.5,154.166666667,315.0,199.583333333,200.833333333,-22.5000000001,-225.0,-10.0,-9.99999999992
186.01,12.4999999999,36.9791666666,-21.3541666665,65.6250000001,125.520833333,262.5,166.145833333,170.3125,91.6666666667,-93.75,46.09375,72.3958333334
186.39,27.0834166667,40.6248333333,0.347083333175,55.5555833332,99.6527499999,173.263833333,130.208291667,129.513916667,84.7221666668,-55.90275,50.8679583333,92.013875
186.77,24.7023333333,25.2975833333,-11.6072500001,30.6547499998,73.5119166666,127.083416667,105.059458333,92.8571666668,61.0118333332,-56.5476666667,26.0417499999,71.8751666666
187.15,6.50416666666,6.9105,-13.82125,11.9919166667,37.8050000001,74.187,67.4795833333,63.2114166667,22.9673333333,-41.0568333333,5.79275,38.5164166667
187.53,18.6275,9.96749999999,-3.26791666665,20.9150833333,38.2353333334,63.23525,63.1534583334,62.2548333333,31.0458333332,-24.0195,19.9345416667,35.7842083334
187.91,34.9290833334,18.7941666667,-3.90074999998,31.73775,60.4610833333,80.1419166665,71.3652916666,86.7020833334,44.1489166666,-24.468,37.9432500001,49.0246666666
188.29,44.618,24.65275,3.12516666665,24.1318333333,71.3541666667,81.7708333333,68.3159583334,89.0625833334,48.9584166668,-17.1875,42.1875,55.3818333334
188.67,48.4616666666,28.4616666667,19.6153333333,27.94875,59.1025,65.5127499999,63.7821249999,84.3589999999,48.8460833334,3.84608333333,46.1537916667,56.3462083333
189.05,70.38475,38.4615,38.8460833333,42.1794166667,75.7691666667,85.5128333335,76.410375,102.692416667,60.2564999999,20.76925,64.4872500001,74.487125
189.43,95.4709166666,47.6448333333,47.1015833333,41.3043333333,91.8478333334,100.000083333,98.5507500001,129.347833333,74.2752499999,37.5,70.3804166667,104.619541667
189.81,125.833333333,-15.8333333333,23.3333333333,21.6666666667,109.166666666,121.666666667,120.625,166.25,88.7500000002,-19.5833333333,57.0833333333,155.416666667
190.19,114.444333333,10.8333333333,56.1109999999,46.6666666667,109.722166667,91.9445000001,101.527708333,139.72225,58.8889166665,6.66675,58.6114166667,132.361083333
190.57,97.4073333335,17.7778333333,55.5555833333,47.5925833333,85.5554999998,72.5924166667,84.0739999999,104.999833333,54.8148333333,9.074,51.388625,85.7405416666
190.95,92.0291666666,18.1158333333,50.5433333334,51.6303333333,84.4203333335,64.6738333334,67.3913333333,96.9203333334,48.913,7.60875000002,50.99625,79.8911666667
191.33,138.131166667,38.3836666667,79.0405000002,81.3131666667,133.838166667,97.7270833332,104.545416667,137.37375,91.9190833333,19.9494166667,70.2020416667,126.262708333
191.71,164.930583333,52.4304166666,85.4166666667,89.2360833335,145.833333333,111.111,110.41675,151.736083333,80.5555833332,-3.4721666666,65.4512500001,158.159791667
192.09,325.833333333,79.1666666668,190.833333333,154.166666666,249.166666667,163.333333334,208.75,255.833333333,131.666666667,-76.6666666667,112.083333333,313.75
192.47,-2825.0,-374.999999998,-2000.0,-1591.66666667,-1491.66666667,-1283.33333333,-2200.0,-2208.33333333,-1416.66666667,1091.66666667,-825.0,-3158.33333333
192.85,-306.4815,-50.9259166665,-185.185333333,-172.22225,-187.037083333,-154.629333333,-218.9815,-208.333333333,-149.999916667,159.259333333,-118.055416667,-312.962958333
193.23,-94.9074166668,11.1111666665,-38.8888333334,-39.3518333333,-64.3518333334,-47.6852500001,-70.6019583332,-62.963,-75.4629166667,137.037,-21.9909166668,-100.694458333
193.61,-110.897416667,47.4359166666,-21.1537500001,-41.6665833333,-85.8975000001,-82.6923333334,-82.3717916667,-60.2564166666,-122.435916667,268.589833333,-43.2692916668,-121.79475
193.99,-174.074083333,50.9259166667,-24.0740000001,-77.7775833333,-136.111083333,-132.40725,-131.4815,-99.0740000001,-176.851833333,378.70375,-53.2409166665,-206.944625
194.37,-81.1111666666,63.3334166667,49.4443333333,-11.6665833335,-26.6666666667,-54.4444166666,-72.4999583334,6.1110833333,-93.8889166669,226.666666667,-8.88891666675,-67.5000833333
194.75,-70.4166666667,14.5833333333,18.75,-14.9999999999,-19.1666666667,-56.25,-53.5416666667,-1.25000000007,-78.3333333336,139.583333334,-10.4166666668,-88.3333333333
195.13,2.89850000002,30.0723333334,44.74625,33.3334166667,27.5361666667,3.07975,9.42024999998,19.7463333333,-5.43466666668,92.0289166668,26.53975,-1.72095833335
195.51,18.1216666667,38.8889166667,46.03175,38.3598333333,36.37575,19.4444166667,25.1984583333,27.91,13.35975,83.4654999999,30.0927500001,19.6427083334
195.89,26.7646666666,39.7059166666,47.549,44.1175833333,39.31375,26.0784166667,29.5098333333,32.2549166667,17.9411666666,74.4118333333,39.1665,28.0392916667
196.27,29.0195,44.7058333333,54.31375,47.647,42.2549166667,27.1568333333,33.6765416667,37.059,19.9020833333,78.4314166666,52.7942083333,29.950875
196.65,20.6438333333,39.6778333333,51.8939166667,43.6553333333,33.5226666667,22.3485,35.4165,31.91275,16.66675,73.1061666667,47.585,27.9354583333
197.03,27.1929166667,49.2106666667,57.9824166667,57.4561666667,42.8945,37.6315833333,43.5965,40.0875833333,24.9999166667,76.4914166666,60.0436666666,39.956
197.40,21.8538333333,44.2178333333,54.3366666667,52.9761666667,44.1325,37.0748333333,44.4726666667,38.8605,28.0614166667,69.8979999999,59.9064999999,36.3095833333
