wavelength,Back_HemAtrf,Belly_HemAtrf,Breast_HemAtrf,Crissum_HemAtrf,Crown_HemAtrf,DorTail_HemAtrf,Patch10_HemAtrf,Rump_HemAtrf,Throat_HemAtrf,WingTip_HemAtrf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-163.333333333,-86.6666666667,-13.3333333333,-203.333333333,-33.3333333333,-126.666666667,-260.0,-213.333333333,-56.6666666666,-216.666666667
179.16,70.0,-13.3333333334,-15.0000000001,116.666666667,-86.6666666666,30.0,126.666666667,203.333333333,89.9999999999,99.9999999999
179.54,216.666666667,143.333333333,122.5,206.666666667,123.333333333,198.333333333,220.0,215.0,213.333333333,153.333333333
179.93,53.3333333332,41.6666666666,-27.5,95.0,-1.6666666666,93.3333333335,43.3333333333,38.3333333333,41.6666666667,60.0000000001
180.31,335.238133334,67.6189999998,-29.9999999999,347.619066667,-54.2855999999,469.523733333,399.047733333,327.619,170.476333333,299.047666667
180.69,728.888800001,8.8889333334,-217.777866667,648.889000001,-315.555600001,1082.2222,846.666666667,637.777799999,277.777866667,639.999999998
181.07,530.000000001,-626.666666668,-710.000000001,396.666666667,-1066.66666667,1200.0,573.333333333,270.000000001,-50.0000000001,483.333333332
181.45,-221.333333334,278.666666667,287.333333333,-146.666666666,441.333333333,-482.666666667,-193.333333333,-30.6666666667,45.3333333333,-178.666666667
181.83,-71.6666666667,250.833333334,228.333333333,-10.8333333333,326.666666666,-240.0,-40.0,69.1666666666,109.166666667,-65.8333333332
182.21,-18.4848666667,120.303,86.3636,21.8182000001,132.121266667,-56.9697333333,4.84840000006,42.1212666667,49.697,-9.9999333334
182.59,4.30120000007,110.1074,91.0751999999,34.1935333332,106.8816,-17.2042666667,33.3333333335,57.8493333333,60.6451333333,11.8279999999
182.97,33.7373333333,146.8686,129.394,67.2728666667,127.676666667,28.8888666667,75.9596666665,97.9798666667,98.5858666666,38.1819333334
183.35,57.1795999999,208.974333333,182.6923,94.8717333335,186.923066667,60.7691333333,127.692466667,141.282133333,152.051266667,75.8974666668
183.73,69.9998666667,268.484866667,230.302833333,118.1818,228.787866667,99.6968,173.939333333,178.4848,185.4546,93.6365999999
184.11,34.7916666667,171.875,145.208333333,70.625,137.291666667,61.4583333333,109.791666667,96.25,92.0833333332,46.6666666665
184.49,34.0,173.555466667,152.888966667,78.8889333333,135.777733333,67.5556,114.0,87.1110666667,76.4445333333,47.7778666667
184.87,35.0427333334,148.3762,127.9489,68.8888666667,114.358866667,74.3589333333,105.128066667,77.2649333334,67.0084666667,53.5043333333
185.25,5.37033333332,128.8888,112.037,45.7408000001,86.6666666668,62.7778666666,88.3334,49.9999999999,33.5185333333,28.8888
185.63,14.2593333334,132.777733333,124.999933333,57.2221333333,84.8148,78.5185333333,98.3333999999,59.4444666667,40.1852666667,33.7036666666
186.01,3.33333333336,103.833333333,107.5,38.9999999999,61.6666666666,64.3333333333,86.8333333335,37.4999999999,23.8333333333,18.6666666667
186.39,17.0213333333,87.2340666667,97.0212333333,37.5886,56.3120666667,62.5530666667,86.0993333333,36.1703333333,27.376,19.2908
186.77,15.2940666667,98.8235333332,106.7647,37.0588,60.3921333335,68.0393333333,105.8824,27.6470666667,19.0196,19.0196666666
187.15,3.07693333328,65.4700666667,75.8974,25.9828,42.2222666667,40.5127999999,76.5810666666,4.61539999992,-1.02553333334,4.61520000002
187.53,7.23159999994,48.5876,57.7401666667,24.9718,28.8136,36.4972666667,51.0735999999,7.4576,1.35593333335,7.34460000002
187.91,-11.3724666667,31.8954000001,40.9804000001,10.4574,12.0260666667,21.3073333334,40.9149999999,-4.8366,-18.4314,-13.4641333334
188.29,-21.0605333333,24.3939333333,28.1061,5.15153333348,4.69700000014,14.3938666667,43.6364,-4.69700000006,-27.2726666667,-25.7576
188.67,-33.1914000001,4.25526666666,3.1206000002,-19.2907333333,-20.7092000001,-2.83686666661,30.9220666666,-20.1418666667,-32.6240666667,-41.2766666667
189.05,-80.8333333332,-42.7083333333,-43.8541666666,-76.6666666667,-79.1666666667,-55.625,8.12500000014,-73.1249999998,-82.9166666667,-107.5
189.43,-49.7144,-28.7618666667,-27.3333,-60.3810000001,-57.1428,-44.7619333334,26.2856666667,-50.6667333332,-54.2856666667,-83.2381333333
