wavelength,Back_HemGuif,Belly_HemGuif,Breast_HemGuif,Crissum_HemGuif,Crown_HemGuif,DorTail_HemGuif,Patch10_HemGuif,Patch11_HemGuif,Rump_HemGuif,Throat_HemGuif,WingTip_HemGuif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,66.2962666667,57.2223,67.7775999999,74.4444,74.4446,71.2961,84.4445333333,70.3703999999,88.8888666667,50.0000666667,89.2592666667
179.16,74.2858,35.7142333333,72.3808666667,59.9998666667,102.857133334,73.8095000001,105.714266667,113.333266667,100.952266667,59.9999333334,114.2858
179.54,42.2222666668,-12.2222000001,111.111133333,2.2223333334,80.0000666665,-4.44426666666,137.777866667,40.0002,122.2222,-53.3333999999,135.555533333
179.93,-39.9999999999,-30.8333333333,15.0000000001,-60.0,49.9999999999,-68.3333333333,15.0000000001,-28.3333333333,11.6666666667,-81.6666666666,-16.6666666666
180.31,61.9820666666,56.7118,73.8738666668,44.8648666667,76.9369333333,48.1082,82.0721333334,62.7927999999,103.693666667,40.1801333333,85.4954666667
180.69,62.6505999999,53.8554666667,69.7990666667,44.2570666667,80.0804,48.7950666667,81.0441333334,61.4458,102.168666667,41.7671333333,79.1165999999
181.07,63.4920666665,49.9471333333,70.6877999999,37.037,88.9947333334,42.2224333333,86.6667333333,55.7672666667,115.5556,41.9047333333,78.4127333333
181.45,66.4197333334,55.4321666667,76.7902000001,39.1359333333,93.4567333333,41.6050333333,93.5802,48.5185333334,130.864133333,42.3457333333,79.753
181.83,54.4972666666,47.4072666667,63.0689333335,33.3334,82.0106,38.9417666667,80.6347999999,42.7513999999,114.814933333,43.8095333333,64.0211333333
182.21,62.9166666667,58.5,69.5,48.4166666667,83.5833333333,50.1666666667,83.9166666667,52.6666666667,112.666666667,59.8333333333,68.3333333333
182.59,65.3921333333,60.6373666667,76.3725333332,50.1959333333,93.2352666668,49.9508666667,95.6864666665,54.7058666667,127.941333333,67.5490666667,79.8038666666
182.97,57.4604000001,45.6084666667,69.1006,41.4815333333,88.4655333334,43.0688333333,94.0740666668,49.5238,127.830733333,63.1747333333,72.3809333333
183.35,47.8307333333,38.2539666666,63.8095333333,32.9101333333,82.1164000001,38.1481666667,87.5132666667,43.9154666667,124.656266666,60.6349333333,60.6349333334
183.73,40.7778666667,37.3888333333,63.111,27.5556,80.1111333333,37.5555666667,88.4444666667,43.3334000001,124.777666667,60.7776666667,52.6666666667
184.11,49.0742,44.5370666667,65.6480666667,35.3704,82.1296666667,49.8148,87.5925999999,48.4258666666,118.889,69.4444666667,55.8334
184.49,58.6666666667,51.3778333334,74.5776666666,46.8445333333,93.5111333335,59.1555333333,91.5554666667,54.5778666666,121.155533333,80.8888666667,60.5334000001
184.87,56.6666666666,52.4242666667,82.0202,43.2323333333,94.0403333333,57.7273666666,94.0404000001,50.202,127.878866667,86.3636666668,64.4444666667
185.25,45.6038666667,44.7344333333,76.4250666667,30.7246666667,82.2222666667,49.3236999999,80.5798666667,44.8311333333,113.1402,74.3961333333,55.4589333333
185.63,39.9186666667,37.4796000001,66.5040666667,23.4147333333,74.0651333333,44.0649666667,68.9431333333,37.561,93.9024666666,68.2114,48.7804
186.01,41.0960666667,34.1551999999,69.3150666667,20.3653333333,77.1688666667,44.5663333333,72.5113333333,35.1597333333,101.37,70.3196,49.6804000001
186.39,19.111,-0.444399999934,62.0741999999,-24.7408,72.1481999999,22.8148333334,62.8147333334,-0.444466666686,113.925866667,54.0741333333,32.1482
186.77,-5.30600000002,-28.5035000001,31.4286666667,-47.0748000001,46.3945333333,1.29249999999,29.6598666667,-24.8979333333,84.3537333333,24.7619333333,2.58513333334
187.15,-34.3138000001,-68.9215666668,19.0196,-87.647,39.2156666667,-24.9018333333,14.5097333333,-67.2548666665,89.2155999999,11.9608666667,-16.2745333333
187.53,-47.8261333334,-117.971033333,11.8840666667,-120.2898,33.6232666667,-43.3332999999,26.6666000002,-128.116066667,108.6958,5.50713333334,-21.7391333334
187.91,-56.5079999999,-155.0793,-12.6983333335,-140.634866667,5.7142666668,-64.1269666667,6.98413333334,-165.0794,94.9206,-12.6984666667,-40.0
188.29,-326.666666667,-593.75,-245.833333333,-559.999999999,-227.5,-376.666666667,-175.0,-651.666666666,-3.33333333314,-240.833333333,-312.5
188.67,2096.66666667,3188.33333333,1920.0,3180.0,1843.33333333,2415.0,1506.66666667,3420.0,846.666666666,1780.0,1870.0
189.05,590.833333333,862.499999999,560.833333333,857.499999999,539.166666667,662.499999999,436.666666667,925.833333333,255.833333333,506.666666667,555.833333334
189.43,272.5,410.833333333,264.166666667,403.333333333,261.25,306.875,200.416666667,442.083333333,99.9999999999,216.666666667,265.416666667
189.81,126.3888,174.791633333,121.944533333,171.805533333,133.055533333,137.152766667,100.2778,175.5556,65.9722666667,103.8888,130.833266667
190.19,101.889,135.4444,96.8888666666,142.0,107.8888,115.611066667,85.4444000001,142.666666667,55.7776666667,82.9999333334,104.555466667
