wavelength,Back_ButWetf,Belly_ButWetf,Breast_ButWetf,Crissum_ButWetf,Crown_ButWetf,DorTail_ButWetf,Patch10_ButWetf,Patch11_ButWetf,Patch12_ButWetf,Rump_ButWetf,Throat_ButWetf,WingTip_ButWetf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-16.6666666665,300.0,166.666666667,333.333333334,158.333333334,141.666666667,275.0,250.0,183.333333334,41.6666666667,366.666666667,316.666666667
179.16,56.25,87.5000000002,28.125,155.208333333,54.1666666667,99.9999999998,114.583333333,27.0833333334,95.8333333332,37.5,110.416666667,102.083333333
179.54,-45.8333333333,27.0833333333,-67.7083333333,12.5,-14.5833333334,14.5833333334,8.3333333333,-20.8333333333,-29.1666666667,-25.0,16.6666666666,56.25
179.93,47.9166666667,112.5,87.5,86.4583333333,68.75,64.5833333333,100.0,85.4166666667,77.0833333335,37.5,131.25,147.916666667
180.31,-2.4303333333,67.3611666667,33.8540833334,99.8263333333,21.5278333333,29.8613333333,78.8196666667,49.6528333334,39.9305,-18.4028333333,108.680333333,90.972
180.69,-2.20116666665,74.8425,32.547,95.59775,18.5533333334,25.1571666667,75.7861666667,49.371,41.824,-11.0061666667,112.578666667,93.3961666665
181.07,-0.53766666665,64.5161666667,20.9676666667,76.4784166667,16.9355,23.6558333333,66.6668333333,42.742,40.0538333333,-3.4945,98.3871666666,80.1076666667
181.45,-6.4515,59.6773333333,16.3978333334,68.9515,11.828,11.5593333333,61.5593333333,51.613,29.8388333333,0.269,95.9678333335,77.1506666669
181.83,-0.3625,76.8114999998,28.4418333334,102.354916667,7.971,17.029,88.4058333335,70.2900000002,45.6521666667,11.2318333334,125.362166667,97.8263333335
182.21,19.3796666667,90.3101666667,33.5273333334,118.023083333,18.217,33.7208333333,107.751833334,83.7209999998,68.2171666667,33.3333333333,137.596833333,102.713166667
182.59,25.9258333333,113.889166667,29.3983333334,123.611,21.2965,35.1853333333,119.444666667,89.8146666666,76.3886666666,34.7223333334,155.555666667,127.777833333
182.97,17.3333333335,134.666666667,-12.6666666667,116.0,-30.6666666667,18.6666666667,118.666666667,99.3333333335,76.6666666667,18.0,185.333333333,166.666666667
183.35,26.3890000001,143.055666667,-28.8194166667,120.833666667,-54.1666666667,-2.7776666667,123.611,97.2221666669,45.1388333334,6.94433333335,161.111166667,156.9445
183.73,24.3054999999,129.166833333,-23.9585833333,115.277833333,-52.7778333333,6.25016666665,108.333333333,98.6113333335,27.7776666666,2.77783333335,137.500166667,142.361166667
184.11,7.1428333335,194.047666666,-69.0475833333,152.381,-102.381,30.9525,176.1905,127.380833333,16.6664999998,-25.0,205.952166667,244.047666667
184.49,56.1403333332,178.9475,-14.4736666667,129.8245,-59.6491666665,58.7719999999,180.701833333,120.1755,47.3683333332,16.6666666667,171.93,209.649166666
184.87,82.0986666668,151.234666667,27.1605833333,112.654416667,4.9381666667,103.0865,188.271833333,114.197666666,75.3083333332,34.5678333333,129.6295,162.963166667
185.25,132.291666666,223.958333333,12.5,173.4375,-13.5416666667,152.083333333,270.833333334,158.333333333,68.7500000001,4.16666666665,182.291666667,231.25
185.63,215.3845,344.871666667,124.999666666,210.8975,51.2823333335,258.9745,347.435833333,175.641,135.8975,7.692333333,241.025666667,329.487
186.01,98.4848333335,151.01,76.7676666665,62.3735833334,43.4341666668,110.605833334,158.586,78.7878333333,58.5856666666,4.04033333335,112.626333333,136.868833333
186.39,68.8171666668,113.440833333,49.1935,28.7635,12.3655,83.3333333333,132.258,63.9783333334,12.3656666667,-53.2258333332,67.7421666665,108.602166667
186.77,59.7558333333,82.5203333335,43.9025833334,37.19525,17.4795,76.4226666669,103.6585,63.8211666667,2.43883333335,-26.8293333334,52.0326666667,87.8048333333
187.15,78.4313333333,111.764666666,65.1960833334,57.5980833333,28.4313333332,86.2744999998,125.0,73.0391666667,-8.8235,-42.1568333335,66.1765,97.0586666667
187.53,81.1403333334,117.543833334,59.43,41.0088333333,34.2105,101.754333333,114.4735,61.842,10.0878333333,-29.8246666667,67.5436666669,106.579
187.91,69.3798333334,104.2635,58.72075,34.496,28.6823333332,95.3488333331,101.5505,55.814,28.682,-17.8295,63.566,95.7365000002
188.29,58.8888333333,85.0001666665,43.1944166666,29.1669166666,25.0001666666,69.4445,76.6666666667,48.611,43.8888333334,0.83316666665,49.7225,70.8335
188.67,52.3391666667,79.8245,32.1636666667,25.5846666667,24.8536666666,57.0176666668,68.1288333333,32.4561666667,39.1813333333,8.7718333333,33.3333333333,64.6196666667
189.05,52.7778333333,88.2715000001,31.6356666666,37.3456666667,27.4691666667,51.8518333331,61.4196666667,32.7161666667,29.0126666667,16.6666666666,26.2343333333,73.7655
189.43,69.774,102.825,55.226,55.2259166667,42.0905,70.9038333335,76.5538333333,48.0228333333,46.8925,40.6781666667,31.6381666666,83.0508333333
189.81,69.3121666667,92.0634999998,43.651,52.3809166666,35.1851666666,74.3386666665,79.6296666666,53.1748333334,44.4445,47.0898333334,31.217,73.8093333333
190.19,81.7071666667,126.8295,33.3333333333,68.69925,20.7315,100.813,86.9918333334,84.9595,44.309,51.2193333335,23.9836666667,99.5935
190.57,68.4398333334,114.539,22.5176666666,63.29775,21.2768333333,87.2339999998,79.4324999998,71.2765,41.1346666667,66.3121666667,24.8228333333,93.2623333333
190.95,103.787833333,148.106,47.538,78.977,32.5758333335,108.333333333,95.4548333333,86.3636666667,63.2574999998,104.5455,35.6061666667,113.636333334
191.33,97.9166666667,136.011833333,57.4405833335,71.7263333333,38.9881666667,106.547666667,95.2379999998,80.357,59.8213333333,113.095166667,33.631,101.190333333
191.71,91.799,132.275166667,71.4285833335,76.58725,51.0579999998,107.407166667,104.2325,90.7406666665,57.1428333334,122.486833333,41.799,95.7671666666
192.09,102.26,136.440833333,70.3389166667,76.13025,53.1073333333,114.689333333,106.779833333,92.0903333334,47.1751666667,135.028333334,39.2655,96.8925000001
192.47,95.9596666667,123.485,80.303,72.6009166666,54.0403333335,111.616166666,109.596,88.8888333333,38.3838333333,127.020166667,41.1616666667,85.3535
192.85,101.010166667,127.777666667,87.3739166665,68.68675,53.2828333335,119.949333333,117.424333334,101.767666667,34.596,128.788,53.5353333333,85.3535
193.23,103.107333334,124.293833334,93.503,67.3729166666,44.9151666667,124.011166667,111.016833333,104.519833334,19.209,134.745666667,53.9548333333,76.5535
193.61,97.7565,109.6155,92.3076666665,39.2629166666,31.7308333335,110.577,101.923166667,99.0383333332,1.6025,135.897333334,44.2308333334,63.1413333333
193.99,112.015333333,105.038833334,100.581166667,29.06975,17.4418333331,94.5738333332,98.062,97.6745,-16.6666666667,148.449666667,22.0931666666,58.1393333333
194.37,101.602666666,85.2563333331,96.6345833334,23.3975,20.5128333331,74.3589999998,84.2948333333,68.5896666667,-8.97433333334,132.692166667,24.6795,49.0385
194.75,118.085,101.418333333,115.95725,10.993,14.539,85.1063333332,85.8156666667,73.0498333333,-11.3476666666,151.063833333,26.5956666667,51.064
195.13,115.315166667,100.901166667,135.135333334,-19.81975,-0.9008333333,84.2341666669,102.252166667,72.5223333333,-33.3331666667,158.108,14.4145,42.3425
195.51,93.1373333333,67.1568333332,127.941416667,-62.0098333334,-25.4901666669,67.6468333333,93.6275,70.5881666665,-54.9018333333,142.156833333,-3.43133333335,15.6863333333
195.89,85.6061666666,54.5456666665,159.848416666,-144.696916666,-99.2425000002,40.9091666666,72.7271666666,47.7273333331,-121.969666667,159.090833334,-50.0,-32.5756666667
196.27,142.857333334,92.8571666665,273.214083334,-205.952333334,-142.857,66.6665,139.285833333,110.714333333,-176.1905,236.905,-64.2856666667,-25.0001666666
196.65,-222.222166667,-116.666666666,-455.555583333,650.0,488.888833333,-19.4445,-91.6666666667,-72.2221666665,513.888833333,-391.666666667,269.444333334,133.333333333
197.03,-41.6668333333,-8.33333333335,-106.944416667,161.45825,128.472166667,24.3054999998,2.77783333335,-6.9445,134.722333333,-95.1388333334,93.0555000001,47.222
197.40,-4.25533333333,13.8298333333,-26.9505,118.617083334,87.2340000002,37.5886666667,14.8935,24.1133333333,72.3403333334,-19.8583333333,70.5673333334,43.9715
197.78,9.37516666667,15.3648333333,-8.46383333333,88.8024166667,70.8333333331,36.198,20.3125,29.1666666667,61.9791666667,-2.34366666665,62.2396666667,39.3228333334
198.16,30.4055,22.7476666667,11.2611666667,92.9055,71.1711666668,40.7655,39.1891666666,38.0631666666,67.3423333333,11.937,59.6846666667,43.2431666667
198.54,33.5553333333,24.6666666667,8.55558333333,92.0,65.5556666665,40.6668333333,41.5555,36.6666666667,63.5555,16.889,60.0,45.9998333333
198.92,42.4605,38.0951666667,15.7739166666,92.46025,64.0873333331,43.0556666666,44.6428333333,43.8491666666,70.238,35.1188333333,57.9365,53.9681666667
199.30,39.1385,35.2061666667,14.1386666667,80.2434166667,53.5583333334,34.4568333333,49.2511666667,38.9515,64.794,24.157,46.4416666667,46.8165
199.68,33.987,38.3988333333,22.9575,70.67,49.5096666667,36.9281666667,51.1436666667,41.8301666667,61.111,23.6926666667,45.7516666667,37.9085
200.06,27.4603333334,34.9205,23.254,63.01575,36.9838333333,32.0635,47.1428333333,34.2855,50.635,17.3013333333,38.254,34.762
200.44,27.5155,37.4215,18.1603333333,62.657,33.6478333333,36.6351666667,48.5848333333,33.805,47.956,15.4088333334,33.019,34.1195
200.82,27.1666666667,46.5,17.75,63.4166666667,32.5,41.1666666667,51.8333333333,32.0,45.3333333333,12.5,31.8333333334,35.6666666667
201.19,30.4125,51.89,23.0240833333,68.8143333334,38.3163333334,43.6425,58.9346666667,39.8623333334,49.6565,17.354,34.3643333333,41.9243333333
