wavelength,Back_EmbLonm,Belly_EmbLonm,Breast_EmbLonm,Crissum_EmbLonm,Crown_EmbLonm,DorTail_EmbLonm,Patch10_EmbLonm,Rump_EmbLonm,Throat_EmbLonm,WingTip_EmbLonm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,250.0,-183.333333333,-16.6666666667,16.6666666667,366.666666667,83.3333333333,133.333333333,-200.0,100.0,-183.333333333
179.16,62.5,129.166666667,116.666666667,62.5,87.5,104.166666667,75.0,120.833333333,120.833333333,-12.5
179.54,83.3333333333,108.333333333,91.6666666667,133.333333333,95.8333333333,170.833333333,108.333333333,83.3333333333,120.833333333,45.8333333333
179.93,45.4546666667,-6.06066666667,39.3943333333,39.394,33.3333333333,9.09066666667,39.394,5.92118946467e-16,54.5453333333,51.5153333333
180.31,103.125,-26.0416666667,69.7916666667,110.416666667,83.3333333333,41.6666666667,6.25,27.0833333333,114.583333333,-56.25
180.69,100.833333333,-23.3333333333,51.6666666667,94.1666666667,82.5,45.8333333333,8.33333333333,20.8333333333,108.333333333,-45.8333333333
181.07,89.3083333333,13.2076666667,57.8613333333,92.453,78.6163333333,63.522,14.4656666667,52.2013333333,101.258,-10.063
181.45,84.8483333333,4.84866666667,39.394,84.8483333333,79.394,66.6666666667,11.5153333333,36.3636666667,101.212,0.606333333333
181.83,87.374,17.6766666667,51.0096666667,92.4243333333,89.394,85.3536666667,30.808,46.4646666667,112.121,9.596
182.21,93.8463333333,40.5126666667,68.2053333333,97.436,97.436,102.051333333,42.051,51.795,118.461333333,3.58966666667
182.59,94.977,61.6436666667,85.8446666667,95.8903333333,101.826333333,116.438333333,55.7076666667,61.644,117.351333333,25.5706666667
182.97,101.025666667,67.6923333333,103.59,110.769333333,123.589666667,153.333333333,78.4613333333,91.282,153.333333333,31.7946666667
183.35,130.952333333,81.5476666667,127.976333333,130.357333333,148.809666667,189.285666667,110.714,120.833333333,189.285666667,54.7616666667
183.73,114.646333333,84.3433333333,122.222,110.606,135.353666667,189.899,118.181666667,97.9796666667,174.747333333,67.1713333333
184.11,102.898666667,91.7873333333,115.459,100.483,131.401,183.575,114.492666667,105.797,158.454,73.43
184.49,110.784333333,102.941,138.725333333,114.706,146.078666667,197.549,126.961,133.333333333,157.843333333,80.3923333333
184.87,103.196333333,110.502333333,148.401666667,115.068333333,140.182666667,199.543333333,137.442666667,149.771666667,158.904,88.5843333333
185.25,107.692333333,100.641,165.384666667,125.641,144.230666667,249.999666667,171.795,171.794666667,187.179666667,78.846
185.63,105.442333333,89.796,170.748,125.850666667,141.496666667,249.66,196.598666667,184.353666667,175.510333333,82.313
186.01,110.869666667,78.261,165.217333333,123.188333333,113.768,257.246333333,203.623333333,197.101333333,156.522,76.8113333333
186.39,115.555333333,25.5556666667,178.889,134.444666667,122.222,344.444333333,241.111,285.555666667,175.555666667,86.6663333333
186.77,78.6326666667,12.8206666667,102.564,84.6153333333,99.1453333333,252.991333333,178.632666667,198.290333333,130.769333333,60.6836666667
187.15,53.3333333333,14.2856666667,101.905,70.476,100.952333333,277.143,193.333333333,203.809666667,103.809333333,66.6666666667
187.53,26.882,-24.7313333333,68.8173333333,43.0106666667,64.516,256.989333333,183.871,177.419666667,58.0643333333,25.8063333333
187.91,30.3026666667,-69.697,60.606,13.6363333333,56.0606666667,306.060666667,199.999666667,222.727,40.9093333333,37.879
188.29,50.0003333333,-87.5,77.7776666667,4.16666666667,69.4446666667,291.666666667,165.278,193.055666667,48.611,45.8333333333
188.67,43.5183333333,-50.0,36.111,-11.1113333333,33.3333333333,202.777666667,125.0,126.851666667,36.111,38.8886666667
189.05,-7.69233333333,-143.589666667,-23.077,-76.923,3.846,232.051666667,117.948333333,100.0,-42.3076666667,-26.923
189.43,18.75,-65.625,34.375,-29.1666666667,41.6666666667,194.791666667,128.125,96.875,-19.7916666667,32.2916666667
189.81,31.25,-120.833333333,72.9166666667,-35.4166666667,83.3333333333,356.25,197.916666667,216.666666667,-50.0,-4.16666666667
190.19,16.6666666667,-87.037,103.703666667,-18.5183333333,125.926,333.333333333,159.259333333,209.259,3.5527136788e-15,51.852
190.57,14.4443333333,-17.7776666667,47.7776666667,-38.8886666667,71.111,216.666333333,107.777666667,110.0,3.33333333333,27.778
190.95,14.4443333333,-16.6666666667,48.889,-47.778,35.5553333333,202.222333333,100.0,110.0,-0.000333333333335,26.667
191.33,-1.23466666667,-96.2963333333,-23.4566666667,-116.049333333,-29.6296666667,128.395,34.568,58.0246666667,-77.778,-41.9753333333
191.71,-24.5613333333,-149.123,-50.8773333333,-143.859666667,5.263,207.017333333,42.1053333333,96.4913333333,-98.2456666667,-24.561
192.09,-49.2063333333,-146.031666667,-101.587333333,-112.698666667,-1.58766666667,161.904666667,34.9206666667,87.3016666667,-96.8253333333,-25.397
192.47,-147.619,-200.000333333,-173.809333333,-178.571333333,-102.381,226.190333333,35.714,119.047666667,-145.238,-19.048
192.85,3266.66666667,3633.33333333,3033.33333333,2833.33333333,1633.33333333,-2400.0,266.666666667,-833.333333333,1933.33333333,466.666666667
193.23,-333.333333333,-380.0,-253.333333333,-206.666666667,-46.6666666667,633.333333333,193.333333333,400.0,153.333333333,473.333333333
193.61,-114.285666667,-223.809666667,-142.857,-85.714,104.762,595.238,257.143,419.047333333,271.428666667,461.905
193.99,-38.8886666667,-150.0,-127.777666667,-113.888666667,77.778,425.0,177.777666667,194.444333333,175.0,380.555666667
194.37,-40.0,-91.1113333333,-122.222333333,-104.444666667,53.3333333333,313.333333333,175.555666667,117.778,144.444666667,342.222333333
194.75,-1.89478062869e-14,-16.6663333333,-21.4286666667,42.857,123.809666667,361.904666667,252.380666667,233.333333333,259.524,488.095333333
195.13,516.666666667,400.0,250.0,-250.0,-1066.66666667,-2333.33333333,-1633.33333333,-1250.0,-1433.33333333,-3483.33333333
195.51,633.333333333,-266.666666667,-966.666666667,-1266.66666667,-2700.0,-5366.66666667,-3866.66666667,-2966.66666667,-4500.0,-7633.33333333
195.89,788.889,344.444333333,388.888666667,422.222333333,-111.111,-1144.44433333,-777.777666667,-200.0,-1055.55533333,-1900.0
196.27,588.889,294.444333333,144.444333333,388.889,172.222333333,-366.666666667,-394.444333333,161.111,-383.333,-722.222333333
196.65,-172.222,-38.889,13.8886666667,-166.666666667,97.2223333333,247.222333333,233.333333333,16.6666666667,291.666666667,469.444666667
197.03,-133.333333333,-54.5456666667,-18.1816666667,-193.939333333,136.363666667,227.272666667,200.0,-6.06033333333,215.151666667,518.182
197.40,350.000333333,327.777666667,250.0,672.222333333,-100.0,-172.222333333,-127.777666667,261.111,-61.1113333333,-605.555333333
