wavelength,Back_SalStrf,Belly_SalStrf,Breast_SalStrf,Crissum_SalStrf,Crown_SalStrf,DorTail_SalStrf,Patch10_SalStrf,Rump_SalStrf,Throat_SalStrf,WingTip_SalStrf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,35.2382,89.5239333334,41.9048666667,22.8570666667,80.0000000001,87.6191000001,70.4762666667,94.2856666667,60.9524000001,24.2856
179.16,-526.666666667,-286.666666667,-546.666666667,-260.0,-53.3333333332,-116.666666667,-233.333333333,6.6666666668,-166.666666667,-410.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-18.6666666667,17.3333333333,-94.6666666667,-63.9999999999,-26.6666666667,23.3333333333,-59.9999999999,-26.6666666667,42.6666666668,-52.6666666667
180.31,198.0,31.3333333332,288.666666667,271.333333334,56.6666666667,21.0,136.666666667,-54.6666666666,4.6666666666,265.666666667
180.69,377.333333333,50.6666666666,564.0,530.666666667,92.0,19.9999999998,232.0,-189.333333333,-64.0,602.0
181.07,264.762133333,55.2380666667,379.999933333,382.857066666,61.9048,10.4761666666,202.8572,-160.952466667,-39.0477333339,407.142833333
181.45,526.666666667,-149.999999999,906.666666666,1120.0,-3.3333333336,-255.0,526.666666668,-743.333333333,-333.333333335,1123.33333333
181.83,-44.0000000002,49.3333333334,-99.3333333333,-190.0,65.3333333334,92.6666666666,-61.3333333331,195.333333333,124.0,-158.666666667
182.21,10.2564000001,79.4872,9.7434666666,-85.6410666665,112.820466667,114.615466667,5.12826666674,205.641066667,134.3592,-80.2563999999
182.59,53.5555333333,79.7778,67.3333999999,14.2222,94.2221333333,95.6665333334,47.9999999999,149.7778,104.444333333,-1.5557
182.97,65.2832000001,81.3837333332,79.2453333335,44.4024,95.8490666666,93.2075999999,65.2830666666,114.591266667,91.3208000001,27.2956
183.35,77.8615999999,96.6037333335,95.9749333333,54.2138666666,111.698133333,109.5596,72.8301999999,123.647933333,103.2704,40.5031
183.73,76.6666666667,93.8666666667,92.3999999999,49.0666666666,107.333333333,112.133333333,64.5333333333,121.466666667,102.666666667,31.6666666667
184.11,66.6666666666,76.9892,82.4731333333,43.5484666667,90.3226000001,95.7526666667,57.097,108.064533333,88.6021333333,31.3441333333
184.49,72.8788,82.4241333333,93.1817999999,31.2120666667,106.060666667,102.803133333,58.1818000001,130.0,92.8787333333,25.6819
184.87,59.0740666667,76.4815333334,95.9258666666,14.8148000001,112.777733333,101.6668,43.8889333333,131.851733333,82.9628666667,22.6852
185.25,66.6667333334,72.5489999999,121.960733333,-29.4117333332,174.901933333,122.156666667,20.7844000001,204.3138,121.176466667,-24.7055666666
185.63,138.0,124.0,254.0,-45.3333333334,321.333333333,217.333333333,95.3333333334,381.333333333,238.666666667,13.3333333334
186.01,100.0,50.0000000002,264.166666667,-120.833333333,311.666666667,174.583333333,65.0,441.666666667,222.5,-8.7500000002
186.39,81.5384666666,31.7948000001,159.999933333,-64.1025333334,194.8718,107.1795,65.6410666668,318.974333333,130.769266667,26.1538
186.77,426.666666668,-73.3333333334,866.666666667,-653.333333334,1143.33333333,568.333333332,150.0,1983.33333333,599.999999999,298.333333333
187.15,4.84840000006,127.8788,-80.6060000001,212.121133333,-86.6666666667,-13.9394333334,85.4545333334,-293.939533333,-21.8180666665,-13.6365
187.53,67.8788666665,197.5758,-63.6364666667,272.727266667,-53.3332000001,55.4545333332,139.999933333,-256.9698,25.4545333336,56.0607666666
187.91,110.555533334,241.666533333,-45.5556666667,283.3334,-57.2222,93.8888333334,144.444333333,-204.444466666,97.2223333332,70.5555999999
188.29,48.6420000001,101.728333333,-20.0001333333,108.1482,-41.2346000001,41.3580999999,51.6048666666,-95.8024666667,40.4938666668,28.1480666667
188.67,90.4761333334,286.666666667,-160.952266667,296.190533334,-277.142933334,9.9999666668,44.7620000001,-514.285733333,-20.0000666666,-45.7141666668
189.05,-90.8333333334,135.0,-239.166666667,231.666666667,-319.166666667,-68.7500000002,-70.8333333333,-560.833333333,-133.333333333,-175.416666667
189.43,241.9048,-7.619,485.714266667,-160.952333333,494.285733333,241.9048,290.476333333,796.190600001,246.666666667,405.714166667
189.81,136.1112,-27.2221333334,275.5554,-97.7778666667,283.888866667,140.555566667,163.888733333,470.555533333,126.6666,215.555466667
190.19,-2280.0,-193.333333332,-3900.0,793.333333331,-4086.66666667,-1953.33333333,-2840.0,-6200.0,-1646.66666667,-2656.66666667
