wavelength,Back_SalStrf,Belly_SalStrf,Breast_SalStrf,Crissum_SalStrf,Crown_SalStrf,DorTail_SalStrf,Patch10_SalStrf,Rump_SalStrf,Throat_SalStrf,WingTip_SalStrf
190.57,-127.6924,50.2563999998,-265.641066667,125.641,-271.794733333,-107.692333333,-184.1024,-404.615466666,-74.8717999999,-144.615366667
190.95,-19.7530666665,67.9011999999,-93.827,105.678933333,-93.0865333333,-4.69130000006,-65.1852,-152.345666667,10.1233999999,-18.1483
191.33,-19.804,44.1176000001,-76.4705333333,82.1568666667,-74.5098000001,1.17656666672,-62.3528666666,-123.3334,19.4117999999,-4.70586666668
191.71,-83.7682,10.7246666668,-155.652133333,69.8551333333,-145.5072,-45.5071333333,-142.028866667,-228.695733333,-18.5507333333,-74.3477999999
192.09,-81.1493999999,-9.19553333332,-145.747066667,37.9309999999,-125.517333333,-54.2528999999,-125.287333333,-197.701266667,-36.3219333333,-88.5057
192.47,-56.8888666668,18.0000666667,-118.888866667,69.1111333333,-84.2223333333,-26.7779000001,-80.6666666667,-153.111133333,1.33333333328,-67.5557000001
192.85,-32.0,14.9333333333,-67.6,51.9999999999,-41.0666666667,-8.73333333334,-40.9333333333,-85.3333333335,14.7999999999,-29.6666666667
193.23,-7.7778,27.1110666667,-39.4444666667,50.7776666666,-23.7777333333,8.16666666664,-24.3333333333,-54.8888666667,30.4444,-6.5556
193.61,1.64099999998,34.3590000001,-27.6923333334,54.0511999999,-12.5127333333,14.7181,-12.8205333333,-39.1795333333,34.5639999999,6.92313333332
193.99,2.7778,27.2222666666,-36.4444,52.4444666667,-18.4446,16.2222,-11.4444666667,-46.3332666667,33.7776666667,2.44443333332
194.37,9.73546666665,32.0634,-27.7249333333,55.4496666667,-13.9682666667,25.3968,4.55033333333,-37.9894,34.9207333333,9.4709
194.75,12.4637333333,29.3719333333,-22.9952,54.1063333335,-13.2366666667,29.7100666667,12.0773333333,-33.7198,31.9807333333,8.55073333334
195.13,-6.66666666666,6.66666666667,-57.7305333333,51.2057333333,-47.6596,13.5459333333,-4.11346666666,-73.3333333333,23.1205999999,-15.1064333333
195.51,-8.88893333332,4.78626666667,-72.6495999999,54.7009333335,-65.1282666666,8.71793333334,-11.2821333333,-95.8975999999,19.4872666666,-27.1794666667
195.89,18.1701999999,21.0458,-33.0718666667,56.6013333333,-33.8560666667,27.2549333333,8.36613333333,-52.1568,36.4706666667,-5.4248
196.27,14.3397333333,14.9685333333,-31.3207333333,57.4841999999,-30.9434666667,25.5345666667,2.13853333332,-51.4466,30.8176000001,-6.54086666666
196.65,-16.875,-20.2083333333,-90.6250000001,60.2083333333,-96.6666666666,-1.66666666666,-48.3333333333,-130.0,-0.8333333334,-46.1458333333
197.03,-48.3951333334,-51.1111999999,-135.061733333,49.8766666667,-135.3086,-25.5556666667,-83.7035999999,-172.345733333,-29.8765333331,-83.2097666666
197.40,-48.5057333333,-53.7931999999,-142.988533333,36.0917333334,-135.632133333,-37.5861999999,-87.1262666667,-171.2644,-34.7125333333,-88.0459666666
197.78,-7.34686666674,-11.8367333333,-62.9931333334,44.0818000001,-57.6870666665,0.40809999994,-28.0271333333,-77.0067999999,9.3876666666,-34.8299666667
198.16,2.64706666666,11.8627333333,-28.2352,49.0195333333,-24.4118,12.2059666666,-10.5880666667,-41.4704666667,24.0196000001,-10.6863333333
198.54,-3.33333333334,6.48146666665,-31.2038666667,40.9258666667,-26.3888666667,1.01856666673,-20.926,-41.0184666667,19.9999999999,-18.6573666667
198.92,-8.33333333335,4.03493333333,-34.8246,32.8947333333,-27.6316,-5.39473333333,-27.193,-39.8245333334,15.8771333334,-23.0702333333
199.30,-5.20333333334,10.4065333333,-30.2438,37.1544666666,-23.0894,1.34160000001,-27.1543333333,-32.2764666667,15.691,-22.6423333333
199.68,-10.6994666667,6.8312,-32.3456,37.3664000001,-30.3703333334,0.781966666659,-32.0164,-33.0863333333,9.87653333334,-30.5350666667
200.06,-9.21813333333,14.8972,-25.1852,47.0781333333,-27.0782666667,6.58426666668,-30.6996666667,-25.9259333333,15.3086,-23.5802666667
200.44,-1.24026666668,23.2558666667,-13.4108666667,57.1318,-15.7363333334,15.7752333333,-20.2326666667,-15.0386666667,26.2016666667,-12.5581
200.82,5.01653333332,28.9769333333,-2.44226666666,57.7557999999,-5.28053333333,24.4886333333,-10.8251333333,-3.23426666665,33.3332666667,-6.69949999999
201.19,9.901,35.5116,4.55453333335,59.2079999999,-0.462000000007,30.1980333333,-8.05286666667,1.18813333332,38.5479333333,-1.78216666667
201.57,-1.95646666668,29.1303333333,-3.11593333333,53.7679333333,-7.68106666667,24.3117,-15.2174666667,-9.20280000001,34.2028666667,-7.89843333334
201.95,-32.6759333333,10.5164666667,-27.8872,41.6899999999,-40.9389333333,8.16900000001,-46.1032666667,-40.1878,10.892,-34.6478333333
202.33,-43.2256666667,-0.21506666668,-36.5592666667,36.9892000001,-58.6022,5.26876666673,-64.4086000001,-50.2149999999,-2.15053333334,-41.1826666667
202.71,-29.4624,8.8172,-24.6236,49.5698666667,-46.2367333333,19.2473666667,-45.2687333333,-36.9892,5.1612,-29.9999666667
203.09,-21.9354666666,12.1504666667,-16.559,53.5482666667,-34.6236666667,27.4195666667,-34.7310666667,-34.7312666667,14.8387333334,-22.688
203.47,-15.6218,15.4230666667,-3.3832,51.6418,-20.7959333333,27.1143333333,-17.7114666667,-26.2687333333,19.3035333333,-14.7761
203.85,-10.6994666667,18.4362,0.329200000006,43.6214666666,-9.54733333333,25.9670333333,-7.90113333334,-20.7406666667,19.5885333333,-9.5473
204.22,-8.82146666667,15.8250666667,0.336733333334,33.5352666667,-2.96286666668,23.0303,-1.48153333333,-17.5083333333,13.2659333333,-9.32663333334
204.60,-23.8952,3.97,-12.9588666667,17.5281333334,-16.2546666667,11.4231333333,-13.1835333333,-31.3858,-3.67046666666,-25.5055333333
204.98,-6.99033333334,12.0388666667,1.35920000001,21.9418,-1.22986666666,20.0647666667,0.77673333334,-17.9935333333,7.11966666668,-8.77006666668
205.36,-1.33326666667,12.7536,7.30426666666,25.7391333333,2.31873333332,22.203,8.11600000001,-8.81153333333,10.1448666667,-1.76813333333
205.74,13.0509333334,28.079,20.9038666667,40.9604666667,15.7627333333,35.8757,22.7117333333,5.87573333333,21.4124,10.1411
206.12,16.7796,30.0000666667,25.5932666667,42.4858666666,21.1864666667,37.3165,22.2597333333,8.64419999999,26.4406,11.7512333333
206.50,17.4937333333,28.3708666667,25.7142666666,37.9448666667,23.0075333334,33.8094666667,22.0549333333,9.27313333333,27.1178,8.64666666668
206.87,13.3830666667,25.8706666667,23.2836,32.985,22.8356666667,29.8258666667,15.8208666667,4.92526666666,24.3282666667,5.04986666666
207.25,10.9134,23.5062,22.8642,32.5432666667,20.247,26.8889,14.0741333333,3.50620000001,19.5555333333,1.72823333332
207.63,15.7078,26.8494,25.4338,34.2921333333,22.9224,30.6849666667,17.5342,8.03673333333,22.0091333333,8.62996666666
208.01,17.3894666667,28.6712,28.0186,36.55,24.5220666667,32.6107,19.0209333333,10.3496666667,22.2376666667,11.7948333333
208.39,13.7984,27.0800666667,26.3048,37.5710666667,20.7234,31.5503333333,13.9018666667,7.33866666666,23.2041333333,11.6536666667
208.77,19.6190666667,33.238,33.0952,42.3333333333,27.5238,37.4762,21.5237333333,13.0476,29.5238666667,20.2381333333
209.14,12.8125333333,30.1043333333,27.4480666667,38.6458666667,22.4479333334,31.1721,14.8958666667,7.23953333331,23.6978666666,15.1304333333
209.52,14.3363333333,29.7934666667,25.0736666667,36.2832,23.0087333333,32.0352333333,12.4483333333,1.00293333333,23.6578,13.0973666667
209.90,4.89306666666,17.4313333333,15.9021333333,25.7491333333,15.8409333333,21.0703,1.77366666666,-9.6636,14.9236,4.2814
210.28,5.641,17.7563333333,15.4486,27.3076,16.795,19.2628666667,3.65386666666,-11.0898,15.3206,6.34606666666
210.66,6.00017813213e-12,14.3971333333,13.6879333334,26.1700666667,12.6950666667,16.0993333333,0.354733333326,-16.8085333333,12.1276,3.7944
211.03,-0.44946666666,15.6553333333,17.0786,29.3633333334,10.5616666667,18.9138333333,-0.299733333346,-14.382,16.7042,3.82016666666
211.41,-4.58873333332,16.8831333333,18.0953333333,28.6579333333,9.8702666667,20.9956333333,-12.4675333333,-17.1428666667,21.2986,2.12116666666
211.79,-23.4408,7.20426666667,9.35466666666,20.0001333333,-0.86033333334,15.9677,-35.0538,-36.5590666667,14.9463333333,-7.84959999992
212.17,-24.8,7.6,12.1333333333,18.9333333333,-2.26666666669,19.5333333333,-49.3333333333,-44.9333333333,25.2,-6.26666666666
212.55,-10.1235333333,8.88886666667,20.7408,18.8889333333,4.19746666669,30.5555333333,-40.8643333333,-34.6914,26.5432,4.87636666672
212.92,-24.058,-9.42033333334,7.53626666666,13.6231999999,-11.0144666667,29.0579666666,-68.9855333333,-47.1014,16.0868,-1.15943333326
213.30,-20.171,-5.64106666666,18.4614666667,27.3505333332,-7.35033333333,49.0598666666,-69.7436666667,-47.5214,29.2308666667,5.12816666668
213.68,-41.2612,-8.46846666666,15.1352,29.5494666667,-13.6937999999,46.7569666665,-84.6846666667,-51.8918666667,20.901,-3.42339999999
214.06,-33.7778,0.29646666666,18.8147333333,27.4072666666,-11.7036666667,45.0370333333,-64.7406666667,-36.0,18.0741333333,-1.33346666667
214.44,-35.7446000001,-6.38286666666,10.2128,23.5460666667,-14.6098666667,44.2553666666,-63.2622666666,-38.5814666667,6.38306666666,-12.2694333333
214.81,-42.9629999999,-0.3702666667,8.14826666668,40.3704,-9.62973333333,58.1482333333,-76.6666666667,-48.5186666667,6.29626666666,-7.68513333334
215.19,-48.3869999999,3.4409333334,6.23653333334,41.7203333334,-8.17206666666,54.7311666667,-90.7527333333,-60.6452,-8.17199999992,-9.67733333326
215.57,-23.6364000001,12.2728666667,12.5757333333,42.7273333332,4.39393333333,42.1212666666,-45.3029333333,-32.1213333333,-3.18193333334,0.606099999994
215.95,-18.5816666668,10.6382666667,11.2056666667,36.1704000001,1.27660000001,39.5035000001,-43.6880666667,-27.5177333333,-10.0708666667,-2.62393333333
216.32,-33.9130666667,-3.76819999998,-3.76819999998,24.4928666667,-10.0,23.6232666666,-55.3624,-47.2464666667,-30.4348666667,-13.9856333333
216.70,-71.3131333333,-19.9999999999,-32.1212666667,8.88886666652,-24.4444666666,-4.74763333333,-92.7274,-87.6768000001,-66.0605333334,-44.3433666667
217.08,-179.298133333,-94.0349333332,-102.105333333,-55.7894666667,-95.7896,-71.7544333335,-211.228066667,-218.9474,-164.561466667,-148.070133333
217.46,-111.604933333,-53.0864666667,-53.0863999999,-37.7778,-54.8149333334,-36.6667999999,-143.7038,-142.469133333,-110.864266667,-96.6666666667
217.83,-161.481533333,-93.7037333334,-84.8148666668,-82.5926000001,-94.4443999999,-86.2963666665,-211.852,-230.7406,-167.777666667,-160.925966667
218.21,-138.5964,-82.1052666667,-68.0702666667,-71.9298000002,-79.2983333333,-81.0525333333,-215.789466667,-213.684266667,-156.4912,-158.947533333
218.59,-42.7027333333,-4.5044,1.98193333333,-10.6307333333,-9.54946666666,-10.1802,-84.5045333334,-75.3154,-47.5675333335,-44.0540333333
218.97,-20.0,8.19446666666,18.1944,5.41666666666,9.58333333332,8.47216666666,-53.1943333333,-43.7499333333,-21.3889333333,-21.9444666667
219.34,8.02260000002,25.3107333333,38.757,30.2825333333,29.6045333334,34.2372666667,-17.1751333333,-13.5592666667,11.8643333333,4.91536666666
219.72,30.8196,43.0600666667,53.4426666666,39.3442666667,45.4646,53.9891666667,2.186,0.98353333334,30.6012,22.1311
220.10,37.5862,57.4713333333,58.8505333333,50.2298,56.8966,56.3792,8.96553333335,10.4599333333,44.8277333333,31.9539666667
220.47,51.6958666667,75.5554666667,73.0993333333,67.4853333333,74.5030000001,70.7603666667,22.5731333333,30.5264,62.2222000001,46.3158000001
220.85,65.5368,85.6498,84.0678666668,79.3221333334,81.2429333333,81.8080000001,33.4463333333,44.1808666667,71.5254666667,53.9548666666
221.23,68.7498666667,91.9789333333,85.4164666667,80.7288666665,83.8539333334,81.3019333334,42.6041333333,51.4581333333,76.2497333333,62.7604
221.61,65.2526,89.6970000001,79.2930666667,76.6666666667,83.9392666667,72.5252666667,44.0405333334,47.9799333333,74.0403333332,59.3433
221.98,63.8961333333,86.7533999999,75.7576,72.554,79.0476666667,73.0303000001,45.4546,51.1686666667,68.3983333333,58.6148
222.36,64.762,91.2168000001,75.6613333334,71.8518666667,85.1853333333,78.7831666667,47.4074666666,50.4762666666,69.9471333333,64.7620666667
222.74,63.9999999999,93.4666666666,76.6666666667,69.2000000001,86.1333333333,85.4666666667,42.3999999999,45.8666666667,74.2666666667,69.7999999999
223.11,51.6667333333,77.0833333333,60.1388666668,53.0555333333,64.4443999999,77.2221999999,36.9444666666,38.6112,65.4168,53.6806
223.49,35.0387333333,62.1704666667,39.0698,28.8372,41.8605333333,59.6124333333,19.5349333333,21.3954666667,49.1474,41.3179333333
223.87,17.9798666667,51.5152,25.2524666667,25.8586,23.0302,47.7777999999,3.63626666666,0.605999999994,39.5959333333,36.3635666667
224.24,-7.1054273576e-16,11.3821333333,2.92686666668,-3.08953333334,1.78873333336,25.3658,-12.1950666667,-20.6504666667,3.57713333334,5.60953333333
224.62,-18.8888,-10.2778,-16.1110666666,-22.3611333333,-16.2499333333,4.86106666666,-26.1110666667,-36.9444666667,-11.9443333333,-17.7777333333
225.00,-38.6926666666,-23.3988,-31.6338666667,-38.17,-36.6012666666,-13.8559999999,-39.8692,-54.2485333333,-26.013,-33.9215666667
225.38,-10.7406666667,1.01853333335,-7.1296,-12.7778,-9.81473333333,8.56476666665,-13.8888,-20.4630666667,1.01846666667,-11.0184
225.75,-22.5224666667,-8.64866666666,-16.3063333333,-21.4414,-18.6487333333,0.900833333334,-23.2430666667,-26.4866,-6.03599999999,-15.8556333333
226.13,-24.2734666667,-11.0256,-16.3248,-18.5470666667,-20.171,-3.33340000001,-21.3674666667,-27.6922666667,-4.87166666666,-14.1877666667
226.51,-12.1612,-1.75819999999,-9.08426666666,-7.61893333333,-12.8937333333,0.25633333334,-11.9414666667,-18.9743333333,6.22700000001,-6.8132
226.88,-6.28560000001,2.92066666667,-5.65079999999,-2.60306666667,-6.2856,0.920599999992,-4.12693333333,-12.6984666667,8.6984,-3.90480000001
227.26,-3.87113333332,5.53766666667,-2.8494,-2.79573333333,-3.6022,-0.107600000006,-5.64526666666,-12.5804666667,5.26873333334,-1.93543333334
227.64,-0.450400000006,9.41440000001,0.225333333325,3.37833333333,3.24326666666,3.60363333333,-3.28826666667,-6.89200000001,7.70253333334,-0.045133333334
228.01,1.78293333334,9.2636,0.969000000008,3.29453333335,7.36446666667,4.41863333335,-1.39526666667,-2.67446666667,6.35673333333,1.31780000001
228.39,7.09559999999,14.9505333333,7.45866666667,9.90093333333,11.6173333333,9.27383333333,3.59726666667,2.80526666667,12.3761333333,7.59086666667
228.76,12.4852666667,18.0993333333,12.2807333333,15.2631333333,15.4385333333,14.0790666667,7.57293333334,8.65506666668,15.2047333334,13.1140333333
229.14,14.6185333333,19.063,13.6816,17.8314,17.7778,16.0375333333,10.2007333333,11.5930666667,16.9478,15.2877333333
229.52,12.633,16.4721333333,11.388,15.9273333333,15.2009333333,13.1906333333,8.69,8.40479999999,13.1517333334,12.6978
229.89,12.448,14.1406666667,8.8022,14.0625333333,12.6042,10.8463666667,8.0208,5.65099999999,10.573,8.89323333333
230.27,11.4176,13.3845333333,7.25419999999,12.8224666667,11.0856,10.9324333333,6.61553333333,4.75093333335,8.73573333333,8.09693333333
230.65,8.68753333333,10.2886,4.96059999999,8.95019999999,9.2914,9.55396666666,3.91066666667,1.44346666667,4.90813333333,6.79786666666
231.02,11.4102,12.1026,7.28206666665,10.1795333333,10.9487333333,12.7821,5.87193333333,2.71793333333,6.17939999999,8.12830000001
231.40,16.7790666667,17.0036,11.8601333333,16.1048,16.6291333333,19.1634666667,12.4592666667,8.71413333334,13.3583333334,13.3958
231.78,17.1501333333,16.8193333333,12.3663333333,15.3435333333,14.5801333333,19.9619,12.6717333333,7.20093333333,13.3587333333,14.6309666667
232.15,16.416,17.6190666667,13.1077333333,15.9649333333,13.5587333333,20.6140666667,12.3058,6.86719999999,14.2105333333,14.9874
232.53,16.7296,19.5470666666,14.8428666667,16.6793333333,14.8176666667,21.6478333333,15.3459333333,8.93073333332,15.9747333333,17.3208333333
232.90,13.7726666667,19.0698666667,13.8758666667,13.9792666667,12.4547333333,19.8193333333,16.0208,6.12406666666,15.2712666667,17.0282
233.28,17.8358,23.1342666667,17.612,17.8605333334,16.6169333333,24.9378333333,20.5225333334,10.2738,19.9004,22.4750666667
233.66,20.7017333333,25.3884666667,19.9248666667,20.6766,19.5236666667,27.5313333333,23.0824666667,13.4587333333,22.9825333334,25.9523
234.03,22.4708666667,27.7390666667,23.4731333333,23.3332666667,21.5851333333,29.0792333333,24.2658,17.2726666667,24.6388666667,30.0349666667
234.41,23.3224666667,28.7512666667,24.2996,23.8437333333,23.3876,29.1530666667,25.2335333333,19.0012,25.2552,30.7709333333
234.78,24.923,30.8101333333,26.5231333333,27.0769333333,24.7178,30.4821666667,27.4667333333,22.0102,27.6717333333,31.4974666667
235.16,22.9697333333,29.5757333333,25.1111333333,25.6766666667,23.8991333333,28.0505666667,26.3030666667,21.0101333333,26.4243333334,29.3839666667
235.54,20.9174,28.4608,24.0161333333,22.8542,22.0184,25.9021333333,23.7716666667,18.8786,24.6076,27.2987333333
235.91,20.8016666666,28.563,24.2816,23.1670666667,24.0469333333,26.5885,23.9490666667,20.5475333333,25.1027333333,27.0674
236.29,19.3144,26.4762,23.0857333333,21.9047333333,22.8953333333,25.7046666667,22.9333333333,20.2476,23.7905333333,25.7141666667
236.66,16.7502,24.1596,20.3157333333,20.26,21.467,24.1784,20.7429333333,18.0874,21.4671333333,22.4699
237.04,16.5377333333,23.6648,19.7236666667,20.1104,21.4364666667,23.6003666667,20.7180666666,18.8214666667,21.142,21.4273666667
237.41,13.3707333333,21.3296,17.7340666667,16.8352,19.7004666667,20.4119,18.6518,16.3858666667,18.0712666667,18.6609666667
237.79,9.59259999999,18.2963333333,14.7222,13.0926,16.3518,17.3332,15.7036666667,13.2962666667,14.8332666667,15.3982666667
238.17,7.01360000001,15.653,11.8174666667,10.7945333333,13.9361333333,15.3059,14.0822,10.1918666667,13.0959333333,12.3927333333
238.54,6.66666666667,14.4300666667,11.5509333333,11.688,13.2648666666,15.0471333333,13.7962,10.2485333333,13.2818,11.9793666667
238.92,8.00606666667,15.0115333333,12.2401333333,12.8252666666,14.2572,15.8276666667,14.5343333333,11.9013333333,14.0416,12.7558666667
239.29,7.7356,14.5710666667,11.5752666667,13.5725333333,12.9958,15.5626666667,14.2757333333,11.7722,13.4178,13.1925666667
239.67,7.49853333332,13.5508,10.723,13.4356,12.0154666667,14.7343666667,13.8837333333,11.0044666667,12.284,13.3653
240.04,6.10126666666,11.3782666667,8.75146666666,11.0365333333,9.6348,12.497,12.2026,9.04586666666,9.788,11.9965666667
240.42,4.28793333333,9.55653333334,6.64573333333,8.79506666667,7.37620000001,10.5426,9.9322,6.83353333334,8.22113333333,9.69223333332
240.79,4.28246666667,8.44326666667,5.9654,7.81679999999,6.41439999999,9.46696666666,8.9108,5.9842,7.10606666667,8.84526666667
241.17,5.75373333333,9.34793333332,7.22893333333,8.69586666666,7.91346666666,10.6967,9.36426666667,6.9356,7.97053333333,10.0487666667
241.54,6.6312,9.69560000001,7.42386666667,9.31346666666,8.18819999999,11.0226333333,9.3842,7.2612,8.30146666668,9.98933333333
241.92,6.68606666667,9.79206666667,7.35546666667,9.58413333333,8.21966666666,10.9682333333,8.94086666667,7.25153333333,8.25853333335,10.0715666667
242.29,6.7328,10.114,7.60366666667,9.57966666667,8.40240000001,11.1832666667,8.56446666667,7.51353333333,8.39640000001,10.3214333333
242.67,5.9028,9.36933333332,6.93286666667,8.4258,7.44786666667,10.3993,7.33813333333,6.60886666667,7.419,9.31136666667
243.05,4.805,8.63073333334,6.4276,7.6004,6.45586666667,9.66409999999,6.1998,5.76713333333,6.7236,8.61939999999
243.42,4.6082,8.3962,6.3598,7.1354,6.20353333334,9.38633333333,5.70706666667,5.6458,6.76166666667,8.21193333334
243.80,4.66173333333,8.584,6.63386666667,7.15406666667,6.38193333333,9.46586666667,5.8286,5.9546,6.92406666666,8.2169
244.17,5.19246666667,9.43386666667,7.50006666667,7.8524,7.09413333333,10.0507333333,6.1218,6.58653333333,7.62306666667,8.74466666666
244.55,5.552,9.97346666669,7.93526666667,8.105,7.50533333333,10.1486666667,6.25253333333,6.81,7.92466666666,9.23283333334
244.92,5.564,10.0704666667,8.09166666667,8.26786666667,7.73919999999,10.2972666667,6.143,6.81773333334,8.20240000001,9.79596666667
245.30,4.7694,8.96146666667,6.97893333333,7.24393333333,6.42073333333,9.2406,4.935,5.86693333333,7.2722,8.76033333332
245.67,3.78746666667,8.04033333333,6.21886666667,6.35506666667,5.39386666667,8.3257,3.97186666667,4.93306666667,6.54813333334,8.07539999999
246.05,4.17466666667,8.13286666667,6.478,6.51346666666,5.60533333333,8.58686666667,4.35146666667,5.06293333333,6.81993333333,8.18583333333
246.42,4.31266666667,8.11513333333,6.36493333333,6.70986666667,5.66413333333,8.62726666667,4.60733333334,5.15366666667,6.83206666667,8.15286666666
246.79,4.1248,7.75706666667,6.04273333333,6.60746666667,5.43826666667,8.26923333333,4.43346666667,4.83426666667,6.66006666667,7.88169999999
247.17,4.02853333333,7.60386666667,5.73853333333,6.56326666667,5.35213333333,7.94156666667,4.3694,4.64033333333,6.475,7.72713333333
247.54,4.18246666667,7.80086666667,5.86646666667,6.75013333333,5.61313333333,8.05846666667,4.58546666667,4.78406666667,6.55726666667,7.90730000001
247.92,3.95373333333,7.52546666667,5.53193333333,6.7002,5.3842,7.88933333334,4.3718,4.56986666667,6.49093333333,7.74006666667
248.29,3.75586666667,7.15826666667,5.28033333333,6.55613333333,5.1726,7.77556666666,4.37726666667,4.3414,6.2938,7.60556666667
248.67,4.06266666667,7.4192,5.59273333333,7.01273333333,5.44433333333,8.16106666667,4.76873333333,4.6972,6.64733333333,7.84080000001
249.04,3.88193333333,7.35926666667,5.51226666667,6.99733333333,5.12446666667,7.95633333333,4.6972,4.61173333333,6.57833333333,7.45326666666
249.42,4.03593333333,7.77520000001,5.8338,7.5176,5.32146666667,8.1513,5.03366666667,4.97073333333,6.8256,7.60006666667
249.79,4.3932,8.1578,6.26273333334,8.004,5.79446666666,8.51693333333,5.4898,5.35846666667,7.1638,7.82753333333
250.17,4.43066666667,8.44106666667,6.47566666667,8.39953333333,5.9828,8.64246666666,5.71206666667,5.57306666667,7.53806666667,7.9168
250.54,4.4744,8.57146666667,6.5732,8.6462,5.99446666667,8.74316666667,5.6396,5.58366666667,7.63406666667,7.95326666666
250.92,5.17646666666,9.56366666667,7.352,9.54373333333,6.7306,9.68326666666,6.4238,6.31993333333,8.42793333334,8.8585
251.29,5.62786666667,9.80013333333,7.65513333333,9.775,6.91473333333,10.0842333333,6.7256,6.33873333333,8.59326666666,9.13979999999
251.66,5.23493333333,9.24900000001,7.27713333333,9.3412,6.16146666667,9.59813333334,6.02986666667,5.70486666667,8.21693333333,8.4871
