wavelength,Back_SicLuof,Belly_SicLuof,Breast_SicLuof,Crissum_SicLuof,Crown_SicLuof,DorTail_SicLuof,Patch10_SicLuof,Rump_SicLuof,Throat_SicLuof,WingTip_SicLuof
178.4,0,0,0,0,0,0,0,0,0,0
178.78,101.1905833,108.33325,105.9524167,50.00008333,42.85708333,89.28566667,69.04766667,83.33333333,108.3927896,123.8095
179.16,500,575,683.3333333,133.3333333,391.6666667,358.3333333,283.3333333,400,556.125,1008.333333
179.54,101.6666667,116.6666667,98.33333333,33.33333333,108.3333333,86.66666667,135,68.33333333,140.6,180
179.93,-270.8333333,-104.1666667,37.5,-145.8333333,-50,-108.3333333,-100,-162.5,85.22916667,95.83333333
180.31,114.9123333,211.8421667,237.2808333,110.5264167,188.5965,163.8159167,182.0175,164.4735833,245.3157396,251.7545
180.69,101.7545,206.1403333,236.4035,85.52633333,181.1404167,132.0175,163.1580833,149.123,233.2741833,249.9999167
181.07,81.06066667,280.303,320.4545,101.5150833,287.87875,132.5756667,241.66675,173.485,335.2651717,366.6665833
181.45,96.66666667,563.3333333,578.3333333,233.3333333,581.6666667,215.8333333,571.6666667,308.3333333,664.8083333,731.6666667
181.83,350,-2216.666667,-2308.333333,-525,-2083.333333,-245.8333333,-2216.666667,-1008.333333,-2296.75,-2808.333333
182.21,8.333333333,-485,-426.6666667,-173.3333333,-476.6666667,-68.33333333,-546.6666667,-250,-413.0416667,-573.3333333
182.59,57.40733333,-236.11125,-187.963,-48.14808333,-229.6295833,46.75920833,-250,-102.7778333,-162.7685233,-260.18525
182.97,-23.33333333,-533.3333333,-436.6666667,-278.3333333,-533.3333333,-91.66666667,-515,-345,-397.9583333,-620
183.35,362.5,1300,1208.333333,691.6666667,1258.333333,189.5833333,1375,987.5,1075.0625,1708.333333
183.73,216.6666667,579.1666667,514.5833333,268.75,593.75,-103.125,735.4166667,462.5,479.2916667,872.9166667
184.11,0,0,0,0,0,0,0,0,0,0
184.49,33.33333333,837.5,608.3333333,150,945.8333333,-789.5833333,1487.5,516.6666667,479.5833333,1445.833333
184.87,243.75,668.75,535.4166667,383.3333333,693.75,-75,1068.75,616.6666667,452.90625,920.8333333
185.25,83.33333333,174.9999167,158.3334167,117.85725,163.4920833,32.93654167,244.8411667,177.381,115.9701971,209.1269167
185.63,77.95716667,141.3979167,140.3225833,105.914,130.6451667,35.887,184.94625,148.656,95.36826542,154.5698333
186.01,81.29633333,120.7406667,124.81475,105.37025,117.5925,48.98154167,151.2963333,128.148,92.38521,128.1481667
186.39,76.29308333,104.3103333,109.9138333,89.36791667,92.95975,45.11491667,123.4195833,111.4943333,75.03880958,100.1438333
186.77,65.89908333,83.00425,90.7895,74.56133333,72.58766667,39.03516667,100.6580833,89.14491667,61.21872875,81.46908333
187.15,58.04925,72.44308333,82.29175,66.95083333,64.01508333,30.16108333,89.29933333,78.125,54.40066333,73.10591667
187.53,51.85175,71.09041667,84.465,62.34558333,64.81475,19.23870833,92.48966667,77.16041667,51.31160667,70.47325
187.91,44.57825,70.68266667,84.33741667,61.54608333,61.04408333,20.88366667,87.14858333,74.29716667,45.22905458,67.36958333
188.29,46.28508333,77.71091667,89.45783333,67.46983333,67.36958333,22.690875,94.17666667,76.80741667,48.5376675,75.20075
188.67,39.835,69.13916667,79.57883333,63.82783333,62.82041667,21.15375,85.62291667,65.293,40.35112583,66.66683333
189.05,31.64983333,55.72391667,69.02358333,56.31308333,55.05033333,13.25745833,74.3265,53.53516667,33.24570583,57.65983333
189.43,39.56225,61.44783333,76.01016667,65.06733333,64.81466667,16.87729167,80.72375,59.59591667,38.3868075,60.94266667
189.81,33.49833333,55.69316667,69.3895,59.48841667,60.89108333,12.74770833,73.18483333,55.28066667,32.32758333,51.73266667
190.19,26.47058333,51.47066667,61.92825,54.4935,56.3725,6.4545,71.81375,52.206,28.82318917,46.24183333
190.57,22.91666667,48.58333333,60.91666667,52.16666667,59.66666667,3.875,68.66666667,49.16666667,30.145,48.75
190.95,18.68116667,46.15383333,62.8205,55.0365,62.27108333,-1.739833333,71.154,52.10641667,28.74273792,53.57158333
191.33,25.496,51.1905,73.01583333,67.36116667,75.39683333,4.811541667,86.40866667,64.78175,36.52622292,58.92866667
191.71,32.66275,53.44841667,73.65891667,79.69333333,81.03441667,14.03254167,90.51733333,70.977,41.40326375,57.85441667
192.09,41.83491667,52.77775,73.3165,82.40758333,81.06066667,24.284625,92.34008333,72.97983333,47.60934417,55.89225
192.47,45.04966667,51.56766667,72.27725,83.581,77.22775,28.05279167,91.254,75.16491667,50.35641125,55.61058333
192.85,45.62291667,52.10441667,74.41083333,86.2795,75.92608333,29.08241667,90.82483333,78.53533333,52.51419083,60.94266667
193.23,49.055,54.89691667,77.31975,86.85566667,77.83508333,33.16133333,91.323,82.3885,53.15286625,60.22341667
193.61,42.40183333,46.24191667,71.32341667,77.69616667,69.1175,29.86116667,81.61766667,75.572,46.29791792,55.63725
193.99,43.08175,46.30516667,71.38358333,77.51575,69.81133333,30.22795833,80.58183333,71.46225,47.04840958,58.09741667
194.37,49.29058333,46.18783333,81.0285,87.41125,76.95041667,30.053125,82.62416667,75.70925,45.052255,58.86516667
194.75,54.57883333,52.564,85.62258333,96.33716667,79.67033333,30.76933333,91.20883333,84.06583333,47.3777225,60.71416667
195.13,54.25525,55.4965,84.21991667,94.59225,79.69875,30.31920833,88.82966667,78.98941667,45.7362525,52.83683333
195.51,55,56.14583333,87.91666667,94.27083333,79.79166667,21.71875,86.5625,78.02083333,39.53072917,46.25
