wavelength,Back_TanVitf,Belly_TanVitf,Breast_TanVitf,Crissum_TanVitf,Crown_TanVitf,DorTail_TanVitf,Patch10_TanVitf,Patch11_TanVitf,Rump_TanVitf,Throat_TanVitf,WingTip_TanVitf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,68.5896666666,69.87175,61.5384166667,70.5129999999,71.7949166667,46.1539166667,77.5641666666,62.8204166667,58.9743333333,40.3845833333,37.1795833333
179.16,92.8572499999,16.6665833333,48.8095000001,23.8095833332,66.6667500001,-23.8094166668,91.6665833333,34.52375,2.38091666667,15.4761666667,-14.28575
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,132.341333333,94.0475000002,98.4126666665,54.1666666667,91.2698333333,54.16675,92.4603333332,53.5714166667,31.3491666666,23.8095833334,44.6428333333
180.69,123.437416667,92.1874999998,90.7985,51.2152500001,86.1110000001,47.7430833334,88.5415833333,51.2154166667,27.2569166668,16.3194166666,36.8054166667
181.07,129.999916666,87.4073333332,105.0,52.037,85.9258333332,54.9999999999,94.0740833334,42.77775,35.7406666667,12.4074166667,41.2963333333
181.45,141.87,101.219583333,122.76425,64.2276666666,98.1709166666,75.2032499998,100.813083333,46.3413333334,50.2033333334,14.0243333334,45.9349166667
181.83,129.421833333,106.2925,108.503333333,60.54425,92.6869999999,79.7619166668,101.70075,50.51025,52.0407500001,26.8707500001,44.2176666667
182.21,145.634916667,111.90475,112.499916667,64.2856666666,102.976166667,76.1904166665,116.865166667,50.3968333333,39.4841666668,24.2063333333,33.9285833333
182.59,181.034416666,121.55175,121.839166667,56.8967500001,127.298916667,77.0114999999,149.138,34.7700833334,35.6322500001,-2.29874999992,10.6321666667
182.97,249.62125,174.24225,173.106083333,90.5304166666,159.848416667,120.075666667,206.0605,50.3788333333,70.8333333332,-3.78783333325,7.95458333334
183.35,185.277833333,115.277833333,107.5,58.0555833334,113.33325,81.9445833334,161.666833333,43.0555833332,53.6112500001,-10.0,7.22216666665
183.73,155.482416667,101.754333333,96.0525833334,64.2543333333,89.0350833333,76.97375,146.272,37.7191666667,49.3421666666,3.2894999999,19.07875
184.11,149.40475,119.444416667,115.277583333,65.8730833334,92.0634166667,77.5794166666,144.642833333,43.2540000001,65.4761666667,17.6588333334,23.4126666666
184.49,122.537833333,115.530416667,101.515083333,50.0000833333,74.6211666667,58.7122500001,134.46975,36.36375,53.9771666667,8.33341666657,13.82575
184.87,103.166666667,97.8333333331,88.6666666667,40.8333333333,59.5,52.0000000001,117.333333333,27.6666666667,46.6666666667,8.16666666667,14.0
185.25,92.1666666667,93.6666666668,71.9999999999,28.0,46.8333333333,30.0,107.666666667,19.5,29.3333333333,5.6666666667,-1.33333333335
185.63,67.694,70.7763333333,53.7670833334,21.9178333333,35.2739166667,27.283,76.1415833334,17.5799166667,25.2283333333,6.73525,0.342583333342
186.01,58.7065833333,63.9303333333,54.3531666666,14.5521666667,25.74625,19.7759166666,69.1543333333,8.58216666667,24.1295,8.33333500001e-05,-10.3233333333
186.39,54.8353333333,64.1976666667,54.6296666667,20.0618333333,30.7613333333,27.7778333333,70.47325,13.3743333333,33.0246666667,6.89308333335,4.52674999999
186.77,51.6820833334,63.5320833333,52.2170833333,27.9051666667,34.5566666667,34.6329166666,65.7490833334,20.948,36.5443333334,19.80125,19.9541666667
187.15,45.72825,60.6441666667,50.56025,25.4201666667,33.12325,28.4313333333,60.78425,15.0559166667,36.5546666667,23.5295,14.846
187.53,46.6815,60.69325,50.36875,25.22125,32.37475,28.31875,59.2919166666,10.1031666667,33.8496666667,24.04125,11.28325
187.91,44.7530833333,51.5430833333,49.3210833333,25.3085833333,34.3209166666,27.3458333334,49.01225,11.4814166667,37.6543333333,25.1235,15.5554166667
188.29,48.7778333334,49.6666666667,51.4998333333,32.0556666667,41.4999166667,30.8889166667,50.3888333334,19.6110833333,43.1668333333,31.9444166666,23.6666666667
188.67,43.7665,40.55125,46.3254166667,24.9343333333,34.6456666667,19.2913333333,39.6981666667,7.28349999999,34.64575,23.8189166667,12.5326666667
189.05,50.4936666667,48.0246666667,48.8271666667,30.9876666667,42.284,24.4445,45.5555,15.1853333333,41.17275,30.9259166667,18.58025
189.43,56.00225,53.26325,52.0396666666,36.18875,50.8741666666,31.6435,49.7085,22.0861666667,43.8810833333,34.67375,24.4173333334
189.81,56.3648333333,60.958,53.0185,39.1076666667,53.8714166667,29.1995,53.0184166667,19.8818333333,47.113,40.02625,29.65875
190.19,62.0370833333,65.27775,53.5714166667,43.9153333333,62.0369166667,29.8941666667,59.78825,24.6031666666,49.6031666666,41.6006666666,30.0925833333
190.57,58.3334166667,67.134,51.6355833333,42.7570833333,63.3175833334,27.8815,57.866,17.1340833333,47.6636666667,42.9905833333,24.7663333334
190.95,71.0105833334,73.4930000001,65.51425,46.2765,73.4929166667,32.6241666667,64.5390833334,26.064,56.4716666666,55.4963333333,31.5603333333
191.33,76.0784166667,80.3919999999,69.4119166667,51.2745,77.6470833332,39.41175,71.0784166666,35.294,60.3921666666,55.78425,35.1960833333
191.71,71.8445833334,79.7734166667,72.6535833333,52.9125,76.6988333333,39.725,68.8510833333,39.80575,62.3786666666,57.60525,38.9158333334
192.09,80.8219166667,97.8310833333,76.9405833333,50.2283333334,86.7581666666,31.39275,81.5066666667,33.7898333333,58.3333333334,59.01825,27.854
192.47,67.1361666668,94.0139999999,67.2535,41.3145833333,69.1314166668,21.7135833333,70.7746666667,17.2536666667,43.4271666667,49.76525,19.36625
192.85,80.9360000001,113.69875,82.3059166667,54.22375,84.8173333333,46.1186666666,91.7809166667,36.7578333333,61.4154999999,64.2694166667,36.5296666667
193.23,76.4103333333,110.128333333,85.3846666668,48.8461666667,76.282,42.5639166668,83.4615833333,20.2564166667,59.7435833333,57.56425,31.5385
193.61,75.909,120.0,95.4545833332,51.2120833334,73.1816666668,45.4545833332,79.6969166666,9.69683333334,68.6363333332,55.90925,36.3636666667
193.99,89.4307500001,135.366,117.47975,50.6098333332,78.86175,55.2844166669,92.4796666666,4.67483333332,75.4065833334,54.065,26.4225833333
194.37,108.33325,154.27925,144.144166667,71.1711666667,93.018,71.6216666665,106.75675,19.144,87.8378333332,75.0,47.07225
194.75,93.0554999999,104.419333333,108.207166667,64.1414166667,78.66175,64.5201666668,84.5958333334,38.7626666666,77.7775833333,64.8989166666,45.0758333333
195.13,81.1476666667,106.147583333,99.4536666666,61.7485833332,64.071,56.83075,80.4644166666,18.4425833333,69.6720833334,52.1858333333,28.1420833333
195.51,81.4103333333,106.41025,102.051416667,64.7435000001,66.41025,55.8975833334,80.8975833333,22.3075833333,70.6410000002,56.4104166667,40.3846666667
195.89,87.5816666666,109.804,107.189416666,67.9739166668,60.4576666666,63.562,90.8498333333,13.3986666667,63.0719999999,59.4771666666,32.1895833333
196.27,68.2539166666,91.0053333334,92.4603333333,65.0793333333,51.5873333333,55.9524166667,73.67725,14.9469166667,59.5238333332,50.5290833334,31.4815
196.65,82.1705,114.341083333,109.88375,75.3875833334,63.1782499999,79.4573333335,89.9225000002,18.41075,78.2945000001,53.682,28.6821666666
197.03,72.16975,86.6351666668,89.9369999999,66.824,46.0691666666,58.9621666666,73.7421666666,10.6918333333,68.0817499998,42.6101666667,17.9245
197.40,65.74075,91.852,96.4815000001,68.33325,45.5555833334,55.5555000001,83.1481666667,10.1850833333,59.2592499999,48.5185,7.03691666665
197.78,76.4284999999,102.85725,92.3809166666,66.1904166666,40.238,45.7143333333,105.476083333,4.28575,51.9047499999,59.52375,-31.6665833333
198.16,70.9220000001,94.5035833335,80.4965833334,66.844,45.0354166667,36.7021666667,95.5674166666,19.85825,47.51775,62.58875,-4.07808333334
198.54,80.994,97.3684166667,83.9182499999,71.4911666667,53.8011666667,45.1754166667,97.6608333332,33.1871666667,60.5263333333,70.1754166667,14.3275
198.92,67.7535,105.43475,64.8553333334,59.2391666667,27.355,24.4565000001,83.3333333333,13.9493333333,42.7535833334,55.0724166667,-3.44200000001
199.30,76.4583333334,105.0,67.7083333332,66.0416666667,24.3749999999,22.5,83.5416666667,14.375,39.7916666667,52.0833333333,2.49999999999
199.68,41.0416666667,71.8749999999,31.4583333333,40.2083333333,-6.45833333325,0.624999999925,49.7916666667,-22.2916666667,4.37499999993,21.6666666667,-24.5833333333
200.06,42.2618333334,83.5316666668,31.9444166667,37.3015833333,11.5080833333,-3.37291666668,45.0396666667,-9.92058333333,9.92066666667,26.3889166667,-12.1031666667
200.44,76.26275,139.898916667,60.101,52.7778333334,41.91925,14.8990000002,75.0000833334,17.4243333333,35.8585833332,57.5756666666,13.3839166667
200.82,91.6667500002,137.962916667,76.389,78.7036666667,59.0278333331,20.3703333333,92.1297500002,25.0000833333,40.2778333333,74.9999166667,25.4628333333
201.19,89.8550000001,134.057916667,88.2245000002,74.6376666667,82.2463333333,39.8550833333,94.5651666667,46.5580833333,56.3404999999,81.3405833333,47.1015
201.57,160.416583333,230.90275,144.097333333,101.04175,125.347333333,65.6250833334,147.916666667,66.3194166666,96.1804166668,125.0,80.5555000001
201.95,102.0,187.666666667,127.0,67.0,94.3333333334,57.6666666667,106.666666667,38.3333333333,64.3333333334,105.333333333,59.3333333334
