wavelength,Back_CorMelf,Belly_CorMelf,Breast_CorMelf,Crissum_CorMelf,Crown_CorMelf,DorTail_CorMelf,Patch10_CorMelf,Patch11_CorMelf,Patch12_CorMelf,Patch13_CorMelf,Rump_CorMelf,Throat_CorMelf,WingTip_CorMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,10.4166666666,0.0,2.08333333333,25.0,-2.08333333335,31.25,27.0833333333,45.8333333333,52.0833333333,62.5,27.0833333334,41.6666666667,47.9166666667
179.16,38.8889999999,250.000166667,138.888666667,94.4444999998,22.222,72.2223333335,127.777666666,150.0,133.333333334,133.333333334,27.7778333333,122.222333334,183.333333333
179.54,3.3335,57.77775,34.4445,21.1111666667,25.5555,11.111,48.8891666666,33.3333333333,14.4446666666,43.3333333333,18.8891666666,14.4445,12.222
179.93,-10.7143333333,15.476,3.5713333333,1.1903333333,-9.52383333335,3.5713333333,42.8571666667,36.9046666667,7.143,-7.143,22.6191666667,4.76216666666,26.1905
180.31,-27.2220833333,28.70375,18.5183333334,-28.8888333334,-39.6296666667,12.5925,38.5184999999,67.7778333333,34.8146666667,33.7038333333,-10.3703333333,-28.5185,-24.8148333333
180.69,-42.2916666667,27.7083333333,19.1666666667,-38.75,-57.0833333333,9.58333333335,41.2500000001,76.25,29.1666666667,30.4166666667,-21.25,-39.1666666667,-44.5833333333
181.07,-80.91375,12.0965833334,22.5806666666,-56.9893333333,-84.4086666667,12.9033333333,42.4731666667,97.3119999999,17.2041666666,18.8173333333,-28.4945,-61.2901666666,-69.3548333334
181.45,-110.333333334,-21.0,8.66666666665,-83.9999999998,-96.6666666669,26.6666666666,36.6666666667,122.666666667,2.66666666665,8.66666666665,-43.3333333333,-94.6666666667,-109.333333333
181.83,-442.708333334,-267.708333333,-112.5,-387.5,-389.583333333,50.0000000001,43.75,335.416666667,-89.5833333335,-143.75,-254.166666666,-364.583333334,-454.166666667
182.21,238.889,187.777583333,89.9998333333,211.111166666,171.111,-50.0001666665,12.2221666665,-150.0,25.5553333334,71.111,196.666666666,174.4445,301.111166667
182.59,143.468583333,130.405333333,80.1801666666,113.5135,92.7926666669,-2.70266666665,44.5944999999,-23.4231666667,45.9456666667,71.6216666665,121.621666667,93.2429999998,153.603666667
182.97,141.260166667,137.805,102.439,119.512166667,90.244,15.0405,42.2763333334,-7.72366666665,69.5121666667,69.1056666666,117.4795,84.5528333334,153.252
183.35,188.392666667,202.678416666,154.762,135.714,125.5955,11.9046666666,47.0236666668,-29.7616666667,84.5238333332,92.8571666668,166.666833333,95.2381666667,197.023666666
183.73,183.80975,174.76175,137.142666667,114.286,110.952333334,30.4763333333,60.9523333332,-10.476,76.6666666667,105.238166666,160.9525,84.7619999998,177.142666667
184.11,211.274333333,205.391833334,171.078333333,137.255,124.509666667,51.9606666667,87.7449999998,18.1373333333,106.3725,141.1765,178.4315,94.6076666669,212.745333334
184.49,186.507916667,184.126833334,145.634833334,114.2855,113.095166667,29.7618333334,88.4920000002,25.0,98.8093333333,132.9365,160.714166667,73.8095,184.9205
184.87,178.333333333,182.036916667,146.296333334,110.740833334,112.592666667,11.111,87.4073333331,23.7035,86.2961666667,130.740833333,148.5185,64.074,168.148333334
185.25,148.557583333,152.724333333,128.525666667,97.436,105.448666667,9.61533333335,75.0001666665,33.0128333334,90.0639999998,110.897333334,133.333333334,58.9743333334,156.730666667
185.63,141.53,145.90175,125.1365,100.819666666,105.737666667,20.4916666666,76.7759999999,45.6283333333,79.7811666667,109.5625,130.0545,57.1038333333,149.999833334
186.01,123.824916667,124.465916667,104.701,81.1963333333,89.5298333333,20.299,73.9316666667,39.3163333334,64.1025,93.8036666667,108.761,52.9915,120.940166667
186.39,128.735666666,120.115,103.448166667,88.5058333332,99.6168333334,27.5861666667,82.184,45.594,71.8393333333,104.023,105.364,69.157,116.475
186.77,119.411833333,114.117666666,93.3333333335,82.9411666666,93.7256666667,24.3138333334,75.4903333334,41.1765,70.1961666667,96.6666666667,95.8821666667,62.9411666666,112.549
187.15,97.3684999999,95.10225,73.5381666666,67.5438333333,78.2165,23.392,61.1113333334,37.1345,54.8243333333,79.2398333333,77.7776666667,53.8011666666,88.304
187.53,93.2171666667,88.1136666667,69.509,71.0595,72.8683333333,22.739,56.0725,39.2765,53.101,74.031,72.0931666667,49.4831666666,87.2093333334
187.91,90.7143333335,91.4284166667,71.3093333333,72.8571666667,70.238,21.7856666667,55.4761666667,41.0715,61.0715,71.6666666667,73.2145,51.3095,90.238
188.29,73.8409166667,81.8431666667,59.2716666667,58.4986666666,60.4856666667,10.5963333333,42.2738333333,30.1323333333,51.435,60.1546666667,60.9271666666,40.5078333333,72.296
188.67,76.10725,83.683,63.52,61.655,58.9743333334,7.69249999998,39.1608333333,25.8741666666,53.7295,64.1026666667,59.2076666667,40.2096666667,68.6478333333
189.05,68.919,79.7299166666,62.2746666667,59.1215,53.7163333334,13.0628333333,36.8243333333,25.3378333333,58.5588333333,58.5585,58.6711666666,36.7118333333,65.6531666666
189.43,65.5630833333,76.4349166666,59.713,55.0771666667,45.3641666667,9.27166666669,29.8011666666,17.4391666667,49.1171666667,59.8236666666,56.6225,30.6845,60.3751666667
189.81,65.7003333333,78.8044166666,56.6425,50.1206666667,40.942,3.26099999999,28.261,11.7148333334,53.9855,61.111,57.3671666667,28.9853333333,59.4203333334
190.19,55.3433333334,72.0739166667,46.565,45.1655,34.3511666667,-4.32566666667,18.8296666667,5.47066666667,54.3256666668,53.8166666667,51.6538333334,20.3563333333,53.6895
190.57,54.1666666667,74.66425,49.1935,43.9516666666,35.4838333333,-5.10750000002,16.5323333333,4.56966666667,58.4676666665,52.9571666666,55.242,12.0966666667,55.6453333333
190.95,52.8754166667,74.941,55.047,47.7698333334,44.4836666666,3.40366666665,26.0565,12.4411666666,55.0466666667,53.521,56.338,17.7228333333,55.7513333334
191.33,53.5626666667,75.1811666667,56.6425,44.686,45.1691666666,0.8455,30.9181666666,13.7681666666,57.7295,59.4201666667,55.0725,18.599,54.3478333333
191.71,46.5275833334,70.19675,49.1898333333,34.7223333333,40.5093333333,1.73616666668,29.1665,9.37516666669,52.7776666666,59.375,51.1571666666,17.4768333334,50.1156666667
192.09,37.14275,62.08325,39.2858333333,25.8331666667,30.9521666667,-4.28566666665,29.0475,3.09516666667,41.5476666667,54.9998333333,45.9525,7.5,40.9523333333
192.47,44.3263333333,62.76575,43.9715,30.9691666667,33.2151666666,0.827333333335,35.6973333333,9.4565,48.5815,62.057,51.1821666667,12.6476666667,44.2078333333
192.85,39.6354166667,56.40625,37.2916666667,25.4166666667,30.625,1.97916666668,33.3333333333,9.0625,43.125,54.6875,43.2291666667,11.0416666667,40.2083333333
193.23,46.65675,63.972,42.7146666667,30.04,37.525,8.1835,40.2196666666,12.974,45.8083333333,62.8741666667,46.2075,22.4551666667,45.609
193.61,47.3565833334,65.412,45.3403333333,35.5733333334,43.2795,15.681,46.2365,21.5053333334,48.3871666667,64.1576666667,48.835,28.5841666666,46.5951666667
193.99,41.1788333333,59.5935,42.195,36.1788333333,42.7641666666,17.8861666666,41.7883333333,22.1948333333,43.7398333333,57.4796666666,43.9836666667,26.8295,40.813
194.37,43.8021666667,64.1544166667,49.7486666666,38.9448333333,48.6598333334,22.8643333333,47.4875,28.4755,46.5665,61.9763333333,47.4038333334,29.7318333333,44.3885
194.75,38.3885833333,59.99175,47.1565,34.992,45.4976666667,21.564,44.4708333333,28.515,44.9448333333,57.9778333334,44.3126666667,29.4626666666,42.891
195.13,36.304,56.636,46.142,33.5648333333,41.0493333333,20.9875,44.0585,28.009,46.759,56.6358333333,44.1356666666,29.398,44.5218333333
195.51,33.0031666667,54.2078333333,41.9143333334,35.891,39.6865,20.7096666667,41.0065,26.32,46.8648333334,53.7951666667,43.5643333333,25.7425,46.2045
195.89,34.41125,54.8923333333,44.0298333333,39.3035,41.4593333334,19.1541666667,42.1226666666,30.4313333333,48.7561666666,53.2336666666,42.869,23.632,48.0098333334
196.27,33.5724166666,50.7576666666,42.823,37.7195,42.6633333333,20.1753333333,35.4863333334,27.6716666666,50.1591666667,49.0428333334,37.5596666667,24.2423333333,46.172
196.65,30.0160833334,47.3299166666,42.2331666666,34.0613333333,44.7411666667,20.4693333334,32.767,26.1326666667,47.9775,45.8738333333,36.1651666666,21.7638333333,43.6893333333
197.03,24.4959166667,42.8683333334,40.5426666666,31.2405,42.868,19.2246666667,30.6976666667,25.504,44.5733333333,43.0233333334,36.4345,18.3721666667,40.3873333333
197.40,17.55925,36.6495,33.8436666666,25.0853333334,35.8841666667,11.9046666667,24.1496666667,21.2585,40.0511666666,37.755,30.0168333334,9.52383333335,35.034
197.78,13.9481666666,33.7345,27.4513333334,20.321,31.7291666666,8.19966666666,20.2316666667,18.6276666667,38.1463333334,32.7985,25.8466666667,4.6345,33.3331666667
198.16,20.04275,41.3676666666,31.7095,23.846,36.752,12.393,24.701,24.7006666667,45.0426666667,37.9486666667,31.6238333333,10.2563333333,41.0256666666
198.54,26.5475833334,43.2540833333,33.2538333334,28.7301666666,38.2538333333,15.0,29.603,28.0951666667,46.5873333334,41.6665,35.476,14.8411666667,44.0475
198.92,23.3418333333,41.4483333333,28.8831666666,29.2321666667,35.2531666667,12.9145,25.829,24.6073333333,43.5426666667,38.4815,29.3193333333,7.0681666667,38.3941666666
199.30,14.9204166667,37.1755,20.3591666667,23.2536666667,28.8423333333,3.59283333333,16.1676666667,16.966,37.2256666667,31.6368333334,20.3591666667,-3.69283333335,29.3415
199.68,16.9964166666,36.8175833334,20.904,22.4106666667,27.1186666667,5.46133333333,17.1376666666,17.7023333334,36.2523333334,35.3106666667,22.1281666666,-0.8475,26.177
