wavelength,Back_PooHypm,Belly_PooHypm,Breast_PooHypm,Crissum_PooHypm,Crown_PooHypm,DorTail_PooHypm,Patch10_PooHypm,Patch11_PooHypm,Patch12_PooHypm,Rump_PooHypm,Throat_PooHypm,WingTip_PooHypm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,180.0,153.333333333,208.0,114.196078431,142.666666667,175.333333333,160.0,197.333333333,145.0,210.857142857,189.333333333,244.0
179.16,-46.6666666666,-66.6666666666,-6.66666666666,13.3333333333,-140.0,40.0,-53.3333333333,53.3333333334,-125.0,-93.3333333334,-106.666666667,153.333333333
179.54,106.363666667,212.7272,199.091,96.0784470588,124.2424,152.1212,216.363666667,78.7878666668,111.363666666,74.5453809525,110.606,94.2424666668
179.93,-224.4444,-263.333333333,-345.555666667,-167.450980392,-240.000066667,-323.8888,-297.777733334,-217.777866667,-154.166666667,-189.365057143,-198.888933333,-251.111133333
180.31,65.0793333334,-577.618999999,739.999999999,31.3351411764,-368.571399999,331.587366667,-451.269933335,-258.571333333,-278.769750001,-48.1178095232,196.190533333,562.539666667
180.69,522.083333333,1196.25,-138.333333333,369.705882353,898.333333333,298.958333333,1178.75,756.25,770.833333334,635.892857143,231.666666667,52.5
181.07,334.7368,606.9124,125.263133333,253.106254902,510.7368,289.263166667,629.754333333,382.7368,482.631666667,405.88472381,182.456133333,211.719266667
181.45,226.419733333,-82.9383,549.284,167.285411765,-1.5308000002,262.962933333,-23.2593333334,35.4566666666,22.0371666667,109.48152381,298.222266667,297.037
181.83,331.018533333,304.6298,472.592466666,273.447823529,272.499933333,379.444533333,320.9258,232.592666667,248.726916667,289.933885714,330.0,385.2778
182.21,308.170466667,288.965,388.023266667,257.774717647,266.7054,339.5466,292.984533333,218.782933333,252.839083333,281.401980952,295.465133333,339.7596
182.59,343.006533333,346.470433333,406.666866667,275.355545098,300.3922,373.333366667,343.529333333,245.098,274.019583333,313.893504762,326.274466666,391.5034
182.97,1315.27773333,1489.02776667,1536.8054,1132.55712157,1204.3056,1642.77773333,1501.52773333,773.611066667,1055.20833333,1357.55957143,1296.52773333,1784.5834
183.35,-129.516666667,-202.841666667,-165.55,-127.319607843,-156.233333333,-240.883333333,-209.683333333,-76.9666666666,-151.666666667,-177.802380952,-129.133333333,-238.85
183.73,-458.077933334,-657.878866667,-576.242333332,-397.271239216,-424.051933333,-827.567066667,-666.770599999,-247.636399999,-518.39825,-605.662304763,-476.121133334,-752.450266667
184.11,-81.6946,-156.8543,-123.5666,-73.3919098039,-91.7047333334,-210.715266667,-158.959933333,-31.4965999999,-112.157666667,-136.415828571,-104.566133333,-186.260866667
184.49,-49.3429333333,-103.6676,-81.8538,-44.6387960783,-63.8874666667,-143.087533333,-107.7366,-19.0747333333,-68.9157500001,-86.9296952381,-62.4674666668,-129.285066667
184.87,-1.38886666666,-42.1852666667,-22.8333333333,-10.4934862745,-26.9629333333,-62.8518000001,-44.6296666667,2.49986666666,-19.0278333333,-29.3120952381,-8.46293333326,-61.8517999999
185.25,18.8183333333,-9.91779999998,7.69366666666,5.13626666667,-7.13720000001,-24.6432999999,-9.18033333334,10.3382,0.685916666675,-3.21494285713,12.8324666667,-29.2845333333
185.63,25.3728,0.734,15.8987333333,5.55602352943,-3.04679999999,-15.7229333333,0.836599999994,8.50133333334,6.45216666665,2.7614095238,18.7937333333,-17.926
186.01,26.9374,-0.402800000014,17.5078666667,6.44879215688,-4.14373333333,-11.4649666667,-0.40153333332,5.59253333333,1.918,0.1348095238,21.2934,-20.3358666667
186.39,37.5061333333,8.67963333334,22.7771333333,14.9975137255,0.141600000014,-4.41766666668,4.47259999999,14.0034,11.9186666667,9.66592380954,28.7378,-14.3528
186.77,43.0082666667,20.1763333333,32.4865333333,26.2084823529,7.91840000001,4.11646666666,16.5362,18.3894,18.4364166667,18.4286285714,36.0007333333,-4.9732
187.15,44.666,23.7210666667,31.6832,27.4129607843,10.1218666667,9.46466666666,22.4178666667,19.5202,19.0475833333,22.8682,39.8007333334,2.8036
187.53,39.2556,19.0483666667,25.6552666667,23.1152901961,5.70360000003,8.98793333334,19.1886666667,13.3964666667,19.6829166667,19.3593714286,32.5464000001,-3.68913333332
187.91,39.5174,22.4507666667,25.8354,18.3902588235,0.98113333334,9.53899999998,20.0019333333,9.81486666666,17.3955833333,18.055047619,30.0491333333,0.09860000002
188.29,47.0980666667,22.3951666667,25.703,18.3967803922,1.13880000001,11.8777333333,18.3371333333,11.3261333333,13.65775,20.0351333333,30.4871333333,-4.39653333332
188.67,51.3094,21.0148666667,26.1968,23.5900078431,2.42493333334,10.9141333333,16.754,11.0210666667,16.4043333333,21.5294666667,28.9334666667,-10.2283333333
189.05,49.623,22.8273,27.9956666667,26.4807568628,4.25286666666,9.50663333332,19.8934666667,13.758,17.3201666667,22.6242,25.8524,-13.2912666667
189.43,48.7122,24.1908333333,25.338,26.8279647059,8.93853333332,9.9483,20.3533333333,15.7110666666,17.1399166667,22.7501904762,23.5026,-15.7601333333
189.81,41.9574666667,25.3509333333,16.7042,22.2157137255,5.2168,9.60966666666,15.263,15.9282666667,8.35633333333,17.7840952381,22.0836666667,-18.9682666667
190.19,39.62,25.8084666667,10.1902666667,17.1182588235,-0.816199999986,2.95876666668,7.54586666668,10.4702,-2.77308333335,9.94337142857,21.5952,-21.7692666667
190.57,35.1441333333,27.7365666667,6.54726666666,10.4564588235,0.272533333346,2.6756,8.77253333332,6.4798,-6.49483333332,8.18973333334,19.9256,-19.3017333333
190.95,31.8188,24.7142666667,8.20553333336,10.4477843137,5.58273333333,-0.59936666666,6.78740000002,9.11546666666,-0.6265,7.41930476191,15.8895333333,-16.3784
191.33,33.6196,27.6743333333,10.5992,13.2818666667,9.25913333334,-0.50923333334,6.16206666667,11.6296,2.36716666665,7.50295238096,18.6864666667,-21.2996666667
191.71,33.3271333333,26.777,7.17073333332,10.4547921569,8.01826666666,-10.1056333333,3.00200000001,7.65433333334,-5.61333333335,0.455114285774,15.9637333333,-29.0258
192.09,32.2846,21.7008333333,4.79046666666,10.1576392157,7.80313333333,-12.7436,3.92153333334,10.257,-3.01725,2.63158095238,15.1128,-34.3183333333
192.47,24.4046,18.2163666667,2.53273333332,7.64129411763,8.05706666666,-17.2486333333,4.46086666667,10.9458666667,-1.27766666657,0.4801047619,9.4646,-36.3836666667
192.85,18.1357333333,11.2584333333,-6.74613333334,-4.04814509804,-0.2142666666,-32.9105666667,-5.98133333335,2.32333333334,-10.7232500001,-10.0454857143,-0.67120000002,-51.1954666667
193.23,10.8459333333,2.40196666667,-17.4096666667,-10.6843568627,-1.9304,-46.1084,-16.6281333332,-4.48700000008,-24.8406666666,-20.3696952382,-10.6271333333,-66.8022
193.61,5.29913333332,0.68920000002,-28.4843333333,-15.5473882354,-14.9457333334,-58.5156333334,-26.9628666667,-20.5014666667,-34.1024166668,-30.4518952381,-15.7093333333,-70.98
193.99,9.18386666668,2.54346666668,-24.8690000001,-14.0124392156,-13.9205999998,-63.2242333333,-31.0587333333,-26.6254666667,-39.0026666665,-28.9298380953,-14.4829999999,-75.4067333333
194.37,15.2118000001,9.53713333333,-15.6084666666,-3.20426666652,-7.03706666674,-50.6746333334,-19.7354666667,-12.8042666665,-30.8530833333,-19.096657143,-10.1321333333,-72.2751333333
194.75,15.9484666665,8.74893333333,-12.0863333335,4.62031764712,-3.79906666668,-64.4167999999,-24.3288000001,-9.34340000006,-35.7719166667,-20.6537999999,-13.2371999999,-84.9217333333
195.13,2.60860000002,5.91323333334,-27.4530666666,-1.83657254889,-19.4223999999,-91.0851666667,-37.8706666666,-37.1579999999,-61.9726666666,-41.2600571429,-25.9377999999,-110.810933333
195.51,-9.99980000008,-2.4806,-36.0464666667,-14.532580392,-31.0853333333,-104.728566667,-44.1086666667,-51.9379999999,-69.7674166667,-55.6035333333,-41.3178000001,-116.666666667
195.89,9.27959999998,18.1165333333,-13.7626666666,4.29375294102,-9.45426666654,-72.1039000001,-24.3385333333,-18.6404666667,-44.1934166667,-31.2769904761,-16.8229333333,-88.2903333333
196.27,7.73659999994,25.9667,-17.6476,4.7599803921,-12.5302,-72.5064999999,-30.4857333333,-28.3778000002,-52.6310833332,-38.2219142856,-13.5174666667,-90.9205999999
196.65,9.22486666674,31.0624666667,-23.3247999999,4.80665490196,-12.0744666665,-74.3931,-35.0177333333,-33.4714666666,-65.6822500001,-40.7588571427,-8.6979333334,-99.7624
197.03,21.3360666667,46.7722333333,-8.39860000006,18.9073529411,7.06260000008,-47.9779666667,-14.2689999999,-6.63066666672,-50.5396666666,-24.9353809525,10.8861999998,-71.3766000001
197.40,14.0000000001,45.9544333333,-16.5726666667,14.317282353,-5.64273333346,-53.0974333333,-12.3860666666,-15.0590000001,-56.529,-31.4270952381,7.58533333342,-79.5327333333
197.78,33.7096000001,59.5009666667,0.0836,32.037337255,14.4984000001,-57.7427333333,2.07933333334,-1.5726,-62.2322500003,-16.1844190477,23.1087333333,-94.3938666667
198.16,29.9266,59.7552333333,8.01499999986,31.5026196079,12.7269333333,-43.7061333333,11.7006,2.2052666666,-39.4374999999,-15.3996666669,22.7815999999,-63.7288666667
198.54,23.6394666665,82.0681666667,-4.3876666666,24.7026078431,10.2482666668,-71.8979,7.5612000002,-18.6053999998,-56.8920833335,-40.9440285713,17.7822666668,-79.8639333333
198.92,13.8644000002,116.382766667,-22.1976666667,17.0039215687,1.5202666666,-140.338766667,-3.7729333332,-58.901,-110.164833333,-81.3213238097,13.1318666667,-142.380866667
199.30,103.194333333,156.6667,33.5648666668,55.3704431373,50.1852000001,-108.842533333,66.5045999998,15.4398,-46.7015,0.38033333334,59.9305333332,-130.486066667
199.68,-655.6202,-365.484466667,-464.108533333,-299.021886275,-348.837133332,235.891399999,-424.263533333,-257.286933334,-162.015416667,-493.050942857,-284.341133333,330.581333333
200.06,272.592666667,262.685133333,178.888866667,131.18734902,135.555533333,-168.472133333,218.981466667,48.5184666668,30.2082500002,165.396780952,181.203733333,-174.166666667
200.44,380.505066667,327.727466667,298.181666666,192.52522745,252.525200001,-210.908999999,353.636266667,62.4241333334,90.1515,239.855571429,236.262600001,-217.5756
200.82,164.638933333,198.708366667,134.2084,100.903666667,120.458333333,-84.2361,175.874933333,40.1249333332,15.1390000001,53.2262380952,154.597133333,-53.2499333335
201.19,28.7669333332,109.154233333,9.7134666668,6.29088235293,15.0322666665,-97.5557666666,50.5018,-38.7596666666,-46.8906666667,-57.8525523809,36.8601999999,-49.4338666665
201.57,-24.6032,115.037,-49.4496666666,-47.8338078433,-36.6348666668,-174.624433333,-22.6983999999,-108.8466,-112.61925,-165.20792381,-9.2909333334,-71.0476666667
201.95,-293.984866666,105.413533333,-311.3786,-288.244203922,-313.9098,-560.163033334,-268.471133332,-410.802000001,-454.229333334,-632.481219048,-217.594066667,-274.561533333
202.33,-36.6665999992,284.206433333,-63.4920666666,-86.8909137262,-117.619066666,-499.603066667,-75.9524666672,-259.285866667,-268.452333334,-417.777723811,7.0635333334,-225.158866667
202.71,183.8636,223.863666667,159.696933333,127.569054902,117.2348,-88.7120666667,123.181866667,24.4696666666,42.28225,27.0562952378,159.924266667,-7.9924
203.09,59.3594666668,106.745033333,36.3791333334,22.7288313725,18.8367333334,-90.6403666667,29.6601333334,-26.0260666668,-24.2320000002,-54.6031142858,41.8562666667,-46.5490666667
203.47,25.7323333332,80.9276666668,14.5411333334,-3.7586431374,3.8237333332,-129.5262,-1.3480666668,-52.1521333334,-48.1146666665,-90.8622571431,3.2698,-67.0202
203.85,-53.1119333334,34.5862333334,-54.6272,-68.1063764705,-69.8368666666,-183.6596,-72.6572666667,-114.626866667,-122.974916667,-179.109323809,-77.4941333335,-121.6784
204.22,-564.444533333,-202.3612,-573.888933333,-555.751705881,-582.083400001,-849.513933334,-607.916733333,-694.166866667,-746.354083334,-971.091342856,-634.861133333,-662.638866668
204.60,-479.068866667,-185.640266667,-505.587266667,-487.355231373,-523.047533333,-720.518500001,-536.571399999,-610.201066667,-607.460416667,-839.767038097,-571.153466667,-642.497533332
204.98,-750.113866667,-275.463433333,-767.479666667,-784.998525491,-776.455266666,-1026.42283333,-802.861866665,-918.926866666,-907.113833333,-1234.94079048,-888.845666667,-985.853666667
205.36,4231.11113333,1579.55553333,4156.00006667,4104.15679216,4039.55553334,5242.22226666,4235.55553333,4640.00006667,5186.66666667,6603.04773333,4834.66653333,5144.44439999
205.74,2.5925333336,90.8467333332,-47.9365999999,-80.0840901962,-59.6295333334,-190.635,-30.1057333333,-128.888666667,-66.7326666668,-198.556247619,-118.624466667,-223.8624
