wavelength,Back_GeoFulf,Belly_GeoFulf,Breast_GeoFulf,Crissum_GeoFulf,Crown_GeoFulf,DorTail_GeoFulf,Patch10_GeoFulf,Rump_GeoFulf,Throat_GeoFulf,WingTip_GeoFulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,10.0000000001,93.3333333332,76.6666666666,-103.333333333,-93.3333333334,13.3333333333,123.333333333,170.0,56.6666666666,-76.6666666666
179.16,-8.57146666666,26.6666,-10.9523333333,-28.5714333333,-1.42853333333,6.66666666669,31.4286,-11.4286,-4.76199999998,-20.0000666667
179.54,-79.3939333333,-50.303,-70.3030666667,-81.2122,-98.7878666667,-63.6362666667,-70.3030000001,-77.5757333333,-71.5151333333,-86.6666
179.93,224.4444,213.333266667,155.555533333,293.3333,284.4444,277.777866667,168.888933333,220.0,226.6668,242.2222
180.31,-41.2279333334,24.2106,-47.5439333333,-81.6667333334,-64.2105333333,-47.3682666667,-16.6666666667,-51.4036,-59.1228666666,-66.1403333333
180.69,-70.0901333333,8.46846666666,-72.0720000001,-105.765666667,-90.0901333334,-74.9549333334,-42.8828,-77.6576,-85.2252666666,-96.036
181.07,-86.8572000001,-2.8572666666,-90.8571333333,-124.8572,-99.6190666667,-86.8572000001,-65.3334666667,-102.0952,-105.904733333,-108.7618
181.45,-147.575866667,-10.3029333335,-149.0908,-203.485,-171.818266667,-136.060666667,-137.8788,-170.303,-168.787866667,-172.121066667
181.83,-182.381066667,9.5237333334,-231.904733333,-324.761833333,-249.0476,-195.238066667,-196.190466666,-264.761866667,-242.857266667,-249.5238
182.21,-124.583333333,41.6666666668,-177.083333333,-236.666666667,-179.166666667,-132.916666667,-141.666666667,-205.833333333,-162.916666667,-193.75
182.59,-458.666666667,42.6666666667,-573.333333333,-872.666666666,-714.666666666,-491.999999999,-564.0,-704.0,-533.333333335,-643.999999999
182.97,264.666666667,46.0000000001,295.333333333,481.333333333,422.666666667,258.666666667,319.333333333,380.0,310.666666667,383.333333333
183.35,216.842133333,85.9650000001,209.122733333,318.421,265.964933333,199.999866667,230.175466667,255.7894,224.210466667,265.9648
183.73,147.4358,71.0255999999,133.846133333,227.0513,183.846133333,142.051333333,153.3334,191.282133333,153.076933333,204.1026
184.11,136.989266667,79.9999333335,130.752733333,195.053866667,182.795733333,136.9892,161.2904,178.064533333,155.053666667,186.8818
184.49,129.4948,78.9899999999,127.2728,199.293066667,174.141333333,112.727333333,167.878933333,179.191933333,155.555533333,191.717266667
184.87,94.3858666665,60.3509333332,103.8596,166.7545,147.017466667,84.9124,129.824666667,141.052733334,122.2808,159.8246
185.25,69.1503333333,39.477,76.4705333334,123.7256,114.771133333,68.1045999999,94.2483333333,105.4902,95.2942,118.954133333
185.63,57.9874,35.0942,64.5284666667,109.6227,103.018933333,63.8994666667,84.6541333333,90.8176666668,83.6478,109.685533333
186.01,52.8813333334,27.7966666667,49.7175333333,85.7626333333,84.1807333335,55.9323333333,74.1243333333,72.9943333333,75.7063333333,94.3502666668
186.39,48.3688,7.51766666666,42.8368,91.8439666667,86.6667333333,49.3617333333,81.5602666666,73.9006666667,82.1276666667,90.2127333333
186.77,62.0833333333,-18.75,54.7916666666,126.041666667,106.458333333,49.5833333333,108.333333333,84.7916666668,103.75,115.0
187.15,58.0951333334,2.17686666667,53.7414666666,102.7891,84.3538666667,55.7823333334,88.8433999999,78.6393333334,85.1699333334,89.1156
187.53,52.8985333334,-5.94213333334,47.9709333333,94.9275000001,76.5217333334,45.7970666667,85.0725333334,75.9419333333,83.3331999999,82.7535999999
187.91,45.5346,-6.66666666668,47.7989333333,91.7609333335,70.0629333333,45.1571333333,76.6038000001,63.3961333333,76.3522000001,67.2956000001
188.29,47.4626,-0.49753333332,46.4677333333,75.4229333333,61.2934666667,41.1942666667,61.7909999999,55.1242666667,65.2736666667,61.194
188.67,48.3525333333,10.1915333333,43.1417333333,66.0535333333,61.6092,43.3716666666,57.7011999999,50.3448,56.2452666667,53.18
189.05,48.6195333333,14.3434,39.7306,61.4815666667,57.6430666667,44.7139333333,60.0673999999,51.7845333333,56.835,46.4646
189.43,49.5138666666,15.2084,38.7499333333,60.9374,52.4999333333,43.4027999999,63.0556,50.9721333333,53.8194666667,46.6668
189.81,44.9057333333,20.566,39.0564666667,55.4087333333,47.6101333333,43.0187333334,60.1887333334,49.8742,51.3209333333,42.3272666667
190.19,42.2857333333,20.7619333333,35.5555333333,50.9524666667,45.2697333333,40.1903333333,55.2381333333,44.7621333333,44.8254666667,40.127
190.57,46.5014,33.2230666667,42.1487333333,53.7464,49.1459333333,47.9891333333,61.3223999999,49.4215333333,50.854,49.642
190.95,49.3548,38.9247333333,43.6020666667,51.0752666667,50.215,52.2043333333,61.5591333333,52.3656,50.914,52.258
191.33,44.5098666667,33.3987333333,36.9932666667,41.3725333333,43.7908666667,45.5555333333,57.9086666667,44.3791333333,43.9215333333,45.2940666667
191.71,34.0503333333,28.6022666667,32.2582,30.8242333333,36.4158,43.2257333333,47.3119333333,37.1325333333,37.9210666667,35.0536666666
192.09,37.1212,44.7726,35.6818,27.5756666667,41.288,49.0907333334,51.8940666666,44.2424,42.4999333334,38.0304
192.47,22.8681333333,37.9846,20.1550666667,17.0930666667,28.6047333333,36.8991333333,45.2712666667,31.3178,31.1628,23.1006666667
192.85,-8.16086666666,19.5402666667,-5.4024,-20.8046666667,-1.49426666667,17.9308,29.3103333334,2.06899999998,13.9080666667,-4.13793333334
193.23,-104.367733333,-37.9309333333,-84.3677333333,-130.919633333,-83.6781333333,-45.2872666667,-31.2644,-74.7126666667,-54.4827333332,-84.8275333333
193.61,-124.000066667,-50.6666,-99.1111333333,-159.555533333,-89.5555999999,-57.3334666667,-52.4443999999,-94.0000000001,-72.0000000001,-103.555466667
193.99,-187.017666667,-83.5087333334,-149.473733333,-264.386033333,-121.052733333,-93.6842000001,-100.7018,-161.052533333,-94.3859333333,-158.245533333
194.37,-236.0784,-116.078266667,-196.862733333,-315.4901,-186.274466667,-109.803866667,-132.548933334,-201.568533333,-126.666733333,-213.333466667
194.75,-94.4446,-30.1851333333,-77.5925333332,-141.388866667,-79.2593333333,-36.6666666667,-61.4815999999,-82.7778666665,-47.0370666666,-96.4814000001
195.13,-60.7245333333,-3.76820000002,-50.5795999999,-86.6666333334,-43.0433999999,-11.3043333334,-35.6520666667,-47.1014666666,-21.7389999999,-65.3624000001
195.51,-61.8604,3.2558,-42.9458666667,-88.0619333335,-40.3100666667,3.7207333334,-33.0232000001,-40.3100666667,-22.4804666667,-66.8217333332
195.89,-28.6273333333,18.3006000001,-21.3072666667,-55.4902333333,-14.2483333333,24.4445333333,-5.49013333334,-18.3005333333,-3.13726666664,-28.1046
196.27,-39.1666,-4.88093333334,-39.0476,-73.0952666667,-35.8333333333,5.47626666666,-22.6192,-36.4285333334,-20.8332666666,-39.1666666666
196.65,-22.7159333333,15.5555333333,-15.5555333333,-55.8024666667,-23.5802,28.8888666667,-9.01233333324,-19.2592,-7.037,-23.2099333333
197.03,-45.4056000001,20.9008666666,-34.2344,-90.0902000001,-49.0090666667,38.7386666667,-33.8739333333,-38.1982666667,-25.9459333333,-44.1441333334
197.40,-24.359,26.6667333333,-23.0769333333,-54.5513333333,-32.6922666667,35.3846666667,-20.8974666666,-27.3076666667,-15.0,-18.9744666666
197.78,-58.9899333334,29.4950666667,-46.8686,-94.5454333334,-72.3233333333,42.2222000001,-51.9193333333,-49.8989333333,-39.5959999999,-55.5555333333
198.16,-43.3333333333,33.8333333333,-33.3333333333,-66.9166666666,-54.6666666667,48.8333333333,-23.0,-22.4999999999,-24.3333333333,-35.1666666667
198.54,-84.7618666667,35.9523999999,-70.9524666667,-111.9048,-97.1428000001,41.4286666666,-47.8570000001,-47.6189999999,-63.3333999999,-77.1429333334
198.92,-738.666666667,-105.333333333,-653.333333333,-858.000000001,-778.666666666,-52.0,-514.666666666,-526.666666667,-656.0,-660.000000001
199.30,1815.5556,511.1112,1375.55553333,1958.88883333,1706.66666667,400.000066667,1248.88886667,1333.3334,1337.77786667,1415.5556
199.68,-311.25,-80.0000000001,-234.166666667,-344.583333333,-312.5,-60.0,-211.25,-229.583333333,-222.916666667,-238.75
200.06,745.185133333,292.5926,600.740733333,795.555599999,771.111066667,319.999933333,530.370333333,593.333333333,650.3704,625.926066666
200.44,286.388866667,126.389066667,218.3334,275.972133333,301.111,106.666666667,181.666666667,226.666666667,259.166733333,251.388866667
200.82,338.181666667,165.7576,280.909066667,339.545466667,357.878866667,150.303133333,249.696933333,293.6364,323.6364,301.2122
201.19,1645.0,695.000000001,1430.0,1683.33333333,1776.66666667,580.000000001,1151.66666667,1345.0,1655.0,1480.0
201.57,-2433.33333333,-613.333333334,-1953.33333333,-2361.66666667,-2553.33333333,-326.666666666,-1390.0,-1653.33333333,-2410.0,-2120.0
201.95,-780.0,-132.2222,-663.333400001,-830.555533334,-810.0,-87.7777333334,-427.777866667,-547.777866667,-772.222200001,-661.111066667
202.33,639.047733333,86.6665999998,554.285666666,720.952500001,721.904600001,85.7143333332,378.095333333,527.619066666,676.190533333,569.523866667
202.71,-370.833333334,90.0,-307.5,-489.166666667,-445.0,48.3333333333,-160.833333333,-318.333333333,-395.833333333,-362.5
203.09,-671.666666667,293.333333333,-576.666666667,-914.166666667,-778.333333332,146.666666667,-278.333333333,-590.000000001,-768.333333333,-761.666666667
203.47,408.5714,-83.8096666667,427.619066667,602.857,518.0952,6.66667399969e-05,220.0,400.952266667,572.381000001,475.238066667
203.85,89.8989333334,-24.6464666667,88.6869333333,128.484933333,101.4142,-0.20193333332,40.0,76.1615333334,114.747533333,90.7071333333
204.22,81.6666666667,-86.6666666667,85.0,156.166666667,108.333333333,-51.0,37.6666666667,57.9999999999,113.0,97.6666666666
204.60,93.6362666666,-70.0000666667,86.6666666667,159.090833333,93.9395333332,-18.7878666667,63.3333333332,65.7576666666,93.9394000002,86.0606666668
204.98,60.6348666667,-22.3809333333,47.7777333333,86.7459666667,58.5714000001,-0.79366666666,30.9523333334,41.1111333334,53.6508666667,52.5397333333
205.36,44.111,-11.8888,27.2222666667,57.8888666667,46.3333333333,5.11106666666,23.5556666666,33.7778666667,33.4444666667,33.0
205.74,51.7332666667,6.48886666667,38.0444666667,66.4888999999,61.5109333333,19.7333333333,39.9999999999,47.0222666667,46.3110666667,48.7998666666
206.12,46.5852666667,4.39026666667,31.7886666667,55.6911,55.5284666667,14.3090666667,38.2114,45.5284,42.8455333333,44.5528666667
206.50,55.6321333333,16.3219333333,42.1456,65.0573999999,62.9118666666,23.7548,50.1148666667,51.6474666667,53.4865333333,52.2606
206.87,46.7936666667,15.8095333333,35.0477333333,53.6191,53.0793333333,17.2062666667,44.4446,40.0,46.1587333333,42.0952666667
207.25,53.9999333333,24.2423333333,40.6060666666,60.9698,63.9394666667,23.4545333333,53.9393333333,48.3636,51.394,45.9392666667
207.63,48.2443333333,25.3435333333,36.5904,55.3689,60.9671333333,25.0890666667,48.6004666666,43.8676666667,46.4630666667,43.7149333333
208.01,53.3334,31.603,43.8168666667,60.7125333333,67.5827333333,28.9566,57.1501333333,50.4834,53.1297333333,52.9770666667
208.39,51.9248,30.7041333333,42.8168,57.3005,62.629,28.2628,52.1596,50.3286666667,50.5633333333,50.798
208.77,52.8203333334,34.1452,46.8377333333,60.6196666667,64.5726,32.3932,53.8889333333,52.0513333333,54.2307333333,53.5896666667
209.14,53.7036666667,35.1852,47.1194,63.1893333333,65.2676,34.0742,57.0783333333,52.0987333333,54.6912666667,53.1275333333
209.52,52.5971333333,36.3189333333,46.8303333333,62.6381666667,64.7034666667,33.9059333333,58.2822,50.8384666667,54.8466666667,53.9467333333
209.90,47.2381333333,33.7142666667,42.4762666667,58.8952,58.3238,34.2476,52.8381333333,48.5332,51.2760666667,50.0570666667
210.28,44.4706,33.1372666667,41.2941333333,56.6274,57.1764,34.0784666667,50.5883333333,45.2549333333,49.8431333333,46.8627333333
210.66,42.456,33.9180666667,39.2982,52.9239666667,55.9844666667,34.5418666667,48.6550666667,45.0292666667,48.1480666667,46.8616
211.03,49.6339333333,41.2332,44.0076666667,58.8825666667,62.0423333333,41.1946666667,55.3757333333,52.6011333333,52.1386,51.9460666667
211.41,43.0951333333,36.5988,37.449,51.9897333333,52.3128666667,39.0136,48.1293333333,45.0340666667,46.7686666667,45.5103333333
