wavelength,Back_SalNigm,Belly_SalNigm,Breast_SalNigm,Crissum_SalNigm,Crown_SalNigm,DorTail_SalNigm,Patch10_SalNigm,Rump_SalNigm,Throat_SalNigm,WingTip_SalNigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,92.9293333333,104.040444444,95.9597777778,79.798,80.8081111111,100.820729167,79.798111111,83.8385555555,124.242444444,22.7271111111
179.16,48.148,49.3825555555,18.5184444442,-0.000111111099998,34.568,50.5401736112,24.691111111,46.9135555555,85.1852222223,-24.074
179.54,74.0740000001,7.40755555553,-77.778,-18.5185555555,7.40744444443,78.2408125001,-162.962888889,3.70366666667,181.481333333,-88.8888333333
179.93,-196.296333333,-85.1854444444,-62.9631111111,-96.2962222223,-88.8888888888,-220.601861111,-85.1853333333,-66.6665555557,-270.370333333,42.592611111
180.31,136.825222222,130.158555556,103.174555556,87.3015555555,116.190444444,158.13475,120.317444444,119.047666667,226.349333333,17.1428333333
180.69,113.213222222,100.300222222,84.0841111112,61.8618888888,87.087111111,130.574388889,98.4984444446,89.4895555556,196.396333333,-9.30933333334
181.07,120.538777778,91.9192222222,73.7372222221,62.6262222221,76.0943333332,135.353493055,101.01,84.8482222224,206.733888889,-13.8045555556
181.45,136.666777778,102.963,83.7036666668,83.7037777778,81.4815555556,151.435229167,110.370444444,93.3332222222,213.703777778,-5.55544444443
181.83,144.827666667,108.046111111,87.3564444444,94.636111111,90.8046666668,150.359145833,125.287222222,93.1033333333,217.624444444,-4.98066666667
182.21,187.301666667,150.264444444,116.402,116.931333333,105.291,179.19975,184.656111111,124.338666667,254.497333333,-15.0794444444
182.59,3822.22222222,2455.55555556,1977.77777778,1855.55555556,1211.11111111,3015.27777778,3300.0,2244.44444444,3866.66666667,-744.444444443
182.97,-4133.33333333,-2944.44444444,-1600.0,-2033.33333333,-722.22222222,-2993.75,-3377.77777778,-2277.77777778,-3455.55555556,1033.33333333
183.35,-625.396777778,-444.444444445,-165.079333333,-268.254,-60.3174444447,-442.75775,-417.460444444,-244.444555555,-466.666555556,155.555666667
183.73,-167.222222222,-109.444444444,13.3333333333,-24.4444444444,27.2222222223,-99.3402777777,-47.7777777777,-16.111111111,-113.333333333,117.777777778
184.11,-272.916666667,-200.694444444,-47.222222222,-84.7222222223,-43.0555555557,-192.578125,-90.2777777777,-77.0833333333,-177.777777778,77.7777777778
184.49,-531.944444444,-372.222222222,-102.777777778,-186.111111111,-106.944444444,-401.388888889,-95.8333333333,-129.166666667,-326.388888889,156.25
184.87,-577.777888889,-535.802444444,-160.493888889,-275.308888889,-243.209888889,-463.194701389,-114.814777778,-224.691333333,-420.987444445,40.7405555554
185.25,-145.238111111,-155.555333333,-15.4761111112,-48.8095555556,-63.4921111109,-126.860006944,-10.7142222221,-55.9523333334,-99.2063333333,29.5635
185.63,-22.5395555556,-24.9207777778,28.2538888889,17.619,7.93633333333,-19.4544305556,26.6667777778,12.8571111111,-4.127,44.0478333333
186.01,-0.955777777767,-8.72133333332,36.2007777778,29.0321111111,21.7443333333,-4.17395833333,33.6915555556,27.5986666667,13.9783333333,47.7298888889
186.39,12.4362222222,2.54833333333,45.362,33.5372222222,25.4842222222,2.5868125,43.0173333333,36.3914444444,19.368,50.4586111111
186.77,23.304,10.7177777778,52.4091111111,37.1682222222,32.5466666667,5.56167361112,52.2125555556,43.5596666667,23.009,55.7521111111
187.15,26.1157777778,15.1946666667,51.2822222222,36.1823333333,31.814,5.57953472221,56.79,47.1984444445,26.5907777778,51.8043333333
187.53,29.3847777778,16.8961111111,51.6986666667,39.394,30.7622222222,9.42941666667,58.3104444445,45.2708888889,28.8337777778,52.5252222222
