wavelength,Back_RamBref,Belly_RamBref,Breast_RamBref,Crissum_RamBref,Crown_RamBref,DorTail_RamBref,Rump_RamBref,Throat_RamBref,WingTip_RamBref
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,8.48473333334,12.1210666667,-15.1516,50.0,23.0302666667,3.33340000002,35.1515333333,30.3031333333,-5.45473333334
179.16,13.3332666666,-30.4761333333,-26.6667,-50.9523,-6.66666399985e-05,31.4285000001,1.90473333332,9.52380000001,-7.61900000001
179.54,10.9091333333,-3.63626666666,39.3941,-6.96973333334,7.87879999999,11.5151,4.24233333332,-1.21213333332,23.0303333333
179.93,94.1666666666,80.8333333333,32.0833333333,90.0,60.0,68.75,53.3333333334,55.8333333335,21.6666666666
180.31,2.17929868332e+15,2.81901453948e+15,1.19200387865e+15,3.83616275078e+15,2.43092025341e+15,2.19635777282e+15,2.46077366003e+15,2.38400775729e+15,9.5104423949e+14
180.69,290.2564,376.4102,160.512766667,495.641,316.410333333,287.9488,314.358933333,325.640933333,115.897333333
181.07,-1168.88893333,-1448.88893333,-650.000033333,-1887.77773333,-1086.66666667,-1097.77786667,-1048.88893333,-1160.0,-337.777666667
181.45,1713.33333333,1956.66666667,881.666666667,2683.33333333,1600.0,1695.0,1373.33333333,1740.0,279.999999999
181.83,616.6666,663.333266666,392.222366666,958.888966667,556.6666,589.444366667,476.666599999,613.333266667,133.333466667
182.21,-1186.6666,-1235.55553333,-877.777933333,-2010.00006667,-1206.66666667,-1116.66673333,-904.444333333,-1244.4444,-404.444400001
182.59,2330.0,2283.33333333,1628.33333333,3623.33333333,2316.66666667,2040.0,1793.33333334,2406.66666667,1010.0
182.97,-1198.33333333,-1023.33333333,-853.333333333,-1784.16666667,-1155.0,-1007.5,-843.333333333,-1065.0,-488.333333333
183.35,-380.666666667,-311.333333333,-270.0,-615.666666667,-400.0,-333.0,-254.666666667,-318.666666667,-120.666666667
183.73,562.857066667,476.1906,450.952499999,907.6192,611.4286,535.238066667,389.523733333,484.761866667,239.047666667
184.11,-2840.0,-2580.0,-2366.66666667,-5513.33333333,-3273.33333333,-2760.0,-1906.66666667,-2326.66666667,-566.666666667
184.49,152.777733333,158.333266667,158.1944,254.027733333,181.111066667,156.111033333,123.888933333,159.999866667,68.0555999999
184.87,142.028933333,138.550733333,165.942033333,256.231766667,194.492733333,145.941933333,115.652133333,156.2318,72.7536
185.25,79.8333333334,81.6666666665,97.4166666667,148.833333333,116.333333333,83.4166666665,74.1666666667,90.3333333333,45.0
185.63,91.6665333332,98.5714666667,106.6666,202.499933333,139.762,89.5238333333,95.2381333333,103.3334,46.9048
186.01,67.3171333333,78.6991333334,84.9595666667,147.967466667,106.9918,69.5121333333,75.4472,74.7967999999,37.5609333333
186.39,71.5278666668,86.5277333334,96.9444666667,141.25,111.388933333,80.7638,86.3888666665,78.3332666665,45.1388
186.77,49.6175333333,57.2678666667,77.7048666667,102.732366667,86.1201333333,57.9234999999,69.3989333334,55.5191333334,32.0218666667
187.15,27.9364666667,37.4604666667,57.1429,82.8570999999,67.6190666667,38.2541,52.2750666667,39.471,22.2222
187.53,39.9123333333,46.8420666667,58.9035333333,82.6756000001,68.6842666667,47.4560333333,56.8421333334,43.1578000001,30.351
187.91,48.4524666667,56.0714,74.0478666667,103.690433333,82.7381333333,52.0834000001,68.9285333334,44.5237999999,28.2143333333
188.29,40.2942,45.2941333333,56.9608,80.4410999999,71.9607333332,42.4509666666,56.0785333334,36.8628666667,22.3529333333
188.67,21.582,20.791,37.0622,63.3332666667,60.3388666667,19.8870666667,38.4180666667,11.6384666667,-0.903933333314
189.05,15.9748,20.6288666667,32.7672333333,62.7045,59.8741999999,19.3710666666,39.3710666667,1.38353333334,-7.29560000002
189.43,43.5220666667,45.6604666667,62.8301333333,84.7798000001,92.8302000001,43.5219333333,61.0063999999,24.1509333333,17.61
189.81,49.8084666667,48.7356666667,62.7586333333,68.8122,81.9157333333,50.2680666667,54.866,32.9501333333,35.0958
190.19,51.4285333333,46.5306,59.864,62.8231666667,81.4966,53.2993666667,51.6325333333,33.5374666667,35.5782
190.57,42.1687333333,33.5742,46.5862333333,51.9678333333,75.8232666667,42.5301333333,39.5984,19.3574666667,19.1966666667
190.95,40.0864666666,29.4372,40.5627333333,49.697,73.8528666667,37.5323333333,26.4934666667,12.6406666667,13.9393333333
191.33,38.5387333333,31.3242666667,44.2009333333,51.9178333333,75.1598000001,39.2237,27.4885333333,8.85853333333,10.0457333333
191.71,32.941,25.9803333333,42.5980333333,47.8432666667,75.6863333333,25.098,22.0587333333,7.94140000001,8.33333333335
192.09,20.4064666667,16.0975333333,33.0895,31.0568666667,62.4390666666,13.2519333333,13.9024,5.60973333333,7.96753333334
192.47,21.5788,10.8772,42.5,31.7105,62.1928666666,12.5876666667,9.8246,8.5088,10.4384666667
192.85,26.0513333334,10.7690666667,47.6411333333,36.7179333333,72.8205333333,8.71796666665,9.02573333334,4.82039999999,9.94880000001
193.23,32.1694,6.87833333334,50.9524666667,36.5079,74.3914666667,10.7937,9.41793333333,3.70373333332,10.3702666667
193.61,18.8234666667,-1.56866666668,41.4706333333,26.2254,59.0197333333,2.54906666666,3.33340000001,-3.82359999999,5.29420000001
193.99,-15.1516666667,-36.9696666667,28.5606,5.00013333332,52.4242000001,-37.8787999999,-30.0000666667,-35.1514666667,-31.0606
194.37,-39.4445333333,-63.8888666666,14.0741666667,-9.3519,28.1480666667,-82.5000666667,-54.8147999999,-61.8519333334,-57.5925999999
194.75,-6.66660000002,-21.7240666667,22.2412333333,6.78150000002,32.9883333333,-39.2529000001,-12.7586,-18.7355333333,-13.3331333333
195.13,-8.88906666668,-18.5185333333,24.6560333333,6.8253,29.7354000001,-29.1005999999,-2.0106,-11.8519333333,-9.418
195.51,6.46466666668,-6.66666666666,28.2324333333,15.7072666667,36.8686000001,-15.3535,1.1112,0.707000000008,4.74733333335
195.89,8.81726666666,-6.77420000002,27.5806,12.7957333333,39.6776,-4.83873333335,0.86033333332,-6.66673333333,4.19360000001
