wavelength,Back_ChrChrf,Belly_ChrChrf,Breast_ChrChrf,Crissum_ChrChrf,Crown_ChrChrf,DorTail_ChrChrf,Patch10_ChrChrf,Rump_ChrChrf,Throat_ChrChrf,WingTip_ChrChrf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-80.9525,-73.8093333331,-85.7143333333,4.76183333331,-7.14283333335,-28.5715,-57.143,-54.7620000002,-66.6668333331,-21.4283333332
179.16,-783.333333335,-516.666666666,-850.0,-516.666666667,-150.0,-683.333333331,-700.0,-900.0,-516.666666667,-533.333333335
179.54,-550.0,-366.666666666,-1050.0,-516.666666666,-583.333333334,-150.0,-966.666666667,-583.333333334,-650.000000001,-616.666666665
179.93,-11.111,-40.7408333333,-59.2595,-57.4071666666,-29.6296666666,-46.2961666667,-18.5186666667,-42.5925,-46.296,-61.1111666666
180.31,-90.6505000002,-129.674666667,-178.861833333,-100.812666667,-38.618,-73.1708333335,-86.992,-107.7235,-120.7315,-88.6176666665
180.69,-100.0,-169.369333333,-230.180166666,-122.972833334,-57.2071666667,-93.6936666668,-109.91,-124.324166667,-156.7565,-113.063
181.07,-62.0833333333,-138.333333334,-196.25,-100.416666667,-43.75,-73.7499999999,-85.8333333333,-91.2500000001,-135.416666667,-83.3333333335
181.45,-63.5416666665,-172.395833333,-240.625,-115.625,-59.375,-89.0625000001,-94.7916666667,-101.5625,-171.875,-102.604166667
181.83,-63.7255000002,-165.686166667,-218.137166666,-110.294,-42.1568333333,-96.5685000001,-66.6666666667,-88.2353333333,-149.509833333,-101.960833333
182.21,-35.5265,-126.754333333,-173.684166667,-66.2283333333,-14.4736666666,-53.0703333331,-44.737,-46.4911666667,-109.210833333,-64.9123333333
182.59,-23.148,-128.240666667,-197.222333333,-64.8148333333,-20.3705,-50.0001666668,-36.111,-46.2961666668,-114.351833333,-67.1296666666
182.97,-24.9998333333,-138.4615,-266.666666667,-79.4869999998,-33.9743333333,-79.487,-41.0256666667,-58.3333333335,-176.923,-87.8203333333
183.35,5.88216666665,-188.2355,-396.078333333,-99.9998333332,-44.1178333335,-117.647,-5.88233333333,-49.019666667,-249.019666667,-94.1176666668
183.73,11.9046666668,-233.333166667,-492.857166667,-102.381,-42.857,-152.381,30.9523333333,-25.0,-280.952166667,-111.904666667
184.11,37.1211666667,-135.605833334,-317.424166667,-60.6063333335,-36.3636666666,-82.575833333,25.7576666667,-17.424333333,-171.969666666,-76.5153333334
184.49,13.8888333334,-134.027833333,-311.8055,-59.7223333333,-74.3055000002,-97.2221666665,5.55566666667,-27.0833333332,-178.472333333,-77.7776666665
184.87,-0.00016666667,-80.7691666665,-270.512833333,-41.6666666667,-39.1025,-91.0256666665,32.0513333333,-26.9231666669,-135.8975,-52.5639999998
185.25,-23.8095,-90.4763333333,-348.412666666,-37.302,-42.0633333333,-119.841333334,68.254,-57.9363333335,-154.761833333,-90.4761666668
185.63,-15.1041666667,-60.4166666667,-235.416666667,-52.0833333333,-28.6458333334,-65.1041666667,57.2916666667,-30.7291666666,-99.4791666667,-60.9375
186.01,15.1511666667,-89.3938333334,-351.515,-50.7576666667,-37.1213333333,-93.9391666668,71.212,-40.909166667,-159.090666666,-68.9393333332
186.39,-16.666666667,-1108.33333334,-4075.0,-941.666666667,-750.0,-1550.0,633.333333333,-950.000000001,-2391.66666666,-1016.66666667
186.77,6.666666667,283.333333334,1520.0,313.333333334,326.666666667,633.333333334,-313.333333333,280.0,956.666666667,336.666666667
187.15,-46.154,117.9485,556.410333334,102.563833333,87.1793333331,194.871833333,-164.102666667,57.6925,330.769333333,69.2306666666
187.53,-125.0,58.3333333333,633.333333333,43.3333333333,76.6666666665,200.0,-263.333333333,35.0,363.333333333,-13.3333333335
187.91,-395.833333331,125.0,1445.83333334,-12.5,287.5,450.000000002,-575.0,83.33333333,850.0,-37.5
188.29,-38.5966666665,71.9298333332,371.929833334,21.9294999999,109.649166667,164.912333333,-63.1576666667,76.3156666665,223.6845,2.63166666665
188.67,-16.2036666667,37.4998333333,199.074,13.426,66.2038333334,95.3703333335,-23.148,44.9075,105.0925,16.2036666667
189.05,-29.1668333331,38.4258333333,187.037,1.85183333335,79.6293333333,77.7776666668,-31.4816666667,31.4815,98.611,20.8333333333
189.43,-34.2856666665,48.0951666667,188.5715,11.9046666667,93.8095000001,80.0001666665,-32.3806666667,32.381,106.190333334,6.1905
189.81,-25.6943333333,35.4166666667,126.388833334,-6.25016666665,66.3195,60.7638333331,-29.1663333333,19.097166667,77.7776666667,-11.1113333333
190.19,-36.0361666668,33.3331666667,138.738833333,-19.8196666666,97.7476666668,63.0631666668,-72.973,11.711833333,76.1260000002,-43.6936666667
190.57,-59.2591666665,22.8393333333,168.518333333,-77.1604999998,117.901333333,67.2838333335,-120.987666667,-14.1975,51.8516666667,-95.6788333335
190.95,-69.4444999998,24.4443333334,141.110833334,-73.3333333335,91.6668333334,55.5556666665,-94.4443333333,-26.6666666665,31.6666666667,-83.8886666668
191.33,-85.1191666668,1.1905,114.880833333,-106.548,76.7855,32.1428333333,-133.333,-38.0951666665,1.1903333333,-107.143166667
191.71,-69.3549999998,14.5163333333,126.881833333,-87.0966666666,90.3225000002,46.7741666668,-87.097,-36.0215,5.37616666665,-72.5808333332
192.09,-52.9913333335,11.1111666667,114.9575,-67.9486666667,76.0681666667,46.5809999999,-75.2136666667,-34.6153333334,7.69216666665,-49.5726666667
192.47,-53.8461666668,-7.69216666665,102.564166667,-81.1966666669,70.94,32.0513333334,-91.453,-55.1283333332,-2.56416666665,-53.8461666665
192.85,-77.0115,-31.6091666667,127.586333333,-119.540333333,58.0459999998,29.8850000002,-155.172333333,-88.5058333334,-9.1953333333,-94.2526666668
193.23,-47.2221666667,-21.2961666667,116.666666667,-57.8703333335,49.0743333332,48.1479999998,-111.111,-58.3333333334,4.62966666665,-64.3518333332
193.61,-51.984,-36.508,84.1271666669,-48.8093333333,31.7463333333,26.5875,-96.0316666667,-61.5081666669,-22.222,-61.1111666667
193.99,-53.4013333335,-41.8368333334,70.0678333335,-51.7005,31.9728333333,25.8505,-74.8296666667,-49.3198333335,-24.1496666667,-48.2995
194.37,-43.7853333333,-37.2881666666,53.3896666667,-40.9603333334,27.4011666667,22.5988333333,-53.672,-33.3333333333,-14.9718333333,-33.051
194.75,-27.23,-12.6761666667,56.3378333334,-11.0328333334,34.2723333333,28.6386666667,-31.925,-16.197,1.64316666665,-14.0846666667
195.13,-11.6438333334,-0.456666666665,64.8403333334,-9.58883333335,44.064,32.8768333333,-23.2876666667,-1.59816666665,6.39283333334,-8.219
195.51,7.5116666667,18.31,88.2629999998,6.57300000001,62.9108333333,58.216,-0.939,18.7793333333,27.2301666666,8.45083333335
195.89,8.67583333335,19.6348333334,79.2235,16.6666666666,59.3608333333,51.3698333334,-5.47933333333,23.7443333333,23.9725,7.7625
196.27,-14.0,-11.0,77.0,-11.3333333333,47.3333333333,42.3333333333,-34.0,4.3333333333,-2.66666666666,-19.6666666667
196.65,-24.7966666667,-25.2033333334,57.3168333334,-21.9511666666,32.9268333333,18.6993333333,-61.7886666667,-6.09766666665,-8.94283333334,-39.0245
197.03,-58.0646666666,-35.484,45.6988333334,-43.5483333333,52.6881666667,-6.98933333332,-76.3443333333,-19.3548333331,-27.957,-76.8814999999
197.40,-202.222166667,-98.8888333331,41.1109999999,-228.889,79.9998333333,-82.2221666666,-157.778,-95.5556666665,-123.3335,-247.777833333
197.78,-100.0,-7.57583333331,86.3636666669,-129.5455,92.4245000002,18.1818333333,-48.4846666667,-58.3333333335,-16.6666666666,-107.575833333
198.16,-108.333333333,-3.33333333335,86.6666666667,-142.5,92.5000000001,0.8333333333,-25.0,-84.9999999999,-37.5,-155.0
198.54,-47.7013333334,33.9081666667,105.747,-69.5401666666,95.4023333335,31.609,35.6323333333,-45.4023333335,-1.1496666667,-69.5403333331
198.92,-14.6463333335,37.8788333334,93.9391666667,-52.5253333334,111.616166667,42.9295,44.4443333333,-15.1515,11.6161666667,-36.3636666665
199.30,-11.2746666667,39.7058333334,88.2353333333,-26.4706666667,120.588166667,63.7255,59.8036666667,-0.9803333333,16.6666666667,-31.8630000002
199.68,-53.3333333335,-7.33333333333,53.3333333333,-92.6666666669,114.0,18.6666666667,25.3333333333,-64.0000000001,-50.6666666667,-101.333333333
200.06,-61.4583333335,-39.5833333333,70.8333333335,-197.916666666,148.958333333,17.7083333333,50.0,-154.166666667,-85.4166666667,-158.333333333
200.44,-6.6666666665,11.3333333333,50.6666666667,-75.3333333333,130.666666667,21.3333333333,86.6666666667,-56.0000000002,-14.6666666667,-86.6666666665
200.82,-58.73,-53.1746666666,-26.984,-192.0635,121.4285,-0.793833333315,93.6506666667,-123.8095,-106.349333333,-169.047666667
201.19,-66.0,-78.0,-62.6666666665,-182.666666667,76.0,-20.6666666667,76.0,-138.666666667,-106.0,-162.0
201.57,-82.0513333334,-120.512833333,-115.384666667,-185.897166666,50.0,-48.077,35.8973333333,-162.820666667,-117.948666667,-175.0
201.95,-372.222166667,-592.592666667,-590.740833333,-674.073833334,-31.4813333335,-375.926,-118.518333333,-590.740666667,-518.518333333,-683.333333334
202.33,-3266.66666666,-5900.0,-5550.0,-6300.0,-1016.66666666,-3733.33333334,-2000.0,-5416.66666666,-5016.66666667,-5750.0
202.71,190.972166667,307.639,320.8335,315.277666667,121.527833333,230.555666666,168.055666667,299.305666666,264.583166667,300.0
203.09,125.347166667,194.791666666,198.611166667,186.111333333,105.902833333,148.264,109.722333333,189.236333333,164.236166666,188.888833334
203.47,109.743666667,173.077166667,182.307666666,165.128333333,107.692166667,139.999833333,99.9996666667,171.794833333,148.461333333,161.794666667
203.85,109.649333333,182.748666667,200.000166666,164.035333333,103.216166667,138.011666667,85.965,181.578833333,150.584833333,164.912333333
204.22,133.673333334,207.142666667,241.156333333,182.313,113.265333333,162.585166667,91.8366666667,199.660166667,180.272166667,201.3605
204.60,147.222166667,228.125166666,262.847166667,198.263833334,134.722333333,174.652833333,113.194333333,215.277666667,200.6945,215.625166667
204.98,141.87,236.178666666,272.357833333,178.861833333,136.992,180.894333334,105.691333333,222.764166667,203.252166666,220.731666666
