wavelength,Back_HemRusf,Belly_HemRusf,Breast_HemRusf,Crissum_HemRusf,Crown_HemRusf,DorTail_HemRusf,Patch10_HemRusf,Rump_HemRusf,Throat_HemRusf,WingTip_HemRusf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,213.333333333,142.666666667,189.333333333,189.333333333,174.666666667,177.333333333,182.666666667,130.666666667,246.666666666,142.666666667
179.16,95.5554666666,81.7777333333,81.7778000001,100.444533333,85.7777333333,90.6667333335,93.3332666667,80.5926111111,94.6666666667,77.7776666667
179.54,111.579,100.701733333,96.1403333333,125.263,109.1228,118.245733333,103.859666667,98.479588889,114.385933333,103.1578
179.93,256.190533334,192.380933333,187.619,258.0952,242.857133333,225.7144,232.380866667,214.603211111,233.3334,206.666733333
180.31,152.4014,131.5412,125.304733333,154.265133333,150.179266667,151.828066667,139.211533333,122.8556,160.788466667,137.562733333
180.69,151.287066667,128.844933333,124.8184,151.947133333,152.4092,150.561133333,138.8778,122.464255556,160.924,137.7558
181.07,147.6012,128.286466667,122.741533333,149.096466667,153.894,150.030933333,137.071733333,121.8174,156.947066667,137.8816
181.45,141.357,125.5458,118.820133333,144.1888,150.678533333,145.427733333,132.743333333,120.029544444,151.504466667,134.159333334
181.83,135.072466667,119.014533333,111.536133333,134.6088,146.028933333,136.4638,124.695666667,113.8937,142.3768,128.289733333
182.21,126.436733333,114.310333333,106.954066667,127.7586,139.080466667,130.862,114.310266667,103.917577778,135.172466667,121.379133333
182.59,122.305266667,106.9782,101.3084,125.482666667,136.448733333,128.909666667,106.6666,97.8816000001,128.972,115.451733333
182.97,103.333266667,86.9893333332,88.2258666666,107.688133333,115.5914,110.752666667,89.5697333334,81.1558222222,105.0538,98.1720666667
183.35,98.3459333334,81.9548666666,86.6665333333,102.005,109.122733333,105.213066667,85.6643333333,77.6190666667,97.2931333333,92.2304000001
183.73,95.8686000001,81.8779333333,87.3708666666,98.7324666666,106.432,102.2536,84.2723333333,76.2206222222,94.6949333333,90.3285999999
184.11,94.5986,80.4866,88.6617333332,97.2749333335,105.644733333,103.746933333,82.5790666666,74.8336555555,95.5230666667,89.2456666667
184.49,94.6030666667,77.1428666667,88.1481333333,98.0951999999,106.3492,103.545,79.4179333333,70.2998,95.6085333334,88.3069333335
184.87,92.6230000001,75.082,85.7924666667,97.4318,102.076466667,103.005533333,75.7376000001,66.3479,92.9507333333,84.9726666667
185.25,87.664,71.4435333333,81.5221333333,92.0211999998,93.7532,97.5327999999,70.8662,63.5345111111,86.8766,79.6849333333
185.63,86.3912,69.4765333333,80.7714666667,89.9174000001,92.5618666665,98.3471333333,68.5950666666,60.7070555556,85.179,79.4489333333
186.01,95.8422,75.0538666667,92.8314666666,102.293866667,101.290266667,114.193733333,74.7670666667,62.0669,96.9175333333,87.8135999999
186.39,91.3856666667,68.0899333333,86.2171999999,95.0562666665,96.4044666666,109.138666667,71.3108,59.2508111111,93.4082,83.2957999999
186.77,88.2638,70.2777333333,86.6667333333,92.1527999999,92.2222000001,103.125,71.3194,59.9653111111,92.0834,82.2222
187.15,89.4902666666,75.1372666667,93.4118000001,96.7059333335,98.7451333333,107.529333333,72.0000666667,61.9870111111,100.2352,87.2156
