wavelength,Back_ChaEucf,Belly_ChaEucf,Breast_ChaEucf,Crissum_ChaEucf,Crown_ChaEucf,DorTail_ChaEucf,Patch10_ChaEucf,Patch11_ChaEucf,Patch12_ChaEucf,Rump_ChaEucf,Throat_ChaEucf,WingTip_ChaEucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,55.5555555557,-44.4444444443,5.55555555557,-22.2222222222,-44.4444444445,-5.55555555553,-66.6666666667,-30.2083333333,-22.2222222222,-5.55555555553,-50.0,-5.55555555553
179.16,-122.222222222,-177.777777778,-77.777777778,-255.555555556,-311.111111111,-155.555555556,-244.444444445,-90.2777777778,-144.444444444,-188.888888889,-277.777777778,-255.555555556
179.54,-88.888888889,100.0,66.6666666668,-211.111111111,-44.4444444447,-100.0,-233.333333333,-36.111111111,-88.888888889,-100.0,-100.0,-11.111111111
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,18.5184444444,127.777777778,161.111111111,-59.2592222222,44.4443333333,48.1483333333,-187.037,-50.0000694442,118.518555555,14.8148888889,-103.703555556,-25.926
180.69,0.0,151.111111111,162.222222222,-93.3333333332,15.5555555553,4.44444444457,-275.555555556,-83.8888888891,128.888888889,-13.3333333331,-160.0,-42.2222222222
181.07,25.0,184.722222222,134.722222222,-8.33333333343,75.0,59.7222222221,-134.722222222,-3.38541666656,140.277777778,31.9444444446,-37.4999999999,34.7222222222
181.45,38.889,174.999888889,112.037,31.4815555554,91.6666666668,68.5185555554,-62.0372222223,23.3218194446,141.666666667,65.7407777779,11.111,63.889
181.83,82.9059999999,199.145333333,129.914666667,74.3589999999,127.350555556,108.547111111,-10.2565555557,62.7136458332,188.888888889,105.128444444,58.9744444444,98.2905555556
182.21,105.555555555,172.839555556,119.135777778,87.0369999999,135.185222222,109.876666666,32.7162222223,73.4953749999,175.308666667,115.432111111,87.6544444444,106.790222222
182.59,80.5555555556,131.111111111,83.3333333334,69.4444444444,101.111111111,80.5555555556,19.9999999999,50.2430555554,144.444444444,86.6666666668,71.1111111111,88.3333333336
182.97,88.8888888889,130.555555556,79.4444444443,61.111111111,104.444444444,78.3333333334,24.4444444444,55.2430555557,130.555555555,73.8888888888,65.5555555555,93.8888888889
