wavelength,Back_SpoAmef,Belly_SpoAmef,Breast_SpoAmef,Crissum_SpoAmef,Crown_SpoAmef,DorTail_SpoAmef,Rump_SpoAmef,Throat_SpoAmef,WingTip_SpoAmef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-75.7574666667,-92.7272666667,-63.9394999999,-92.7273333335,-58.7878666666,-67.8789333333,-60.0,-85.4545333333,-90.9091333334
179.16,358.333333333,321.666666667,289.166666667,375.0,338.333333333,265.0,310.0,306.666666667,370.0
179.54,320.0,303.333333333,309.166666667,315.0,301.666666667,310.0,280.0,300.0,348.333333333
179.93,79.4871333334,82.564,59.2307,66.1537333333,68.2050666667,73.3333333333,90.2565333334,75.3845999999,77.9485333332
180.31,435.641066667,377.9488,340.384466667,390.2564,359.487133333,384.871733333,361.0256,347.1794,421.7948
180.69,508.0556,434.166733333,405.694333333,448.055466667,419.444466667,443.3334,425.000133333,400.833266667,493.055533333
181.07,303.650866667,249.682466667,246.2699,260.634866667,242.380933333,261.428466667,259.841266667,230.3174,288.888933333
181.45,366.274666666,299.4118,297.4511,309.019666667,280.3922,322.352866667,308.823533333,273.921533333,342.7452
181.83,409.677466667,326.881666667,322.150633333,325.806533333,302.3656,349.6774,325.8064,295.483733333,372.043066667
182.21,615.555533333,480.000133333,476.6667,485.396733333,444.444466667,519.047733333,458.095133333,444.127,554.920533333
182.59,674.736866667,507.7192,515.263233333,532.6316,485.614066667,557.543733334,501.052733333,484.9122,625.263133333
182.97,903.809533333,697.142733333,717.8571,734.285866667,668.5714,750.000066666,708.571466667,673.8094,860.952333333
183.35,4064.44446666,3059.99993333,3207.77786667,3295.55546667,2986.66673333,3382.22206667,3211.1112,2971.1112,3673.33326667
183.73,1819.0476,1414.28573333,1441.90473333,1445.7142,1299.99993333,1452.381,1443.80973333,1360.00006667,1598.0952
184.11,-3031.66666667,-2343.33333333,-2390.83333333,-2316.66666667,-2083.33333333,-2245.0,-2325.0,-2238.33333333,-2630.0
184.49,6116.66666667,4806.66666667,4818.33333333,4546.66666667,4086.66666667,4403.33333334,4540.0,4343.33333333,5180.0
184.87,1488.33333333,1174.16666667,1155.41666667,1098.33333333,956.666666666,1078.33333333,1100.0,1055.83333333,1243.33333333
185.25,3860.00006667,3117.77786667,2835.55546667,2753.33333333,2486.66666667,2737.77773333,2771.11106667,2664.4444,3142.22226667
185.63,1268.88893333,1003.70366667,920.000033333,865.925933335,795.555533333,872.592666667,903.703733333,854.074066667,1018.51853333
186.01,-5113.33333333,-3886.66666667,-3588.33333333,-3580.0,-3050.0,-3433.33333333,-3806.66666667,-3263.33333333,-4150.0
186.39,-893.939333334,-665.4546,-643.939466667,-632.1212,-559.394066667,-606.0606,-712.1212,-544.848533333,-753.333333334
186.77,-3355.5556,-2433.33333333,-2517.77773333,-2448.88893334,-2202.22226667,-2448.88893333,-2764.4444,-2040.0,-2873.33346667
187.15,1099.25933333,770.370333334,809.259166667,797.037000001,737.777866667,840.740666666,912.592600001,665.925933334,951.111133333
187.53,895.757600001,619.393866667,655.757466667,655.757533333,591.515066667,672.1212,773.9394,553.333333333,806.6666
187.91,803.030266667,555.151466667,630.303033334,600.6062,560.606,662.424200001,740.606066667,478.1818,758.787933333
188.29,382.4242,260.909066667,294.545566667,279.090933333,258.484933333,332.727266667,369.999933333,224.242466667,370.605933333
188.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.05,-6099.99999999,-3846.66666667,-4840.0,-4340.0,-4153.33333333,-5840.0,-6906.66666667,-2866.66666667,-6540.00000001
189.43,568.666666667,351.333333333,502.0,443.333333333,429.333333333,595.333333333,712.666666667,288.0,688.666666667
189.81,324.583333333,209.166666667,306.666666667,283.333333333,260.416666667,360.833333333,465.416666667,161.25,424.166666667
190.19,224.3138,134.509733334,226.470666667,200.392133333,185.8822,262.745133333,376.4706,78.0392,323.5294
190.57,99.2592666667,49.6296666667,106.0493,89.8765999999,75.0618000001,133.580133333,197.777866667,23.7036,144.1976
190.95,95.0000666666,61.9444666667,103.472133333,80.0000666667,72.7777333333,126.666733333,210.0,14.7221333333,129.166533333
191.33,76.4704666667,41.1764,113.137433333,83.1371333331,56.4706000001,111.764733333,253.333466667,-43.1371333333,117.255
