wavelength,Back_GeoMagf,Belly_GeoMagf,Breast_GeoMagf,Crissum_GeoMagf,Crown_GeoMagf,DorTail_GeoMagf,Patch10_GeoMagf,Rump_GeoMagf,Throat_GeoMagf,WingTip_GeoMagf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,57.9761904762,27.9166666667,26.6666666667,22.9166666667,57.9166666667,45.2083333333,27.9166666667,38.3333333333,22.5,36.0416666667
179.93,48.9115476191,34.9999333333,29.0475666667,49.0476,57.1428666667,70.2380666667,45.238,44.7618666667,63.3332333333,29.5239
180.31,58.9761904762,16.5833333333,8.25,39.9999999999,85.8333333333,105.166666667,38.9999999999,45.0000000001,57.5833333333,41.1666666667
180.69,70.4638619047,18.3759666667,21.9658666667,53.3333999999,98.2905999999,117.1794,48.3762000001,49.7436,70.6837666667,49.4016000001
181.07,89.0638952382,20.2300666667,21.1494666667,53.1034000001,114.942533333,157.2414,46.2069333333,67.1264000001,81.4942666667,48.9656333333
181.45,276.017228572,18.7879666667,49.6970666667,153.333266667,322.424266667,435.1516,114.5456,159.394066667,237.8787,108.484833333
181.83,1581.42857143,350.000000001,508.333333332,1210.0,1896.66666667,2671.66666667,820.0,1060.0,1761.66666667,831.666666668
182.21,-328.465785714,-28.148,-72.5926,-220.000066667,-399.2592,-554.814866667,-153.333466667,-204.4444,-361.111033333,-149.259233333
182.59,-61.4457095237,34.4048666667,-3.92866666672,-38.0952666667,-106.4286,-143.5714,-26.9048,-32.8570666665,-84.0475,-10.4762333333
182.97,-47.5806,42.6126999999,-0.45046666666,-25.7656666667,-82.7027333332,-100.180266667,-22.5225333333,-23.7837333332,-66.9369666667,-8.46843333335
183.35,-60.735795238,30.0000666666,-12.9292666665,-42.8283333335,-95.5555333334,-130.4042,-26.8688666667,-39.5958666666,-74.8485,-8.5858666666
183.73,-56.7168047619,17.7193000001,-22.1931,-31.4034666666,-91.2281333334,-115.438533333,-19.9998666667,-38.9473999999,-58.6843,-2.36843333333
184.11,-92.2832809524,-4.44453333338,-62.1364666665,-63.9316,-117.948666667,-143.0768,-52.4786666667,-65.47,-89.9144666667,-45.1281
184.49,-95.2226714286,28.9247333334,-63.2258333332,-54.1935333333,-115.053666666,-143.440733333,-50.9676,-63.0107333333,-91.0754,-21.1828
184.87,-191.708761905,49.0195999999,-110.7843,-100.392133333,-237.647,-293.7255,-88.6273999999,-142.745066667,-160.196,-31.7646333333
185.25,389.04762381,56.9697,291.212233333,286.0606,491.515133334,568.7877,267.272733333,323.636266667,389.090866667,167.8789
185.63,129.380952381,44.8333333333,104.5,115.5,159.833333333,180.583333333,99.3333333335,120.0,135.416666667,64.3333333334
186.01,103.549876191,1.5152,74.1413666667,88.6867333335,136.767533333,165.555566667,70.3030666667,91.1111333335,111.818166667,19.2929333332
186.39,79.7978809523,-13.0304000001,58.4849666666,70.3030666667,111.111066667,139.696966667,48.2827333333,75.7576666667,92.3233000001,0.0001
