wavelength,Back_NesAcuf,Belly_NesAcuf,Breast_NesAcuf,Crissum_NesAcuf,Crown_NesAcuf,DorTail_NesAcuf,Rump_NesAcuf,Throat_NesAcuf,WingTip_NesAcuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,27.0833333333,78.125,52.0833333333,14.5833333334,54.1666666667,-22.9166666667,20.8333333334,7.29166666665,37.5
179.16,550.0,-66.6666666665,-8.3333333335,666.666666667,316.666666667,316.666666667,450.0,491.666666666,49.9999999999
179.54,150.0,55.0,140.0,276.666666667,76.6666666668,193.333333333,113.333333333,201.666666667,66.6666666667
179.93,-50.0,375.0,454.166666666,608.333333333,141.666666667,375.0,333.333333333,377.083333333,258.333333333
180.31,42.5925,-146.296333333,178.703333333,650.000166667,-11.1111666665,429.6295,196.296166667,434.259333334,22.2221666665
180.69,-4.05153375565e+14,-1.09817888641e+15,5.01110753993e+14,3.77432355135e+15,-4.69124961185e+14,2.07907653252e+15,4.4780109931e+14,2.42558928794e+15,-3.83829513694e+14
181.07,-13.3333333335,-81.6666666667,166.666666667,705.0,20.0,375.0,115.0,528.333333333,83.3333333333
181.45,-35.8975000001,-55.7695,137.8205,542.307666666,1.28216666668,251.282166666,80.7695,419.2305,124.358666666
181.83,-633.333333335,-708.333333333,258.333333333,3108.33333334,-350.0,974.999999999,-8.333333335,2208.33333333,925.000000001
182.21,-143.75,-304.166666667,-55.2083333335,672.916666667,-172.916666666,116.666666667,-125.0,470.3125,162.5
182.59,-64.1666666667,-97.9166666667,-42.9166666665,260.833333334,-68.3333333333,40.0,-47.4999999999,176.458333333,79.9999999998
182.97,-225.925833333,-297.22225,-109.259333333,577.777666667,-133.333333333,155.555666667,-170.370333334,300.925875,105.5555
183.35,406.666666667,693.333333334,251.666666667,-970.0,283.333333333,-236.666666666,386.666666667,-508.333333333,-280.0
183.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.11,386.111166667,662.50025,391.667,-602.777666667,280.555666667,-127.778,402.777666667,-356.944458333,-172.222166667
184.49,81.6666666668,370.0,215.0,-421.666666667,91.6666666665,-131.666666667,180.0,-254.166666667,-130.0
184.87,70.833333333,-947.916666667,-437.5,1075.0,-195.833333333,495.833333333,-125.0,650.0,316.666666666
185.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.63,-216.666666667,1444.44466667,594.4445,-1261.11116666,255.5555,-577.777666666,105.555666667,-123.611166667,122.222166667
186.01,-33.3331666667,345.833333334,109.722333334,-273.611,25.0,-147.222166667,-15.2776666666,-14.9303333335,90.2778333331
186.39,-28.9855,163.406,67.0288333335,-162.319,-11.594,-96.3766666668,-39.855,0.7247083335,45.652
186.77,-47.8493333333,100.806583334,56.1828333335,-141.9355,-31.1828333333,-76.8816666667,-34.9463333333,1.4784166667,23.1183333333
187.15,-78.7356666667,65.2299166665,33.6209166665,-180.459666666,-63.2185,-80.4598333333,-78.161,-15.5170833335,-14.3676666667
187.53,-71.2121666667,43.9393333333,26.26275,-150.0,-41.4141666667,-66.1618333334,-59.596,-1.2627083333,5.05066666665
187.91,-40.8601666667,69.8923333335,63.7096666665,-146.236666667,-8.602,-37.0966666667,-37.0966666667,29.7042083331,47.8491666666
188.29,-277.777833333,-11.8056666665,-64.5830833335,-547.222166667,-200.0,-229.1665,-258.333333333,-71.8750416665,-88.8888333334
188.67,-110.3175,7.14275,-15.47625,-276.1905,-68.2538333334,-41.2696666667,-102.380833333,-2.182416667,-62.6986666666
189.05,-247.777666667,-98.3334166666,-119.4445,-481.111166667,-235.5555,-151.111,-208.888666667,-51.1112083334,-247.777666667
189.43,-1137.5,-822.916666667,-662.5,-2154.16666666,-1087.5,-683.333333334,-1033.33333333,-576.041666668,-1191.66666667
189.81,638.888833333,659.72225,348.610916667,1383.33333334,708.333333333,436.111166667,677.778,343.055416667,866.666666667
190.19,138.738666666,140.315166667,80.1803333334,254.054166667,128.828833334,109.909833333,136.486666667,86.4865,186.035833334
190.57,149.494833333,143.68675,67.67675,269.696833333,122.222,104.545333333,129.798,79.0402916668,208.585833333
190.95,157.143,133.92875,59.8215833333,286.904666667,120.238,89.8810000001,142.261833333,66.8155416667,241.071666666
191.33,123.5295,100.000083333,42.4018333333,223.5295,82.8431666667,80.8821666665,95.098,56.7400833334,200.49
191.71,101.938,84.8836666667,31.2016666667,177.5195,81.7830000001,56.5891666667,78.6821666667,50.1938333333,171.705333333
192.09,122.548833333,91.6666666667,45.2613333333,170.915,104.248333333,79.0849999998,95.7516666668,64.8692916666,183.659833333
192.47,98.6395000002,75.8503333333,13.0954166667,150.000166667,81.9726666667,56.4625,74.4900000002,43.4524583333,150.6805
192.85,82.0105,63.88875,11.90475,124.8675,75.6615,58.73,64.5503333333,35.6482916666,120.635166666
193.23,73.1883333333,51.08725,-26.4495833333,132.246333333,64.1305,39.4928333333,47.8261666666,25.2717083333,128.260833333
193.61,89.6549999998,43.6781666667,-68.3909166665,150.574666666,91.9540000001,44.2528333333,44.2526666667,-1.14933333333,183.908166667
193.99,218.0555,73.61125,-140.277833333,352.777833333,173.611166667,118.0555,90.2778333335,-2.083125,423.611333333
194.37,-966.666666669,-145.833333333,1237.5,-1616.66666667,-875.000000001,-200.0,-525.0,300.0,-2200.0
194.75,286.666666666,136.666666667,-120.0,421.666666667,266.666666667,170.0,235.0,30.4166666667,496.666666667
195.13,181.746166667,121.82525,-8.33333499983e-05,221.428666667,169.047666667,130.1585,147.619166667,41.468375,284.127
195.51,566.666666667,330.0,-296.666666667,630.0,503.333333334,213.333333334,496.666666668,-150.0,973.333333335
195.89,1141.66666667,866.666666667,-787.5,1208.33333333,1025.0,400.0,1233.33333333,-504.166666667,2400.0
196.27,661.111166667,766.66675,-255.555583334,533.333166667,616.6665,300.0,827.778000002,-222.222375,1683.33316667
196.65,-187.037,-269.4445,66.6668333335,-96.2961666665,-238.888833334,-101.851666667,-272.222333333,104.166791667,-577.777833333
197.03,-18.9813333334,-45.1389166666,36.1110833334,23.148,-36.1111666666,15.278,-45.8331666667,59.6065416667,-116.2035
197.40,-10.1626666667,-32.9265,33.5366666666,32.9266666667,-20.3253333333,29.2683333334,-44.7153333333,42.1748333333,-97.9676666668
197.78,5.702,-28.9470833334,46.9299166667,39.9123333333,-7.45633333331,22.807,-38.1578333333,57.2367083333,-102.193
198.16,-33.3333333333,-56.25,43.74975,52.3806666667,-44.6428333333,21.4285,-69.6428333333,59.8212916666,-148.214333334
198.54,-4.04066666667,-4.293,52.0204166667,84.8484999999,-10.1011666667,45.9595,-33.3333333333,75.7575416666,-88.3838333333
198.92,18.9918333333,11.628,47.6745,101.162666667,3.876,62.403,5.03883333335,62.5001666667,-44.9611666667
199.30,33.3333333333,32.9060833333,55.55575,123.931833333,21.3675,81.1964999999,9.4016666667,59.40175,-33.7606666667
199.68,24.6911666667,26.5431666667,28.08625,149.382666667,0.6175,102.469166667,-1.23466666665,48.302375,-61.1109999998
200.06,41.6666666667,40.5556666666,36.3888333334,136.111166666,34.4445,112.777833333,7.22233333335,64.3055416667,-38.3335
200.44,60.6666666667,61.3333333333,45.3333333333,162.0,38.0,155.333333333,4.66666666665,90.3333333335,-20.0
200.82,71.875,89.5833333335,52.6041666667,268.75,79.1666666668,228.125,-3.125,116.927083333,-4.1666666665
201.19,-63.8890000001,-58.3331666665,44.4444166665,-558.3335,-108.333166667,-369.444333333,183.333166667,-72.9169166667,180.555666667
