wavelength,Back_ParCapf,Belly_ParCapf,Breast_ParCapf,Crissum_ParCapf,Crown_ParCapf,DorTail_ParCapf,Rump_ParCapf,Throat_ParCapf,WingTip_ParCapf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-92.5926666664,-44.4443333333,-42.5926666667,-59.2591111112,-66.6666666667,-22.2222222222,-11.1111111111,-29.6294444444,-48.148111111
179.16,-71.4285555554,-53.9683333333,20.6348888889,-9.5237777778,-14.2857777778,23.8094444444,-11.1108888889,-42.857,-28.5714444445
179.54,229.629777778,185.185222222,151.851666667,222.222222222,240.740888889,162.963111111,174.074111111,414.814888889,181.481555556
179.93,22.222111111,48.1481111111,90.7406666668,59.2592222223,24.074,116.666444445,75.925888889,16.6666666667,53.7036666667
180.31,590.476333334,655.555555556,206.349111111,542.857111111,523.809444444,200.000111111,350.793666668,684.127111111,523.809555555
180.69,-516.666666665,-562.963,27.777777778,-466.666555556,-431.481444445,11.111111111,-222.222111112,-622.222222222,-412.962888889
181.07,870.370333335,1114.81488889,-277.777777778,874.07411111,885.185000001,-111.11122222,366.666777779,1125.92588889,762.963111111
181.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.83,-655.555555554,-1377.77777778,811.11111111,-666.666666667,-1038.88888889,355.555555557,-133.333333332,-838.888888889,-600.0
182.21,-333.333333333,-1205.55555555,916.666666668,-416.666666668,-794.444444442,250.0,138.888888889,-577.777777779,-394.444444446
182.59,261.111111112,727.777777777,-458.333333332,288.888888889,486.111111111,-22.2222222233,-25.0,391.666666667,272.222222221
182.97,132.716,213.580222222,-34.5677777777,81.4815555554,185.185333334,35.8024444446,53.0864444446,153.086555556,108.642
183.35,103.267888889,165.359444444,-80.3921111111,13.0718888889,152.941333333,-33.3333333333,4.73695157173e-15,141.830111111,62.7452222221
183.73,-366.666666667,-494.444444445,1416.66666667,600.0,-500.000000001,1111.11111111,644.444444443,-577.777777778,150.0
184.11,41.1763333334,42.4835555556,258.169888889,158.823333333,42.4834444446,235.294111111,173.856222222,38.562111111,99.3464444443
184.49,86.9136666666,75.5554444445,171.851777778,130.864222222,83.4567777777,161.234666667,124.938222222,81.7282222222,99.0123333332
184.87,108.401111111,85.9077777778,184.823777778,153.387666667,93.2248888889,173.441555556,149.051333333,97.2899999999,114.905222222
185.25,101.318111111,85.6873333333,142.372888889,131.638444444,91.1486666666,145.009444444,120.903888889,85.6874444444,101.129777778
185.63,133.333111111,119.806777778,193.719777778,171.014666666,116.183666667,188.647333333,168.115888889,114.009666667,134.058
186.01,137.606888889,118.376111111,183.333333333,163.461555556,115.812,188.461444445,167.948777778,113.034111111,135.042666667
186.39,155.555555556,137.555555555,207.333333333,188.444444444,130.888888889,214.666666667,191.777777778,128.666666667,152.666666666
186.77,187.242888889,174.897,226.337444444,212.962888889,157.613222222,233.333222222,214.403333333,159.053444445,179.423888889
187.15,170.776,162.861444444,198.021333333,185.540444445,149.010666667,197.717111111,186.910222222,152.054777778,166.971
187.53,163.006555555,154.509777778,183.790777778,167.058777778,141.045777778,186.797444445,173.594888889,143.529333333,150.849777778
187.91,185.091444445,175.105444444,207.173111111,187.904333333,162.728444444,212.799111111,197.468333333,165.682333333,167.651222222
188.29,175.193888889,174.935333333,198.062,179.974,163.824444444,203.359222222,192.506444444,160.206777778,167.441888889
188.67,171.728333333,175.802444444,195.432,173.21,157.901111111,193.333222222,191.851888889,155.802444445,167.531
189.05,163.555555555,166.444444445,183.555555556,164.666666667,153.888888889,185.333333333,179.333333333,150.777777778,161.555555556
189.43,191.085222222,196.77,222.609666666,195.219666666,186.046666667,220.542666667,213.049111111,176.356555556,191.989555556
189.81,173.375333333,183.333444444,202.830111111,176.100555556,177.463444444,199.790555556,192.033555556,161.111,176.939222222
190.19,170.403222222,182.497666667,199.213222222,172.074555555,177.384333334,193.215555555,184.365777778,160.668666667,174.926222222
190.57,152.381,164.411,175.020777778,149.289888889,159.649222222,171.846222222,159.231555555,146.616666667,156.808777778
190.95,134.731444445,144.076555556,155.776333333,129.948555556,142.237,152.097111111,140.838888889,129.948333333,141.206666667
191.33,133.062555555,140.379333333,153.726222222,126.829333333,141.260111111,151.829222222,140.108222222,128.590777778,140.379444444
191.71,125.301333333,133.333333333,146.988222222,121.686666667,135.274555555,141.164777778,136.010777778,125.435,136.68
192.09,114.501,120.024888889,133.647111111,107.407555556,121.092333334,127.181444444,122.410666667,110.608888889,124.921444445
192.47,121.188777778,124.354111111,136.628,111.821444444,124.160222222,129.522,126.292,112.080111111,128.294555556
192.85,138.600222222,139.610444444,152.886,127.272777778,143.217888889,146.608777778,144.083666667,130.808,143.795111111
193.23,145.793777778,149.999888889,165.952333333,135.714222222,152.539555555,152.619,152.936444444,137.619111111,152.222333333
193.61,129.951555555,134.782666667,145.824666667,120.151888889,136.715,131.677111111,137.888333333,125.189777778,135.610777778
193.99,127.920222222,133.618222222,143.091,119.373,133.760888889,130.342,136.111333333,125.926,129.772
194.37,128.903,133.263,141.772,120.112555555,134.880222222,134.388111111,139.803,122.995888889,127.777888889
