wavelength,Back_HemCalm,Belly_HemCalm,Breast_HemCalm,Crissum_HemCalm,Crown_HemCalm,DorTail_HemCalm,Patch10_HemCalm,Rump_HemCalm,Throat_HemCalm,WingTip_HemCalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,360.0,420.0,476.666666667,486.666666667,440.0,474.222222222,403.333333333,471.666666667,583.333333333,353.333333334
179.16,-49.9999999999,-19.9999999999,-41.6666666666,-98.3333333335,-3.33333333326,-68.8333333333,-100.0,-109.166666667,-111.666666667,-25.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,186.666666667,209.999933333,191.111,245.5556,187.7778,239.185108889,212.222266667,191.111166667,250.0,172.777733333
180.31,1710.0,1956.66666667,2240.0,2563.33333333,1676.66666667,2895.55555555,2056.66666667,2163.33333333,2920.0,1338.33333334
180.69,1973.33333333,2046.66666667,2263.33333333,2670.0,1826.66666667,3005.33333333,2076.66666667,2268.33333333,3170.0,1336.66666667
181.07,317.333266667,304.000133333,308.444466667,390.666533333,274.2222,428.725857778,319.110933333,329.555533333,447.999933333,218.666566667
181.45,213.888866667,207.500133333,182.222266667,248.889,190.277666667,277.055631111,212.777733333,203.8889,292.500066667,153.4723
181.83,250.434866667,234.203,203.4782,271.884133333,210.4348,296.463931111,238.840466667,228.695666667,327.826,180.724666667
182.21,210.114933333,179.310333333,151.4944,201.6092,157.930933333,226.022982222,184.597733333,176.206933333,254.9424,141.149433333
182.59,242.933333333,186.666666667,160.266666667,203.466666667,163.466666667,235.546666667,204.266666667,194.266666666,275.733333333,153.2
182.97,262.8986,191.304333333,172.4638,210.144933333,169.855,254.889046667,216.8116,200.7247,288.9856,154.4928
183.35,200.666666667,126.888933333,119.333333333,137.777666666,126.2222,174.096182222,162.4444,136.222066667,209.3334,103.6668
183.73,139.069666667,80.4651333333,79.5347333334,94.7285333333,91.1627999999,119.679622222,110.5426,101.395333333,153.178333333,76.2015666667
184.11,171.472733333,104.651133333,107.906933333,132.093,113.953466667,143.498722222,133.6434,125.969066667,184.340933333,104.728633333
184.49,183.333333333,111.746,116.3492,143.809533333,123.492066667,154.211713333,142.5398,140.8729,190.7936,116.746066667
184.87,176.333333333,104.833333333,119.5,143.833333333,121.166666667,152.494444444,142.0,136.916666667,181.666666667,119.083333333
185.25,209.7436,109.230866667,147.1796,173.846066667,143.333266667,187.598355555,155.897466667,157.8206,229.2308,140.3846
185.63,191.428533333,115.8096,166.095266667,161.714133333,148.380933333,177.536544444,145.333266667,152.1906,192.952533333,136.4762
186.01,180.341933333,109.914666667,157.435866667,153.162333333,147.521333333,163.74934,127.521333333,142.1368,171.111,123.760733333
186.39,288.0,166.333333333,261.0,250.0,257.0,263.1,178.666666667,243.333333333,260.333333333,199.0
186.77,366.296333333,216.2962,321.851866667,309.259333333,339.999933333,334.370411111,202.222266667,309.444433334,297.7778,257.963033333
187.15,506.153866667,291.281933333,433.8462,411.794933333,474.8718,437.282128889,247.692333333,415.3848,372.820533334,327.4359
187.53,-953.3334,-538.888933334,-895.555533334,-800.000133333,-963.333399999,-818.70376,-394.444400001,-825.000033333,-725.555533334,-588.333399999
187.91,-430.4762,-274.761933333,-399.523933333,-370.476133333,-423.333333333,-360.158691111,-174.285733334,-361.190466667,-314.2856,-258.571366667
188.29,-445.641133333,-267.6922,-422.051133333,-379.487133333,-459.4872,-363.760726667,-149.7436,-380.256533333,-304.6154,-269.230766667
188.67,-276.508,-159.682666667,-262.857066667,-238.7302,-297.460266667,-218.105793333,-93.6507333334,-240.9523,-183.8094,-161.428633333
189.05,-234.814733333,-132.5926,-214.320933333,-200.493933333,-238.271666667,-178.913646667,-78.0246000001,-209.876533333,-148.1482,-120.617266667
189.43,-196.470733333,-101.568733333,-173.5294,-154.509733333,-190.196,-140.025968889,-63.7255999999,-173.333266667,-109.803866667,-82.4510666667
189.81,-105.212133333,-35.7576000001,-85.5758000001,-74.7880666667,-93.6969333333,-62.0202577777,-11.394,-86.9091000001,-45.2121333334,-23.0910333333
190.19,-94.6914,-26.2962000001,-75.0616666667,-58.1482000001,-85.3086,-50.9341733334,-1.7283333334,-75.2469333333,-26.1728666666,-6.97533333326
190.57,-97.0069333333,-16.1904666667,-80.0,-50.0680666666,-89.2517333334,-50.1904888889,2.8574,-67.7550333334,-19.7279333333,6.19046666674
190.95,-139.166666667,-26.0416666666,-121.875,-74.7916666665,-137.291666667,-63.7222222222,-7.29166666674,-103.229166667,-29.5833333333,18.2291666667
191.33,-232.1212,-56.0606,-204.2424,-140.909066667,-228.484933334,-118.474864445,-41.8181333335,-180.757633333,-70.6060666667,-1.8181000002
