wavelength,Back_SpoPerf,Belly_SpoPerf,Breast_SpoPerf,Crissum_SpoPerf,Crown_SpoPerf,DorTail_SpoPerf,Patch10_SpoPerf,Patch11_SpoPerf,Rump_SpoPerf,Throat_SpoPerf,WingTip_SpoPerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,80.5555833334,54.1665833334,56.2499166667,12.4999166667,-2.49995579793e-11,66.6665833333,72.2221666667,12.5000833333,13.4259861111,-25.0,18.0554999999
179.16,-33.3333333333,125.0,-14.5833333335,-41.6666666667,-24.9999999999,66.6666666667,145.833333333,-129.166666667,4.86111111105,-137.5,-87.5000000001
179.54,191.666583333,249.999916666,206.944208333,158.33325,227.77775,227.77775,336.111166667,200.0,248.611083333,111.111083333,163.888833334
179.93,48.33325,41.6666666667,33.8889166667,31.66675,45.0000833333,15.555625,43.8889166667,36.6666666667,47.5,12.2221666667,25.2779166667
180.31,29.9433333333,31.21475,32.3091666667,28.9549166667,28.9546666667,24.01125,39.1950833333,21.9631666667,39.4067361111,8.68633333333,7.80366666667
180.69,33.3330833334,33.6983333333,35.8881666667,34.5498333333,32.1775833333,28.2238333333,39.90275,27.068,41.9403611111,13.017,12.773875
181.07,32.9106666667,35.8694166667,39.0699166667,38.1039166667,35.50725,27.0833333333,40.51925,30.797,44.1826388889,14.4324166667,13.1643333333
181.45,30.1378333333,31.70425,39.6929583333,38.28325,35.2130833333,22.3684166666,36.4035,30.2006666667,43.2643194444,11.0275,10.0562916667
181.83,27.8960833333,25.4726666667,35.6678333333,35.9338333333,30.4964166667,17.2874166667,27.9549166666,24.8819166667,35.5988333334,8.09691666665,6.855875
182.21,26.9184166666,20.2039166666,33.57325,34.4123333333,28.657,15.4975416667,24.16075,21.8825,31.0351111111,7.25416666666,5.66541666665
182.59,28.1744166667,20.3703333334,35.0529166666,39.4840833333,30.0264166666,17.1957916667,26.1243333333,24.1401666667,32.0214722222,7.80425000001,6.38237499998
182.97,27.2269166667,18.0315833333,33.5488333333,39.5115833333,25.2155833333,13.110625,20.9769166667,21.6235833333,27.4784861111,3.23291666666,1.75995833335
