wavelength,Back_SpoHyxm,Belly_SpoHyxm,Breast_SpoHyxm,Crissum_SpoHyxm,Crown_SpoHyxm,DorTail_SpoHyxm,Patch10_SpoHyxm,Rump_SpoHyxm,Throat_SpoHyxm,WingTip_SpoHyxm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,131.1112,102.222266667,7.7776,134.444533333,67.49985,35.5555666667,21.1111333333,56.6666666665,53.3333333334,40.7407777778
179.16,84.2423333333,72.4243666667,39.394,64.8484666667,76.9695500001,17.8787666667,24.8483333334,67.2726666667,77.2727666667,117.171555556
179.54,140.0,161.666666667,156.666666667,235.0,207.5,60.8333333333,130.0,216.666666667,112.5,177.777777778
179.93,-39.9999999999,-150.0,-453.333333333,-133.333333333,-73.3333333336,-856.666666667,-146.666666666,-240.0,-419.999999999,33.3333333332
180.31,-1386.66666667,-106.666666667,13.3333333327,-1550.0,-976.666666667,1851.66666667,389.999999999,-826.666666669,46.666666666,-1672.22222222
180.69,-796.666666667,0.8333333332,-58.3333333334,-775.0,-530.416666667,861.666666666,200.0,-504.999999999,-0.8333333334,-916.666666666
181.07,-104.814866667,91.1109,22.9628666666,-95.1852666665,-67.1295833334,266.851733333,102.222266667,-50.7408000001,56.8519333333,-126.543222222
181.45,7.36106666667,75.7638666667,38.7498666667,3.19446666667,17.2568833333,136.666766667,78.8889333333,22.2222000001,67.6388666667,7.87044444447
181.83,22.6087333333,72.8987333333,36.5216000001,21.3526666667,32.0289666667,110.3382,74.2993999999,29.1787333333,63.2367666667,23.3493333333
182.21,18.4496,60.6588333333,24.8836666667,15.4264666667,22.3644,85.5038333334,60.7752,20.7751333333,50.4651666667,21.8345555556
182.59,14.6925333333,50.2588333333,19.1586,12.0388,15.9061166667,68.9968,50.8090666667,17.6052,39.6765,19.3095555556
182.97,11.7116666667,41.0512,7.38739999999,7.86779999999,9.02394999999,57.0271333333,45.5255333333,13.033,32.5526,16.6166666667
183.35,12.8154666667,37.9935333333,6.34306666667,7.44333333333,6.69895000001,54.1099,44.7895333333,10.4854666667,30.2914,21.6827777778
183.73,6.33660000001,26.7327,-2.44240000001,-0.19806666664,-4.25738333335,46.2707,36.6336,1.58426666666,19.7689,19.582
184.11,11.579,31.7835666667,3.80106666667,8.94746666667,4.18125,47.3682666667,39.4736666667,9.94153333335,23.7721333333,28.8498888889
184.49,17.0312666667,35.3385,12.3438,15.4686666667,10.5078,50.9896,39.0624666667,16.3540666667,30.1824,33.9408888889
184.87,23.6242,39.4185,19.3288,18.3444666667,14.1611166667,54.1387333333,42.1924,22.7740666667,34.8098333333,37.6582222222
185.25,22.7161333333,40.247,17.1852666667,14.4691333333,11.7778666667,55.5307333333,42.2715333333,20.4444,32.1975,31.2755555556
185.63,18.1767333333,39.0312333333,13.5042666667,7.00853333335,4.27345000001,54.3303666667,39.4871333333,15.0426666667,27.3502666667,25.4508888889
186.01,21.1411333333,45.4055333333,21.8620666667,8.6486,7.43243333334,57.7779333333,42.4624666667,22.4624,32.1621666667,27.4273333334
186.39,21.2461333333,45.5762666667,21.5576,6.23040000001,8.56696666666,54.0808666667,42.6169333333,23.3022,28.2868,27.8296666667
186.77,26.0544666667,59.2516,27.279,11.5646,16.3945,64.3877666667,52.449,33.5373333333,38.6055333333,35.8276666667
187.15,37.8633333333,80.3417666667,44.3590666667,16.923,29.8931833333,85.0427000001,67.8632000001,46.9229999999,57.1366666668,52.5639999999
187.53,41.7181333333,82.4743333333,45.7733333333,26.8041333333,35.3779333333,78.4535999999,67.8349333333,50.5840666666,64.2611000001,51.5463333335
187.91,51.0280666667,88.0996666667,55.078,37.5077333333,48.16195,77.2275333334,73.9562666667,57.2586666666,71.1214,54.7247777779
188.29,44.3333333333,85.5666666667,50.7333333333,26.5333333334,40.45,69.7,71.8,51.6666666666,67.5000000001,50.888888889
188.67,43.8095333333,87.5824,50.9157999999,17.2894,40.3663333333,64.1392666667,75.0183333333,48.0586666667,63.6995666665,49.2063333333
