wavelength,Back_DigHumm,Belly_DigHumm,Breast_DigHumm,Crissum_DigHumm,Crown_DigHumm,DorTail_DigHumm,Rump_DigHumm,Throat_DigHumm,WingTip_DigHumm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,-17.7778666667,-0.74079999998,-2.2222,-4.81476666667,-2.96286666668,-23.7038,30.3704000001,20.0,-41.4816
179.54,28.5713333333,34.2858,22.8570666667,35.7142333333,32.381,29.0477333333,49.0476,23.3332666667,24.7618
179.93,-420.0,-273.333333334,-230.0,-250.0,-276.666666667,-326.666666667,-130.0,-293.333333333,-546.666666667
180.31,-331.333333333,-66.6666666667,-70.6666666668,-130.0,-119.333333333,-349.333333333,116.0,-151.333333333,-402.666666667
180.69,-573.3334,-161.904666667,-178.095133333,-276.666566667,-294.285733333,-596.190533334,78.0951333333,-351.428666667,-689.523933333
181.07,-486.6666,-195.5556,-257.037066667,-260.740733333,-302.963,-505.185133333,-40.7407333333,-377.7778,-571.851866667
181.45,2856.66666667,1430.0,1643.33333333,1690.0,1996.66666667,2886.66666666,783.333333333,2393.33333333,3026.66666667
181.83,549.697133333,293.9394,328.4848,320.9091,423.636533333,587.878733333,189.090933333,460.605933333,591.5152
182.21,366.222133333,167.111066667,224.8888,202.666733333,283.555666667,403.555533333,118.6666,306.222333333,382.222133333
182.59,1215.0,518.333333333,743.333333333,593.333333333,941.666666668,1395.0,355.0,998.333333332,1236.66666667
182.97,-5313.33333333,-2313.33333333,-3333.33333333,-3216.66666667,-4053.33333333,-6046.66666667,-1966.66666666,-4880.0,-5080.0
183.35,598.5186,294.074,448.1482,379.629633333,456.2962,698.518666667,298.5186,553.3334,612.5926
183.73,-1613.3332,-737.777800001,-1260.0,-1108.88883333,-1246.6666,-1900.00013333,-813.333333333,-1528.88886667,-1760.00006667
184.11,-396.6668,-201.666733333,-323.3332,-281.388833333,-299.444533333,-434.4444,-220.0,-381.6666,-463.3334
184.49,-282.333333333,-184.0,-252.0,-211.166666667,-221.0,-312.666666667,-224.333333333,-298.0,-339.0
184.87,-381.960866667,-262.745133333,-342.352933333,-273.333333334,-279.607866667,-409.411733333,-307.450933333,-390.196066667,-431.372533333
185.25,-1226.66666667,-741.333333333,-1109.33333333,-917.333333332,-796.0,-1274.66666667,-921.333333333,-1217.33333333,-1452.0
185.63,-330.0,-148.571333333,-314.285733333,-257.142933333,-189.047666667,-347.619,-245.7144,-356.666666666,-441.9046
186.01,1977.77773333,1140.0,1837.7778,1702.22226667,1242.22226667,1988.88893333,1562.22213333,2122.2222,2397.77766666
186.39,564.761866667,415.7142,542.380933333,544.523833333,430.4762,597.619066667,504.285733333,630.9524,654.285666667
186.77,501.25,365.833333334,500.833333333,493.333333333,387.5,537.083333333,475.416666667,592.916666667,580.416666666
187.15,524.583333333,388.75,517.916666667,513.541666667,415.0,551.666666667,515.0,605.833333333,610.833333333
187.53,543.333333333,426.666733333,511.4814,517.407266667,445.555666666,535.185133333,528.148266667,604.814866667,588.148266667
187.91,357.083333334,276.458333333,323.75,324.6875,293.125,345.625,343.75,375.416666667,363.958333333
188.29,288.617866667,214.796733333,258.861733333,259.268466667,236.0976,276.5854,272.032466667,301.9512,283.902266667
188.67,183.118266667,131.5054,162.473066667,166.774233333,151.720466667,174.086133334,161.075133334,187.312,172.795733333
189.05,189.285733333,130.118933333,167.023866667,171.6071,155.952266666,182.024,162.857066667,185.3572,173.3334
189.43,192.183866667,141.149533333,170.2298,174.712666667,168.275933333,193.678333333,174.367866667,189.195533333,173.3334
189.81,183.278733333,137.377,165.355266667,163.0055,163.169333333,186.557266667,171.147533333,178.032866667,158.032866667
190.19,277.333333333,197.833333333,245.5,241.583333333,242.5,276.333333333,260.166666667,266.0,232.0
190.57,289.142866667,199.619133333,263.047533333,234.0,250.095266667,287.0476,274.285666667,272.000066667,235.238066667
190.95,228.0852,164.397066667,211.3474,183.475166667,204.3972,227.6596,217.5886,208.226933333,187.3758
191.33,251.754333333,185.789466667,241.403466667,201.579133333,229.8246,257.719266667,248.771866667,234.386066667,205.263133333
191.71,226.126066667,155.855866667,221.261266667,173.6937,213.5136,232.432533333,227.567666667,211.1712,175.135
192.09,218.039133333,143.921533333,223.7254,169.804033333,214.706,222.941266667,228.6274,216.274533333,169.4118
192.47,193.030266667,150.454533333,203.788,158.636533333,201.666666667,202.121133333,211.818066667,198.484933333,161.515133333
192.85,365.277866667,286.666666667,387.222133333,299.3056,386.944533333,375.000066666,421.9444,380.277733333,316.111133333
193.23,510.833333333,396.25,545.833333333,417.708333333,554.166666667,522.5,607.5,564.583333333,442.083333334
193.61,-1181.11113333,-853.333399999,-1310.0,-935.555599999,-1355.55546667,-1230.0,-1476.66673333,-1398.88893333,-1001.11113333
193.99,1572.0,1208.0,1732.0,1257.33333333,1794.66666667,1617.33333333,1970.66666667,1884.0,1354.66666667
194.37,647.8788,484.242533333,752.727266666,501.818266667,775.151533333,696.969666666,863.6364,781.8182,554.545533333
194.75,322.666666667,221.333333333,379.333333333,257.833333333,386.333333333,343.666666667,453.0,398.666666667,269.0
195.13,410.416666667,266.666666667,484.583333333,336.458333333,480.0,420.833333333,580.833333333,506.666666666,325.416666667
195.51,248.125,163.958333333,276.875,199.479166667,282.5,245.416666666,322.083333333,279.791666667,188.125
195.89,507.142866667,321.428533333,573.333333333,397.8572,569.523733333,512.381,660.000133333,570.4762,355.7142
196.27,685.333333334,459.333333333,719.333333332,497.333333333,747.999999999,672.666666666,918.000000001,738.666666667,446.666666667
196.65,-958.666666667,-470.666666666,-945.333333333,-606.0,-1005.33333333,-898.666666666,-1424.0,-1005.33333333,-430.666666667
197.03,-500.833333333,-204.166666667,-460.0,-275.416666667,-522.5,-457.499999999,-762.500000001,-494.166666667,-121.666666667
197.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.78,280.000066667,169.2592,259.629666667,185.5555,268.148266667,221.111066666,418.888933333,247.037133333,82.5926
198.16,191.282,130.2564,173.333333333,127.564133333,180.256333333,155.128133333,300.769266667,160.7694,56.1538666666
198.54,137.037133333,104.444533333,124.6296,99.2591666667,118.333333333,105.7408,222.4074,122.037133333,38.3333333332
198.92,176.6666,143.055533333,151.111133333,111.8056,154.444466667,125.0,305.833466667,148.3332,18.6112000001
199.30,166.206933333,146.6668,130.574733333,111.0345,145.976933333,117.0114,267.1264,136.7818,32.4138666666
199.68,144.761866667,141.1904,116.904733333,86.0714999999,126.190533333,85.7140666667,241.190466667,116.666733334,4.04753333332
200.06,176.231933333,181.449266667,149.855066667,107.391333333,167.5364,116.5218,315.362333333,144.927533333,35.3623333333
200.44,142.6666,147.619066667,145.523666667,105.4287,149.7142,118.857,232.000133333,130.285733333,55.4285333333
200.82,178.444466666,184.666666667,189.555666667,129.999866667,195.111066667,147.3334,282.888733333,156.222266666,70.6666666667
201.19,158.989866667,165.050466667,172.525266667,109.696933333,168.282866667,128.686933333,261.6162,141.8182,66.6666
201.57,154.623666667,167.527,173.3332,108.709966667,167.526866667,134.8388,273.548333333,142.795666667,67.3118000001
201.95,180.512733333,208.205133333,224.6154,133.9743,204.359,173.333466667,325.1282,176.6666,94.8716666667
202.33,224.637733333,256.811666667,280.5798,180.869566667,257.101466667,211.884066667,371.014466667,219.420133333,137.681066667
202.71,973.333333334,1154.66666667,1180.0,815.333333333,1144.0,910.666666667,1622.66666667,950.666666667,616.0
203.09,-1101.33333333,-1233.33333333,-1296.0,-929.333333333,-1242.66666667,-988.0,-1736.0,-1102.66666667,-706.666666667
