wavelength,Back_TiaCanf,Belly_TiaCanf,Breast_TiaCanf,Crissum_TiaCanf,Crown_TiaCanf,DorTail_TiaCanf,Patch10_TiaCanf,Rump_TiaCanf,Throat_TiaCanf,WingTip_TiaCanf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,80.952,71.4286666667,71.4286666667,54.7616666667,83.3333333333,57.143,104.762,66.667,109.523666667,40.4763333333
179.16,113.333333333,73.3333333333,110.0,126.666666667,86.6666666667,83.3333333333,170.0,76.6666666667,140.0,30.0
179.54,45.4546666667,48.4846666667,48.4846666667,18.182,87.879,87.8786666667,103.030333333,18.1816666667,103.030333333,30.303
179.93,94.5143333333,75.1056666667,99.1563333333,46.8356666667,107.595,90.717,127.848,49.367,127.426,65.8226666667
180.31,104.878,78.0486666667,110.975666667,52.0323333333,116.666666667,100.813,139.837333333,56.0973333333,137.804666667,73.984
180.69,109.909666667,83.3333333333,122.072333333,54.054,124.775,102.252,149.099333333,51.802,151.351333333,81.081
181.07,97.8353333333,67.9653333333,116.017333333,35.065,116.017666667,87.446,131.169,41.9916666667,134.632,79.2206666667
181.45,100.483,71.0143333333,125.604,28.9856666667,117.874333333,80.6763333333,138.164,37.6813333333,133.816333333,85.024
181.83,92.3693333333,66.6663333333,100.401333333,22.8916666667,106.827333333,74.297,116.867333333,30.522,106.024,69.8793333333
182.21,85.8153333333,63.1206666667,96.8083333333,23.404,101.418666667,77.6596666667,110.993333333,33.688,97.1633333333,59.5743333333
182.59,79.5453333333,56.0606666667,93.5603333333,15.53,94.6973333333,70.4546666667,111.742333333,35.227,97.3483333333,58.712
182.97,94.6363333333,61.686,105.747333333,22.9883333333,104.981,77.0116666667,118.774,45.594,111.111,66.2836666667
183.35,100.0,59.9253333333,111.610333333,29.2136666667,107.490666667,80.15,130.337333333,59.9253333333,116.854,67.7903333333
183.73,90.278,51.736,97.9166666667,22.2223333333,94.0973333333,66.3193333333,117.013666667,42.7083333333,106.25,56.9443333333
184.11,98.9246666667,50.179,98.2076666667,22.939,97.1326666667,76.344,122.581,47.3116666667,107.526666667,60.5733333333
184.49,108.889,62.9626666667,102.963333333,31.8516666667,110.000333333,90.37,131.481666667,54.815,117.407333333,65.926
184.87,103.086333333,62.037,98.7656666667,37.6546666667,104.012333333,93.2096666667,124.074,61.7283333333,110.185333333,60.4936666667
185.25,108.888666667,65.7143333333,109.206333333,43.492,109.523666667,95.2383333333,126.666666667,70.1586666667,116.507666667,63.1746666667
185.63,106.529333333,59.794,107.216333333,41.237,108.934666667,91.7526666667,129.209666667,62.199,111.34,59.1063333333
186.01,110.869333333,59.783,114.130666667,39.855,111.594,96.0143333333,126.449666667,61.5943333333,103.985333333,56.1596666667
186.39,101.646333333,58.0246666667,119.341666667,34.1563333333,101.646,90.9466666667,122.633666667,51.44,99.5883333333,47.737
186.77,99.4873333333,66.6666666667,126.667,18.4613333333,110.256333333,92.3076666667,118.462,33.8463333333,102.564333333,41.0253333333
187.15,102.259666667,80.226,141.243,14.689,127.118666667,103.39,135.593,44.6326666667,104.519666667,41.243
187.53,72.9166666667,69.271,137.500333333,8.33333333333,114.583333333,91.146,122.916666667,30.2086666667,86.4586666667,32.2916666667
187.91,55.0926666667,59.722,125.926,7.40766666667,97.6853333333,74.9996666667,103.703666667,22.685,70.3703333333,26.389
188.29,48.718,61.0256666667,127.179666667,-0.000333333333333,105.641333333,62.0513333333,97.4356666667,15.3843333333,71.282,24.6153333333
188.67,33.846,46.6666666667,117.436,-5.641,93.846,44.6153333333,101.025666667,3.59,57.9486666667,19.4873333333
189.05,42.194,47.2576666667,102.953666667,-3.37566666667,77.2153333333,41.35,92.4046666667,10.9703333333,51.055,27.426
189.43,40.067,45.118,84.5116666667,7.74433333333,65.9933333333,39.394,80.471,18.8553333333,49.1583333333,32.66
189.81,41.092,40.5173333333,73.276,9.77033333333,68.9656666667,41.6663333333,80.1723333333,28.1606666667,43.391,39.0803333333
190.19,36.8686666667,34.3433333333,64.899,12.3736666667,64.394,36.8686666667,78.535,26.515,35.606,31.818
190.57,31.2643333333,27.3563333333,52.4136666667,5.977,54.713,24.5976666667,61.379,16.7813333333,24.368,24.5973333333
190.95,25.2953333333,22.6953333333,42.0803333333,-0.472666666667,52.482,13.4753333333,56.2646666667,13.9483333333,14.4206666667,17.967
191.33,25.7453333333,20.5963333333,40.1083333333,-7.58766666667,50.9483333333,9.756,65.583,16.26,7.317,14.9053333333
191.71,27.7333333333,21.3333333333,41.3333333333,-5.33333333333,51.4666666667,11.4666666667,66.4,18.9333333333,5.6,18.6666666667
192.09,27.2,24.2666666667,45.0666666667,-1.33333333333,58.6666666667,18.6666666667,68.5333333333,21.3333333333,8.26666666667,18.4
192.47,25.2523333333,24.495,44.1916666667,4.04066666667,62.1213333333,17.424,62.626,22.9796666667,5.808,18.4343333333
192.85,27.99,22.392,50.636,0.763333333333,65.3946666667,15.2673333333,59.2876666667,20.6106666667,3.05333333333,19.3383333333
193.23,26.1706666667,19.8346666667,57.3003333333,-4.13233333333,64.738,10.7436666667,57.8513333333,26.1706666667,1.653,15.4266666667
193.61,27.6836666667,12.4293333333,62.9943333333,-3.10733333333,68.0793333333,10.7343333333,59.0396666667,33.3333333333,-4.4408920985e-16,20.0566666667
193.99,34.9836666667,11.221,80.528,2.97033333333,80.8583333333,20.792,86.4686666667,60.7263333333,4.95066666667,31.023
194.37,51.89,8.93466666667,93.8146666667,8.24766666667,89.0033333333,30.9276666667,94.8456666667,70.7903333333,13.7456666667,39.175
194.75,48.485,2.357,83.165,3.70366666667,87.8786666667,25.2523333333,87.8786666667,59.9326666667,12.458,35.0166666667
195.13,52.963,-8.889,77.4073333333,-8.889,81.111,14.0743333333,78.1483333333,53.3333333333,-5.185,24.4443333333
195.51,50.6666666667,-15.1113333333,75.111,-27.1113333333,68.889,-2.22233333333,72.8886666667,48.0,-23.111,17.7776666667
195.89,56.604,-18.2393333333,94.34,-50.9433333333,67.9243333333,-24.5283333333,89.9373333333,48.4276666667,-40.2516666667,9.434
196.27,47.8633333333,-46.1536666667,112.820333333,-75.2136666667,67.5213333333,-48.718,114.529666667,41.8803333333,-61.5383333333,-9.40166666667
196.65,47.3686666667,-143.859666667,157.894666667,-194.737,75.4386666667,-143.859666667,198.245666667,-50.8773333333,-180.701666667,-63.1576666667
197.03,86.6666666667,-606.666666667,506.666666667,-846.666666667,13.3333333333,-646.666666667,426.666666667,-473.333333333,-820.0,-406.666666667
197.40,-9.52366666667,-457.143,376.190333333,-566.666666667,-119.047666667,-428.571333333,42.857,-571.428666667,-604.762,-333.333333333
