wavelength,Back_SicOlif,Belly_SicOlif,Breast_SicOlif,Crissum_SicOlif,Crown_SicOlif,DorTail_SicOlif,Rump_SicOlif,Throat_SicOlif,WingTip_SicOlif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,213.333333333,211.666666667,196.666666667,153.333333333,253.333333334,228.333333333,232.962962963,211.666666667,250.0
179.16,104.444533333,102.222266667,112.592666667,81.4814000001,108.889,129.629666667,113.909474074,102.222266667,89.2592333333
179.54,110.303066667,124.5454,116.363666667,89.0909333334,113.939466667,99.394,88.6868296296,70.3031333333,120.000033333
179.93,-126.666666667,-313.333333333,-286.666666666,-166.666666667,-53.3333333333,-200.0,-220.740740741,-53.3333333332,-433.333333333
180.31,325.0,364.583333333,405.0,269.166666667,386.666666667,412.083333334,301.296296296,202.916666667,373.958333333
180.69,377.1428,416.1905,477.142866666,319.047733333,453.809533333,501.904733333,343.227577778,230.952333333,453.5713
181.07,286.666666667,315.740766667,359.2592,265.925866667,359.629666667,371.111066667,271.687222222,169.629666667,359.999966667
181.45,337.916666667,365.0,422.083333333,339.166666667,421.666666667,439.166666667,315.138888889,200.416666667,438.541666667
181.83,4366.66666667,4563.33333333,5213.33333333,4500.0,5673.33333333,6093.33333333,3817.77777778,2473.33333333,5740.0
182.21,-1262.2222,-1283.3334,-1602.22233333,-1360.0,-1797.77786667,-1953.33333333,-1143.9506,-595.555466667,-1767.7777
182.59,-176.25,-205.416666667,-290.0,-224.166666666,-282.5,-323.333333333,-158.564814815,-71.2500000001,-291.25
182.97,-53.5555999999,-67.7778666667,-114.444533333,-66.2223333334,-89.9999999999,-125.5556,-34.4445037037,12.0001333333,-107.4445
183.35,-23.3333333333,-46.1110666667,-80.6666666667,-48.2223333334,-64.2221333334,-88.4444666667,-8.44455555561,29.5555333333,-79.1111333333
183.73,-30.4000000001,-51.2000000001,-104.0,-64.7999999999,-80.5333333333,-108.8,-16.1481481481,24.2666666667,-112.533333333
184.11,796.666666666,776.666666668,1206.66666667,958.333333334,1023.33333333,1130.0,613.148148148,468.333333333,1215.83333333
184.49,-315.0,-272.5,-485.0,-370.000000001,-376.666666667,-435.833333333,-249.074074074,-161.666666667,-449.166666667
184.87,-175.757533333,-171.818333333,-328.4848,-232.727333333,-213.939333333,-247.878666667,-155.488237037,-79.3940666666,-269.091
185.25,-22.8281333334,-18.0807666667,-79.3939333334,-26.2625333333,-21.2120666666,-61.2123333333,-20.9876814815,3.83833333325,-37.6765999999
185.63,24.9998666666,18.3333,-7.17939999998,26.9231333333,23.2051333333,-3.20506666668,20.9686888889,38.0769333334,13.3974333333
186.01,41.0714,30.8333333333,2.0238,37.8571333333,38.5715333333,7.49986666666,25.0661851852,49.8810666667,25.7142333333
186.39,31.3334,18.5,4.22220000001,32.1111333334,37.2222666667,3.3334,20.8889333333,44.3332,27.6112
186.77,47.8378,41.5765333333,30.5406,50.7206666667,51.0810666667,26.5765333333,37.4374296296,57.5675333333,46.7117666667
187.15,42.9629333333,37.4484666667,30.9466666667,41.7283333334,44.2799333333,24.6913333333,31.5773481481,49.5471333333,37.3661666667
187.53,34.2168,31.5261666667,23.9359333333,36.0642666666,35.1004,14.8593333333,22.5524444444,43.9358,26.8273
187.91,39.2592666667,36.6295,34.8148,40.5185333333,41.2592666667,17.7036,24.9383407407,46.074,33.4444666667
188.29,45.0485333333,34.0130333333,40.8414,42.8479333333,44.2718666667,19.4174666667,22.6178666667,48.9322,33.4952
188.67,43.5186666667,35.5865333333,46.6667333333,40.6789333333,42.3456666667,21.6665333333,24.1496,49.4444666667,32.5309
189.05,37.2222,29.4752,43.8273333333,35.8025333333,36.9136666667,17.0369333333,20.2125259259,44.3211333333,30.6171666667
189.43,30.8526666667,17.5581666667,36.9767333333,23.1783333333,26.0466666667,5.03866666666,14.1515555555,39.6898666667,20.8915333333
189.81,28.3534,16.6665,33.1726,16.8676,25.6224666667,8.19273333332,12.7621481481,36.546,21.1646
190.19,22.7848,12.6583666667,27.5949333333,11.73,20.3376666667,6.83546666668,10.4266888889,30.0422666667,15.5695333333
190.57,25.7246,18.6956333333,26.0869333333,15.5796666667,22.0289333333,14.71,17.5121185185,26.8114666667,14.9275
190.95,20.3375333333,10.3797,20.6751333333,7.84813333334,18.0591333333,9.28273333334,8.48576296295,26.3292,8.48113333334
191.33,18.75,7.33333333332,16.0833333333,8.16666666667,16.0833333333,7.5,10.0555555556,24.5833333333,9.29166666667
191.71,18.5282,6.88319999998,21.9912,7.70559999999,19.3073333333,7.09953333334,13.7758518519,20.8659333333,14.329
192.09,23.4883333333,20.4262666667,32.5582,19.7673333333,29.5348666667,19.7675333333,25.9001333333,31.2404,25.0
192.47,29.8900666667,37.5825333333,43.6628666667,31.5750666667,38.0219333333,32.3077333334,39.7394814815,42.4176666667,38.5715
192.85,36.3983999999,42.1455666667,48.2758,38.9272,41.3792,38.0076666666,46.9135851852,44.5209999999,42.8353
193.23,36.8253333334,45.4365333333,55.238,42.9365333333,40.3968,37.2223333333,48.7918740741,45.6350000001,37.8967666667
193.61,47.6542,53.7654,63.1480666667,50.8642,52.4074666667,50.6791333333,56.5706962963,55.4321333333,47.9629666667
193.99,42.8572,53.2994,60.4082,50.4762,52.3129333333,45.6461333333,53.9306148148,52.4489333334,45.0681
194.37,41.2345333333,46.3579333333,56.1728,48.5803333333,51.6668,40.5555999999,46.6941481481,49.4444,42.9939
194.75,38.6378666667,47.3118333333,57.9211333333,50.4659333333,51.2545333334,39.7848666667,41.6805481481,49.1754666667,45.3762
195.13,30.5186,39.7406333334,45.852,43.0372,42.1480666667,30.0740666667,29.6132740741,30.2963333333,39.1481
195.51,34.7417333333,48.1691000001,56.6198,50.7042666667,50.5164,31.3615333333,27.2612222222,26.6666666667,47.2768666667
195.89,16.8253333333,27.4604,32.1694,33.1217333333,33.6507333333,13.3332,5.23224444444,-1.37580000001,24.7090666667
196.27,-18.2456000001,-17.8947333333,-5.43866666667,2.28066666666,1.22793333326,-19.9999333334,-35.7114444445,-58.2457333334,-6.14033333332
196.65,-127.058733333,-149.6079,-109.411666667,-87.451,-86.2745333334,-127.450933333,-174.117637037,-229.411933333,-92.5490999999
197.03,-131.333333333,-159.833333333,-113.666666667,-85.6666666666,-96.6666666667,-153.666666667,-186.037037037,-216.0,-97.0000000001
197.40,-223.589866667,-259.487166667,-224.615533333,-148.205133333,-163.589666667,-256.4102,-321.766311111,-356.922866667,-134.615366667
197.78,705.714333333,756.190499999,705.714466667,521.904866667,595.238199999,797.142933334,914.920718519,928.571399999,500.000166667
198.16,994.666666667,1070.66666667,969.333333333,770.666666667,958.666666667,1193.33333333,1316.59259259,1318.66666667,752.666666667
198.54,210.5748,214.482733333,196.781666667,172.6438,211.954133333,242.5288,254.993533333,255.402333334,170.689766667
198.92,175.872866667,176.3492,161.904666667,148.888933333,176.666733333,193.1746,202.592666667,200.476333333,149.841233333
199.30,188.333266667,187.9546,155.303066667,164.697066667,183.6364,201.212266667,204.494859259,190.606266667,168.4091
199.68,348.6956,353.623133333,300.289933333,317.681133333,357.6812,364.927666667,380.773007407,341.1594,319.1305
200.06,276.0,283.066666667,236.533333334,262.666666667,295.466666667,297.066666667,316.474074074,263.733333333,256.266666667
200.44,265.476333333,265.7143,218.333333333,260.238,287.618933333,284.761866667,314.603185185,240.714266666,246.3096
200.82,273.5556,268.6668,223.777866666,271.111133333,295.333333334,282.888866667,314.691348148,249.999933333,266.555566667
201.19,203.466666667,198.6,177.733333333,202.133333333,210.933333333,195.333333333,221.940740741,192.533333333,200.066666667
201.57,177.4864,179.562766667,159.672133333,177.814266667,185.5738,173.770466666,193.078237037,174.207666667,175.846966667
201.95,185.613866667,187.602333333,165.146066667,184.093533333,194.152066667,177.894866666,199.129281481,188.8888,186.432733333
202.33,195.466666667,197.6,168.8,194.666666667,201.466666667,181.6,207.096296296,198.933333333,191.6
202.71,235.079266667,233.650666667,205.397,232.381,250.6348,222.063666667,251.922214815,255.079333333,218.809433333
203.09,298.571533333,292.1428,256.4286,301.666866667,327.142866667,297.857066667,320.8996,335.714333333,262.142833333
203.47,268.6022,268.7096,248.8172,270.107533333,300.430066667,281.075266666,288.5066,308.817333333,236.1291
203.85,263.010733333,262.473,242.3656,256.344,284.086066667,283.6558,270.226948148,315.0538,222.150566667
204.22,274.0476,263.095333333,250.238,248.333266667,287.1428,294.0476,267.063429629,319.523666667,214.523766667
204.60,157.8206,154.9358,154.743533333,146.410333333,167.4358,178.333333333,157.578348148,196.5384,132.051133333
204.98,153.2164,160.292466667,156.1404,148.304133333,166.900466667,183.976666667,157.258,197.31,132.631533333
205.36,165.673733333,173.687966667,169.645466667,165.957466667,188.368733333,213.3332,168.431755556,220.992933333,141.7021
205.74,212.963066667,224.3518,213.3334,215.3704,247.5926,273.3332,209.979511111,284.073933333,178.148166667
206.12,197.7778,206.111133333,204.761866666,203.809666667,223.3334,254.285666666,198.553792593,260.4762,172.936566667
206.50,166.010866667,169.125766666,178.3606,169.3988,189.5082,208.415333333,171.70617037,213.770266667,152.1312
206.87,180.218666667,180.2187,194.2078,184.153066667,199.344333333,218.360666667,176.102051852,219.235066667,166.448266667
207.25,167.729466667,166.956533333,185.0242,174.589333333,187.053133334,198.3576,166.226503704,205.603933333,161.739066667
207.63,180.3388,181.130066667,206.779666667,189.830533333,207.3446,216.045066667,184.745755555,229.9434,173.1073
208.01,162.456133333,162.5878,186.052666667,171.2282,186.228133333,186.403466667,167.758422222,195.8772,157.499833333
208.39,154.652,155.3846,175.457933333,163.5898,176.629933333,172.4542,161.758244444,181.758333333,149.304033333
208.77,246.410266667,245.384533334,277.436066667,255.897533333,282.6922,275.897533333,258.917377778,284.231,232.1154
209.14,252.606,239.272666667,274.181733333,254.303066667,278.181866666,265.9394,260.188614815,278.060666667,234.484766667
209.52,290.638266667,277.943266667,317.872333333,282.269466667,319.5744,298.439733333,304.36557037,316.453866667,272.9787
209.90,344.333333333,318.083333333,370.5,333.166666667,376.0,348.166666667,357.0,366.833333333,321.166666667
210.28,363.684133333,329.298166667,379.649133333,348.070266667,402.6316,362.4562,364.307814815,379.298266667,321.228
210.66,410.476333333,373.523933333,425.1428,392.381066667,442.2858,403.428466667,401.502533333,425.904866667,358.952433333
211.03,333.481533333,301.1111,339.2592,308.5926,349.037066667,318.666666667,332.197437037,343.851866667,290.296333333
211.41,297.407466667,270.370333333,293.5802,267.4074,303.333333333,278.642066667,286.14557037,302.5924,252.963033333
211.79,281.290266667,246.989233333,273.010733333,251.075266667,280.214933333,259.784933333,260.215125926,283.7636,236.505433333
212.17,251.523733333,215.428566667,236.3808,219.238066667,245.428733333,230.381,229.111133333,250.2858,210.7142
212.55,252.0,220.095233333,234.666666667,221.142866667,245.523866667,228.952266667,229.312162963,252.666533333,214.238
212.92,226.5,191.75,211.25,198.5,221.416666667,201.916666667,198.694444444,227.416666667,194.791666667
213.30,238.1094,195.621866667,226.0696,203.582066667,235.323466667,213.034866666,204.333859259,243.681733333,197.562266667
213.68,240.729133333,190.7811,231.9792,208.437466667,233.333333333,218.229066667,200.972051852,250.937466667,192.656333333
214.06,190.416666667,146.208333333,184.5,162.75,179.583333333,165.833333333,157.296296296,199.333333333,151.666666667
214.44,168.106066667,126.212233333,166.212133333,145.530466667,156.6666,145.606133333,136.877088889,179.924066667,138.636466667
214.81,171.687133334,130.864266667,172.181133333,146.913666667,159.012266667,143.209866667,136.835925926,179.588333333,138.6832
215.19,203.597933333,152.2751,212.4868,176.2964,190.581933334,169.523733333,155.696666667,220.423333333,161.111166667
215.57,199.8976,150.0001,214.564133333,174.461533333,186.871866667,169.8462,154.598325926,220.615266667,161.179433333
215.95,178.000066667,136.095133333,187.333266667,153.333133333,164.9524,148.000066667,134.423192593,197.809533333,142.428633333
216.32,199.777666667,150.222233333,210.5556,174.222133333,185.777733333,169.888866667,148.925866667,225.6668,151.944533333
216.70,208.4524,147.500066667,217.619066667,179.166533333,194.642866667,179.404733334,150.330696296,230.5952,155.000066667
217.08,193.230866667,145.846133333,205.025666667,171.589666667,178.871866667,171.282133333,147.487251852,213.948733334,143.0258
217.46,188.1196,149.444366667,198.0342,175.384533333,175.384666667,170.769133334,148.717925926,202.2222,145.726366667
217.83,206.944333333,162.7315,212.222266666,194.6296,194.999933333,190.277866667,164.2696,219.9072,163.194433333
218.21,239.282066667,202.1026,249.9488,231.589733334,236.820466667,232.923,200.0798,260.923266667,198.9744
218.59,253.025666667,223.025866667,264.307666667,237.435933333,252.4102,244.7178,215.600940741,271.3846,214.0513
218.97,259.2474,225.268766667,263.440933333,241.290333333,257.204266667,254.301066667,219.306911111,277.526933333,220.860333333
219.34,210.0432,184.026,211.428533333,197.835466667,212.727266667,210.476133333,181.106281482,221.731533333,185.1514
219.72,234.374666667,203.281066667,237.291466667,221.666333333,242.708133333,238.853933333,204.525355556,245.208133333,207.551966667
220.10,277.9014,233.642033333,281.604933333,259.382666667,283.703666667,284.444466667,237.037066666,278.3952,244.753033333
220.47,256.2068,216.436766667,265.287333333,243.1034,260.6896,260.8046,217.445748148,251.609333333,231.264266667
220.85,278.639533333,236.8027,291.836666667,262.9932,280.408133333,286.258533333,240.347733333,271.5644,244.489833333
221.23,320.333333333,270.666666667,335.833333333,302.666666667,320.333333333,331.5,273.888888889,304.5,278.166666667
221.61,470.256466666,381.410266667,477.9486,426.153866667,471.7948,492.8206,390.826385185,433.846333333,402.0513
221.98,401.176466667,334.7059,405.686266667,368.627466667,406.862866666,417.450933333,343.529407408,362.352866667,344.901866667
222.36,563.768133333,457.971066667,562.898666667,511.014466667,547.826066667,577.681133333,476.135251852,479.130266667,466.811733333
222.74,1405.1852,1112.5926,1382.2222,1300.74066667,1349.62953333,1456.29633333,1166.09057037,1154.81473333,1110.7407
223.11,1469.62966667,1168.51853333,1448.14813333,1348.88886667,1399.25913333,1495.55546667,1216.46088889,1197.03686667,1134.81483333
223.49,-6666.66666667,-5566.66666667,-6560.0,-6293.33333333,-6366.66666667,-6843.33333333,-5643.7037037,-5406.66666667,-5243.33333333
223.87,2085.7142,1802.38086667,2010.47606667,2008.57153333,2001.90486667,2118.09533333,1812.48680741,1705.71426667,1695.238
224.24,787.666666667,691.333333333,755.666666667,769.0,760.333333333,797.333333333,706.666666667,674.666666667,663.333333333
224.62,834.386,753.684133333,791.578866667,812.280666667,802.807,856.140333333,761.520525926,728.0702,724.912366667
225.00,1260.51286667,1144.10273333,1228.718,1244.61526667,1233.3334,1319.48706667,1151.50992593,1135.38453333,1151.79486667
225.38,-1.0239718471e+16,-9.36757252038e+15,-1.00776571207e+16,-1.02567775605e+16,-1.01416287063e+16,-1.09519354575e+16,-9.4971742142e+15,-9.39102876842e+15,-9.72581339982e+15
225.75,-1455.33333333,-1361.0,-1465.33333334,-1452.0,-1438.0,-1554.66666667,-1366.07407407,-1376.66666667,-1410.33333333
226.13,-798.333333333,-751.041666667,-816.666666667,-795.416666667,-785.416666667,-854.166666667,-736.851851851,-754.166666667,-769.791666667
226.51,-673.703666667,-603.888833333,-684.444333333,-661.481466667,-646.2962,-707.777733334,-605.144,-623.703666667,-647.962966667
226.88,-376.190466667,-327.619033334,-397.857066667,-369.0476,-357.619066667,-398.5714,-345.449725926,-354.047666667,-370.357233333
227.26,-184.102466667,-154.2308,-204.487133333,-188.974466667,-179.999866667,-199.487266667,-174.515577778,-181.2822,-188.3332
227.64,-147.8494,-120.483966667,-166.666666666,-146.774266667,-138.7096,-157.096866667,-139.832651852,-147.6344,-146.290433333
228.01,-95.2713999999,-75.6589333333,-109.4574,-89.1472666666,-82.7132000001,-100.077466667,-88.9577555556,-94.1859333334,-89.6123666666
228.39,-51.5966666667,-37.5910666667,-61.5685333333,-45.4341333333,-42.2408666667,-55.07,-49.9470518518,-48.6275333333,-46.6948333333
228.76,-38.1095333333,-24.0546333333,-49.6019333333,-31.8906,-30.199,-40.796,-36.2187777778,-34.7264666667,-32.1144
229.14,-34.1005333334,-18.6569666667,-43.0696,-26.9543333333,-24.8922,-33.909,-30.8658444444,-30.4555333333,-24.5323333333
229.52,-33.9566666667,-17.0504666667,-40.4316,-24.7961333333,-21.4389333333,-30.4077333333,-29.0434962963,-31.271,-19.6161
229.89,-40.4412666667,-20.4167333333,-42.6962,-33.1372,-23.7254666666,-36.3726,-35.2016222222,-34.8039333333,-22.0097
230.27,-42.59,-22.1583,-42.0623333333,-33.5730666667,-24.5083333333,-36.7864666667,-39.2166,-36.5468,-24.0047333333
230.65,-41.4612,-22.7854,-43.516,-33.1052,-27.4885333333,-36.8036,-39.5129111111,-38.4017333333,-24.2236666667
231.02,-57.7436,-39.1024666667,-57.5383333333,-51.1281333333,-43.5896666667,-52.564,-57.3163777778,-54.9745333333,-42.3332666667
231.40,-89.0526,-65.5438333333,-88.8421333333,-81.1228,-71.0875333333,-79.5088,-87.8985777778,-82.3860666667,-68.4560666667
231.78,-75.3740666667,-45.7141666666,-72.6530666667,-67.8910666666,-56.8707333333,-62.313,-68.6771407407,-62.7890666667,-55.6803
232.15,-60.3333333333,-31.1333333333,-58.4,-56.6666666667,-45.4,-51.9333333333,-52.7481481482,-48.7333333334,-44.2666666667
232.53,-80.6275333333,-46.4313666667,-81.4902,-79.8432,-63.1373333333,-75.8432666667,-68.6100888889,-70.1959999999,-60.7058333333
232.90,-85.9847333334,-54.0530333333,-83.4090666667,-84.5454666667,-67.7271333334,-79.5453333334,-74.2508296296,-76.4392666667,-65.1514
233.28,-79.8582666667,-49.3616333333,-74.0425333333,-79.2908,-62.6950666667,-73.6171333333,-68.345162963,-71.4894000001,-58.7944333333
233.66,-75.0496,-43.9273333333,-70.4291333333,-72.5412666667,-60.396,-69.373,-61.613437037,-62.2441333333,-53.8614
234.03,-52.7485333333,-27.9825666667,-52.5146666667,-49.7660666667,-45.7309333333,-47.7778666667,-42.1442148148,-44.0351333333,-37.0468
234.41,-49.5001333333,-27.0833666667,-53.0556666667,-50.1666666667,-45.2778666667,-45.9443333333,-39.2901111111,-44.4999333333,-37.0832666667
234.78,-49.8387333333,-29.6505666666,-52.3117333333,-51.3978666667,-46.4517333333,-47.6345333333,-40.3583851852,-45.0,-37.6613333333
235.16,-37.1632,-18.2507,-40.6146,-35.2718666667,-32.6240666667,-35.0353333333,-26.2779555556,-31.6313333333,-23.2388333333
235.54,-30.1048666667,-13.3333,-31.4045333333,-25.3668,-24.2766666667,-29.6856,-18.5930222222,-24.9896666667,-16.2474
235.91,-34.7110666667,-21.0444666667,-37.3332666667,-29.5111333333,-30.7112,-36.9334,-24.8245407407,-34.1778666667,-20.4446
236.29,-42.8841333333,-28.0850333333,-46.9029333333,-36.2646,-37.0212,-45.3428666667,-35.5503037037,-44.5863333333,-27.1157666667
236.66,-36.5985333333,-24.9432666667,-42.1768666667,-31.1111333333,-30.4762666667,-37.551,-32.6129259259,-40.6803333334,-24.2632
237.04,-31.8658,-21.8867333333,-40.2096666667,-27.0859333333,-27.3794666667,-32.872,-30.6125259259,-34.4234666667,-21.6562666667
237.41,-30.0000666667,-21.6072,-41.1508666667,-23.8491333333,-25.4761333333,-28.4126,-28.2274740741,-30.9523333333,-22.7381
237.79,-25.6238666667,-21.3594,-37.1322666667,-21.08,-22.0856666667,-25.8472666667,-25.669362963,-26.7411333333,-22.1974
