wavelength,Back_SpoTorm,Belly_SpoTorm,Breast_SpoTorm,Crissum_SpoTorm,Crown_SpoTorm,DorTail_SpoTorm,Patch10_SpoTorm,Patch11_SpoTorm,Rump_SpoTorm,Throat_SpoTorm,WingTip_SpoTorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,130.555666667,101.389,51.3887499999,91.66675,34.7223333333,38.889,93.0555000001,72.2221666668,107.407486111,111.111083333,79.1666666667
179.16,91.0714166667,92.2619166666,76.1905,98.8093333336,65.4761666668,63.6904166667,91.0713333333,66.0715,101.091333333,108.333416667,103.571416666
179.54,291.666666667,200.0,241.666666667,279.166666667,-70.8333333332,20.8333333333,341.666666666,-12.5000000001,170.833333334,287.5,16.6666666668
179.93,106.666666667,68.3333333333,117.5,89.1666666666,57.5,55.0000000001,82.5,40.0,76.6666666666,115.833333333,76.6666666667
180.31,93.0329166667,66.2569166666,52.5957499999,78.9616666668,24.317,23.7705,79.9180833332,18.3060833333,89.4809444445,92.2131666666,63.3878333334
180.69,101.172166667,69.5314166668,54.5573333333,84.6356666666,30.4690833333,24.6094166667,82.6825833334,22.1355,92.4481388888,98.3075833333,68.4897500001
181.07,96.8751666668,69.4010833332,52.2134999999,83.9843333333,32.4218333333,21.0936666667,87.5000833333,18.3594166667,95.2259166668,95.3126666668,71.7449166666
181.45,93.6565833332,67.9104166667,50.9950833334,76.2438333334,35.199,27.23875,89.4276666667,15.2984166667,93.9261111109,87.8110000002,68.6566666666
181.83,89.6714166666,70.6570833334,46.0094166667,73.8263333332,40.1409166667,28.75575,86.3848333333,21.9483333333,97.9458472224,87.2065000001,76.7604166667
182.21,91.4021666667,75.7935000001,32.9365,74.3386666666,35.18525,25.7935,90.7406666667,16.7989166667,106.790055556,88.0951666666,80.1586666667
182.59,98.6742499998,84.4696666668,10.41675,76.1363333333,18.1818333334,8.14383333334,111.553166667,4.73491666668,127.177986111,100.378666667,92.9922500001
182.97,120.0,100.000083333,30.5555833334,98.8889166666,30.74075,26.8519166667,135.925916666,21.8518333333,147.623597222,114.074083333,125.185166667
183.35,114.11575,100.000083334,35.3741666667,94.5577499999,34.6938333333,24.8299166666,131.122583334,21.93875,139.200708333,103.5715,126.53075
183.73,98.0619166667,94.1860000001,9.69,80.2324999998,26.3565833333,-2.13175000008,129.844916667,-1.93799999997,140.342333333,100.581416667,131.00775
184.11,83.3333333332,80.2845833333,-5.69108333333,61.1789166666,14.4309166666,-14.2274999999,117.276333333,-13.0081666667,137.737097222,89.4309166667,126.829333333
